 	j'	ai	découvert	un	bois	mort	sur	lequel	poussent	des	champignons	apebha	dans	la	forêt	oyoa	</S>
e	6.69454e-05	0.000251387	0.00126835	0.00987832	0.0128895	0.013175	0.0247119	0.0152374	0.0512869	0.0215224	0.0892104	0.614372	0.0893851	0.0313553	0.00996674	0.0102253	0.00519701
b	1.11818e-05	0.000104493	0.000955931	0.00440174	0.0157714	0.0243084	0.0470551	0.0467078	0.0325206	0.0804031	0.143115	0.423464	0.115019	0.0340651	0.0157684	0.00819152	0.00813709
h	8.73131e-06	2.37896e-05	0.000736947	0.00363128	0.00651499	0.00110203	0.00318414	0.0188504	0.158724	0.0138722	0.0268619	0.574928	0.0486574	0.0900839	0.0203534	0.00224418	0.0302224
á	8.60766e-06	0.000156819	0.0030666	0.0115645	0.0232965	0.0137335	0.0146773	0.0287219	0.0839391	0.0747835	0.0670051	0.411331	0.0635644	0.107951	0.0354293	0.00296021	0.0578104
s	7.9424e-05	0.000695437	0.000613259	0.00207963	0.00452942	0.0114556	0.0111539	0.0099792	0.00174701	0.0666916	0.0525803	0.0408871	0.408624	0.229749	0.135061	0.00454817	0.0195258
o	0.000248681	0.00100688	0.0017195	0.0146809	0.0159734	0.00768816	0.00684339	0.00202575	0.000383767	0.00385812	0.0126407	0.0442539	0.146928	0.335271	0.144958	0.213615	0.0479048
y	0.000118423	0.000780457	0.000330616	0.00275925	0.00547439	0.00354525	0.00302664	0.00095932	0.000103263	0.00258797	0.00521483	0.00213932	0.0324975	0.0833701	0.215668	0.615748	0.0256768
o	3.89969e-05	0.00108942	0.00180139	0.00586046	0.00293386	0.00181796	0.00753214	0.00674225	0.000213019	0.00157277	0.00733362	0.0122396	0.0326126	0.0933399	0.0475631	0.76096	0.016349
á	5.20642e-06	0.000237876	0.000840915	0.000946872	0.000897379	0.000835663	0.00235492	0.0101025	0.000724725	0.00386915	0.0130486	0.00785639	0.0253184	0.137403	0.0602639	0.451607	0.283688
</S>	0.000226594	0.00174593	0.00178838	0.0031982	0.00441574	0.00595683	0.00912762	0.0158794	0.00115986	0.0160106	0.00985283	0.00806968	0.0508877	0.102838	0.201497	0.218746	0.348599
