 	je	suis	impliqué	dans	cette	affaire	parce	que	c'	est	moi	qui	l'	ai	emmené	à	brazaville	</S>
m	9.52535e-05	0.000565448	9.64491e-05	0.00449314	0.0154732	0.0134001	0.18975	0.17968	0.142403	0.133984	0.0452683	0.138977	0.0870373	0.0223149	0.00517954	0.00856449	0.000958243	0.0117589
o	1.05883e-05	0.00194821	4.62063e-05	0.012758	0.0132722	0.0126159	0.0537378	0.161723	0.33646	0.144653	0.0125039	0.0291626	0.0511125	0.0304489	0.0171148	0.0600201	0.00110075	0.0613106
r	3.08921e-05	0.001295	0.000258421	0.00654892	0.0264209	0.0168017	0.0490578	0.109562	0.151304	0.206721	0.0447493	0.179692	0.133476	0.0165141	0.0276714	0.0106778	0.00376005	0.0154584
o	0.00202807	0.00786902	0.00107767	0.0130386	0.0295241	0.00519595	0.0282545	0.141111	0.0963143	0.11306	0.111672	0.118987	0.123385	0.0531706	0.00795079	0.0203512	0.0734175	0.0535939
y	0.000271901	0.000458252	1.50818e-05	0.00163567	0.00612619	0.000661638	0.046604	0.115689	0.068822	0.0861964	0.239024	0.23551	0.130788	0.0440127	0.000776271	0.00436378	0.0118476	0.00719863
a	7.48935e-05	0.0030081	0.000810166	0.016423	0.0246022	0.00329657	0.0384794	0.20652	0.156848	0.177956	0.0747344	0.0983171	0.133153	0.0178341	0.00391424	0.0101734	0.0112705	0.0225841
a	9.22736e-05	0.000821495	6.81133e-05	0.00164001	0.00179179	0.000264706	0.0131156	0.0848748	0.0807931	0.125399	0.20635	0.190967	0.199144	0.0452041	0.00331215	0.0149732	0.0129482	0.01824
b	0.000122071	0.00604566	0.00259168	0.0085819	0.00533814	0.00605635	0.00438276	0.0138134	0.0230676	0.038847	0.0174655	0.0544899	0.125105	0.113479	0.489722	0.0278421	0.010005	0.0530444
é	9.22272e-06	0.00247139	0.000192439	0.00635268	0.00287458	0.0168493	0.0086238	0.0086576	0.0191982	0.0268401	0.00289787	0.0186364	0.0344004	0.0424094	0.73851	0.0438642	0.000276974	0.0269355
r	1.05317e-05	0.000141886	0.00028605	0.00103279	0.00113929	0.00212556	0.0116488	0.0185566	0.0334695	0.0586567	0.0166197	0.0521017	0.115535	0.080871	0.383063	0.0510586	0.00676161	0.166922
á	5.66665e-06	0.000236941	0.000330665	0.00203024	0.00432661	0.00167349	0.0177957	0.0571342	0.077277	0.12451	0.0255988	0.0775584	0.142674	0.0820959	0.110764	0.0534229	0.0148014	0.207764
w	0.000129284	0.000651965	0.000174207	0.001737	0.00188247	0.000757488	0.00808937	0.0317182	0.0379223	0.0579727	0.112092	0.106887	0.155162	0.224888	0.0595978	0.0862806	0.0131603	0.100897
á	0.000154816	0.00100638	0.000195651	0.00274875	0.00596273	0.00334546	0.0120781	0.0325755	0.0372055	0.0704379	0.0471618	0.0899759	0.16897	0.114882	0.211828	0.098093	0.0437291	0.0596488
n	0.000214959	0.000642577	2.55481e-05	0.00144964	0.000844786	0.000964307	0.014064	0.0214116	0.024237	0.0370344	0.230015	0.0765843	0.104992	0.122921	0.0581625	0.0844144	0.0629706	0.159052
g	0.000905625	9.70751e-05	1.30613e-05	0.000462029	0.00113613	0.000125973	0.00341078	0.0185124	0.0120583	0.0186418	0.380752	0.0303197	0.0337232	0.136356	0.00454541	0.0809813	0.229498	0.0484618
y	0.000327768	5.59053e-05	1.40758e-05	6.22978e-05	0.000306061	1.79815e-05	0.000523474	0.00434246	0.00180417	0.00431059	0.169391	0.0107858	0.0160777	0.0362425	0.000834609	0.0090508	0.728501	0.0173514
ε	4.75345e-05	2.30981e-05	1.55149e-05	0.000230791	0.00186639	0.000102236	0.000303905	0.0067087	0.00586513	0.0127127	0.0315102	0.0221781	0.0278104	0.0411693	0.00350855	0.0695349	0.611884	0.164529
l	3.59945e-05	5.03597e-05	2.37726e-05	0.000638023	0.00292814	0.00018232	0.00417638	0.0159618	0.011236	0.0180545	0.0375797	0.0740903	0.05357	0.0845303	0.00378012	0.125283	0.186944	0.380935
έ	1.98464e-05	8.30777e-05	0.000101414	0.000346363	0.00131347	0.000892902	0.00218619	0.00937798	0.0120356	0.0214728	0.0131173	0.0412756	0.0301817	0.0737907	0.0745506	0.116266	0.185835	0.417153
</S>	0.000149508	0.00146728	3.13831e-05	0.00150708	0.00094037	0.000436002	0.00301304	0.0171877	0.0237502	0.0321241	0.0391953	0.0583616	0.0692253	0.123787	0.0258671	0.200733	0.0152018	0.387022
