 	les	femmes	sont	en	train	de	lancer	des	cris	de	malheur	parce	que	le	notable	vient	de	mourir	</S>
w	0.00280815	0.000474313	0.00453945	0.00668244	0.000732359	0.00766888	0.0115036	0.0151691	0.0179071	0.0402986	0.0448218	0.0201726	0.0793793	0.137468	0.255281	0.0221467	0.0939315	0.0628913	0.176124
ε	0.00482945	0.00102782	0.00314729	0.00544081	0.0023683	0.00211812	0.00641338	0.0039332	0.0237057	0.0330476	0.198824	0.0439605	0.103175	0.080797	0.378973	0.025009	0.00641234	0.0543495	0.0224683
n	0.000922042	6.1778e-05	0.00117447	0.00192377	0.000332142	0.000844177	0.00202949	0.00450342	0.0169533	0.0186211	0.0504485	0.0800186	0.124937	0.121081	0.224257	0.0837147	0.0443886	0.0410435	0.182746
έ	0.00165777	0.000214062	0.00400625	0.00432185	0.000202377	0.00118233	0.000678494	0.00391401	0.0185496	0.0305556	0.0344713	0.0496593	0.146576	0.135742	0.33684	0.0253487	0.0248947	0.00753447	0.173651
á	0.00596013	7.11768e-05	0.000334522	0.000937774	0.000153201	0.000867472	0.000100607	0.0025086	0.00252422	0.0182415	0.0224103	0.150748	0.139762	0.216278	0.045004	0.12166	0.166951	0.00708577	0.0984025
m	0.00146016	0.000669258	0.00542907	0.00519599	0.000335285	0.0112182	0.00756362	0.0152489	0.0325456	0.00893474	0.00852583	0.0112184	0.130734	0.051579	0.00411753	0.0899898	0.447117	0.0857162	0.0824009
i	0.000201698	0.000178271	0.00284177	0.0053206	5.04758e-05	0.00133116	0.000911011	0.00446744	0.0128183	0.00505169	0.00236122	0.00309282	0.0685558	0.0620359	0.0106209	0.0125595	0.357305	0.296026	0.15427
w	0.000139925	8.35675e-05	0.00050734	0.000825651	6.24251e-05	0.00061014	0.00339213	0.00123556	0.00677929	0.000845032	0.00101911	0.0016382	0.0313667	0.0190621	0.00569807	0.0240928	0.161571	0.319649	0.421421
á	4.81849e-05	9.11729e-05	0.00172012	0.0036309	0.000152329	0.000464339	0.00258937	0.000845207	0.00401396	0.00137541	0.00417559	0.0147767	0.0710371	0.0375084	0.00857734	0.0547617	0.100486	0.596363	0.0973826
a	0.000446745	1.03406e-05	0.000207147	0.000550605	9.80247e-05	0.00062249	0.00133687	0.00129365	0.00297429	0.00328637	0.00638796	0.0433726	0.0509463	0.0628539	0.0393254	0.0504713	0.149421	0.283024	0.303371
</S>	0.00207582	0.000176762	0.00119651	0.00212734	0.000181807	0.00218263	0.00416855	0.00817767	0.0220065	0.0148637	0.010141	0.0193866	0.0371531	0.0572504	0.0125729	0.0233959	0.278956	0.187221	0.316766
