 	il	y	a	des	punaises	dans	le	lit	je	ne	vais	pas	dormir	dedans	</S>
é	0.00190479	0.0018771	0.00445233	0.00828884	0.0222516	0.0506783	0.111721	0.648418	0.0647881	0.0200135	0.00820813	0.0115517	0.00918395	0.00237865	0.0342847
m	0.00216415	0.00325182	0.0186804	0.0132389	0.00527525	0.0988489	0.14843	0.172335	0.170666	0.24534	0.0168915	0.0431051	0.0409206	0.000733488	0.0201194
ú	0.00834784	0.00249124	0.00757396	0.0097784	0.017371	0.212882	0.372093	0.165423	0.0181538	0.0347603	0.0241178	0.0180229	0.0161683	0.0296247	0.063191
n	0.000576846	0.000762597	0.00962274	0.0234004	0.0336233	0.0844591	0.129346	0.0242538	0.0247802	0.253107	0.266474	0.0484379	0.0433741	0.0251712	0.0326103
g	0.00547778	0.00612368	0.00965977	0.020419	0.00764154	0.0653094	0.271413	0.0124905	0.377893	0.0447254	0.06658	0.0122166	0.0179349	0.00389576	0.0782197
á	0.000729278	0.00152463	0.00420999	0.0097073	0.00340809	0.0308492	0.217891	0.00749272	0.559365	0.0254519	0.098324	0.00469992	0.00652883	0.00927409	0.0205433
i	0.00127331	0.000803978	0.00478796	0.00748727	0.00188507	0.0246347	0.105868	0.0377067	0.160196	0.253463	0.0845255	0.118933	0.128964	0.0142769	0.0551946
d	0.000974671	0.00106696	0.00252563	0.00243303	0.00186965	0.00477539	0.0085025	0.0156613	0.0239233	0.307732	0.355877	0.101772	0.0687158	0.0583485	0.0458231
i	0.0006659	0.000515994	0.0039403	0.00222378	0.0186349	0.0461737	0.0361249	0.0343116	0.0458913	0.147755	0.273194	0.0584625	0.0798777	0.080181	0.172047
m	0.000315991	0.000178598	0.00173727	0.00201148	0.00340321	0.0184984	0.0211412	0.0134816	0.0122856	0.186282	0.115273	0.237072	0.26834	0.0622507	0.0577294
ó	0.00172325	0.000635746	0.00166132	0.00472763	0.00909497	0.023633	0.0533187	0.0184758	0.00845198	0.082407	0.115578	0.0758335	0.190674	0.268263	0.145522
m	0.00170503	0.0014044	0.00579184	0.00354356	0.000775265	0.00349092	0.0097937	0.0062678	0.0186705	0.0663048	0.0559441	0.0886835	0.335828	0.299239	0.102557
ú	0.000304	0.0004367	0.00174444	0.00422456	0.00804165	0.00809678	0.00767961	0.00274902	0.00119471	0.0119789	0.0578818	0.0232708	0.146847	0.572626	0.152923
a	2.3515e-05	6.41629e-05	0.000313552	0.00168781	0.0172111	0.00371566	0.00414718	0.00097863	0.00132909	0.0378114	0.0833006	0.140406	0.418849	0.148305	0.141858
a	0.00032294	0.00017622	0.000981596	0.00113187	0.000271067	0.00143957	0.00320968	0.00162205	0.00649322	0.0529936	0.0250565	0.131561	0.46936	0.0683505	0.23703
b	0.000828275	0.00358246	0.0236446	0.0147103	0.00739915	0.0143262	0.00674813	0.0077352	0.0115489	0.0869826	0.0232069	0.110549	0.491079	0.140404	0.0572556
v	0.000804033	0.00189593	0.00679842	0.00785926	0.00209032	0.00602384	0.00701444	0.0130254	0.00472614	0.0858339	0.0132012	0.20723	0.57141	0.0235654	0.0485213
a	0.00451435	0.00111885	0.00427596	0.00482566	0.00390396	0.0138483	0.0212737	0.0375656	0.017479	0.09304	0.020745	0.253792	0.40483	0.0338666	0.0849208
k	0.000161492	0.000176467	0.000575335	0.000654572	0.000962475	0.0026526	0.00203851	0.00138639	0.00432658	0.0206471	0.00951733	0.154907	0.359758	0.0166252	0.425611
a	0.00234881	0.0034612	0.00189165	0.00102142	0.0002658	0.00339124	0.00577083	0.0196507	0.0139654	0.092157	0.04431	0.349369	0.182094	0.017175	0.263128
á	0.000194579	0.00052816	0.000362275	0.000279341	0.000639902	0.000953516	0.0026572	0.00496436	0.00771476	0.0495578	0.0208391	0.12573	0.11449	0.0116536	0.659436
</S>	0.00247093	0.00123367	0.01635	0.00364342	0.00328705	0.00652577	0.00596277	0.00901464	0.042813	0.0279476	0.0106504	0.0422925	0.208729	0.0466224	0.572456
