 	quand	il	rit	il	couvre	sa	bouche	avec	la	main	parce	qu'	il	a	perdu	des	dents	</S>
b	0.00860078	0.0158645	0.00818749	0.0312811	0.0867306	0.170883	0.104943	0.195337	0.111199	0.116683	0.0346513	0.0117393	0.0205847	0.0183423	0.0174939	0.00771478	0.0174942	0.0222697
ώ	0.000954978	0.00302219	0.000412959	0.00392804	0.0943507	0.0658018	0.022964	0.0662514	0.0610674	0.524105	0.0785504	0.0050248	0.00817659	0.00748494	0.0126611	0.00137567	0.0400648	0.00380316
ω	0.000893679	0.00394813	0.0020278	0.0158264	0.0869299	0.0664669	0.0495536	0.120132	0.0885805	0.261549	0.11006	0.0264904	0.0235558	0.0164567	0.0178785	0.00656231	0.0568411	0.0462471
m	0.00178141	0.00695121	0.00154264	0.0235177	0.00998832	0.201614	0.062176	0.23725	0.187108	0.104703	0.0476605	0.0549786	0.028167	0.0135176	0.00627005	0.00678851	0.00171965	0.004267
ó	0.00280442	0.0129472	0.00322171	0.0386112	0.0118984	0.133978	0.0150966	0.18689	0.138935	0.066758	0.0706946	0.0328017	0.0576278	0.0414719	0.032315	0.0301123	0.0273645	0.096472
n	0.00306772	0.010079	0.00350202	0.0215076	0.0145006	0.140933	0.104129	0.0697544	0.139848	0.178583	0.137853	0.0410796	0.0388803	0.0231799	0.014195	0.00803585	0.0457252	0.00514638
ω	0.00531071	0.00660235	0.000817762	0.00319221	0.00265466	0.0328497	0.547626	0.0330833	0.0872218	0.0450924	0.0811265	0.0305218	0.0214202	0.0151186	0.00831839	0.00688827	0.0360838	0.0360714
ω	0.000286524	0.00203612	0.00161158	0.014688	0.0022229	0.0523383	0.228601	0.111414	0.14315	0.0825772	0.125487	0.0607458	0.0565369	0.0335583	0.0177383	0.010699	0.0342406	0.0220673
t	0.0026146	0.00583844	0.00199926	0.0248585	0.0256885	0.123765	0.0200071	0.0830445	0.13889	0.17655	0.0948163	0.0416783	0.0946796	0.0742344	0.052185	0.013203	0.00743398	0.0185132
s	0.000449556	0.00204316	0.00208597	0.00736837	0.0179019	0.0598332	0.0204632	0.0390958	0.0676099	0.159605	0.165643	0.0640474	0.110429	0.0883833	0.127969	0.0181135	0.0109423	0.0380165
í	0.000123285	0.000619116	0.000980402	0.00199463	0.0185149	0.0478214	0.0130573	0.0348295	0.0628686	0.124267	0.249769	0.145733	0.0921255	0.058063	0.0831593	0.0193487	0.00798879	0.038737
n	0.00119416	0.00490802	0.00280295	0.00579996	0.00946509	0.0868595	0.0747593	0.0932567	0.145184	0.164127	0.158478	0.0891417	0.0531817	0.0247608	0.0209362	0.00575417	0.00548402	0.0539069
a	0.00961524	0.00940219	0.00748558	0.00750548	0.00189808	0.045768	0.149229	0.0407415	0.0661187	0.0377034	0.165464	0.157149	0.0803211	0.0263276	0.0154015	0.0126185	0.0133695	0.153882
w	0.000353274	0.00214495	0.00153542	0.00699995	0.000622381	0.0384628	0.0366743	0.0551644	0.104785	0.064555	0.120876	0.254691	0.152861	0.0767131	0.025472	0.0362138	0.00624898	0.0156256
a	0.0011585	0.00300658	0.00290584	0.00998458	0.00146988	0.0482389	0.0458278	0.0423929	0.0639232	0.0578187	0.15174	0.216512	0.144339	0.0764237	0.0526176	0.0429224	0.0113638	0.0273538
a	0.00063164	0.00280595	0.00137195	0.00439427	0.000394616	0.0286562	0.0209812	0.0326127	0.062396	0.043534	0.120316	0.367991	0.157453	0.0699459	0.0214652	0.0456289	0.00444204	0.0149786
d	0.00169577	0.00617995	0.00294743	0.0243835	0.010227	0.0528604	0.00927316	0.030404	0.0298851	0.0543524	0.0298292	0.0281074	0.167824	0.203429	0.113423	0.0581595	0.0268299	0.150189
í	0.000845524	0.00220499	0.000601167	0.00673322	0.0167238	0.0684384	0.00504378	0.0312562	0.0785774	0.0393582	0.0511165	0.019501	0.104158	0.148895	0.0835146	0.069678	0.0160365	0.257318
l	0.000200343	0.00102136	0.000157984	0.00208445	0.00183386	0.0534695	0.0132873	0.0212945	0.0459912	0.0237068	0.0332486	0.0640133	0.093207	0.147528	0.112866	0.168747	0.0251782	0.192164
a	0.000500095	0.00243889	0.00135686	0.00191454	0.0014887	0.00949046	0.00218566	0.00658864	0.00874095	0.00824277	0.0311221	0.0617089	0.107592	0.13121	0.0996673	0.069704	0.0339411	0.422107
m	0.000403973	0.00274121	0.00140843	0.00302827	0.00125582	0.0169441	0.011567	0.00401502	0.00736441	0.00528581	0.0467131	0.0526732	0.0580398	0.0881234	0.0833955	0.0843615	0.443073	0.0896068
b	0.000193468	0.000890466	0.000305136	0.00174736	0.00216107	0.0129316	0.00661187	0.005133	0.0140325	0.00295637	0.0362051	0.0075391	0.0286442	0.0618392	0.10966	0.0795466	0.545517	0.0840853
ώ	3.70819e-05	9.47349e-05	8.52911e-06	0.0001236	0.000662392	0.00288244	0.000867373	0.00273928	0.0119943	0.0100579	0.0234493	0.00216391	0.0140767	0.0392953	0.203601	0.0483417	0.552614	0.0869908
r	9.30565e-06	6.11887e-05	1.31352e-05	0.000219758	0.00101236	0.00462443	0.00038509	0.00403759	0.00836518	0.0209803	0.0229383	0.00481852	0.027502	0.0687101	0.280465	0.0829683	0.360127	0.112763
ώ	0.000211676	0.000245305	0.000242633	0.000739257	0.00132874	0.00755244	0.0187637	0.00740505	0.021734	0.0123565	0.0515401	0.0486933	0.0757977	0.15327	0.2461	0.117559	0.131774	0.104686
</S>	0.000201087	0.000727947	0.000193761	0.00123733	0.000276944	0.0066793	0.00260276	0.00449376	0.00841304	0.00480116	0.0173011	0.0419957	0.0375405	0.0889667	0.105069	0.247112	0.0950815	0.337306
