 	la	femme	a	vait	porté	son	pagne	autour	de	la	poitrine	lorsqu'	elle	était	dans	la	maison	</S>
d	0.00151069	0.00249974	0.00602267	0.00666597	0.208311	0.260693	0.178726	0.204125	0.052271	0.0294656	0.0124158	0.00707804	0.00544519	0.00404363	0.00635855	0.00326256	0.00648451	0.00462186
z	0.00109682	0.000172061	0.000431447	0.000933428	0.434103	0.0829705	0.0655107	0.249976	0.0616552	0.0288653	0.00806987	0.0060129	0.00456786	0.0211831	0.0141526	0.00619557	0.00222375	0.0118798
í	0.00638707	0.0015822	0.00223677	0.00212767	0.132118	0.113724	0.308016	0.187011	0.0646879	0.0242769	0.0151165	0.0151664	0.0379496	0.0354865	0.0203443	0.00840827	0.0182887	0.00707216
ε	0.00146881	0.000448843	0.00410182	0.00819406	0.0558347	0.0405463	0.309387	0.157577	0.0839572	0.0813616	0.102111	0.0499906	0.0132451	0.0193315	0.0355409	0.00951367	0.00117441	0.0262155
é	0.000189376	4.09438e-05	0.00115021	0.00276481	0.0587803	0.0528152	0.0465613	0.410087	0.156872	0.107547	0.0289329	0.0662432	0.0184327	0.0226742	0.015928	0.00103534	0.000593256	0.00935321
d	0.000660708	0.000108558	0.00132249	0.00465091	0.0342218	0.0237869	0.0209181	0.124535	0.104096	0.159453	0.0846872	0.204278	0.0602359	0.0932696	0.0552718	0.00589979	0.00127193	0.0213326
z	0.000397393	5.96724e-05	7.93356e-05	0.000289376	0.0325702	0.0107361	0.00561387	0.248698	0.115712	0.0640026	0.00562092	0.0496675	0.0267478	0.199162	0.16759	0.023881	0.00233086	0.0468401
é	0.00155172	0.00052612	0.00045559	0.000481773	0.0140292	0.0188056	0.0666354	0.192486	0.0520245	0.0483031	0.0464722	0.0612689	0.106381	0.292922	0.0604439	0.018513	0.00887027	0.00982923
w	0.00350573	4.51223e-05	0.000684707	0.000471371	0.0101743	0.0187027	0.0371936	0.0631438	0.0780454	0.098873	0.0831556	0.214666	0.0872703	0.115404	0.0859057	0.0446185	0.0045516	0.0535883
a	0.000796259	0.000150322	0.00202669	0.00115415	0.00460201	0.0244067	0.0352107	0.0278483	0.0686661	0.0915011	0.105693	0.202538	0.185716	0.0327899	0.0765386	0.0717802	0.00777427	0.0608075
s	0.000521736	4.41559e-05	0.00116931	0.00123294	0.00445596	0.0126647	0.0048709	0.0401384	0.0840388	0.154774	0.0617694	0.181613	0.197714	0.088035	0.0856484	0.0315991	0.0112355	0.0384749
á	0.0015108	0.000182615	0.000193535	0.000293863	0.00626465	0.00556196	0.00923667	0.028409	0.0362037	0.0828155	0.0684751	0.132086	0.131468	0.121651	0.149365	0.149469	0.0145756	0.0622383
n	0.00336287	0.000185917	0.00021012	0.00025266	0.00178107	0.00479154	0.00378407	0.0051584	0.012049	0.032025	0.0894094	0.152733	0.179155	0.157958	0.0537402	0.212222	0.0771774	0.0140042
d	0.0026598	0.000431659	6.08593e-05	2.50083e-05	0.00152774	0.00288249	0.000652934	0.00650118	0.0218206	0.0280496	0.00945999	0.0166498	0.0253258	0.0101255	0.0299962	0.115753	0.710915	0.017163
é	0.0025409	0.00685708	0.000525496	0.000216806	0.00134069	0.00152927	0.000803056	0.00290405	0.0153735	0.0185811	0.0094975	0.0107137	0.0383397	0.0124676	0.0134057	0.0266089	0.819745	0.0185502
e	5.0067e-05	4.38408e-05	0.000609278	0.000198979	0.00190144	0.00654027	0.00218213	0.019495	0.0545723	0.103404	0.0375876	0.0184866	0.069374	0.0584651	0.174912	0.157196	0.156507	0.138475
</S>	0.000261797	1.38309e-05	0.000710622	0.000220259	0.000716235	0.00487162	0.00152661	0.00749879	0.0194188	0.0367294	0.0128928	0.133492	0.135029	0.0467446	0.303688	0.0764585	0.0128427	0.206884
