 	la	manière	dont	il	s'	est	plaint	s'	il	ne	mange	pas	dans	les	heures	qui	suivent	il	va	mourir	</S>
k	0.0270797	0.010226	0.0334003	0.0456643	0.0677521	0.205007	0.0626297	0.0403818	0.0256609	0.0410717	0.122325	0.0488874	0.0334081	0.0233404	0.0537032	0.0181339	0.0279653	0.0203404	0.00900654	0.0384971	0.0455194
a	0.00497609	0.00305926	0.00261918	0.0185028	0.0599489	0.416443	0.0652083	0.0970101	0.0504585	0.0618524	0.0585019	0.0299969	0.0159847	0.0179282	0.0067939	0.0101161	0.0078036	0.0128679	0.00640237	0.0137383	0.0397878
y	0.00198549	0.0028586	0.00590758	0.0261516	0.0613125	0.550179	0.0748601	0.0784892	0.0273057	0.0367223	0.0316706	0.0155832	0.00882105	0.0078829	0.0064084	0.00521113	0.00450245	0.00460424	0.0039193	0.00672408	0.0389005
i	0.0136018	0.0103649	0.0200479	0.054446	0.119276	0.23856	0.0508878	0.113878	0.0580174	0.0607655	0.0346462	0.050306	0.0336888	0.0200555	0.0202299	0.0314233	0.0196245	0.0152327	0.0116316	0.0028156	0.0204998
w	0.00156779	0.00629142	0.0746127	0.33251	0.17766	0.117562	0.0573202	0.0763227	0.0291694	0.0142873	0.0117185	0.0106013	0.00878132	0.00831866	0.0040669	0.00362867	0.00119833	0.0127496	0.00351846	0.00495885	0.043155
a	0.0119525	0.013056	0.0165849	0.239721	0.128527	0.0337819	0.00703157	0.0399806	0.0384756	0.0260126	0.00990724	0.0431549	0.0578399	0.0526232	0.00732107	0.0594673	0.108236	0.0486994	0.00912118	0.0088697	0.0396366
l	0.00135721	0.0029467	0.0161974	0.271458	0.223329	0.0500196	0.0785731	0.16708	0.0829997	0.0284067	0.00807012	0.0108229	0.0139676	0.0092991	0.00302668	0.0054342	0.00492679	0.00964463	0.00351788	0.00294023	0.00598281
a	0.00261707	0.00566615	0.00540588	0.0305956	0.106928	0.131843	0.0754273	0.11052	0.0480137	0.0503781	0.0316689	0.0450587	0.030711	0.0316896	0.0265796	0.041319	0.0165824	0.0248243	0.0167309	0.0115754	0.155865
n	0.00792316	0.00526984	0.00942969	0.127426	0.139107	0.043811	0.0771593	0.20453	0.156142	0.0598049	0.0244656	0.0240522	0.0281674	0.0171507	0.00961827	0.0130817	0.0140897	0.0164769	0.00600649	0.00450355	0.0117839
g	0.0029989	0.00595739	0.0967415	0.0450244	0.228042	0.0460142	0.18742	0.10678	0.0415243	0.0327119	0.0110556	0.027116	0.0376613	0.0123261	0.0200085	0.020725	0.0559771	0.0102198	0.00336827	0.00110384	0.00722427
á	0.000476862	0.00158807	0.0339168	0.0392347	0.126434	0.031469	0.137236	0.125005	0.0622084	0.0466933	0.0379342	0.0256653	0.0393953	0.00885538	0.037609	0.0224477	0.207148	0.00655398	0.00270286	0.00240812	0.00501725
w	0.000272823	0.00074185	0.00165888	0.0175306	0.0697265	0.0632966	0.0699411	0.237157	0.191723	0.132189	0.0511744	0.0365555	0.0280553	0.0230802	0.012187	0.017844	0.00818806	0.0155103	0.0108139	0.00394923	0.00840584
á	0.00283168	0.00722152	0.00465952	0.0415748	0.138472	0.0897068	0.0607152	0.197702	0.164534	0.0946904	0.0327342	0.0274397	0.0188718	0.0299031	0.00503236	0.0205439	0.0263071	0.0158029	0.00481463	0.00885123	0.00759105
á	0.00150418	0.00271173	0.00362409	0.0273095	0.0514251	0.0171048	0.0271028	0.0968083	0.209407	0.188232	0.114515	0.0684366	0.0456289	0.0397296	0.0184686	0.0172474	0.0243682	0.0181077	0.0132926	0.0086266	0.00634879
a	0.00117686	0.00223078	0.00409037	0.01408	0.0376878	0.0333545	0.0773616	0.0531156	0.0982278	0.207684	0.17306	0.108102	0.0642176	0.0398213	0.037211	0.0127312	0.0137385	0.00417055	0.0057409	0.00213639	0.0100615
d	0.000678774	0.000892245	0.00128969	0.00377457	0.0177388	0.0375139	0.0557021	0.035051	0.0562837	0.0979574	0.379512	0.0829507	0.0653394	0.0400923	0.0688269	0.0104025	0.0156157	0.00745029	0.0036415	0.0124443	0.00684261
í	0.000146499	0.000226546	0.000157743	0.00213639	0.0143107	0.0219682	0.0862781	0.0173077	0.0435498	0.0969738	0.390883	0.0914485	0.0679973	0.0234648	0.0931096	0.0137341	0.00171336	0.00762183	0.00212263	0.00307389	0.021776
o	0.000925312	0.00138482	0.000909202	0.00652571	0.0230758	0.0121913	0.0401081	0.0215897	0.0464775	0.122021	0.145448	0.186385	0.129467	0.0702953	0.102124	0.0449827	0.0067883	0.0137738	0.010784	0.00198401	0.0127581
d	0.000412535	0.000300586	0.000264359	0.00106276	0.00392757	0.0121846	0.0204842	0.00632467	0.0137767	0.0454969	0.286553	0.0983521	0.11302	0.0589163	0.202419	0.0445193	0.0631508	0.0042786	0.00527845	0.0137167	0.00556115
z	0.000306584	0.000173184	0.000274198	0.000476876	0.00588673	0.0217163	0.0622596	0.00547333	0.0120589	0.0721961	0.320736	0.152819	0.127639	0.0197752	0.144615	0.0227202	0.0047504	0.00268677	0.00397526	0.00366051	0.0158005
á	0.000575693	0.00062364	0.00168794	0.00881599	0.058144	0.0578698	0.174443	0.0275139	0.058031	0.0855541	0.264839	0.0701397	0.0464897	0.0185622	0.0779729	0.0223425	0.00978491	0.00445987	0.00619939	0.00147387	0.00447676
a	0.00231597	0.0010433	0.000792581	0.00376573	0.00626364	0.00289471	0.00790206	0.00974946	0.0212035	0.0392681	0.0642458	0.145788	0.164169	0.124963	0.146617	0.132739	0.0225953	0.0336415	0.0229089	0.00309152	0.0440415
k	0.000344227	0.000412321	0.000488284	0.00178585	0.00440945	0.00630682	0.0089834	0.00538151	0.00982303	0.0201694	0.0362135	0.0903325	0.159243	0.144696	0.225647	0.127001	0.0375421	0.0456503	0.0382952	0.00873974	0.0285346
á	3.09078e-05	7.56669e-05	1.99661e-05	0.000119051	0.000648494	0.00239537	0.00135214	0.00331529	0.004693	0.028019	0.0656478	0.162906	0.126249	0.10699	0.174509	0.126041	0.110331	0.015005	0.00735841	0.0221199	0.0421744
a	0.000113246	0.000434194	0.000335736	0.00307878	0.0047932	0.00618259	0.00404702	0.0173603	0.0219985	0.0393102	0.0918138	0.0897348	0.191452	0.114024	0.107936	0.0737219	0.0783252	0.0383799	0.00764954	0.0274285	0.0818815
l	9.11455e-05	0.000215607	0.000317214	0.000771434	0.0012379	0.000851913	0.00101854	0.00342761	0.008965	0.0133833	0.0121801	0.0646985	0.116742	0.147114	0.103939	0.245027	0.124452	0.0799452	0.0492935	0.00960052	0.0167291
á	0.000454588	0.000278375	8.91252e-05	0.000623927	0.0018893	0.00318144	0.00310959	0.00544994	0.006825	0.0140833	0.0379743	0.0747889	0.111153	0.0812641	0.167355	0.118265	0.112667	0.0587793	0.0171512	0.0293071	0.15531
a	0.00126318	0.00277673	0.00266365	0.00968785	0.00501543	0.0010028	0.00207605	0.00315956	0.00584295	0.00566733	0.00825595	0.0313169	0.0792968	0.049636	0.0949782	0.113973	0.0692103	0.20798	0.203478	0.0565639	0.0461558
w	0.000314351	0.000541611	0.000399583	0.0025473	0.00618145	0.00823809	0.0107017	0.00480811	0.00467972	0.00804762	0.0211453	0.02774	0.0582973	0.0411107	0.191122	0.0726539	0.0257642	0.127622	0.178855	0.143113	0.0661175
á	8.76932e-05	0.000359684	0.000131228	0.000946591	0.00164156	0.00277121	0.00203659	0.00328229	0.00403822	0.00911406	0.0270251	0.0431198	0.0651814	0.0478005	0.0985366	0.105489	0.0713228	0.0768715	0.101377	0.2682	0.0706669
a	0.000227434	0.000309723	0.000348668	0.00186279	0.00143892	0.00109558	0.00090081	0.00182837	0.00449889	0.0046838	0.0234177	0.0194543	0.0412138	0.0329548	0.0702271	0.0754688	0.0548736	0.127274	0.0925332	0.225917	0.21947
</S>	0.000573081	0.000293297	0.00037377	0.00214162	0.00274793	0.00233173	0.00252539	0.00271001	0.00484955	0.00433819	0.00486545	0.013593	0.0238615	0.0280254	0.0667492	0.0894246	0.0142428	0.183526	0.26468	0.0917062	0.196441
