 	jadis	on	éclairait	la	maison	avec	le	feu	d'	une	brindille	maais	aujourd'	hui	c'	est	avec	des	lampes	</S>
n	6.58141e-05	0.00299166	0.00745068	0.0404609	0.0218952	0.142072	0.185727	0.0549237	0.142972	0.137339	0.0866327	0.0534606	0.0300953	0.0126073	0.0188393	0.0116832	0.0168095	0.00845639	0.00210803	0.0234105
d	0.000412099	0.00957436	0.00610599	0.0241286	0.0172658	0.0629327	0.127626	0.0884907	0.120235	0.19859	0.194046	0.0534025	0.013885	0.00332951	0.00846005	0.00460455	0.00938271	0.00642379	0.00862313	0.0424821
z	0.000363049	0.00127123	0.00554038	0.0127931	0.0986591	0.0354794	0.126876	0.10361	0.0925396	0.187975	0.259419	0.0210685	0.00723452	0.00209817	0.00226825	0.001733	0.00339349	0.00192436	0.0170601	0.0186945
á	0.000393904	0.00145371	0.00371182	0.0166457	0.00919753	0.0452868	0.107526	0.0152988	0.0883216	0.190201	0.221168	0.0232774	0.0283243	0.00632743	0.0107686	0.0106318	0.0296664	0.00689205	0.0323039	0.152604
á	1.66224e-05	0.00184443	0.00186096	0.00870055	0.00273728	0.0483193	0.0628247	0.0672105	0.205328	0.13113	0.0473451	0.201489	0.0730451	0.0338025	0.0255157	0.0167701	0.0210796	0.00881529	0.000827849	0.0413373
p	0.000137792	0.00863242	0.00697978	0.0106432	0.00436141	0.0185075	0.0275692	0.0430568	0.208837	0.136523	0.0274642	0.200884	0.11383	0.0550841	0.0487613	0.0333204	0.0183512	0.0171453	0.00222326	0.0176882
á	7.5503e-05	0.00133922	0.00136526	0.00316958	0.00029896	0.00861593	0.0161032	0.00121879	0.078787	0.0599783	0.012641	0.0590119	0.138379	0.244003	0.127962	0.131015	0.0627616	0.0155291	0.00239684	0.035349
b	0.000112335	0.00221331	0.00197366	0.00130151	0.000279619	0.00407817	0.00784686	0.00777512	0.0579049	0.0156234	0.00624027	0.0807814	0.151528	0.435474	0.0945861	0.0580138	0.0169562	0.00846358	0.00365173	0.0451961
h	3.57102e-05	0.000195153	0.000244209	0.000402013	6.55273e-05	0.00376069	0.00374561	0.000392151	0.0513861	0.0124801	0.00387731	0.108953	0.229827	0.312358	0.0903467	0.0848185	0.0569312	0.00685165	0.00107332	0.032256
a	0.000129873	0.000526416	0.000834979	0.00137341	0.000168581	0.00771077	0.00942947	0.000926041	0.0474977	0.0212521	0.00675711	0.0971183	0.169217	0.462995	0.0555367	0.0463208	0.0275595	0.00637223	0.000535762	0.0377382
á	1.7612e-05	0.000663533	0.000522625	0.00193612	0.000337149	0.00560483	0.00871975	0.00203021	0.0594516	0.0862035	0.0168686	0.0542763	0.182729	0.107501	0.186251	0.110323	0.0719181	0.0815303	0.00207169	0.0210434
b	0.000203028	0.00282363	0.00228943	0.00527349	0.000735045	0.00910423	0.0128732	0.00968983	0.0730789	0.021199	0.00219051	0.0612786	0.101973	0.046428	0.161069	0.220705	0.114265	0.0823238	0.00677399	0.0657229
h	3.03134e-05	0.0016345	0.00169221	0.00198697	5.99014e-05	0.00355787	0.00661386	0.0012863	0.0558744	0.0235773	0.00434918	0.0946836	0.0723242	0.0414259	0.0517383	0.242026	0.243138	0.0652356	0.00732324	0.0814426
i	2.49245e-05	0.000705387	0.0010926	0.00128741	0.000258286	0.00523475	0.00477575	0.000863212	0.0659778	0.0227893	0.00707848	0.0705509	0.150925	0.14514	0.0828897	0.153726	0.131545	0.0432204	0.00312876	0.108786
á	3.76182e-06	0.000590525	0.000906218	0.00104605	0.000488225	0.0024212	0.00560668	0.00284613	0.0429398	0.0274954	0.00515422	0.0446253	0.157239	0.117928	0.139328	0.141751	0.107336	0.0922852	0.00849644	0.101512
m	0.000229436	0.00191776	0.00275635	0.00345197	0.00228934	0.00504235	0.00917241	0.00824773	0.0367444	0.0317682	0.00280136	0.0177334	0.0731045	0.0217548	0.0838058	0.127866	0.163349	0.267828	0.0661438	0.073994
ó	1.9006e-06	0.00102586	0.00120776	0.00135633	8.00829e-05	0.00185753	0.0147871	0.0282252	0.0308258	0.0365434	0.0525768	0.00798873	0.0217675	0.00342795	0.0193447	0.0786858	0.15838	0.155727	0.294367	0.0918237
m	1.42542e-05	0.00020682	0.000399161	0.00138382	0.000134368	0.00218179	0.0175094	0.00315916	0.035402	0.0653889	0.0110471	0.00907217	0.0141695	0.00187378	0.0244287	0.150921	0.275786	0.251157	0.0864646	0.0493007
ú	2.6949e-06	9.38092e-05	0.000110607	0.000272629	2.60784e-05	0.000373762	0.00463108	0.00768591	0.00344234	0.0229975	0.0650787	0.000436551	0.00106711	0.000325048	0.00155111	0.00720448	0.0118179	0.0206693	0.846895	0.00531845
n	4.71159e-06	9.72709e-05	9.90339e-05	0.000365204	1.81725e-05	0.00136752	0.0189862	0.00895759	0.0139949	0.0951807	0.0586371	0.00434812	0.0133055	0.00549103	0.0182982	0.0647786	0.097398	0.192922	0.369008	0.0367426
d	3.79632e-06	3.11071e-05	0.00014686	0.000397376	0.000161707	0.000652922	0.0124313	0.000679976	0.0344728	0.154536	0.0357129	0.00445922	0.0472517	0.00659352	0.0299726	0.0977543	0.171189	0.0784349	0.122485	0.202633
a	2.52117e-06	6.01536e-05	0.000278679	0.000744927	0.00140811	0.00141549	0.0133205	0.00151763	0.0186311	0.158728	0.0785885	0.000783793	0.0187741	0.00121999	0.00936539	0.0269311	0.176359	0.191814	0.250744	0.0493129
</S>	4.43657e-06	0.000255886	0.00020624	0.000774947	0.000314909	0.00215162	0.00342863	0.00128467	0.0141802	0.019448	0.00462871	0.00824596	0.0293423	0.00614666	0.0260065	0.0377078	0.202527	0.190959	0.0444352	0.407951
