 	la	manière	dont	il	a	blessé	mon	fils	relève	d'	une	tentative	de	meurtre	</S>
m	0.000467564	0.00232713	0.0169143	0.0767618	0.0369543	0.00980401	0.245478	0.13526	0.136209	0.20446	0.0718745	0.031044	0.0192347	0.00171447	0.011495
w	0.000921137	0.000621288	0.00110054	0.0242542	0.0322208	0.0054367	0.0553784	0.499332	0.18204	0.102742	0.0366029	0.0270037	0.0132004	0.00053842	0.0186085
á	0.000151256	0.000127804	0.000277113	0.00534778	0.00523242	0.0019022	0.00699933	0.641148	0.264451	0.024646	0.0149773	0.0215248	0.00713161	0.00246979	0.00361381
n	0.000105216	0.000932293	0.000361481	0.0151979	0.00570478	0.000186534	0.0717041	0.571775	0.273407	0.0205153	0.0061624	0.0089294	0.0193115	0.000894094	0.00481312
a	0.000548165	0.000380013	0.000614124	0.0181724	0.00914557	0.000503977	0.0829558	0.609845	0.183297	0.0396273	0.0115378	0.00501627	0.0214974	0.00200739	0.0148522
á	0.00101106	0.00145084	0.00880384	0.0217244	0.0156069	0.00301048	0.088517	0.0224805	0.163662	0.462407	0.14339	0.0333468	0.0225914	0.00249682	0.00950024
p	0.00161008	0.000762924	0.00840637	0.00751919	0.0246163	0.0136381	0.00967248	0.00417634	0.0203233	0.485688	0.319268	0.0644398	0.00887821	0.00452551	0.0264761
f	0.000208044	0.000176341	0.00102555	0.0012416	0.00470694	0.0110876	0.00142164	0.00103596	0.0154055	0.261424	0.407651	0.187855	0.0135106	0.00516001	0.0880904
u	0.000558026	0.000502518	0.00164144	0.00427252	0.012691	0.0146762	0.00572096	0.00217665	0.0148025	0.240263	0.392697	0.207216	0.0119863	0.00632714	0.0844694
r	0.000348358	0.000822902	0.000928113	0.00823544	0.00675664	0.00349012	0.0335962	0.007494	0.0629532	0.153512	0.262928	0.215153	0.0719608	0.0254336	0.146387
u	0.00240641	7.66162e-05	0.000345197	0.000719501	0.00113806	0.000433941	0.0100166	0.00100231	0.016434	0.21391	0.397371	0.132322	0.141576	0.0344619	0.0477857
o	0.00021342	0.000585734	0.00356632	0.00589691	0.00147833	0.00030655	0.0457416	0.00635029	0.038803	0.131995	0.153776	0.0872786	0.317908	0.0768426	0.129257
b	0.000429705	0.00019432	0.000852288	0.0020059	0.00579392	0.0041562	0.002148	0.000809665	0.0068976	0.0668703	0.275597	0.372728	0.056909	0.040571	0.164036
o	6.54094e-05	3.35734e-05	0.000182279	0.00115923	0.001742	0.00612795	0.000725949	0.00126013	0.0131071	0.0211108	0.0704096	0.853689	0.00643907	0.000328545	0.0236192
m	7.09273e-05	1.81766e-05	8.33515e-05	0.000176352	0.00201377	0.0269652	0.000477269	0.000303261	0.00879235	0.0253019	0.102014	0.706595	0.00557834	0.000612956	0.120997
a	0.00417605	0.000543374	0.000988844	0.00105758	0.00128969	0.00180862	0.00562003	0.000772666	0.0190853	0.0699521	0.149182	0.5304	0.102987	0.00949043	0.102647
</S>	0.000540855	0.000108549	0.000384119	0.000533406	0.000831007	0.00118217	0.00182187	0.000562776	0.00275446	0.0332811	0.0644705	0.108613	0.120793	0.0340035	0.630119
