 	ce	petit	enfant	n'	a	pas	pu	bien	nettoyer	son	habit	voilà	pourquoi	il	est	gâté	</S>
á	0.00215346	0.000540614	0.000188865	0.00395795	0.00555157	0.019357	0.0447175	0.0206539	0.0402282	0.122889	0.430198	0.158101	0.0361967	0.0144989	0.00207598	0.00706058	0.0916309
d	0.00540281	0.00334217	0.00133966	0.00465236	0.00636308	0.00620503	0.0081907	0.0313053	0.0112324	0.118558	0.0376952	0.164902	0.274807	0.199255	0.0817377	0.00936195	0.0356498
í	0.00178244	0.000867858	0.000250255	0.00460987	0.00253015	0.00253845	0.00422202	0.00217682	0.0049493	0.0557306	0.0441286	0.26848	0.260707	0.137629	0.0195713	0.0127278	0.177098
a	0.00138808	0.000834221	9.06621e-05	0.00100953	0.00188786	0.00234175	0.00119075	0.0056774	0.00829112	0.0785721	0.00651895	0.0840357	0.302117	0.257046	0.194017	0.00701175	0.0479711
b	0.00127201	0.000305158	3.90112e-05	0.00342296	0.00698628	0.00381768	0.0036546	0.0148121	0.0151948	0.0229511	0.0081809	0.0483114	0.112504	0.217985	0.411036	0.0232846	0.106242
v	0.00109797	0.00121927	0.000339547	0.00374534	0.00550049	0.0173809	0.0123498	0.0191053	0.0133117	0.0460822	0.0175052	0.0657947	0.163622	0.103481	0.2039	0.170757	0.154808
ú	0.00131117	0.000520407	0.000321257	0.00192568	0.00405514	0.0107275	0.0120014	0.0175993	0.00930439	0.0421958	0.0247426	0.0826958	0.344585	0.132806	0.144842	0.0542902	0.116076
u	0.00522036	0.000639498	0.000107104	0.000969248	0.00189779	0.015864	0.00917288	0.0199966	0.0768521	0.181279	0.0410683	0.0823241	0.183088	0.0712726	0.0861442	0.0723045	0.1518
m	0.00112182	0.000371996	0.000226147	0.0013763	0.00196073	0.00247118	0.00176861	0.00867486	0.00446871	0.0155953	0.0105388	0.0427582	0.0802523	0.243875	0.295466	0.0573058	0.231769
ú	0.00479891	0.00133462	0.00126097	0.00199993	0.000920673	0.000520923	0.000678789	0.00376899	0.00284845	0.0135633	0.00752101	0.0133561	0.0235117	0.0477102	0.0861952	0.643498	0.146512
a	0.000125785	3.23044e-05	9.44868e-05	0.000325576	0.000591529	0.000748541	0.000902777	0.00632103	0.0104307	0.0269023	0.0135011	0.0206079	0.0309055	0.0579808	0.387795	0.162309	0.280426
ó	0.00158011	0.000795071	2.31646e-05	0.00109972	0.00227031	0.00146416	0.00184625	0.00633017	0.00304554	0.0115785	0.00231711	0.0148623	0.0501987	0.119439	0.459568	0.0622546	0.261327
m	0.00127152	0.000306206	3.34417e-05	0.00323047	0.00644537	0.00361624	0.00341759	0.00895334	0.0254521	0.0217637	0.00273704	0.00680952	0.016692	0.0353237	0.739022	0.0786555	0.0462705
i	0.00208378	0.000269177	0.000378979	0.0047999	0.00416157	0.00188417	0.00252422	0.00549912	0.0106614	0.0227543	0.00375914	0.00750616	0.0213903	0.025701	0.318163	0.460957	0.107507
t	0.000476454	0.000108077	2.24862e-05	0.000826567	0.00119313	0.00167783	0.00206406	0.00642351	0.0151033	0.00987162	0.00533758	0.00585744	0.00680975	0.0086415	0.159335	0.631161	0.14509
ú	8.55259e-05	2.99441e-05	8.59667e-05	0.000861407	0.000889304	0.00244777	0.00185206	0.000882423	0.0186234	0.00614971	0.0077651	0.0177932	0.00869373	0.0149566	0.029858	0.741647	0.147379
n	0.00152633	0.000626102	0.00020035	0.000282349	0.000282601	0.00146378	0.00110149	0.000662683	0.0373296	0.021803	0.00377192	0.00936747	0.010241	0.0222099	0.0287392	0.431231	0.429161
g	0.00198025	0.000467727	5.90311e-05	0.000378424	0.000608006	0.00432199	0.00307364	0.00290786	0.0101117	0.040356	0.0283916	0.0227983	0.0353288	0.0354442	0.0274583	0.635311	0.151003
a	0.000175989	0.00020284	9.95485e-05	0.000545189	0.00083366	0.00519273	0.00380114	0.00650405	0.00169951	0.0403744	0.0301773	0.0714186	0.43911	0.131196	0.0211949	0.0799493	0.167525
</S>	0.000996496	0.00163484	0.000237939	0.0010646	0.00147218	0.00152283	0.00193244	0.00417766	0.00119153	0.00819774	0.0023026	0.00977974	0.0524804	0.0662217	0.154029	0.0775876	0.615171
