 	son	ami	l'	a	frappé	mais	sa	riposte	était	trop	fougueuse	</S>
á	0.0040232	7.43121e-05	0.00759408	0.00527244	0.00130092	0.0269547	0.0642409	0.0115317	0.470962	0.236116	0.12936	0.0425699
w	0.000421838	4.65772e-05	0.00318917	0.00306039	0.00124389	0.022011	0.052664	0.0247689	0.278379	0.419556	0.0822941	0.112366
a	0.00144529	2.77277e-05	0.00297121	0.00671599	0.0105578	0.00782197	0.043546	0.0299359	0.148158	0.435638	0.245394	0.0677874
é	0.000104135	4.22829e-06	0.000539748	0.000926036	0.0023437	0.00229476	0.0137078	0.0162142	0.100403	0.536986	0.220398	0.106079
p	0.000375639	6.97129e-05	0.00813071	0.00985674	0.0280656	0.00545323	0.019837	0.0170394	0.0600176	0.445229	0.218216	0.187709
é	3.15717e-06	1.13942e-05	0.00043392	0.000539455	0.00219226	0.000523933	0.00409899	0.00411793	0.0140534	0.0867778	0.821209	0.0660384
n	0.000105829	1.41255e-05	0.000360893	0.000421221	0.00173818	0.000337679	0.00305047	0.00658028	0.0118863	0.0575306	0.803856	0.114119
d	0.000608639	5.40494e-05	0.00187176	0.00216598	0.00387998	0.00414921	0.0110342	0.0188916	0.0604562	0.237326	0.47003	0.189532
i	0.00068502	4.40907e-05	0.00455134	0.0034516	0.00310525	0.0105939	0.0596019	0.037825	0.0852254	0.375944	0.26176	0.157213
l	0.00158997	3.55513e-06	0.00247559	0.00313418	0.00340188	0.00587299	0.0155549	0.0107292	0.0258401	0.269498	0.11534	0.546559
e	0.000477896	1.53348e-05	0.00098698	0.00178165	0.00410601	0.00557294	0.00966757	0.00801426	0.0481272	0.214259	0.112421	0.59457
k	0.000136427	4.44272e-05	0.00122652	0.00150955	0.00259689	0.00639877	0.0175516	0.0130982	0.0258829	0.244952	0.0756261	0.610976
á	2.0027e-05	9.25213e-05	0.000468055	0.000626523	0.00950414	0.00062871	0.00700989	0.0295637	0.014837	0.0814878	0.717023	0.138739
b	4.1431e-05	6.29464e-05	0.000340341	0.00074547	0.00553311	0.000493326	0.00583965	0.0226714	0.0254107	0.0674429	0.653067	0.218352
h	0.000254729	9.45382e-05	0.000416149	0.000787673	0.0181864	0.000600324	0.00553967	0.0281805	0.00952573	0.152827	0.154331	0.629256
á	0.00120617	7.45524e-05	0.00170611	0.0026984	0.0188641	0.00259153	0.0281798	0.0336144	0.0187155	0.111647	0.477283	0.303419
á	0.00632672	1.24544e-05	0.00265817	0.00619855	0.00897466	0.0161875	0.0231703	0.00789049	0.0295904	0.196261	0.135497	0.567233
</S>	0.0024683	0.000252653	0.00964422	0.0158688	0.0486307	0.0242426	0.0438845	0.0376571	0.126673	0.198141	0.0540884	0.438448
