 	okomba	a	a	quitté	l'	école	pour	la	campagne	où	il	vit	misérablement	</S>
h	0.000386403	0.00466679	0.00465322	0.00125274	0.00899631	0.0031747	0.0185795	0.0945228	0.244228	0.102419	0.128426	0.297906	0.0150243	0.0757646
í	0.000209111	0.000174561	0.000446989	0.000376302	0.00511762	0.011185	0.0260008	0.122278	0.444209	0.107757	0.0735454	0.125007	0.0215896	0.0621037
b	2.75833e-05	0.000172293	0.000446513	0.000213718	0.00219045	0.00415017	0.0235661	0.078697	0.205969	0.189932	0.214158	0.195638	0.0322637	0.0525753
v	0.000101448	0.00122798	0.000881152	0.000517538	0.00335773	0.00458275	0.0272622	0.0955928	0.276657	0.162048	0.183688	0.13254	0.0182827	0.0932607
a	0.000272994	0.000175578	0.00033923	0.000343663	0.00589105	0.00625569	0.0282612	0.117553	0.245424	0.139302	0.177492	0.132977	0.0354245	0.110288
n	5.39301e-05	0.000148566	0.000176103	0.00010784	0.00132849	0.00236205	0.0137327	0.0466417	0.146976	0.111625	0.206577	0.0893088	0.17006	0.210902
d	0.0013176	0.00150221	0.00459844	0.0025058	0.0177922	0.0446205	0.0353239	0.0546451	0.0265722	0.0834187	0.0861963	0.0721275	0.40224	0.16714
z	0.000822868	0.000161924	0.000745212	0.000557055	0.00331321	0.00818962	0.00838054	0.0120764	0.00378943	0.0397929	0.0576561	0.0480718	0.524279	0.292164
á	9.84674e-05	1.707e-05	7.35356e-05	0.000146924	0.00142652	0.00479137	0.00530677	0.0153808	0.00744823	0.0201998	0.0250968	0.00484547	0.79606	0.119109
á	1.72253e-05	1.32616e-05	8.32778e-05	8.98433e-05	0.00168114	0.00488691	0.00773246	0.0146282	0.0108735	0.0249742	0.0367037	0.0165744	0.346227	0.535515
b	0.000114502	0.00174892	0.00826612	0.00342065	0.00901398	0.00470118	0.0230275	0.0218787	0.0159468	0.0476649	0.19417	0.255583	0.0977777	0.316686
v	0.000467129	0.00523572	0.00462845	0.00115446	0.00874136	0.00172196	0.0193357	0.0571615	0.193819	0.0656339	0.191463	0.35948	0.0132697	0.0778874
a	0.0016636	0.00104945	0.00190407	0.000612137	0.00561184	0.00233696	0.0127646	0.0459909	0.16897	0.0593752	0.115974	0.374707	0.0293825	0.179657
n	4.01118e-05	0.00010239	0.000137215	8.2193e-05	0.000437362	0.0013402	0.00170079	0.00620805	0.018986	0.0353121	0.0713279	0.099328	0.13669	0.628308
d	0.000192909	0.00063125	0.00363439	0.00223464	0.0112247	0.0210476	0.0135593	0.025374	0.0108602	0.0295195	0.0530578	0.0825995	0.328711	0.417353
z	0.000197934	7.4095e-05	0.000551627	0.000679557	0.00224928	0.00743048	0.00387596	0.00532675	0.00163958	0.0108659	0.0157537	0.0196913	0.599903	0.33176
á	3.43027e-05	8.84782e-06	2.96102e-05	5.2066e-05	0.00059641	0.00283837	0.00164459	0.00415374	0.00196767	0.00587787	0.00950919	0.00282322	0.835573	0.134891
á	5.50107e-05	2.03982e-05	7.37722e-05	7.97323e-05	0.00108578	0.00408292	0.00378635	0.00581945	0.00815782	0.0102126	0.014391	0.0124461	0.349675	0.590114
ó	0.000278048	0.00338249	0.0126534	0.00450973	0.0100396	0.00629485	0.0489924	0.0396258	0.0278073	0.0640762	0.169955	0.182953	0.0378063	0.391626
p	0.0120607	0.0100073	0.027373	0.0263206	0.0934284	0.0672367	0.0444156	0.0514323	0.0314301	0.0501066	0.0381315	0.295415	0.0309748	0.221667
o	0.00503404	0.0012659	0.00329269	0.00760059	0.00931878	0.0450262	0.0195088	0.0519425	0.0640148	0.0403463	0.0309531	0.210679	0.293131	0.217886
o	0.000666779	0.000212501	0.00107544	0.00212105	0.00530983	0.034391	0.00525852	0.0120047	0.0233879	0.025515	0.0173124	0.0472182	0.337371	0.488156
</S>	5.46796e-05	0.000633394	0.00250205	0.00190462	0.0193281	0.014369	0.0246492	0.0359855	0.0374382	0.0604321	0.089107	0.16976	0.0265205	0.517316
