 	quand	un	mouton	donne	des	coups	de	cornes	aux	gens	dans	le	village	il	faut	le	tuer	</S>
n	0.00281543	0.00253127	0.000831098	0.00334793	0.0363342	0.00980108	0.0486015	0.0498746	0.0923049	0.0408058	0.277295	0.208677	0.0465756	0.0847352	0.0313701	0.0433455	0.0051942	0.01556
d	0.00241024	0.00653594	0.00700763	0.00285975	0.0383649	0.0123472	0.0897777	0.188024	0.187815	0.0142382	0.159836	0.139977	0.0122597	0.0385238	0.0155386	0.0160286	0.000537083	0.0679182
z	0.00052432	0.00164271	0.00329348	0.00184134	0.0541735	0.0100753	0.0907461	0.159817	0.274909	0.00415165	0.214354	0.105561	0.00709005	0.0125282	0.00619293	0.0102558	0.000106722	0.0427366
á	0.00170708	0.00816524	0.0385311	0.00195621	0.040457	0.0142341	0.101042	0.0937435	0.232084	0.00402167	0.145873	0.0816411	0.0410397	0.0367605	0.0288817	0.0164079	0.00181607	0.111639
s	0.000800861	0.000764725	0.000377416	0.00256531	0.00373826	0.00130366	0.00857508	0.00379413	0.0288868	0.02037	0.183656	0.239427	0.0465796	0.29154	0.0605011	0.0530959	0.00303981	0.0509849
á	0.00384614	0.00707003	0.00388011	0.00699529	0.0316709	0.0182188	0.0314283	0.0419209	0.102989	0.0070121	0.322566	0.0806799	0.0895401	0.0681914	0.130725	0.0239921	0.00442013	0.0248533
p	0.00289293	0.00738072	0.000783787	0.00161778	0.008482	0.00235548	0.00819236	0.00596337	0.0147307	0.00589862	0.0544035	0.0470969	0.318188	0.23093	0.235328	0.047805	0.0015913	0.00636023
o	2.50533e-05	2.71191e-05	3.69311e-05	0.000278371	0.000358388	0.000394678	0.000253508	0.00010421	0.000549042	0.000800365	0.00584366	0.00335082	0.901895	0.0186801	0.0602438	0.00244892	0.00320907	0.00150143
o	9.96381e-05	9.83927e-05	0.000132029	0.000423144	0.000779601	0.000477679	0.000643942	0.000298834	0.00129183	0.000813141	0.010323	0.0106895	0.800861	0.0417861	0.108786	0.0120878	0.00637729	0.00403145
k	0.000285077	0.000238762	3.91562e-05	0.00105014	0.00184323	0.000583686	0.00156729	0.000300716	0.00115776	0.000428783	0.0277022	0.0879079	0.0100591	0.220338	0.169663	0.287064	0.00204885	0.187722
á	0.000261722	0.000566992	0.000983278	0.00188095	0.00556712	0.00296219	0.00374167	0.000452398	0.00216835	0.00121777	0.026047	0.0636564	0.133717	0.167643	0.407272	0.0799753	0.0168747	0.0850122
a	0.000402708	0.00037967	0.000119632	0.00257642	0.00185978	0.00139016	0.00124893	0.000328992	0.00353976	0.0141508	0.0291221	0.0212163	0.124697	0.199247	0.379045	0.0324141	0.0201404	0.168121
l	0.000159175	0.000131871	0.000146969	0.0022969	0.00160808	0.000671871	0.00171477	0.000410922	0.00307668	0.00171295	0.0211735	0.0341649	0.00951625	0.174464	0.188651	0.244228	0.0143753	0.301497
é	0.000956794	0.00208006	0.000985528	0.00392885	0.0175581	0.00728035	0.0147861	0.00446328	0.0158575	0.00145344	0.0597025	0.048286	0.00570755	0.0708924	0.275257	0.196962	0.00608618	0.267756
e	0.000639272	0.00121733	0.000110276	0.000953202	0.0043905	0.000918731	0.00558994	0.00144482	0.00654954	0.00255333	0.0293007	0.0548995	0.00973923	0.137619	0.112066	0.28592	0.00306049	0.343028
b	0.00126779	0.000807387	0.002499	0.00435381	0.012313	0.00773595	0.00765621	0.00367843	0.00614746	0.00172205	0.0282836	0.0298186	0.0168439	0.0159124	0.138073	0.294376	0.242217	0.186295
o	8.99191e-05	0.000139205	0.00103158	0.000937969	0.00323704	0.00997044	0.00210872	0.0107215	0.00403257	0.0143219	0.0123454	0.022201	0.00218194	0.00564634	0.0296278	0.0778386	0.789156	0.014412
m	8.66182e-05	7.46415e-05	0.000623898	0.000268662	0.00172199	0.00271844	0.00146964	0.00318487	0.00176919	0.00201161	0.0186502	0.0202442	0.130926	0.0184013	0.162081	0.0876657	0.428852	0.119249
á	0.000366429	0.000870086	0.0015609	0.000878879	0.00408046	0.00176322	0.00494936	0.000868168	0.00166089	0.000383112	0.0201796	0.0436499	0.0680331	0.0412842	0.144266	0.253509	0.251881	0.159815
y	0.00051123	0.000698103	0.000130239	0.00263415	0.00357348	0.00145935	0.00375693	0.00287191	0.00677556	0.00657449	0.0212676	0.0427688	0.027531	0.125919	0.119146	0.233814	0.046652	0.353916
í	0.000524907	0.000699761	0.000839435	0.00323206	0.0105434	0.00318692	0.00734658	0.00216328	0.00913722	0.000532457	0.0384192	0.0357276	0.012326	0.0578206	0.188929	0.230556	0.0115225	0.386493
a	0.00063471	0.00121732	0.000177038	0.000463047	0.00521722	0.00136945	0.00516047	0.00346363	0.00734172	0.00246667	0.0211139	0.035833	0.0182469	0.0996265	0.129373	0.172586	0.00499685	0.490712
</S>	0.000517974	0.000376982	0.000121576	0.00134657	0.00269111	0.000996557	0.00239611	0.00138254	0.00344425	0.001435	0.0161124	0.0231113	0.00346556	0.0312762	0.062582	0.155656	0.0288164	0.664272
