 	cette	femme	qui	arrive	est	veuve	son	mari	est	mort	du	sida	</S>
o	0.00228446	0.000120008	0.00628993	0.0126477	0.0525566	0.101649	0.143603	0.0543652	0.314459	0.124022	0.0652781	0.047406	0.0753196
l	0.000604284	0.000143138	0.00165663	0.0119812	0.0262956	0.036859	0.0303196	0.0721313	0.258015	0.382237	0.0932754	0.0543447	0.0321373
ó	0.000576045	0.000728917	0.00558389	0.0137003	0.0341693	0.0896235	0.0668977	0.156446	0.129564	0.287786	0.0526547	0.0857523	0.0765174
m	0.000300449	0.000129208	0.00158855	0.0040925	0.0226544	0.0460807	0.0382472	0.437616	0.072488	0.148446	0.0698127	0.0785154	0.0800284
i	0.000664531	9.20646e-05	0.00125442	0.00682975	0.0533797	0.0741732	0.0253465	0.0885164	0.0867977	0.302483	0.127388	0.0754283	0.157646
á	0.0053514	0.000104147	0.00534457	0.013169	0.0441628	0.0632848	0.11107	0.0294642	0.194458	0.168023	0.167203	0.0408391	0.157526
w	0.005001	0.000436887	0.00341603	0.0108479	0.0138796	0.0113956	0.021814	0.00645578	0.0906901	0.106478	0.332487	0.293827	0.103272
á	0.000618568	0.000109949	0.00204619	0.00718757	0.0147307	0.0199696	0.037495	0.0150213	0.133651	0.330859	0.211601	0.100399	0.126311
m	0.00105988	1.43558e-05	0.00070434	0.0019169	0.00842196	0.0155329	0.0365415	0.00567951	0.101042	0.118395	0.11412	0.233155	0.363416
ó	0.00521569	0.0017607	0.00818829	0.00442837	0.0179887	0.0599343	0.0736587	0.0240423	0.217932	0.123271	0.143689	0.246372	0.0735187
s	0.00402298	0.000308767	0.0035661	0.00578234	0.0137777	0.0183216	0.0542543	0.0125687	0.140364	0.0870518	0.201533	0.183703	0.274745
i	0.000641	0.000537906	0.000910755	0.000644087	0.00292655	0.012448	0.00829228	0.0098686	0.0283839	0.0275041	0.0979521	0.761732	0.0481584
d	0.00127379	0.000163793	0.0017597	0.000402155	0.00723306	0.013258	0.0331196	0.00547221	0.0679776	0.0250013	0.20664	0.451736	0.185963
á	0.000130791	0.000273088	7.9615e-05	3.10168e-05	0.000394929	0.00709933	0.00173356	0.00141861	0.00605261	0.00524051	0.0137658	0.912662	0.0511179
</S>	0.00260163	0.000168478	0.00193793	0.00130069	0.00305767	0.00241727	0.0125512	0.00360939	0.0252366	0.0430703	0.215788	0.160116	0.528145
