 	ce	qui	fait	le	rythme	dans	la	danse	ikango	c'	est	le	son	doux	et	lourd	produit	en	battant	les	mains	</S>
é	0.0172284	0.0219261	0.0413775	0.132586	0.162112	0.235224	0.0882073	0.0267912	0.0247974	0.00830772	0.0111349	0.0284553	0.0253239	0.0360274	0.00961538	0.0147806	0.00412255	0.00364128	0.00143512	0.00282446	0.0018341	0.102248
á	0.00769049	0.00268452	0.021299	0.0834141	0.253571	0.279702	0.111785	0.0724753	0.0118991	0.00389404	0.00698364	0.0158272	0.00914138	0.0581181	0.0103125	0.00462684	0.0045904	0.00144804	0.000775857	0.000344523	0.00052581	0.0388903
m	0.00636995	0.00227816	0.0147043	0.031937	0.00728206	0.0630948	0.217381	0.250491	0.0977501	0.0634551	0.0516033	0.0409851	0.0289803	0.0325065	0.0165701	0.0193673	0.00858996	0.0133042	0.0107276	0.009823	0.00251769	0.0102817
á	0.035478	0.00315608	0.00797429	0.0178907	0.00599589	0.0061437	0.0314394	0.0668096	0.444797	0.128322	0.0477907	0.029775	0.0314755	0.0172359	0.00263995	0.011733	0.00901647	0.0671151	0.00411269	0.00639428	0.00387714	0.0208271
b	0.0133278	0.00267986	0.00669805	0.0111081	0.0097971	0.00976474	0.026193	0.103872	0.0616164	0.0479256	0.0318712	0.0974235	0.086407	0.134548	0.15284	0.0943304	0.0310904	0.0268079	0.0124651	0.0182243	0.0130192	0.00799027
v	0.00519242	0.00224441	0.00212036	0.00293814	0.00502263	0.0059536	0.0138166	0.0557977	0.023447	0.0231447	0.0117683	0.0214611	0.0167052	0.102214	0.239361	0.324356	0.0620908	0.0343015	0.0190751	0.00667208	0.0208322	0.00148443
ú	0.000250167	2.362e-05	0.000471273	0.00137513	0.00073232	0.00183297	0.00404645	0.0317408	0.009718	0.0166744	0.0204709	0.0249039	0.0120447	0.034938	0.0684179	0.658823	0.0281717	0.0241025	0.0418527	0.00869294	0.00957526	0.00114117
l	0.00238501	0.00034982	0.000567205	0.00157033	0.00312845	0.0149998	0.0402915	0.043536	0.0453612	0.0570093	0.0505396	0.0813928	0.066216	0.207457	0.161113	0.176224	0.029728	0.00520344	0.00862583	0.00091548	0.00202934	0.00135663
a	0.00329917	0.000869677	0.0026022	0.00368152	0.00488079	0.0154143	0.0788128	0.222206	0.084123	0.0400288	0.0363263	0.0784555	0.0996416	0.14697	0.0685823	0.0494634	0.0268581	0.0170738	0.00718494	0.00243128	0.0010241	0.0100708
b	0.00216597	0.000425013	0.00466743	0.00399888	0.00129643	0.00402053	0.0188197	0.074501	0.0881469	0.0784967	0.0914855	0.0838406	0.119246	0.092807	0.0387458	0.0347315	0.0988246	0.0401071	0.0697921	0.023067	0.00519616	0.0256183
v	0.00617368	0.00211715	0.00442844	0.00564152	0.0033305	0.00800281	0.0078793	0.0108279	0.00598	0.0159071	0.0159237	0.0329703	0.0862517	0.0788535	0.117461	0.104806	0.0892076	0.140898	0.153366	0.0546002	0.0358439	0.0195298
ú	0.00252138	0.000150779	0.000643932	0.0018546	0.00260126	0.00428713	0.00479404	0.0151247	0.00332635	0.013197	0.0300027	0.101315	0.100479	0.110878	0.141682	0.183603	0.0710023	0.0553667	0.105518	0.0201034	0.0160109	0.0155386
</S>	0.000479551	0.000128185	0.000576623	0.00104757	0.000710125	0.00175756	0.00649046	0.0125096	0.0229211	0.0392928	0.0656354	0.1218	0.160478	0.180529	0.0605796	0.0937816	0.112694	0.0431211	0.0498523	0.00817461	0.00492888	0.0125113
