 	il	est	arrivé	trois	jours	après	le	départ	de	son	père	</S>
e	0.00125267	0.00111659	0.00630764	0.215441	0.011828	0.622416	0.0889002	0.0093304	0.0100928	0.0206602	0.00627251	0.00638153
ω	0.00204131	0.00232202	0.0077924	0.0449289	0.0589845	0.582761	0.237333	0.00859763	0.0261357	0.0107912	0.00515037	0.0131624
n	0.00133988	0.00320797	0.0102341	0.0470465	0.139975	0.320025	0.250902	0.105569	0.0984039	0.0159441	0.00288772	0.00446507
g	0.00609674	0.00503175	0.00903666	0.0539036	0.018644	0.687088	0.120096	0.00662112	0.032617	0.02425	0.00415876	0.032456
ω	0.000176776	0.000355661	0.00165312	0.0119438	0.02228	0.845113	0.0736908	0.0103399	0.0194325	0.00433626	0.0026451	0.00803352
n	0.000140231	0.000468901	0.00160563	0.0314987	0.0449321	0.698398	0.141396	0.00403865	0.0341124	0.0129734	0.00265597	0.0277797
g	0.000875207	0.00186132	0.00544495	0.021639	0.0775674	0.478988	0.191266	0.0108518	0.060664	0.0312629	0.0130645	0.106515
ω	0.000471524	0.000218163	0.00105857	0.018257	0.0249396	0.747109	0.12039	0.00987591	0.0193124	0.0146955	0.00696496	0.0367077
m	0.00461198	0.00286011	0.00726022	0.042058	0.0325201	0.138669	0.34929	0.100751	0.154567	0.129849	0.0185166	0.0190479
á	0.0199455	0.00704373	0.0068831	0.0428283	0.011748	0.0304952	0.177162	0.169466	0.104307	0.224594	0.0216679	0.183859
o	0.00408913	0.00757486	0.0145826	0.0390986	0.0199183	0.0610109	0.152084	0.0782607	0.164817	0.145706	0.272065	0.0407924
b	0.000478912	0.0161997	0.0351323	0.0268351	0.0203574	0.014882	0.0226997	0.0619401	0.449414	0.110437	0.193291	0.0483328
h	0.000236156	0.00525336	0.033016	0.0216564	0.0471118	0.0105861	0.0323564	0.288025	0.364789	0.121111	0.0404954	0.0353632
é	4.50953e-05	0.00179278	0.0156345	0.0200568	0.0168953	0.00778598	0.0142838	0.367568	0.373304	0.083261	0.014065	0.085308
m	0.000111376	0.000836549	0.00261891	0.0256226	0.00430163	0.00535925	0.0151315	0.11459	0.322434	0.112932	0.0168594	0.379203
b	0.000622975	0.00133514	0.00346954	0.0140499	0.00411758	0.016064	0.0713143	0.0719567	0.318668	0.312988	0.0792353	0.106178
á	0.00137552	0.000669755	0.00254656	0.0437763	0.00717116	0.0302469	0.107488	0.0430931	0.30264	0.205515	0.030566	0.224913
m	0.00131873	0.000594501	0.00208437	0.00775185	0.00215473	0.0135039	0.0406715	0.0159073	0.102693	0.426882	0.250796	0.135642
á	0.00514123	0.00343388	0.00499107	0.0106346	0.00249018	0.00760014	0.0355006	0.0343301	0.0970687	0.376052	0.138119	0.284638
t	0.00242098	0.00120405	0.00317241	0.019145	0.00175322	0.00897097	0.0229525	0.00886972	0.0454733	0.258871	0.493371	0.133795
á	0.000221298	0.000592834	0.00268134	0.00335916	0.00357594	0.0037027	0.00778948	0.0116984	0.0509849	0.0614294	0.776859	0.0771053
á	0.000346829	0.00185966	0.00395242	0.00388693	0.000455458	0.00113788	0.00253424	0.00850226	0.0180317	0.08544	0.770307	0.103546
y	0.00332434	0.0023957	0.00704241	0.018188	0.00360211	0.0097592	0.0241555	0.0179416	0.0573805	0.229277	0.398465	0.228468
a	0.000247889	0.00292741	0.0146659	0.0126957	0.00118991	0.00904104	0.00679062	0.000848364	0.0444713	0.222243	0.116439	0.56844
w	0.00105703	0.00138519	0.00235838	0.0234171	0.000593716	0.0125103	0.0135229	0.000931823	0.028035	0.371232	0.253245	0.291712
a	0.000903612	0.00143481	0.00385888	0.0158863	0.00207855	0.00394521	0.00662742	0.0100556	0.0506646	0.226942	0.465811	0.211792
</S>	0.00016528	0.000187428	0.000706559	0.00242906	0.00126451	0.00521331	0.00971615	0.00477784	0.039913	0.0889801	0.2914	0.555247
