 	le	père	a	blâmé	sa	fille	qui	a	porté	une	robe	transparente	</S>
k	9.64289e-06	2.30152e-06	0.000744844	0.000696285	0.00135968	2.05589e-05	0.000628577	0.00200654	0.0142824	0.039969	0.310073	0.553136	0.0770712
ó	2.02822e-06	1.99248e-06	2.43479e-05	0.000464226	8.32862e-05	1.25915e-05	5.0013e-05	0.000181415	0.00112797	0.0167652	0.178304	0.783025	0.019958
r	1.53761e-05	2.2458e-06	0.000371264	0.00483237	0.000553644	1.09225e-05	0.0004717	0.00081566	0.00410735	0.0126892	0.102769	0.854833	0.0185277
o	0.000160318	1.33327e-05	0.000179851	0.00350553	0.00174427	4.88786e-05	0.00109124	0.00273892	0.0144017	0.0489571	0.175632	0.641667	0.10986
m	0.00744443	3.83121e-05	0.00274588	0.000523275	0.0175147	0.000633006	0.00753235	0.0278626	0.0239677	0.096201	0.109684	0.185781	0.520072
á	0.000406237	1.24488e-05	0.0015207	0.000751108	0.0238069	0.000657147	0.00267214	0.0095505	0.0104331	0.0534851	0.115302	0.137832	0.64357
b	0.00850339	9.52871e-05	0.034893	0.00151831	0.100229	0.00473704	0.0239266	0.0454704	0.0260347	0.0517681	0.069652	0.186138	0.447033
h	0.00579427	9.11374e-05	0.00396642	0.00144349	0.0249665	0.00884151	0.00273343	0.0124165	0.014235	0.0736494	0.124087	0.536916	0.19086
o	0.000675687	1.74878e-06	0.00102956	0.00035456	0.00977169	0.000184166	0.00163784	0.00469896	0.00892868	0.0820336	0.15674	0.448152	0.285792
o	3.89238e-05	2.6264e-06	0.000176992	0.000391229	0.00360007	1.70584e-05	0.00101368	0.00116732	0.00251838	0.0543944	0.128394	0.652961	0.155325
b	0.000420258	1.34336e-05	0.00285785	0.000304574	0.0106899	0.000118519	0.00259988	0.00863269	0.00954176	0.0319118	0.0520174	0.094469	0.786423
h	0.000724539	1.66526e-05	0.00302379	0.00192924	0.0220936	0.000365625	0.00300008	0.00877066	0.0149873	0.0699124	0.162421	0.252796	0.459959
o	0.000448927	3.22147e-06	0.000532883	0.00190756	0.0221581	0.000189243	0.00382067	0.00215299	0.00756695	0.0425966	0.095397	0.598884	0.224341
o	0.000106611	1.94137e-06	0.000278996	0.000333422	0.00450073	3.45722e-05	0.00109314	0.00117516	0.00363713	0.0244507	0.0929964	0.572545	0.298847
</S>	0.000361051	8.12579e-06	0.00788543	0.000454556	0.0357111	0.000138202	0.00507046	0.0136338	0.0245344	0.0392516	0.0809325	0.0881724	0.703846
