 	malgré	tout	le	bien	que	j'	ai	fait	pour	vous	c'	est	vraiment	vous	mes	envahisseurs	</S>
n	0.00264865	0.0147793	0.0379201	0.0882757	0.0769875	0.0492615	0.118769	0.155435	0.10997	0.0590014	0.0620559	0.02586	0.0300677	0.0390816	0.0103142	0.0201591	0.0994133
g	0.00624046	0.0217292	0.0546208	0.0412114	0.101009	0.273154	0.143863	0.0878525	0.0567349	0.0275199	0.0183688	0.00706549	0.00809714	0.0264914	0.0349506	0.00964239	0.0814492
á	0.00500185	0.0269382	0.0712654	0.0264408	0.0964622	0.214265	0.20303	0.0791533	0.0393101	0.0195619	0.00684231	0.00562016	0.00528576	0.0271353	0.0364795	0.01693	0.120278
l	0.00325471	0.00396179	0.0114789	0.0230427	0.0809128	0.0782496	0.158371	0.0543252	0.14131	0.216114	0.126608	0.0306041	0.0298565	0.0239235	0.00934831	0.00246144	0.00617838
a	0.00159593	0.00291389	0.0121704	0.0107405	0.0255389	0.0377823	0.122859	0.146047	0.132623	0.0585771	0.0795055	0.0552803	0.0244741	0.0209697	0.0669866	0.011587	0.19035
b	0.00116142	0.00186965	0.00730867	0.00915859	0.0217057	0.0194701	0.0813618	0.0602525	0.149351	0.20817	0.139843	0.0881054	0.0705946	0.0514195	0.0412954	0.0173573	0.0315753
í	0.0033686	0.00793722	0.00594974	0.0370694	0.00889917	0.00658424	0.0320142	0.0792035	0.180629	0.320006	0.053463	0.0412027	0.044891	0.149205	0.00922848	0.0152868	0.00506131
n	0.000640506	0.00191486	0.00226596	0.0268495	0.0064113	0.00780016	0.0356454	0.035944	0.102977	0.347215	0.0847823	0.0382781	0.0514756	0.19268	0.0176714	0.0186148	0.0288339
í	0.00085152	0.00285867	0.00417185	0.00551746	0.0128543	0.0808392	0.145177	0.0646173	0.118976	0.180596	0.103692	0.036355	0.0378884	0.087703	0.0362541	0.0114822	0.0701663
a	0.000330587	0.0011765	0.00340805	0.00457978	0.00619733	0.00305257	0.0297296	0.0525951	0.0774536	0.12423	0.155882	0.142531	0.213177	0.0810978	0.0887565	0.00476628	0.0110354
k	0.00166092	0.0030327	0.00716844	0.0057827	0.0027327	0.000773539	0.0161123	0.0606309	0.0594879	0.0449898	0.0901635	0.17104	0.261338	0.0714066	0.178056	0.00912478	0.0164982
í	0.000466466	0.000757305	0.00142657	0.00670103	0.000872615	9.18118e-05	0.00251	0.0452459	0.0756562	0.0559371	0.0567474	0.197389	0.220472	0.0494925	0.0788553	0.139781	0.0675966
n	6.7128e-05	0.000315305	0.00061776	0.00173649	0.00101635	0.00110177	0.0100069	0.0273132	0.0423536	0.0651557	0.0711631	0.094622	0.161894	0.150685	0.0660336	0.0883617	0.217556
d	0.000369479	0.00165226	0.00305131	0.00354056	0.00443266	0.00845159	0.0229467	0.0363591	0.0557869	0.0634305	0.0907824	0.125191	0.164517	0.130832	0.155002	0.0582079	0.0754461
i	0.000137266	0.0013174	0.0037279	0.00161466	0.00556257	0.0291866	0.0700523	0.0225844	0.0392615	0.0451912	0.0475097	0.0623958	0.0899783	0.154109	0.228143	0.0250807	0.174147
n	0.000351581	0.00105512	0.00200694	0.00143078	0.00421969	0.00666915	0.0212556	0.0124203	0.0295089	0.052874	0.0596752	0.0716711	0.131883	0.13186	0.332615	0.049534	0.0909696
g	0.000187998	0.000524362	0.00127481	0.000734911	0.00192764	0.072803	0.0649734	0.00711507	0.0192979	0.025479	0.00871886	0.0144434	0.0224098	0.166555	0.408189	0.0788791	0.106487
á	4.52307e-05	0.000384495	0.0011277	0.000579956	0.00123336	0.139385	0.135136	0.00576611	0.0182719	0.0520279	0.010438	0.0216672	0.037448	0.216019	0.244466	0.064579	0.051425
l	0.000350583	0.000304381	0.000870257	0.00114313	0.00167208	0.000175969	0.00159378	0.00452401	0.0196642	0.0145367	0.0482359	0.0762965	0.105006	0.0404769	0.342524	0.206748	0.135879
e	0.00042459	0.000900575	0.0029658	0.00210929	0.00315941	0.00176706	0.00513855	0.0104558	0.0226863	0.0144775	0.0184541	0.0384313	0.0367785	0.0651702	0.290569	0.291432	0.19508
p	0.000278953	0.000556788	0.00151893	0.000562168	0.00260008	0.00114396	0.00259018	0.00190488	0.00742561	0.00689944	0.00987659	0.0232233	0.0224166	0.0137303	0.146626	0.552367	0.20628
á	0.000330641	0.000620389	0.0010099	0.00273637	0.000459942	2.79763e-05	0.00035616	0.00434756	0.010985	0.0103772	0.0126366	0.0406288	0.0523714	0.0161012	0.0334032	0.768032	0.0455756
n	0.000401655	0.000909992	0.00100723	0.0021575	0.00121078	0.000936307	0.00393839	0.00767034	0.025901	0.0879285	0.0481024	0.0525263	0.11035	0.107633	0.0307932	0.321938	0.196597
g	5.12763e-05	0.000212401	0.000280992	0.00138557	0.00085881	0.000215817	0.00103166	0.00406667	0.0140218	0.0343729	0.0225051	0.0321744	0.0548491	0.0666857	0.113672	0.409604	0.244012
e	0.000213065	0.00130924	0.00161124	0.00141105	0.00778491	0.01487	0.0231909	0.00696399	0.027254	0.0328755	0.0139563	0.0263131	0.0241843	0.0553159	0.0919643	0.524239	0.146543
k	0.000235204	0.000472075	0.000692041	0.000958271	0.00112952	0.000480855	0.00174149	0.00265238	0.00630405	0.00778823	0.00800797	0.0111041	0.0161585	0.033888	0.118134	0.179234	0.611019
á	0.00159511	0.00241816	0.00301105	0.0189835	0.00288948	0.00047204	0.00192219	0.0104003	0.0260453	0.0401906	0.0210063	0.044183	0.05163	0.131355	0.125845	0.287716	0.230337
a	0.000428018	0.00318703	0.0027545	0.00435989	0.00338304	0.00304301	0.00677144	0.0034365	0.0116479	0.0604693	0.0162344	0.0173928	0.0476691	0.153984	0.0506933	0.250452	0.364094
b	0.000397376	0.00072889	0.00143205	0.00228681	0.00295137	0.000556158	0.00188883	0.00694282	0.0160794	0.0179478	0.0304955	0.0335157	0.051219	0.0428191	0.167647	0.228693	0.394399
í	0.0010851	0.00342746	0.00330395	0.0213396	0.00639533	0.00212668	0.00537316	0.00634823	0.0264105	0.0825835	0.0197582	0.0216074	0.0406439	0.240798	0.118625	0.217775	0.182399
n	0.000495319	0.00261545	0.00205473	0.00399384	0.0033394	0.0162072	0.0116865	0.00117531	0.0056554	0.0689879	0.00433753	0.00344686	0.0149373	0.342672	0.0423948	0.256945	0.219056
í	0.00112913	0.00290484	0.00232696	0.00193001	0.00378172	0.00845827	0.0125695	0.00908135	0.0165085	0.0220751	0.0049154	0.00739326	0.0113029	0.148803	0.108155	0.254202	0.384463
m	9.9865e-05	0.000249034	0.000628295	0.000487949	0.00100376	0.00067833	0.00286315	0.00280775	0.00660815	0.0114594	0.0114433	0.0211524	0.0323768	0.0636741	0.157714	0.0443512	0.642403
b	0.070246	0.0265828	0.0923606	0.020995	0.0456609	0.0078765	0.0167837	0.0190748	0.0483352	0.00495565	0.0171259	0.0333818	0.0166531	0.0318167	0.251914	0.116761	0.179476
v	0.00404875	0.0017324	0.00781148	0.00498106	0.00608091	0.000268637	0.00172685	0.0103161	0.029894	0.00435005	0.00434136	0.0131577	0.0116889	0.0596962	0.0881402	0.393101	0.358665
a	0.00137021	0.000749269	0.00300512	0.00498186	0.0031524	7.53693e-05	0.000609908	0.00680213	0.0188113	0.00394008	0.00303034	0.00710356	0.00686155	0.0248028	0.0487579	0.529584	0.336362
m	0.000282431	0.000313076	0.00156247	0.000702214	0.000826159	0.000367104	0.000922773	0.00181697	0.00486246	0.00555874	0.00508252	0.0129809	0.0227819	0.0249805	0.0336722	0.250931	0.632357
b	0.0650652	0.0170761	0.0363642	0.0277208	0.0425579	0.00799649	0.00961838	0.011213	0.0383213	0.0105154	0.0114375	0.0164167	0.0136425	0.0443618	0.167488	0.280009	0.200195
v	0.00514307	0.00446261	0.0116109	0.0100613	0.00786423	0.000207757	0.00110876	0.00808624	0.0218537	0.00277851	0.00253538	0.00808753	0.00609387	0.0251786	0.0454953	0.544727	0.294705
a	0.004491	0.00201382	0.00584852	0.0117426	0.00693363	0.000259907	0.000934058	0.00837501	0.0176311	0.00513117	0.00176549	0.00551608	0.00605658	0.0473025	0.0393836	0.539528	0.297087
</S>	0.0019469	0.000906057	0.00291287	0.00222312	0.00189409	0.000263365	0.000723141	0.00503089	0.0127946	0.00475179	0.00861058	0.0218349	0.0223979	0.0157061	0.0292995	0.310841	0.557863
