 	il	fume	trop	de	chanvre	voilà	pourquoi	ses	yeux	sont	devenus	ternes	</S>
i	7.35548e-05	0.00068017	0.00058479	0.00251783	0.0252115	0.00830624	0.223582	0.155235	0.161812	0.257282	0.0532978	0.0290921	0.0823257
m	5.53568e-05	7.28719e-05	0.000263432	0.00159641	0.00662552	0.0246793	0.190864	0.227897	0.038586	0.254496	0.0384044	0.0466895	0.16977
á	0.000362884	0.000171013	0.000719372	0.0117369	0.0223713	0.011046	0.060717	0.236895	0.0944563	0.20077	0.0304314	0.0286896	0.301633
w	0.000368923	0.000551553	0.00241136	0.0100503	0.0085959	0.00796453	0.106787	0.247785	0.0913928	0.220249	0.089665	0.0848511	0.129328
a	0.000510593	0.000874099	0.00457632	0.00910911	0.00657645	0.0346338	0.195725	0.258945	0.0400327	0.244274	0.0872558	0.0198473	0.097639
á	0.000395238	0.000431244	0.00104874	0.00217597	0.0024475	0.0121655	0.0671901	0.0918963	0.0220678	0.102514	0.150218	0.0894145	0.458035
m	0.000889349	0.0072396	0.0103438	0.0162362	0.0119739	0.00766239	0.0162	0.00406322	0.00863722	0.209648	0.320588	0.148779	0.23774
i	0.000463532	0.00112083	0.00232312	0.0227478	0.0143807	0.00101678	0.0158465	0.0318992	0.0238064	0.237284	0.0690217	0.0976076	0.482481
y	7.19361e-05	0.00369404	0.00831666	0.0164852	0.0130312	0.001722	0.00581396	0.00238337	0.00117383	0.0129719	0.233697	0.553724	0.146915
u	5.88154e-06	0.000667114	0.00156613	0.00174197	0.0261041	0.0095841	0.0640081	0.0136325	0.00876317	0.0428496	0.0264721	0.612904	0.191701
u	2.25867e-05	3.47924e-05	0.000193295	0.000909787	0.00442541	0.00162373	0.00888757	0.00490197	0.000164435	0.0018142	0.00227194	0.805858	0.168893
n	0.00050515	0.000110508	0.000612885	0.00218385	0.00169341	0.00552322	0.0190115	0.0277401	0.00468317	0.0580127	0.0446556	0.367297	0.46797
g	0.00151737	0.000624608	0.000493733	0.0036932	0.00557181	0.00566836	0.24771	0.17664	0.101802	0.185793	0.00100465	0.045611	0.223871
a	0.000183516	0.000197731	0.000148403	0.000713939	0.00268779	0.011559	0.307639	0.155524	0.114911	0.124122	0.00256681	0.0307564	0.24899
</S>	2.07411e-05	2.59186e-05	0.000125668	0.000628379	0.00119253	0.0102765	0.100827	0.0867955	0.00729094	0.0533753	0.0015596	0.021989	0.715893
