 	le	chasseur	a	flétri	des	feuilles	du	bananier	pour	emballer	la	viande	</S>
í	0.0119476	2.86433e-05	0.00574781	0.000355322	0.0231092	0.0410658	0.258348	0.521542	0.0542198	0.0313142	0.019877	0.00458935	0.0278553
k	0.00045852	6.808e-06	0.000978415	0.000436025	0.0140625	0.0490469	0.238367	0.562196	0.0866606	0.0249138	0.00884762	0.00224732	0.0117781
ω	4.7772e-05	2.63898e-05	0.000224435	0.000363813	0.00309047	0.0741623	0.242023	0.525321	0.0555776	0.0864072	0.0025163	0.000197404	0.010042
m	7.30948e-05	0.000152159	0.000757797	0.0359294	0.0100034	0.0942155	0.165522	0.494369	0.114562	0.057799	0.00872729	0.00123347	0.0166559
í	0.000561995	9.8767e-05	0.000449416	0.000585745	0.0129934	0.0183872	0.151674	0.0881322	0.486304	0.0650424	0.0579427	0.00401833	0.113809
k	0.000978212	1.58936e-05	0.0016736	0.000158037	0.012489	0.0434046	0.12981	0.131243	0.403507	0.115247	0.0543443	0.00101895	0.10611
a	0.000106611	5.20204e-05	0.00111278	0.000492709	0.00246527	0.0278562	0.0890937	0.155876	0.213282	0.256857	0.0603364	0.00457729	0.187891
n	0.000482587	0.000194852	0.000539181	0.00128453	0.00216098	0.0353977	0.0906734	0.111989	0.162667	0.318354	0.0598002	0.00427246	0.212183
g	0.000354152	0.000201636	0.00191584	0.00068788	0.00414316	0.0279834	0.0774703	0.366313	0.187814	0.198626	0.0329007	0.00462435	0.0969656
a	0.000610279	0.000860468	0.00338496	0.00212034	0.00382763	0.0241809	0.1628	0.535365	0.0933689	0.0815324	0.0322433	0.0095067	0.0501995
l	0.000356534	1.3788e-05	0.00399679	0.000119442	0.00676534	0.013426	0.0380838	0.0825042	0.230115	0.130793	0.282698	0.0100162	0.201112
á	0.00117762	8.00932e-05	0.00489466	0.000395122	0.00781735	0.0205958	0.0594361	0.0820666	0.114608	0.152822	0.27064	0.0205307	0.264935
n	0.00113577	0.000301995	0.00711999	0.00691415	0.00583151	0.00984227	0.0281632	0.0383052	0.0705127	0.130352	0.447737	0.202195	0.0515893
y	0.000109943	1.94926e-05	3.6541e-05	2.2457e-05	7.38901e-05	0.000127648	0.000654311	0.00382993	0.00319739	0.0141002	0.0095411	0.967439	0.000848203
a	8.24681e-05	2.36569e-05	2.87977e-05	2.32429e-05	4.24698e-05	0.000135912	0.000629679	0.00227798	0.000719397	0.0120886	0.00724017	0.975037	0.0016705
m	0.000156513	9.52006e-05	0.000168616	0.000896295	0.000498115	0.00245998	0.0118814	0.125219	0.0362256	0.377923	0.0886771	0.282969	0.0728292
a	0.0007437	8.15165e-05	0.000742055	2.501e-05	0.00124938	0.00315585	0.0309525	0.0442289	0.130138	0.293137	0.17783	0.0221054	0.295611
</S>	0.000798057	9.30349e-06	0.00107888	6.78663e-05	0.00173838	0.00361514	0.00756574	0.00857714	0.0396216	0.0385964	0.136687	0.00959077	0.752054
