 	il	m'	a	appelé	pour	juger	l'	affaire	qui	l'	opposait	à	sa	femme	</S>
á	0.00162637	0.0104296	0.00294913	0.00691257	0.00790866	0.0167826	0.0279248	0.0722758	0.0568247	0.259452	0.35475	0.0957685	0.0228911	0.0428578	0.0206463
a	0.00062423	0.00511856	0.00117129	0.00212396	0.00131449	0.0115249	0.0145059	0.056864	0.0207393	0.158819	0.640971	0.0394005	0.00854638	0.0104354	0.0278417
l	7.86671e-05	0.000225409	0.000782383	0.000362629	0.00231893	0.00392323	0.00993097	0.0244939	0.0548666	0.148522	0.280117	0.338444	0.0499528	0.0197353	0.0662459
a	0.000461094	0.00132729	0.00291286	0.00237928	0.00922447	0.0105052	0.0242034	0.0198845	0.0627234	0.11225	0.150876	0.271221	0.0528719	0.0194422	0.259718
m	8.08505e-05	0.000795381	0.000337133	0.000102545	0.000562066	0.000774615	0.00621943	0.0042962	0.0246968	0.0592405	0.314754	0.156106	0.333785	0.0191852	0.079065
w	0.000112342	0.000194345	0.000102131	0.000218161	0.00114512	0.00122357	0.00368122	0.00292592	0.0530537	0.0453757	0.0505391	0.0368045	0.0497193	0.735613	0.0192915
á	0.000167896	0.000615676	3.38419e-05	0.000112135	0.000291176	0.000523867	0.000955666	0.00132846	0.0132553	0.0194815	0.0304515	0.0107999	0.00212226	0.916452	0.00340875
s	0.00176251	0.00421129	0.00086702	0.00160115	0.00808812	0.00232601	0.0320651	0.0235734	0.131179	0.209071	0.0753125	0.0664256	0.291979	0.123963	0.0275748
í	0.00127152	0.00107946	0.00106332	0.0010933	0.00318237	0.00443483	0.00936027	0.00639037	0.0591216	0.196012	0.259135	0.132634	0.0349393	0.133039	0.157244
</S>	0.000325382	0.000281347	0.000676535	9.60587e-05	0.00100986	0.000629539	0.00789664	0.0107539	0.0511731	0.0706962	0.132771	0.308449	0.149266	0.0189692	0.247007
