 	cet	homme	est	un	sorcier	c'	est	pourquoi	on	l'	a	chassé	du	village	</S>
á	0.000318354	0.00020146	0.00678915	0.00915403	0.00500571	0.0336336	0.0306959	0.0460193	0.13285	0.163783	0.360228	0.0969331	0.0752344	0.00906778	0.0300864
m	0.00208766	0.00117107	0.0161719	0.0200129	0.011524	0.00974415	0.0173757	0.0154947	0.0324005	0.075322	0.368714	0.283485	0.0786931	0.0364455	0.0313577
i	0.0100818	0.00520013	0.0220152	0.0684034	0.00173564	0.0211071	0.0336375	0.0344083	0.0242865	0.159488	0.294541	0.0417462	0.128871	0.00668558	0.147792
t	0.00147632	0.00106035	0.00399156	0.012314	0.00344438	0.0060945	0.0109543	0.0035741	0.00641261	0.0477429	0.303927	0.422006	0.0290218	0.0106639	0.137316
ú	4.91226e-05	9.59034e-05	0.00129425	0.00234728	0.00104681	0.00123179	0.00331662	0.00154115	0.0030894	0.015054	0.0406839	0.855969	0.00549853	0.040841	0.027941
r	0.00026164	1.53339e-05	0.000118529	0.000710695	0.000309197	0.000566288	0.00162339	0.000684882	0.000942028	0.00428661	0.00635541	0.9621	0.00230278	0.00402198	0.0157016
á	0.000128652	3.69515e-05	0.000633391	0.00315286	0.000425612	0.0046354	0.0067265	0.00752943	0.00862013	0.0135087	0.0191677	0.910154	0.00949776	0.000486127	0.0152971
w	0.00079315	0.000250389	0.0018373	0.00440155	0.000702125	0.0202623	0.015371	0.0740004	0.0689874	0.067504	0.0849124	0.113454	0.429721	0.0389672	0.078836
á	0.000196261	0.000391572	0.00298767	0.00352087	0.000521325	0.00848068	0.0154361	0.15688	0.151073	0.0531423	0.0482826	0.146162	0.263116	0.0787745	0.0710342
p	0.00114843	0.000431923	0.00185593	0.00202348	0.000393805	0.00709221	0.00699666	0.0372121	0.0411766	0.0199414	0.0210169	0.0377469	0.211571	0.466584	0.144809
o	0.000362442	0.00012717	0.00168844	0.00109697	0.000383579	0.00222381	0.00188343	0.00314676	0.00928374	0.00333643	0.00436902	0.0885119	0.0408122	0.819306	0.0234679
o	6.7444e-05	7.6593e-05	0.000414165	0.000974258	0.00152035	0.00225961	0.00522927	0.0100321	0.00821808	0.0131515	0.00657226	0.128319	0.0316523	0.776104	0.015409
</S>	0.000837654	0.00076566	0.0150149	0.0143306	0.00781881	0.0121691	0.0131334	0.0221577	0.0374142	0.0336383	0.083186	0.0360939	0.215662	0.0716294	0.436149
