 	l'	écorce	de	bananier	flétrie	est	utilisée	comme	bretelles	de	hotte	</S>
a	0.0206091	0.000708466	0.0320058	0.00240123	0.20647	0.371672	0.121487	0.13909	0.0423958	0.0239073	0.00636057	0.0328923
k	0.000683644	0.00133537	0.0123999	0.0338581	0.228855	0.297163	0.330145	0.0419595	0.0342386	0.00377721	0.000628089	0.0149564
o	8.93426e-06	0.000130767	0.000802446	0.0277326	0.0259747	0.0348995	0.87864	0.00796192	0.0165674	0.00124402	0.00013435	0.00590353
b	2.31884e-05	0.000180538	0.00119458	0.0500774	0.0298902	0.0372986	0.847105	0.0137245	0.0132424	0.00475509	0.000145596	0.00236298
h	0.00333811	0.00078427	0.0148251	0.124932	0.290996	0.118988	0.249523	0.0513937	0.0320725	0.0232831	0.0012023	0.0886614
á	0.00355605	0.00150558	0.0106169	0.0370881	0.225243	0.131509	0.240132	0.0640591	0.0266426	0.0630029	0.0178961	0.178748
m	0.001089	8.74007e-05	0.00878637	0.0014129	0.0764579	0.171034	0.0418786	0.473588	0.0818612	0.0783039	0.0238254	0.0416756
á	0.000123988	1.25272e-05	0.000267297	0.000137216	0.00186678	0.0143921	0.00578715	0.254039	0.258674	0.12459	0.219276	0.120834
l	0.000470738	4.7424e-05	0.00178802	0.000281978	0.00626473	0.0152456	0.0212227	0.201876	0.583757	0.0891132	0.057705	0.0222283
a	0.000672471	0.00049813	0.0030961	0.000987878	0.0197265	0.0170446	0.00887858	0.232873	0.330268	0.0839047	0.112143	0.189907
m	0.00021504	1.53322e-05	0.00142753	0.000445968	0.00268535	0.00385212	0.00461484	0.207165	0.438347	0.151539	0.100374	0.0893184
b	8.24228e-05	5.09248e-05	0.000344602	0.00011295	0.000535809	0.00253597	0.000678287	0.0583146	0.292786	0.145428	0.315198	0.183932
í	0.000355462	4.3351e-05	0.000267806	8.75189e-05	0.00709616	0.00986692	0.0150862	0.112912	0.235291	0.152762	0.285726	0.180506
m	0.000258174	2.4333e-05	0.000465251	0.000570253	0.00266836	0.00579264	0.00305774	0.0924095	0.251609	0.352447	0.0601396	0.230558
á	5.1027e-05	4.18627e-06	9.21034e-05	7.44316e-05	0.000534238	0.00244822	0.000415546	0.0495812	0.269795	0.21322	0.305574	0.15821
m	0.000512278	4.24033e-05	0.00179383	0.000366769	0.00503986	0.00830977	0.00458226	0.0390191	0.102205	0.239653	0.484072	0.114404
u	1.60525e-05	3.06692e-06	0.000214802	2.07784e-05	0.000360498	0.0016411	0.000333821	0.0104774	0.119288	0.0776526	0.755016	0.0349756
a	1.1724e-05	4.46807e-05	0.000107899	9.41889e-05	0.00684368	0.0223959	0.00257089	0.0311083	0.265337	0.365674	0.174083	0.131728
</S>	0.000179965	3.82439e-05	0.00153953	0.000335303	0.00471643	0.0035461	0.000996047	0.0254446	0.0526983	0.332237	0.0477083	0.53056
