 	ce	fagot	dégage	de	la	fumée	car	il	est	déjà	rongé	par	les	termites	</S>
m	0.00490479	0.000977366	0.0300299	0.199359	0.237057	0.206933	0.185771	0.0481672	0.0164847	0.00862445	0.0187798	0.0119537	0.00936695	0.00279312	0.018798
b	0.00727091	0.000808965	0.00571481	0.125189	0.507237	0.105864	0.0593239	0.103892	0.0220681	0.00904838	0.00155647	0.00392188	0.0104843	0.00780408	0.0298161
a	0.00387118	0.00106099	0.0117122	0.160151	0.350332	0.319281	0.0797145	0.0231432	0.00538289	0.00170842	0.00586895	0.00714984	0.00544274	0.0140958	0.0110861
t	0.00564897	0.00127183	0.0132836	0.109834	0.150094	0.0555092	0.310052	0.251595	0.0408417	0.0121103	0.00473464	0.010145	0.0067501	0.00158404	0.0265456
s	0.0075638	0.0148239	0.0587383	0.059636	0.0353691	0.1111	0.394511	0.118272	0.0453922	0.00986745	0.0463366	0.0199378	0.00632979	0.0370401	0.035082
í	0.00115244	0.00108254	0.00515016	0.0668716	0.0834283	0.0589543	0.207514	0.102294	0.0572317	0.0264175	0.132148	0.0786314	0.0343845	0.0273108	0.117429
n	0.00139991	0.00213144	0.00348556	0.0695815	0.0682167	0.176151	0.347295	0.179458	0.031411	0.0125717	0.0193484	0.00915925	0.00583537	0.0147229	0.0592321
a	0.00346089	0.00349431	0.0017631	0.0137527	0.0974983	0.211366	0.160967	0.164534	0.0142323	0.0042625	0.00708285	0.00788492	0.013787	0.0824338	0.21348
d	0.00218421	0.00119668	0.00435516	0.0271834	0.0535822	0.0113091	0.0983102	0.390754	0.241345	0.057114	0.0210354	0.0401783	0.0214181	0.00173773	0.028297
í	0.0044611	0.000969937	0.000855045	0.0255311	0.117535	0.0249297	0.0268169	0.289148	0.258897	0.0307569	0.00319081	0.0165799	0.00797895	0.00674331	0.185607
a	0.00124468	0.000283303	0.000918252	0.012055	0.0213341	0.00241797	0.0365214	0.183051	0.315764	0.124123	0.0931362	0.110171	0.0419175	0.00329345	0.0537692
í	0.00138247	0.000522222	0.00129624	0.010512	0.0105644	0.00151063	0.0162094	0.140033	0.255294	0.245633	0.0490069	0.115535	0.0435057	0.00456227	0.104432
b	0.00307225	0.00146846	0.00296937	0.0117191	0.00272888	0.00120904	0.00524763	0.0187048	0.207565	0.363678	0.121757	0.169492	0.0265322	0.0104849	0.0533707
h	0.000993734	0.000896586	0.00131892	0.00890909	0.00328337	0.000447881	0.00215367	0.0265445	0.142626	0.491167	0.0489776	0.119515	0.0529157	0.010737	0.0895133
i	0.00165985	0.000370417	0.00173602	0.0184423	0.00484236	0.000920938	0.00691753	0.0202467	0.115984	0.345079	0.110746	0.230208	0.0465388	0.00991018	0.0863986
e	0.0012419	0.000100863	0.00124329	0.00927911	0.0131677	0.00205006	0.00378669	0.0167933	0.084139	0.264305	0.156778	0.196581	0.0690696	0.0150359	0.166429
w	0.00361374	0.000851621	0.00146998	0.00435699	0.00335764	0.00328763	0.00377398	0.00989778	0.0330317	0.148482	0.12481	0.148576	0.0861421	0.1937	0.234649
o	0.000410676	0.000138759	0.00115939	0.00501563	0.00503388	0.00288267	0.00689696	0.0271352	0.0409876	0.0792428	0.115696	0.195401	0.135984	0.289404	0.0946111
l	7.18451e-05	7.27284e-05	0.000267646	0.000988884	0.000511745	0.000234342	0.00118254	0.00175711	0.0152677	0.124311	0.227343	0.413992	0.063221	0.062143	0.0886357
o	0.000618365	0.000448995	0.00179111	0.00578974	0.00346868	0.00137515	0.00516275	0.00676079	0.0439534	0.166455	0.172916	0.24281	0.107843	0.0853687	0.155238
w	0.000941422	0.000369282	0.000475889	0.00222926	0.00448115	0.00099858	0.00473834	0.00564516	0.00934864	0.0418512	0.0778358	0.16839	0.113256	0.280146	0.289293
o	0.00123054	0.00181449	0.00354406	0.0122894	0.0101785	0.0030226	0.0139177	0.0341861	0.0477088	0.0856479	0.293818	0.212436	0.100354	0.107517	0.0723351
s	0.00362351	0.00288417	0.000733942	0.00523482	0.0125082	0.00518856	0.00595828	0.00839275	0.00864773	0.0336215	0.0872399	0.227574	0.0603679	0.33028	0.207745
o	9.04652e-05	0.000419912	0.000543368	0.00447539	0.00425259	0.000848411	0.00103696	0.000644801	0.012229	0.0725672	0.464184	0.245978	0.031402	0.0863174	0.0750101
</S>	0.000154673	7.17707e-05	0.000194206	0.0015621	0.00180432	0.000536861	0.000965693	0.00165477	0.00820776	0.0383079	0.174433	0.258944	0.0808716	0.0300981	0.402193
