 	j'	ai	tenté	ma	chance	si	je	peut	jouer	au	foot	avec	les	autres	</S>
í	0.000878529	0.00120965	0.00157497	0.0106219	0.00715064	0.201089	0.294359	0.135457	0.0687543	0.062077	0.0277993	0.0114829	0.00706329	0.00122092	0.169261
i	0.000118511	0.00136337	0.000970403	0.0296053	0.0158832	0.0690706	0.172812	0.235492	0.170206	0.126144	0.0794734	0.0268468	0.018591	0.00347049	0.049952
b	2.00362e-05	0.000500069	0.000820827	0.0016966	0.0024307	0.0746735	0.198034	0.424092	0.113866	0.0820461	0.037198	0.0106619	0.00263231	0.00190889	0.0494195
h	1.46948e-05	0.000514944	0.000292352	0.000811093	0.000332412	0.0165863	0.0252136	0.358121	0.325885	0.0722075	0.0796397	0.0163832	0.00347356	0.0854547	0.0150693
e	1.68133e-06	6.41052e-05	3.59467e-05	0.000178757	0.000270864	0.0118811	0.0138333	0.651242	0.14741	0.0480804	0.0920196	0.00746407	0.00127753	0.00840457	0.0178361
r	1.05588e-05	6.27452e-05	9.77478e-06	0.000547003	0.000328329	0.00886608	0.0107723	0.382046	0.195226	0.11049	0.198225	0.0375881	0.0167297	0.0109043	0.028195
á	2.76054e-05	2.38521e-05	1.17853e-05	0.00102919	0.000191943	0.00994237	0.0225202	0.149965	0.154455	0.138049	0.319764	0.0802553	0.034328	0.00723562	0.0821997
d	3.66432e-05	0.00114943	0.000313593	0.00751448	0.00191095	0.0127483	0.0262107	0.060165	0.21532	0.284917	0.119561	0.152739	0.0780795	0.00687381	0.0324604
i	6.49606e-05	0.000226373	9.74818e-05	0.00130736	0.000538625	0.00355507	0.00986194	0.0187129	0.075891	0.180391	0.482045	0.0538191	0.0299732	0.00997341	0.133542
n	6.36684e-06	4.17418e-05	3.85648e-05	0.000196209	0.000163384	0.000766873	0.00176163	0.0211526	0.0704965	0.150232	0.493529	0.0909178	0.0339471	0.0699665	0.0667841
g	2.27702e-05	4.86709e-05	3.72278e-05	0.000680701	0.000658784	0.00402648	0.0214646	0.0214157	0.163496	0.244413	0.254224	0.0816719	0.138499	0.0119707	0.0573706
a	0.000363277	0.00011486	3.60792e-05	0.00465107	0.000519273	0.00497719	0.0799247	0.0116843	0.142836	0.231503	0.241793	0.0723069	0.122462	0.0172511	0.0695772
l	6.88922e-06	7.43813e-05	2.0175e-05	0.000445112	0.000231207	0.00114285	0.00482684	0.00715076	0.073974	0.177884	0.0683111	0.248022	0.217739	0.0384355	0.161735
a	0.000214576	0.000207941	0.000133317	0.00166142	0.000770992	0.00402816	0.0103621	0.0102	0.0346127	0.128417	0.118265	0.125388	0.23075	0.0217995	0.313189
b	0.00020101	0.000397786	4.71923e-05	0.0031265	0.000209058	0.000719653	0.00180435	0.00187063	0.0146863	0.0578835	0.0309632	0.18775	0.266329	0.101971	0.332041
i	0.000402185	0.000164225	1.96908e-05	0.000574017	3.73085e-05	0.000319822	0.000296939	0.00229563	0.0202586	0.0209991	0.0278922	0.0733927	0.0794813	0.764352	0.00951403
a	2.16236e-05	4.06325e-05	4.86522e-06	0.000335998	1.03314e-05	0.000114808	0.000287366	0.00352081	0.0157781	0.0153829	0.0338581	0.076706	0.0714848	0.682311	0.100142
</S>	2.16995e-05	0.000144881	2.94371e-05	0.000565866	0.000235308	0.00178729	0.00338155	0.00764272	0.029566	0.0658083	0.0169259	0.134625	0.216763	0.141898	0.380605
