 	mon	père	a	coupé	beaucoup	de	poteaux	en	bois	pour	construire	une	nouvelle	maison	</S>
k	0.000570321	0.000177247	0.138391	0.799104	0.0134069	0.00662878	0.00734679	0.00960727	0.008096	0.00391507	0.00298092	0.00154696	0.000765304	0.000239432	0.00722329
w	3.11801e-05	2.63746e-05	0.0145517	0.903984	0.0208917	0.00800006	0.00596248	0.00783488	0.0126974	0.0058452	0.00651397	0.00484116	0.00149006	0.000120336	0.00720903
ε	0.000666628	0.000382172	0.0189363	0.714598	0.0461678	0.0197288	0.0275309	0.0310372	0.0515551	0.0261323	0.0175044	0.0188379	0.00925447	0.0024458	0.0152217
r	0.000670381	0.000116214	0.00800789	0.155812	0.293848	0.253097	0.0552012	0.0330465	0.0413583	0.0380175	0.0103685	0.0324383	0.0299689	0.00740473	0.0406455
έ	0.0199486	0.000809035	0.0173779	0.333636	0.184913	0.123782	0.0455525	0.0331619	0.0299175	0.0295112	0.0116751	0.0213171	0.0764545	0.0407189	0.0312255
i	0.000435178	9.08555e-05	0.00691554	0.0654009	0.455687	0.216617	0.0813606	0.0453492	0.0490538	0.0225331	0.00871203	0.0140352	0.0157124	0.00633291	0.0117639
s	0.000377632	0.000260066	0.0040619	0.0273238	0.226025	0.279653	0.181436	0.140509	0.0815891	0.0306967	0.00727868	0.00803639	0.00643133	0.00232459	0.00399679
u	0.00028445	1.40259e-05	0.000224818	0.00932935	0.0416443	0.0399106	0.87367	0.0199749	0.00496663	0.00393439	0.00101607	0.0013269	0.00168384	0.000699229	0.00132067
m	0.000205083	0.000150187	0.00137171	0.0182854	0.0880545	0.103131	0.731604	0.0317474	0.0102981	0.00654876	0.00214685	0.00206489	0.00101338	0.00035401	0.00302529
ú	0.00245909	0.000170627	0.00967681	0.0228474	0.113944	0.37402	0.301021	0.0780827	0.0151795	0.0594086	0.00337929	0.00504651	0.00559371	0.000182451	0.00898874
i	2.05498e-05	1.72817e-05	0.00183282	0.00782013	0.093836	0.210641	0.134597	0.226344	0.159142	0.123891	0.0212205	0.0116867	0.00168858	0.000133624	0.00712786
y	0.000326552	0.000151594	0.0010147	0.00411154	0.0426881	0.0791987	0.0218091	0.12242	0.332497	0.171584	0.152301	0.0387422	0.00374654	0.0010863	0.0283217
í	6.82083e-05	6.32473e-05	0.0012655	0.0172868	0.0512232	0.048066	0.268119	0.127489	0.1391	0.100368	0.177478	0.035668	0.0113676	0.00795881	0.0144787
í	0.000246788	5.44654e-06	0.000987879	0.00191719	0.0390186	0.05451	0.175758	0.130755	0.147334	0.142661	0.12516	0.0498046	0.0336218	0.0096818	0.0885386
m	0.000394161	2.02263e-05	0.00407782	0.000912396	0.0293331	0.0854221	0.0786828	0.179336	0.12298	0.336474	0.0723381	0.0464662	0.0167142	0.0069256	0.0199228
í	0.000221758	7.70152e-05	0.00249697	0.00314757	0.047618	0.21983	0.0998008	0.0899999	0.0164103	0.252843	0.0202919	0.0628363	0.0950855	0.00231425	0.0870268
t	3.99574e-05	6.46214e-06	0.00057735	0.000423869	0.0226011	0.0638194	0.0165227	0.0418954	0.0571136	0.17071	0.277209	0.254578	0.0457645	0.0180733	0.030665
ó	9.53947e-05	9.43782e-05	0.000631976	0.0018662	0.00943948	0.0159093	0.00827972	0.0359549	0.0719727	0.1065	0.452179	0.196545	0.0495325	0.0144917	0.0365068
n	0.00141964	0.000138564	0.000425678	0.00169544	0.00291452	0.00416496	0.0047241	0.00632328	0.0251314	0.0357765	0.75183	0.127603	0.0102818	0.003819	0.0237526
g	0.000135448	0.000115913	0.000606213	0.00844851	0.0112689	0.0268011	0.0102848	0.0268517	0.158953	0.114584	0.503381	0.0969706	0.00781669	0.00263933	0.0311426
a	0.000713003	0.000809866	0.000135072	0.00485103	0.0133455	0.0165909	0.00673738	0.00719251	0.0619648	0.0430904	0.711808	0.053898	0.011692	0.0214865	0.045685
l	0.000960099	4.5508e-05	0.00109633	0.000839148	0.0127871	0.0278447	0.00956624	0.0205143	0.0601692	0.140409	0.192553	0.357471	0.060383	0.0115494	0.103812
á	0.00132096	5.37251e-05	0.00156025	0.00618635	0.0205408	0.0231826	0.00562178	0.0168277	0.0227107	0.06012	0.097145	0.200261	0.0939998	0.0737924	0.376677
n	0.00344761	0.000348919	0.000741739	0.000744811	0.0109262	0.025933	0.00786283	0.00597556	0.00862843	0.0251615	0.0428037	0.18758	0.224013	0.398807	0.0570257
d	0.0204347	1.2073e-05	2.6032e-05	0.000314714	0.00131586	0.00165493	0.00419851	0.000452982	0.000755141	0.0030716	0.0144614	0.0347596	0.0336788	0.875985	0.00887875
é	0.0017614	0.000145107	7.61834e-05	0.0013342	0.000697727	0.000818379	0.00100646	0.000487963	0.00107709	0.00351257	0.0426724	0.0594978	0.0377661	0.816092	0.0330546
e	7.29717e-06	1.65455e-05	4.70718e-05	0.00057998	0.0021524	0.00251243	0.00128177	0.00251242	0.0114913	0.0288974	0.20593	0.296721	0.141308	0.108427	0.198114
y	0.000101176	1.22339e-05	0.000591426	0.000471968	0.00584493	0.00809502	0.00162122	0.0059502	0.013134	0.0448148	0.0460155	0.331245	0.212004	0.0206988	0.3094
á	0.000427456	2.20936e-05	0.0014011	0.00289627	0.0240817	0.0242674	0.00429246	0.00620042	0.0083259	0.0342076	0.0579699	0.271128	0.271933	0.129284	0.163563
p	0.000450509	4.23364e-05	0.00122179	0.00105473	0.0106164	0.0159305	0.00763811	0.00524482	0.00666331	0.0178583	0.0258755	0.138843	0.411563	0.241447	0.115551
á	0.000178614	0.000119576	0.000259879	0.000500312	0.00496207	0.00639959	0.00302561	0.00825011	0.0150248	0.026915	0.0708902	0.254575	0.363655	0.0854237	0.159821
r	0.000619888	0.000831643	0.00322424	0.00164907	0.0126764	0.0140757	0.00909585	0.0217746	0.0171461	0.0651803	0.0627911	0.16956	0.403796	0.0415915	0.175987
á	8.62368e-05	1.43439e-05	2.43869e-05	0.000520004	0.000929908	0.0018261	0.00258368	0.00373698	0.0205961	0.0361713	0.167113	0.270581	0.19588	0.13184	0.168096
a	0.000476541	6.29214e-05	0.000555545	0.000439259	0.0039349	0.00822769	0.00180004	0.00722226	0.010636	0.0421106	0.0185146	0.167785	0.43406	0.0297477	0.274427
d	0.000276573	1.34456e-05	0.000700512	0.00232096	0.00990047	0.0140493	0.00412042	0.0125706	0.0198945	0.0290758	0.022303	0.195842	0.170679	0.0959716	0.422282
í	5.16461e-06	5.17089e-06	0.000231787	0.0031554	0.0107793	0.0123828	0.0104412	0.00529714	0.00354361	0.012226	0.0102312	0.153294	0.219602	0.0382561	0.520549
</S>	2.92104e-05	2.52663e-06	0.000284945	0.000381069	0.0072413	0.0178083	0.00535549	0.00594632	0.00529425	0.0186997	0.00434591	0.0735582	0.185888	0.021727	0.653438
