 	depuis	qu'	il	est	parti	pour	l'	école	il	n'	est	pas	encore	rentré	</S>
a	0.000383799	0.00050278	0.00140532	0.00273261	0.00129765	0.00510956	0.00832323	0.00184612	0.0144541	0.0412963	0.0960237	0.1123	0.399405	0.0846999	0.230219
n	0.000318612	0.000885923	0.00174387	0.00510568	0.00383804	0.0142992	0.00591864	0.00678684	0.0075006	0.0183646	0.0415635	0.0408118	0.12826	0.437709	0.286894
d	0.00345457	0.00243174	0.0040618	0.00860867	0.00914328	0.0209193	0.0245269	0.00483274	0.00762487	0.0212635	0.0489171	0.0530338	0.117661	0.208288	0.465233
é	0.000755551	0.000943512	0.00206061	0.00232645	0.00300797	0.0054786	0.00880542	0.00337095	0.00716507	0.0190257	0.0361761	0.035984	0.182157	0.148738	0.544005
e	0.000115082	0.000336916	0.000645915	0.00119161	0.00191858	0.0147243	0.0219531	0.0181475	0.0267879	0.0607195	0.0698518	0.0516943	0.0244938	0.221621	0.485799
o	7.49131e-05	0.000388155	0.000623993	0.00361878	0.00357171	0.0253546	0.0101843	0.00574687	0.00764759	0.0345191	0.0670031	0.0445084	0.0155491	0.287986	0.493224
b	0.000161071	0.00128201	0.00220003	0.0327355	0.0342961	0.146473	0.0237162	0.0067404	0.00119028	0.0171212	0.028628	0.0142698	0.0344396	0.455274	0.201473
v	0.00017099	0.000916453	0.00145333	0.0106689	0.0113019	0.0939699	0.0276806	0.0066123	0.00241809	0.0244173	0.0310083	0.0511482	0.0198646	0.649867	0.0685016
ú	0.000420606	0.000698318	0.00139636	0.00432009	0.00286981	0.0220688	0.0123094	0.00262681	0.00297803	0.0117169	0.0149258	0.0265317	0.00633604	0.852053	0.0387485
r	0.00382845	0.0010886	0.000846141	0.00120636	0.00081565	0.0131878	0.0136395	0.00400438	0.00947613	0.0242832	0.0396833	0.0911137	0.00916213	0.45901	0.328655
a	0.000892668	0.000394191	0.000468671	0.00122127	0.00487777	0.0274039	0.0239532	0.0122362	0.00965796	0.0267126	0.0497486	0.054431	0.00884044	0.360789	0.418372
k	0.000637616	0.00162244	0.00273991	0.0034035	0.00180477	0.0136128	0.0131629	0.00884833	0.0234238	0.0346586	0.0621502	0.101187	0.016709	0.198737	0.517302
a	0.000793153	0.00121024	0.00226282	0.00462716	0.00186158	0.0215752	0.0293549	0.0485401	0.0417865	0.049416	0.0453229	0.110774	0.0328641	0.310091	0.29952
á	0.000400348	0.000695444	0.00160509	0.00123402	0.000570302	0.00465721	0.00543324	0.0117723	0.0109412	0.0196889	0.0178284	0.0255139	0.00583605	0.408982	0.484842
</S>	0.000540556	0.00432153	0.0134737	0.0122436	0.0081721	0.0286954	0.0130127	0.00471502	0.0481159	0.0386051	0.0527715	0.0292907	0.065939	0.0833978	0.596705
