 	leur	mère	s'	occupe	de	son	mari	qui	est	souffrant	à	l'	hôpital	</S>
a	0.219251	0.0150053	0.261152	0.194329	0.0909163	0.0483641	0.016455	0.0205397	0.0179392	0.00647693	0.01781	0.0169926	0.00398648	0.0707834
k	0.00315598	0.00629202	0.0870928	0.553875	0.0279295	0.0237062	0.172933	0.0223386	0.0319199	0.0304694	0.00728926	0.00308141	0.0143213	0.0155954
ω	1.84273e-05	0.000234378	0.00553452	0.885802	0.0099466	0.0046403	0.00374119	0.00153756	0.00731051	0.0706298	0.00298839	0.000446527	0.00190307	0.00526691
n	9.67005e-05	0.00142921	0.00540918	0.916558	0.0172892	0.00506795	0.00819679	0.00232325	0.00301931	0.0312905	0.00449163	0.00216474	0.00055273	0.00211043
í	0.000995559	0.000415083	0.0341674	0.809362	0.03791	0.00938157	0.00349767	0.00566719	0.00765884	0.038625	0.01221	0.00353675	0.00210233	0.0344711
s	0.000764262	0.000105073	0.135456	0.0423824	0.583561	0.163151	0.00507258	0.017086	0.0143415	0.0074531	0.0137157	0.00954662	0.000404818	0.00696018
ω	0.00876518	0.000515875	0.0535472	0.119856	0.430699	0.195676	0.0677729	0.031214	0.00701679	0.00662822	0.0339677	0.0223274	0.00271127	0.0193028
o	0.000592032	0.000255408	0.0273598	0.0107888	0.311596	0.254786	0.244051	0.0873056	0.0185481	0.00595515	0.0140923	0.0112197	0.00351079	0.00993871
l	0.000101973	0.000191248	0.00654002	0.0300916	0.0369608	0.0712649	0.593606	0.06596	0.068592	0.0996916	0.0109953	0.00275486	0.0074197	0.00583006
ó	0.000116697	0.000296979	0.00697038	0.0223526	0.0122376	0.041842	0.746848	0.0403401	0.0301388	0.0652392	0.0161343	0.00293497	0.00512497	0.00942358
m	0.000116299	0.000157529	0.00302599	0.0120836	0.0132059	0.0195905	0.822993	0.0308865	0.0124238	0.0488889	0.0104306	0.00399983	0.013176	0.00902118
i	0.000240026	0.000273874	0.0126729	0.0054068	0.0827389	0.0633762	0.295237	0.241287	0.0941568	0.0580619	0.0813381	0.0248731	0.0190606	0.0212759
s	0.00120243	0.000193551	0.00989986	0.00258585	0.040139	0.0614582	0.0688546	0.22084	0.247803	0.0745395	0.0976695	0.101957	0.0109802	0.0618779
ó	0.000603229	0.000400514	0.0156762	0.00386169	0.0421153	0.0530857	0.319574	0.210943	0.0493907	0.0339443	0.100718	0.0465103	0.0210192	0.102158
p	0.00353649	0.000769109	0.00769744	0.0034955	0.0507312	0.052297	0.173089	0.175943	0.0397406	0.0982471	0.15357	0.133903	0.0789679	0.028012
i	0.000158222	0.000210364	0.00112859	0.0048302	0.0108201	0.0191	0.0120074	0.0138413	0.0405999	0.333795	0.0736158	0.0256333	0.442798	0.0214619
t	0.000132062	3.19344e-05	0.000598833	0.00215731	0.00582051	0.00935396	0.02342	0.0368443	0.0834006	0.210282	0.126055	0.0738739	0.345733	0.0822968
á	0.000514544	4.54555e-05	0.000724875	0.00511787	0.0033276	0.00247707	0.000534797	0.00378595	0.00929277	0.367936	0.046993	0.0409868	0.429968	0.0882949
á	0.00592106	0.000187668	0.00246513	0.000845394	0.0135335	0.0122334	0.00449758	0.0343455	0.0577171	0.0241233	0.146136	0.273469	0.238565	0.185961
l	0.00392122	0.000292209	0.0126014	0.00280993	0.0165707	0.017777	0.0315467	0.050976	0.0625383	0.0172415	0.175413	0.278905	0.0490952	0.280312
e	0.00167599	0.000294895	0.00721876	0.00375023	0.00824472	0.00611128	0.0140424	0.0403395	0.0483416	0.018187	0.106044	0.12907	0.0776485	0.539031
</S>	3.73594e-05	2.39082e-05	0.00195027	0.00101296	0.00659846	0.00723934	0.00847168	0.0345757	0.0469739	0.0257831	0.1464	0.221615	0.103379	0.395938
