 	la	manière	dont	sa	mère	l'	avait	d'	habillé	a	plu	aux	gens	</S>
á	0.00268326	0.00122463	0.0780792	0.0216857	0.211329	0.127755	0.0408208	0.0372268	0.406165	0.0231267	0.0196545	0.00872443	0.0016532	0.0198717
á	0.00536772	0.00210882	0.0762741	0.140404	0.127078	0.144459	0.12099	0.0922185	0.185119	0.0196043	0.00869312	0.0122661	0.0054755	0.0599408
s	0.002717	0.00191004	0.096701	0.308459	0.0818572	0.10472	0.111911	0.175306	0.0341063	0.0378791	0.00752576	0.0171357	0.00572631	0.0140468
í	0.00626389	0.00351326	0.0945541	0.251569	0.171513	0.205376	0.106941	0.122722	0.0100407	0.00363433	0.00103887	0.00692942	0.00438442	0.01152
n	0.00263906	0.00198756	0.0874857	0.261086	0.0540769	0.134497	0.228534	0.194519	0.00858475	0.013111	0.000554377	0.00345734	0.00573301	0.00373371
g	0.00272298	0.00404092	0.108151	0.243097	0.405531	0.11346	0.060632	0.0504769	0.000749532	0.00187511	0.00015151	0.0032416	0.00367692	0.00219274
ó	0.000256924	0.00171562	0.0372405	0.0133271	0.866553	0.0355601	0.0244587	0.0113627	0.00236757	0.0029533	0.000713583	0.00112082	0.00141032	0.00095938
o	0.000728621	0.00196438	0.0735088	0.046015	0.600205	0.151239	0.0394286	0.0431469	0.00241741	0.0127818	0.00432423	0.00695082	0.00884244	0.00844707
w	0.00123169	0.00235561	0.0471694	0.0627973	0.0390541	0.160269	0.153353	0.319744	0.0540502	0.12397	0.0209242	0.00874418	0.0031116	0.00322473
a	0.00873286	0.00721631	0.072792	0.0723937	0.0563237	0.149836	0.0782421	0.216418	0.0643414	0.0860683	0.108884	0.0253955	0.0118637	0.0414927
é	0.00272782	0.00150762	0.0271184	0.0922796	0.0094344	0.0730401	0.107551	0.298381	0.0598767	0.229433	0.0412645	0.027903	0.00795656	0.0215256
p	0.00102509	0.00104878	0.012821	0.00819855	0.00754662	0.0204363	0.0244266	0.0360516	0.17289	0.239777	0.435149	0.0119806	0.00226531	0.0263827
έ	0.000103969	7.77774e-05	0.00104509	0.00192384	0.00138891	0.0290748	0.0197057	0.028242	0.0551564	0.159623	0.627412	0.0327947	0.0148312	0.0286204
ε	0.000467811	0.000321849	0.00710224	0.0239091	0.00417451	0.0699531	0.051838	0.0666915	0.0238505	0.168421	0.195869	0.114923	0.0435872	0.228891
b	0.00479547	0.00119065	0.0130823	0.14447	0.00874718	0.0361236	0.078089	0.124761	0.010529	0.167659	0.0571771	0.2042	0.0969234	0.052253
a	0.000197984	0.000160895	0.00413793	0.146522	0.00182556	0.0672622	0.142401	0.0741658	0.0137315	0.0246909	0.0659488	0.0444678	0.375919	0.0385687
r	0.000332067	0.000345508	0.00419772	0.155471	0.00397579	0.0246078	0.0676002	0.0565271	0.00262313	0.0230786	0.0209734	0.116404	0.418191	0.105673
e	0.00408451	0.000670549	0.00482987	0.0630995	0.00331413	0.0818439	0.0855519	0.0476308	0.00894881	0.0549842	0.0199899	0.134935	0.176566	0.313551
e	0.000289772	0.000572825	0.00987077	0.0156361	0.00383059	0.0276919	0.0279169	0.0573081	0.00370474	0.164033	0.118342	0.321626	0.0905018	0.158676
s	0.000260985	0.000299444	0.00299403	0.00817462	0.000439112	0.00754722	0.0102783	0.00688921	0.00562556	0.0380822	0.428863	0.170252	0.071916	0.248379
ε	0.000664882	0.00043604	0.00565772	0.0273679	0.00141495	0.0161636	0.00839347	0.0072259	0.00627897	0.0299691	0.156504	0.33855	0.171264	0.23011
</S>	0.000427319	0.000127785	0.00058338	0.00385356	0.000149162	0.00290418	0.00270985	0.00196806	0.00135777	0.0123453	0.0990678	0.335587	0.0668965	0.472022
