 	la	mère	est	en	colère	contre	sa	fille	qui	s'	est	livrée	à	la	débauche	</S>
a	0.00468556	1.03102e-05	0.0108272	0.073398	0.272637	0.312224	0.125522	0.0119242	0.0410467	0.0275231	0.0234149	0.0095405	0.0263196	0.0144489	0.00152838	0.0449498
m	0.00152129	3.16036e-05	0.00414863	0.00603078	0.0701926	0.263907	0.335549	0.0849512	0.0995915	0.0478308	0.0454499	0.0131892	0.00971693	0.00686243	0.000960048	0.0100671
w	0.000136425	2.12662e-06	0.00154821	0.00111755	0.0019557	0.0210241	0.156669	0.729671	0.034116	0.0191801	0.0156414	0.00578214	0.0047145	0.00100311	3.66165e-05	0.00740247
á	0.000111458	3.71225e-07	0.000906924	0.000499473	0.00189228	0.0138129	0.0120015	0.947186	0.0120198	0.00320499	0.0021706	0.00466638	0.000519765	8.10282e-05	6.23004e-05	0.000863989
n	0.00465359	4.36505e-06	0.000888398	0.00254751	0.0109752	0.0314685	0.152943	0.744068	0.0238434	0.0150044	0.00441609	0.00257164	0.00215566	0.000677211	8.42603e-05	0.00369848
a	0.00651254	0.000142594	0.0094274	0.0289336	0.01883	0.0378091	0.109255	0.627094	0.0382826	0.0381873	0.023498	0.0239981	0.014643	0.00425746	0.000271712	0.018858
y	0.0140997	0.000195646	0.010773	0.0323156	0.0550992	0.0447495	0.188367	0.0164455	0.252925	0.0943407	0.155893	0.0610752	0.0410466	0.0240105	0.00354108	0.00512358
a	0.00132753	6.64833e-05	0.00845877	0.016413	0.0609855	0.0707915	0.159365	0.0683088	0.31345	0.0552864	0.0899814	0.119163	0.0150858	0.00910226	0.0028639	0.00935013
w	0.000458161	6.02332e-05	0.000603265	0.00154375	0.0112165	0.0256897	0.153566	0.0248404	0.384137	0.132742	0.188616	0.0425093	0.016292	0.0109851	0.00107856	0.00566185
a	0.000292414	4.96646e-05	0.00244944	0.0367767	0.11207	0.0630204	0.0636269	0.0222223	0.0975303	0.0588137	0.0630127	0.233391	0.0838121	0.0570077	0.0106089	0.0953159
y	0.000315348	1.00537e-05	0.000849008	0.00579888	0.0184426	0.0290347	0.0650703	0.0144944	0.306415	0.0756551	0.125253	0.144024	0.088746	0.0631355	0.0150892	0.0476674
o	0.00017376	2.3058e-05	0.00265408	0.00421069	0.0164116	0.0297121	0.108483	0.0216978	0.290708	0.0900238	0.144067	0.241919	0.0265962	0.0117496	0.006582	0.00498807
y	0.00021157	1.0532e-05	0.000153812	0.000294589	0.00260413	0.00686437	0.0615782	0.00565342	0.252533	0.187276	0.30922	0.0966033	0.0423873	0.0229513	0.00453084	0.00712797
ú	0.000302533	0.000194027	0.00293186	0.0107112	0.0263477	0.0152109	0.056776	0.00401541	0.19485	0.0801264	0.154533	0.342235	0.0554282	0.0378193	0.0118102	0.00670834
r	0.000333584	4.48846e-06	0.000136345	0.000896221	0.00193028	0.00403025	0.0395821	0.00574683	0.123842	0.0651529	0.208262	0.341444	0.0481278	0.043609	0.0456906	0.071211
u	0.00181097	2.05941e-06	0.000356807	0.00377332	0.0178245	0.0111207	0.0430698	0.00894775	0.155275	0.0708519	0.232227	0.364405	0.0429594	0.0196836	0.00919804	0.0184944
y	0.000378891	6.55086e-06	0.000270865	0.00105715	0.00196961	0.00347862	0.0187594	0.000968249	0.171334	0.168535	0.266471	0.0586462	0.198939	0.0903598	0.00296437	0.0158609
e	0.00022761	1.67719e-05	0.003116	0.00382106	0.0059492	0.0105699	0.0621733	0.00911149	0.26858	0.10845	0.169808	0.277304	0.0420785	0.0255992	0.00303538	0.0101587
é	0.000209195	3.80425e-05	0.000424501	0.000962052	0.00117378	0.00203634	0.0247686	0.00151619	0.136394	0.221068	0.194043	0.0866539	0.146828	0.15539	0.00628672	0.0222065
m	1.29172e-05	4.04137e-05	0.00211951	0.0100637	0.00465737	0.00883372	0.00573559	0.000239453	0.0148925	0.05963	0.0594319	0.0539608	0.250126	0.387666	0.0610514	0.0815385
i	5.75404e-06	1.40725e-06	0.00168199	0.00357716	0.000512143	0.00243152	0.0180956	0.00350131	0.0183871	0.0869866	0.0627374	0.0851619	0.201967	0.374226	0.00842135	0.132305
p	3.42454e-06	2.43884e-06	0.00160352	0.0103446	0.00422875	0.00879547	0.0054366	0.000361618	0.00758013	0.0204209	0.0382936	0.10673	0.0837107	0.226774	0.274081	0.211633
f	1.24405e-07	3.6338e-07	4.60426e-05	0.000693302	0.00174453	0.00110907	0.000187676	4.44716e-05	0.000952431	0.0019668	0.00304381	0.0967995	0.00667705	0.0177291	0.834119	0.0348864
u	5.19607e-07	3.70156e-07	5.99645e-05	0.000985538	0.0033947	0.00106455	0.000325623	3.09772e-05	0.00079318	0.00168506	0.00265342	0.0779943	0.00553356	0.025553	0.796184	0.0837417
u	0.000457534	1.15428e-05	0.000120876	0.000464361	0.00273185	0.00213633	0.00630316	0.00056588	0.0121287	0.0076092	0.0192133	0.210003	0.0227323	0.0576118	0.5357	0.12221
g	0.000181728	3.80718e-07	0.000123198	0.000485347	0.00112244	0.000684694	0.00313285	0.000139459	0.0105633	0.0185583	0.0494814	0.0500014	0.0684866	0.161991	0.138572	0.496476
h	0.000108194	4.97588e-07	4.45867e-05	0.00102438	0.00330085	0.0022238	0.0157439	0.000661913	0.0223977	0.0511828	0.0466812	0.0596374	0.119431	0.220542	0.105158	0.351862
á	0.00027562	1.07513e-05	8.16432e-05	0.000744067	0.00231607	0.00164238	0.0321288	0.00181065	0.0446118	0.10635	0.192694	0.0811516	0.0982775	0.183617	0.103614	0.150674
m	3.16762e-05	2.94424e-07	8.48223e-05	0.000446683	0.00111201	0.000885846	0.00653802	0.000686353	0.0215874	0.0590717	0.077825	0.0800074	0.0682815	0.134931	0.120438	0.428072
ó	0.000218612	5.55916e-07	0.00131598	0.00194496	0.00139339	0.00279284	0.0539597	0.0395001	0.0572441	0.136169	0.0887813	0.113061	0.0987843	0.125702	0.0408492	0.238282
k	0.000118282	3.59422e-06	0.000583243	0.00145706	0.00189638	0.0105766	0.0288066	0.00247277	0.0329691	0.0941511	0.122506	0.0252217	0.0793652	0.273116	0.135141	0.191615
o	2.79241e-05	9.33015e-07	4.07243e-05	0.000359635	0.00288084	0.00763999	0.00255474	0.000137246	0.00456642	0.0081793	0.0084056	0.0168252	0.00927075	0.019687	0.750026	0.169398
l	0.00013684	1.19881e-06	6.97539e-05	0.000531918	0.00219599	0.00352628	0.00296765	0.000392994	0.00801031	0.0185095	0.0202363	0.157279	0.0165401	0.0166856	0.680982	0.0719346
á	3.66111e-05	6.57375e-07	5.33457e-05	0.00115248	0.00272017	0.00266909	0.00137448	0.000133209	0.00469837	0.00904365	0.017726	0.0327546	0.0445979	0.0835955	0.484336	0.315108
</S>	0.00240857	0.000155431	0.00120581	0.0028104	0.00292461	0.00412429	0.0405171	0.00694551	0.0493662	0.099011	0.0919816	0.0282661	0.0688896	0.186958	0.0841428	0.330293
