 	a	d	i	í	o	k	y	á	e	b	v	é	b	v	e	é	ó	b	o	s	ó	b	á	b	o	l	a	k	a	á	</S>
genoux	0.0280549	0.0288522	0.0412554	0.0490223	0.0236768	0.0109418	0.0070908	0.00745648	0.00558152	0.00510904	0.00477723	0.00571001	0.00675937	0.0115896	0.0161162	0.0218738	0.0380538	0.0336169	0.0432281	0.0244349	0.0291134	0.0155982	0.0126987	0.014455	0.0373751	0.0626511	0.0762061	0.0762529	0.0787723	0.0787567	0.104919
en	0.0472709	0.0512111	0.0708213	0.0610824	0.0285109	0.0159265	0.0129133	0.0152952	0.0104174	0.00935507	0.00890282	0.010157	0.0108342	0.00974925	0.00874907	0.00778848	0.0140344	0.0179556	0.0205807	0.0144488	0.018137	0.0116627	0.0126991	0.0209226	0.0279404	0.0426467	0.0523437	0.0628651	0.0711158	0.0793649	0.154298
montrant	0.0172154	0.0243006	0.0376925	0.0464959	0.0264793	0.0181359	0.0131421	0.0143381	0.0135478	0.0145603	0.0160211	0.0134667	0.0111635	0.0134559	0.0117578	0.0190189	0.020346	0.0296838	0.031658	0.0216301	0.0287595	0.0228129	0.021962	0.0230762	0.0395397	0.0551613	0.0620857	0.0754051	0.0752735	0.0750804	0.106734
ses	0.0363855	0.0185056	0.0188013	0.0194421	0.0178952	0.0165082	0.0149167	0.0142462	0.0130803	0.0119483	0.0135363	0.0129039	0.00944297	0.0110914	0.017632	0.0210134	0.0225048	0.0226602	0.0171289	0.0184095	0.0194552	0.0295243	0.0455329	0.0743171	0.0728736	0.059789	0.0516751	0.0519214	0.0586504	0.0783945	0.109814
fesses	0.0708819	0.0668703	0.076277	0.0950866	0.0293107	0.0173398	0.0117022	0.0116155	0.00879349	0.00724738	0.00568143	0.00517733	0.00651123	0.00624283	0.0137535	0.0198316	0.0329475	0.0340304	0.0407737	0.0324146	0.0365965	0.0336421	0.0283229	0.0301688	0.0365061	0.0365763	0.0347498	0.0356343	0.0364382	0.0385323	0.0603439
nues	0.0333577	0.0348604	0.0485656	0.0382792	0.0159108	0.0124451	0.0116356	0.0171251	0.012225	0.01377	0.014417	0.0145284	0.0131912	0.00866103	0.010646	0.0176247	0.0399191	0.0465021	0.0502365	0.0292274	0.0451295	0.0346402	0.0288767	0.0175758	0.0208614	0.0265254	0.0290199	0.0407619	0.0508633	0.0679252	0.154693
devant	0.15042	0.066375	0.040546	0.0396177	0.0231232	0.0208727	0.0207399	0.0225598	0.0220488	0.02506	0.0239974	0.0283424	0.0204055	0.00612923	0.013431	0.0147727	0.0210703	0.0234235	0.016032	0.019748	0.0305273	0.0379212	0.0324	0.0300612	0.0361745	0.0262307	0.0200481	0.0215606	0.0220269	0.0293271	0.0950072
son	0.0654013	0.087464	0.1469	0.10587	0.0404632	0.035911	0.032496	0.0397073	0.0291111	0.029624	0.0309468	0.0332767	0.0380841	0.0185938	0.0198562	0.014445	0.0126356	0.00906867	0.00652951	0.00389501	0.00583499	0.0039205	0.00330592	0.00465368	0.00663099	0.0108199	0.00883389	0.0198927	0.0258243	0.0256647	0.084339
frère	0.0603953	0.077365	0.0994861	0.100678	0.0638967	0.0444161	0.0409474	0.0448689	0.0277906	0.0189039	0.0119344	0.0128224	0.0122613	0.00681801	0.00661887	0.00549485	0.00440214	0.00560676	0.00472113	0.00330438	0.00821328	0.00503246	0.00407118	0.00836285	0.0181974	0.0341873	0.0291989	0.0613258	0.0538219	0.0358954	0.0889616
ou	0.0235847	0.0214568	0.0297361	0.0379412	0.0205024	0.0272132	0.023847	0.0332996	0.0233271	0.0217329	0.0190441	0.0132725	0.0117703	0.020697	0.0187981	0.0169692	0.0181029	0.0154728	0.0167935	0.011642	0.0258082	0.0210208	0.0226517	0.0160296	0.0257313	0.0381515	0.0388803	0.0545081	0.0702646	0.093153	0.168597
sa	0.0768338	0.052755	0.0473783	0.0319169	0.0108696	0.00985025	0.00920265	0.0115742	0.0111849	0.0132086	0.0159311	0.0190232	0.0266405	0.0496609	0.0406194	0.056898	0.0606327	0.0342775	0.0178411	0.00891461	0.0186689	0.0169972	0.0150989	0.0185884	0.0251402	0.0270051	0.0227639	0.030389	0.0377663	0.0568345	0.125534
soeur	0.0599409	0.0728382	0.0737033	0.0474408	0.037826	0.0282935	0.0213446	0.0216636	0.0136663	0.0114074	0.0103084	0.00823119	0.00467955	0.00566712	0.00886315	0.0105869	0.0143551	0.0176266	0.01302	0.0129052	0.0205297	0.0144854	0.0143295	0.0172716	0.0287582	0.0405735	0.0452263	0.0557354	0.0630888	0.0777159	0.127918
</S>	0.0527776	0.0452472	0.0523117	0.0581406	0.0260486	0.0265015	0.0190406	0.0201849	0.0153124	0.0148914	0.00992087	0.00942321	0.0189628	0.037206	0.029654	0.0220026	0.0400688	0.0231863	0.0182339	0.0152492	0.0253009	0.0188699	0.0200091	0.0218547	0.0340023	0.0446275	0.0390765	0.0464537	0.0574228	0.0635335	0.074485
