 	o	k	o	n	d	z	i	y	a	p	o	o	á	k	w	ε	r	i	l	e	b	a	o	w	á	r	e	b	á	n	a	b	á	n	d	z	é	s	i	á	d	í	o	b	v	ú	r	á	o	d	z	w	á	o	s	a	n	á	á	s	á	l	e	k	ώ	ώ	l	i	k	a	á	</S>
les	0.0522181	0.0423685	0.0306651	0.0369172	0.0308069	0.0184532	0.00828682	0.0122823	0.00853471	0.0107612	0.0067383	0.00600344	0.00670063	0.00470762	0.00437741	0.00504575	0.00537217	0.0107424	0.0174028	0.0255045	0.0176691	0.0149266	0.0137059	0.00580806	0.0107486	0.0115073	0.00895631	0.011824	0.0132628	0.0101499	0.0136036	0.0137331	0.00838667	0.011222	0.00927788	0.00599079	0.00629671	0.00623411	0.00738726	0.00692968	0.00681635	0.00780531	0.0107003	0.00829674	0.00816122	0.00954752	0.0165852	0.0121715	0.0112716	0.0107595	0.0120357	0.00908718	0.0111965	0.0136623	0.0119286	0.013092	0.0131275	0.0146469	0.0187746	0.0205392	0.0158909	0.018924	0.0186499	0.0162002	0.0155466	0.0172336	0.0187879	0.0100738	0.014499	0.0124595	0.0190726	0.0309468
petits	0.0555764	0.0186485	0.00937032	0.00749804	0.00456214	0.00324243	0.0030889	0.0033456	0.00371029	0.00413145	0.0042463	0.00510152	0.00492163	0.00560149	0.00390225	0.00703834	0.00725962	0.0104348	0.0155284	0.0121737	0.020238	0.0107418	0.0132997	0.0192341	0.0256885	0.0101736	0.00590778	0.00866579	0.0150093	0.0159709	0.017176	0.0204495	0.0198805	0.0218517	0.0172509	0.0103147	0.0131202	0.010885	0.0149521	0.0144851	0.0105801	0.0115297	0.0206213	0.009621	0.0132511	0.0116155	0.00940218	0.0120576	0.00731324	0.00795272	0.00984273	0.00980482	0.0113642	0.00788065	0.0104113	0.00982534	0.0100377	0.00723922	0.01207	0.0183542	0.0149669	0.0151193	0.0122387	0.0120618	0.010478	0.0226104	0.0228862	0.0272268	0.0257938	0.0288087	0.0429341	0.0494236
enfants	0.0167639	0.00985483	0.00651885	0.00484395	0.00322765	0.00216538	0.0016831	0.00205928	0.00211557	0.00195701	0.00221943	0.00278654	0.00201096	0.00354041	0.00224736	0.00485496	0.00525743	0.00485967	0.00886049	0.0105452	0.016257	0.00658493	0.0144144	0.0105409	0.0123434	0.00925942	0.00463701	0.0119981	0.010983	0.00990086	0.0168694	0.016414	0.0176285	0.022581	0.0151327	0.0103868	0.0200911	0.0127126	0.0178748	0.0158032	0.0183122	0.0164767	0.0242066	0.0150294	0.0173379	0.0153239	0.0119405	0.0152893	0.0109212	0.011443	0.0159846	0.0105007	0.0172432	0.0162867	0.0137853	0.0159917	0.0123061	0.0128984	0.0214619	0.0340926	0.0228159	0.0270148	0.0159403	0.0146265	0.0114341	0.0223389	0.0216276	0.0300913	0.0268176	0.028434	0.0368406	0.0444013
ne	0.0108557	0.00807085	0.0071317	0.00653589	0.00458362	0.00407334	0.0035996	0.00446664	0.00433352	0.00304898	0.00280002	0.0036396	0.00211025	0.00402907	0.00288896	0.00519721	0.00601905	0.0057278	0.0114528	0.0158024	0.01938	0.0131226	0.0164621	0.00599276	0.0112018	0.0120702	0.00971317	0.0153868	0.0159428	0.0140807	0.0251683	0.0223847	0.0225972	0.0287574	0.0180404	0.00820454	0.0167281	0.0109468	0.0164202	0.0131669	0.0140806	0.0147314	0.0199928	0.0127008	0.0164838	0.0170912	0.0138114	0.016346	0.0128494	0.0139568	0.0223111	0.0110654	0.0210507	0.0218951	0.0170873	0.0179327	0.0143344	0.01412	0.0180995	0.0265566	0.0201361	0.0253261	0.0184657	0.0126973	0.0104916	0.0147428	0.0139038	0.02051	0.022116	0.0193384	0.0223187	0.0313218
doivent	0.0264797	0.0227357	0.0199109	0.0194128	0.0135713	0.0166809	0.0160081	0.017473	0.0173376	0.0134773	0.0118271	0.00795153	0.00932522	0.00898337	0.00878435	0.0135844	0.0132885	0.0233034	0.0435241	0.0203639	0.0327942	0.0292233	0.0195647	0.0085892	0.0216989	0.0198802	0.0120195	0.0162927	0.0239725	0.0148787	0.0219985	0.014737	0.00890761	0.0130583	0.00911178	0.009622	0.00810027	0.00864744	0.0112383	0.0104991	0.00868807	0.0136762	0.0127114	0.0113072	0.0114358	0.0116689	0.0124146	0.0125307	0.0101208	0.00948912	0.00936722	0.00899075	0.0100553	0.0120795	0.0103277	0.0113484	0.0123485	0.00973009	0.0120572	0.0154183	0.00795284	0.0105968	0.00748115	0.00965098	0.00988892	0.0106868	0.0101982	0.0107351	0.0102205	0.00821981	0.0101546	0.00959134
plus	0.0434208	0.0139252	0.00764137	0.00571129	0.00501402	0.0046009	0.00389576	0.00416921	0.00363143	0.00368986	0.00445861	0.00503031	0.00386429	0.00434031	0.00431012	0.00836353	0.0100043	0.0149195	0.0244613	0.0274812	0.0312787	0.0209413	0.0303199	0.0138657	0.0303639	0.0177867	0.0116018	0.0241916	0.0327017	0.0314741	0.0406523	0.0309007	0.022157	0.0284195	0.0192033	0.00906683	0.0158788	0.0120497	0.0210505	0.0155915	0.0149636	0.0124999	0.0173444	0.0106023	0.0119169	0.00981778	0.0110489	0.0115587	0.00833096	0.00815478	0.0135003	0.00871658	0.0123221	0.00934445	0.00942018	0.0112322	0.00955295	0.00694367	0.0104885	0.0164478	0.00866244	0.0156398	0.00948294	0.00834703	0.00807315	0.00692822	0.0065319	0.00821403	0.00651159	0.00693571	0.00910524	0.0189323
aller	0.0517984	0.0174936	0.00931115	0.00677354	0.00578932	0.00505092	0.00424686	0.00407806	0.00369951	0.00413883	0.00445804	0.00524982	0.00373338	0.00408644	0.00395125	0.0101238	0.0104652	0.0178017	0.0294983	0.0282246	0.0321143	0.0208307	0.0329253	0.0117555	0.0350482	0.0168557	0.011316	0.0232409	0.0330614	0.0318883	0.039276	0.0325956	0.0217071	0.0263069	0.0187862	0.00810726	0.0116671	0.00955913	0.0159982	0.0118917	0.0103899	0.0095955	0.0159555	0.00916087	0.0150757	0.0118338	0.0117081	0.0134481	0.00855333	0.00850589	0.0147923	0.00852207	0.0127219	0.0105336	0.0101446	0.0121101	0.00915988	0.00746293	0.00897491	0.0124146	0.00663004	0.00993167	0.00663153	0.0045084	0.00468261	0.00599087	0.00683406	0.00831322	0.0066499	0.00827906	0.0116384	0.0239425
s'	0.00907443	0.00734948	0.00744733	0.00807003	0.00693579	0.00754635	0.00820223	0.00835304	0.00810263	0.00780169	0.00767538	0.00754131	0.00539336	0.00852307	0.00734548	0.00914489	0.00866843	0.0100644	0.0157525	0.0170399	0.0307061	0.0184369	0.0277047	0.0195751	0.0241148	0.0333265	0.0180342	0.0393113	0.0241251	0.0259883	0.0273166	0.0214651	0.0184819	0.0245781	0.0147491	0.0118992	0.0126346	0.0111214	0.0131943	0.0127721	0.0117358	0.011022	0.0163444	0.0111251	0.0172718	0.0171264	0.0120321	0.0183188	0.0100583	0.0125709	0.014902	0.0139109	0.0182368	0.0156583	0.014877	0.0162489	0.0114259	0.0105223	0.0112999	0.0131552	0.00724272	0.0118099	0.00639282	0.00554022	0.00499739	0.00682732	0.00761145	0.00821791	0.00848854	0.00918557	0.0124061	0.02787
amuser	0.00739439	0.00399101	0.0027966	0.00215677	0.00144534	0.00164559	0.00144052	0.00153684	0.00190555	0.00218408	0.00282429	0.00316144	0.00247343	0.00316075	0.00289519	0.0043395	0.00534754	0.00444426	0.00829892	0.00707677	0.0133476	0.00488295	0.0112768	0.00498771	0.0130384	0.0119323	0.00654477	0.0165927	0.0114414	0.0158052	0.0251207	0.0267442	0.0274794	0.0360932	0.0259017	0.015246	0.0210859	0.0147305	0.0173579	0.0192558	0.0169161	0.0200795	0.0244669	0.0191954	0.0262429	0.0292117	0.0185146	0.0265668	0.0160558	0.0174723	0.0232813	0.0155349	0.0288983	0.0262343	0.0196795	0.0234544	0.0163024	0.0131812	0.0179105	0.0200085	0.0141437	0.0133878	0.00806341	0.00623548	0.0041723	0.00858914	0.00896567	0.0162915	0.0140084	0.0182246	0.0236067	0.0357204
dans	0.0157853	0.0130462	0.0103307	0.00852599	0.00853607	0.00808563	0.00845132	0.00762034	0.00745259	0.00701478	0.00751935	0.00631672	0.00589714	0.00584234	0.0079861	0.00809614	0.00983339	0.011523	0.0121371	0.014023	0.0151579	0.0121245	0.0142859	0.0110806	0.0139282	0.0135792	0.0130009	0.0137417	0.014087	0.0135561	0.0133733	0.0138369	0.0132993	0.0152025	0.0142377	0.0139839	0.0162623	0.0157251	0.0138001	0.0167967	0.0162891	0.0145115	0.0163091	0.0158206	0.0141107	0.0158046	0.0172544	0.0173066	0.0186084	0.0159111	0.0163486	0.0143802	0.0154853	0.0207144	0.0157758	0.0199236	0.0181373	0.0192733	0.0250565	0.0173661	0.0220935	0.0143475	0.0124158	0.0116679	0.0132624	0.015119	0.0168913	0.0122668	0.0129658	0.0153428	0.0157885	0.0283685
la	0.0359004	0.0158872	0.00957937	0.00715538	0.00743765	0.00669216	0.00576421	0.00447728	0.00440435	0.00459881	0.00487188	0.00514176	0.00377446	0.00339221	0.00556878	0.00619648	0.00822264	0.00779813	0.0107773	0.00945097	0.0174705	0.00797774	0.0157887	0.0102953	0.0186241	0.0105399	0.00810392	0.0143634	0.0159904	0.0187594	0.0198549	0.0220943	0.0165545	0.0222259	0.0192479	0.0118983	0.0165306	0.0143712	0.0138474	0.0173312	0.0168883	0.0134583	0.0199537	0.0162371	0.0135251	0.015944	0.0178308	0.0207951	0.0159672	0.0141844	0.0182125	0.0131592	0.0182445	0.0198949	0.0161025	0.0236303	0.0161589	0.0141465	0.0232063	0.0148572	0.0145934	0.0112835	0.0083	0.0072815	0.00779515	0.0133104	0.0191018	0.012066	0.00830401	0.0167614	0.0197504	0.0400947
cour	0.0122529	0.00509407	0.00460993	0.00415583	0.00333822	0.00319742	0.00207069	0.00203894	0.00181595	0.00205956	0.00201642	0.00234492	0.00230011	0.00253703	0.00221593	0.00298055	0.00332235	0.00412469	0.00768376	0.00886344	0.0143247	0.00634115	0.0101993	0.00828226	0.014282	0.0115334	0.00661428	0.017947	0.0154159	0.0225132	0.0344186	0.0415813	0.0252973	0.0312133	0.0267973	0.00927875	0.018039	0.0124327	0.0129308	0.0159705	0.0125871	0.0111413	0.0171866	0.013027	0.0116308	0.0153069	0.0148551	0.0194605	0.0141266	0.0140118	0.0213181	0.0105914	0.0238649	0.0248496	0.0197507	0.0295301	0.0144921	0.012904	0.0241819	0.0220324	0.0185048	0.0140416	0.0106309	0.00788777	0.00711702	0.0115906	0.0134744	0.0193469	0.0155271	0.0213219	0.0307778	0.0484947
de	0.00638195	0.00456482	0.00384461	0.00423517	0.00326336	0.003634	0.00404767	0.00386642	0.00539214	0.00583583	0.00688874	0.00627473	0.00427384	0.00337035	0.0040525	0.00396177	0.00673065	0.00761851	0.00764367	0.0101585	0.0127071	0.00676282	0.0113445	0.00576427	0.0123217	0.0123412	0.0103146	0.0138131	0.012976	0.0163193	0.016317	0.0200955	0.0187354	0.0258468	0.0177224	0.01427	0.0210072	0.0197904	0.0194011	0.0206491	0.0173017	0.0152156	0.0202527	0.0166817	0.0229867	0.0273867	0.0210411	0.0272834	0.0203731	0.0200377	0.0247179	0.0204038	0.0243166	0.0264715	0.0205906	0.0290403	0.0200872	0.0206692	0.0222764	0.0181295	0.0181515	0.0167744	0.0134069	0.0145517	0.0111157	0.00678471	0.00761856	0.00799218	0.00869347	0.00855611	0.0115029	0.0250498
l'	0.0368059	0.0137478	0.00943857	0.00726014	0.00403358	0.00497471	0.0036626	0.00436766	0.00394383	0.00355199	0.00335836	0.00308446	0.00306186	0.00426117	0.00287926	0.00455524	0.00572214	0.00825965	0.0124253	0.0168438	0.0246443	0.00612543	0.0155073	0.0106873	0.0158494	0.0133664	0.00665296	0.0165634	0.0200382	0.0166647	0.0202348	0.0211444	0.0110182	0.0167727	0.0111814	0.0072488	0.0107436	0.0086492	0.0108435	0.0102957	0.00909954	0.00807958	0.0150262	0.00911356	0.0122008	0.0149908	0.0134067	0.0193233	0.0103729	0.0106307	0.0134302	0.00830342	0.0155063	0.0188708	0.014648	0.0199166	0.0149872	0.0147752	0.0228245	0.0246413	0.0194164	0.0179673	0.0136947	0.0151888	0.0127198	0.0184698	0.0214333	0.0232496	0.0201156	0.0247456	0.0291521	0.06323
école	0.0339761	0.0171169	0.0122459	0.00986837	0.00512382	0.00324729	0.00253735	0.00281282	0.00274083	0.00235452	0.00216248	0.00233331	0.0023011	0.00316143	0.0022634	0.00460121	0.00606357	0.00574188	0.00907282	0.0111455	0.0174245	0.00550408	0.0140675	0.0108049	0.0140486	0.0083366	0.00383487	0.0116121	0.00929227	0.00964604	0.0130365	0.016213	0.0116704	0.0150348	0.0129485	0.00798208	0.0125186	0.00927241	0.00969088	0.0115428	0.00901843	0.00945947	0.0134418	0.0095026	0.0102348	0.0123238	0.010504	0.0145656	0.0103342	0.00976649	0.0109538	0.00769872	0.0147866	0.016627	0.0131523	0.0179489	0.0106114	0.0103846	0.0183449	0.0238046	0.019909	0.0157746	0.0138866	0.0132854	0.0132102	0.0311829	0.0282146	0.0432696	0.0368726	0.0419823	0.0507015	0.0728945
</S>	0.0145231	0.00998771	0.00682351	0.00498953	0.00315462	0.00317803	0.00376619	0.00393139	0.00505628	0.00409743	0.00551421	0.00571527	0.00319259	0.00644095	0.0066874	0.00670164	0.0093547	0.0110183	0.0112507	0.0108668	0.0123057	0.00780184	0.00962853	0.0098003	0.0120126	0.00924209	0.00684674	0.00860381	0.00927397	0.00893144	0.010397	0.0118467	0.0141683	0.0193223	0.0114469	0.0107236	0.0150042	0.0129983	0.0196183	0.0151539	0.0162775	0.0146417	0.0236543	0.0137642	0.0215233	0.0165562	0.0162936	0.018072	0.0135223	0.0114066	0.016814	0.0106834	0.0133478	0.0174929	0.0104273	0.0139658	0.0155077	0.0172859	0.0242547	0.0239425	0.0234757	0.0280241	0.0205992	0.01867	0.0148483	0.0175821	0.0210649	0.0229914	0.0238968	0.0267577	0.0289294	0.0523503
