 	n	g	á	i	d	í	l	o	l	ε	n	d	i	m	á	b	a	r	e	b	á	p	o	o	y	é	b	á	á	t	ó	n	í	o	b	é	r	á	n	g	á	o	p	i	t	á	á	l	e	é	d	z	e	n	g	á	l	i	k	ω	n	í	</S>
ont	0.0139082	0.0131744	0.00966239	0.00880732	0.0089453	0.010463	0.00846832	0.00636681	0.00469231	0.00521227	0.0042924	0.003969	0.00343755	0.00440667	0.00418082	0.00412713	0.00437849	0.00538015	0.00626202	0.00588555	0.00898065	0.0098221	0.0108896	0.0113051	0.00964456	0.0150926	0.0150956	0.0128936	0.0174544	0.0184826	0.0156377	0.018564	0.0142826	0.0207106	0.0232443	0.0090701	0.0173866	0.0175145	0.0126968	0.021438	0.024957	0.0162326	0.0220754	0.0186928	0.0235897	0.017495	0.0236363	0.0226758	0.018649	0.018678	0.0169548	0.0157942	0.0170725	0.0148416	0.0230528	0.019475	0.0288377	0.0307877	0.0273926	0.0478527	0.0402158	0.0421532	0.0326617
refusé	0.0119108	0.0106419	0.00785616	0.00734668	0.00894664	0.0123471	0.0108164	0.0121585	0.00613151	0.00662156	0.00449778	0.00389884	0.00271365	0.00385179	0.00332211	0.00398947	0.00407103	0.00585144	0.00667562	0.00616193	0.00973597	0.0117322	0.0128169	0.0147729	0.0118941	0.0183306	0.0195854	0.0173487	0.0220001	0.0251846	0.0206998	0.0260683	0.0182226	0.0320512	0.0331211	0.015551	0.0270158	0.0266582	0.0209949	0.0278211	0.0240587	0.0219636	0.023259	0.0195375	0.019935	0.0177862	0.0209647	0.0194879	0.0161151	0.0133727	0.0131849	0.0109565	0.0119161	0.0105041	0.0185433	0.0155756	0.0213948	0.0218804	0.0214619	0.0269065	0.0260256	0.0269044	0.026849
de	0.033245	0.0184054	0.0153323	0.0122377	0.0201217	0.02312	0.0152578	0.0200326	0.0123102	0.0288779	0.0197365	0.012169	0.00526866	0.00728951	0.00603026	0.00596095	0.00625465	0.00774908	0.00652383	0.00695709	0.0114866	0.0138936	0.0188935	0.0225773	0.0127026	0.018007	0.0171766	0.0119216	0.014427	0.0153545	0.0124453	0.0161264	0.006775	0.0222388	0.0142475	0.00954116	0.0140106	0.0145209	0.0156306	0.015405	0.0223514	0.024905	0.0186724	0.0201616	0.0155987	0.0158308	0.0143887	0.0146004	0.0131428	0.0128082	0.0156804	0.0148657	0.0188161	0.0176918	0.0146108	0.014728	0.0161446	0.0203403	0.0170031	0.0238331	0.0206	0.022569	0.0303954
m'	0.0309874	0.0181163	0.0158318	0.0135574	0.0111482	0.0133686	0.0116023	0.0142195	0.00902687	0.0161002	0.00912122	0.00677089	0.00533284	0.00536813	0.00500143	0.00608282	0.00553328	0.00785347	0.00933788	0.0110779	0.0160941	0.014706	0.0165381	0.0163003	0.0116778	0.0201933	0.020487	0.0160025	0.0260469	0.0244802	0.0151627	0.0228489	0.00937372	0.0270804	0.0172596	0.00838527	0.0146528	0.0165387	0.0153712	0.0231775	0.0237957	0.0243628	0.0187208	0.0126998	0.017333	0.0136444	0.0171679	0.01361	0.0105369	0.00993854	0.0123714	0.00912409	0.0127794	0.0114283	0.0121354	0.0126823	0.0170321	0.0189757	0.018014	0.0260571	0.0272112	0.0328541	0.0497098
emmener	0.0298715	0.0189729	0.015884	0.0128978	0.0102278	0.00953308	0.00632258	0.00570985	0.00514148	0.0059689	0.00413322	0.0033627	0.0029051	0.00279509	0.00293486	0.00334553	0.00301353	0.00394722	0.00419838	0.00522779	0.00691882	0.0087548	0.011465	0.0116911	0.00894441	0.0173562	0.0171776	0.0105942	0.0177574	0.0189852	0.0140684	0.0238614	0.00841654	0.0255917	0.0212971	0.0106918	0.0186845	0.0204557	0.0201415	0.0205524	0.0280587	0.0239274	0.0251304	0.0161021	0.0272923	0.0210412	0.0264571	0.0180883	0.016546	0.0161941	0.0146949	0.0112408	0.0126396	0.0107486	0.0198957	0.0168062	0.0230577	0.0221434	0.0277036	0.0283782	0.0345506	0.0375018	0.0520022
à	0.0178176	0.0145739	0.0103154	0.00898989	0.00836695	0.0057712	0.00472205	0.0050324	0.00467481	0.00821161	0.008805	0.0087541	0.00805463	0.00850432	0.00809854	0.00820205	0.00794059	0.00849587	0.0080243	0.00654747	0.00882748	0.0107742	0.013565	0.0135358	0.0125119	0.0227817	0.0262084	0.0151823	0.0289597	0.0283879	0.0239505	0.031338	0.0321111	0.0309202	0.03143	0.0235449	0.0232492	0.0228658	0.0208874	0.0174126	0.0171883	0.0166965	0.0188885	0.0198646	0.021959	0.0184677	0.0182978	0.0142833	0.0154177	0.0170177	0.0141334	0.0123914	0.0132419	0.0120171	0.0138277	0.0154784	0.015346	0.0135894	0.0166396	0.0161784	0.0176333	0.0189355	0.0341602
l'	0.04279	0.027933	0.0230113	0.0200065	0.0147859	0.0115379	0.0108533	0.0143098	0.0125338	0.0193911	0.013205	0.0130732	0.00730921	0.00894322	0.00622683	0.0117268	0.0079441	0.0143669	0.0152073	0.0142504	0.0210756	0.0253444	0.0258936	0.0223489	0.0152711	0.0320775	0.0291943	0.0195698	0.0369183	0.0250717	0.0199756	0.019704	0.0195828	0.0193229	0.0187431	0.0201367	0.0126196	0.0139462	0.0160225	0.0123585	0.0140623	0.0109556	0.0105176	0.0095899	0.01014	0.00940868	0.00949146	0.00775783	0.0069912	0.00671706	0.00796087	0.0055604	0.00641324	0.00646582	0.00709737	0.0100122	0.0103131	0.00887502	0.0120581	0.0125292	0.0166122	0.0218244	0.0440637
hopital	0.00677603	0.00829008	0.00752406	0.0140172	0.01125	0.00895736	0.00521887	0.00581266	0.00491967	0.00498973	0.00502898	0.00529801	0.00433772	0.00383756	0.00437722	0.00615887	0.00610397	0.00913182	0.011006	0.0100012	0.0136884	0.0160363	0.0170792	0.0169738	0.0135494	0.0213416	0.0197785	0.01526	0.0212854	0.0192616	0.0171764	0.0169949	0.0168208	0.0206721	0.0218465	0.0113903	0.0164415	0.0169401	0.013983	0.0216717	0.0260726	0.0152327	0.0174767	0.0103405	0.0171408	0.0140778	0.0196325	0.0137601	0.0128138	0.0125314	0.0138212	0.00908292	0.0137009	0.0119995	0.0198616	0.0215523	0.0234128	0.0199432	0.030035	0.0392895	0.043931	0.0485323	0.0545302
lorsque	0.0103786	0.00639572	0.00617015	0.00684462	0.00676534	0.00448033	0.00318869	0.00333211	0.00317326	0.00533286	0.00662128	0.00693084	0.00599984	0.0061041	0.00616814	0.0066153	0.00603534	0.00706772	0.00651561	0.00690262	0.00972098	0.0116089	0.0142866	0.0141541	0.0131407	0.0284215	0.0323661	0.0177276	0.0322491	0.032638	0.0272386	0.0394343	0.0306938	0.0359706	0.0296316	0.0344877	0.0207204	0.0232238	0.0295301	0.0160608	0.0177618	0.0178851	0.0180008	0.0203541	0.0200985	0.0168508	0.0152686	0.0108946	0.0121215	0.0143481	0.0118999	0.0104086	0.0105387	0.0090363	0.0115335	0.0158774	0.0149873	0.0128135	0.018513	0.0154439	0.0198319	0.0232488	0.0479552
j'	0.045135	0.0195888	0.0151722	0.0158119	0.0153014	0.0116334	0.0121162	0.0137798	0.0111367	0.0185496	0.0298979	0.0325156	0.0193544	0.0212085	0.0186127	0.0227683	0.0146404	0.011736	0.00995939	0.0132335	0.016625	0.0192608	0.0184809	0.0197704	0.0164206	0.031203	0.0294646	0.0193379	0.035274	0.0215919	0.017421	0.0147758	0.016998	0.0146512	0.0118286	0.00980086	0.00769865	0.00835495	0.00727707	0.0105437	0.0148377	0.00861785	0.0089206	0.00524519	0.00827598	0.00530021	0.00642022	0.00511232	0.00534439	0.00620852	0.0046603	0.00427218	0.00552678	0.00414827	0.007873	0.00973738	0.00818096	0.00679841	0.0182962	0.0193719	0.0252355	0.0332269	0.0594587
étais	0.0483013	0.0124228	0.010273	0.0106644	0.0133221	0.0193103	0.0170808	0.0166865	0.0124835	0.0154304	0.0158396	0.0157875	0.0165734	0.0142787	0.0147516	0.0151497	0.0136033	0.00865387	0.00963146	0.0162459	0.0182939	0.0150189	0.0168768	0.0212742	0.0160268	0.0370326	0.0320182	0.0188133	0.0302222	0.0229773	0.0148407	0.017551	0.0150576	0.0228553	0.0131272	0.00799272	0.00889489	0.00893599	0.00763902	0.0132262	0.0241057	0.0161731	0.011955	0.00640279	0.0132823	0.0066259	0.00978953	0.00561201	0.00579916	0.00695959	0.00478131	0.0047402	0.00534992	0.00429141	0.00711465	0.00727553	0.00712256	0.00613971	0.0123476	0.0134638	0.019998	0.032207	0.0932981
malade	0.0106195	0.00828771	0.00827522	0.014467	0.0146451	0.00921455	0.00648226	0.00829556	0.00706175	0.00635009	0.00907352	0.00953939	0.0109272	0.0071711	0.00896594	0.0145171	0.0127061	0.0115348	0.0154447	0.02079	0.0198481	0.025106	0.0253751	0.0276186	0.0233331	0.0393307	0.0324884	0.0217178	0.0317314	0.0195617	0.0169441	0.015207	0.0143793	0.0172412	0.0126764	0.0108284	0.0102094	0.010536	0.0103294	0.0119377	0.018675	0.0139883	0.0130283	0.00905736	0.0111237	0.00976359	0.0124207	0.00939703	0.00878736	0.0100855	0.00825012	0.00772069	0.00846806	0.00913663	0.0158151	0.0171768	0.015934	0.0131045	0.0205174	0.0204153	0.0262535	0.0380241	0.0720883
</S>	0.0160813	0.00703736	0.00557773	0.011244	0.00817443	0.00720151	0.00517277	0.00545566	0.00422172	0.00465982	0.00680969	0.00723253	0.00783757	0.00484018	0.00632415	0.00788113	0.00871376	0.00662382	0.00775172	0.0115576	0.0133279	0.0148294	0.016936	0.0197144	0.0129737	0.0330282	0.028722	0.018828	0.0317106	0.0255022	0.017081	0.0251551	0.0178495	0.0315147	0.0184657	0.00997637	0.0124583	0.0130131	0.0115051	0.0182207	0.0369645	0.0224277	0.0151785	0.00750808	0.0157011	0.00801366	0.0135107	0.00726226	0.00643459	0.00911128	0.00756776	0.00591231	0.00731514	0.00555347	0.0128511	0.0129608	0.0153543	0.0124228	0.0220855	0.0235357	0.0337765	0.0496566	0.107685
