 	t	á	á	y	a	n	g	a	l	a	á	m	i	l	o	n	d	á	b	ω	ω	s	á	n	d	é	e	</S>
maison	0.059759	0.0486629	0.0429214	0.0310133	0.0263539	0.0188916	0.0166163	0.0143791	0.0115639	0.00835399	0.00707253	0.0061365	0.00472803	0.00562018	0.00438218	0.00572236	0.00758476	0.0102101	0.0291756	0.0376573	0.0375181	0.0470227	0.0743131	0.0545401	0.0816598	0.0916252	0.117638	0.0988784
pour	0.238549	0.0666073	0.0642916	0.0582926	0.0488193	0.0645532	0.0175969	0.00608069	0.00915582	0.00404804	0.00247176	0.00376061	0.00343563	0.00722392	0.00585815	0.00725913	0.00708829	0.0186346	0.0355504	0.0432558	0.0407162	0.0263674	0.0355068	0.018058	0.0171935	0.0227183	0.0302723	0.0966343
offrir	0.131201	0.0804474	0.0952686	0.0966534	0.0912828	0.0511335	0.0226842	0.0115742	0.00971097	0.00504498	0.00421929	0.00355908	0.00282861	0.00481379	0.00381623	0.00334119	0.00542512	0.0081471	0.0252541	0.0278316	0.0241995	0.0258609	0.0324175	0.0266402	0.0295866	0.0376654	0.045304	0.0940891
des	0.0608225	0.0623661	0.0696113	0.0821342	0.0967542	0.0677404	0.0404701	0.0266228	0.0173362	0.0106618	0.00909784	0.00599931	0.0053558	0.00493724	0.00354937	0.00332857	0.00301888	0.00728876	0.0285503	0.0253064	0.0258774	0.0368386	0.0406087	0.0392053	0.0435746	0.0465566	0.0500933	0.0862935
sacrifices	0.0825799	0.0836666	0.0696981	0.083078	0.0753863	0.0447449	0.0221055	0.0142867	0.00938996	0.00620512	0.00506118	0.00543265	0.00381263	0.00404307	0.00194642	0.00256988	0.00218079	0.0049026	0.0212711	0.0212792	0.0185566	0.0262022	0.0425661	0.0334896	0.0488221	0.071432	0.0903401	0.104951
aux	0.103618	0.053009	0.0598566	0.065048	0.0675489	0.0950714	0.0501897	0.0314482	0.025194	0.0125323	0.0104247	0.00730928	0.00758162	0.00881198	0.0088611	0.00530853	0.00971955	0.00906834	0.0159607	0.0156235	0.0155526	0.0246494	0.0273721	0.0279844	0.0412919	0.0457172	0.062681	0.0925658
esprits	0.0626241	0.0676842	0.0472982	0.0744226	0.077674	0.059915	0.0340653	0.0157114	0.0127336	0.00792491	0.00502854	0.00487188	0.00276218	0.00288543	0.00215664	0.00170172	0.00274851	0.00836272	0.0213273	0.022388	0.0240981	0.0325099	0.0439123	0.0407882	0.051305	0.0650994	0.0762072	0.131794
des	0.0922173	0.0603714	0.0444411	0.0624048	0.0660403	0.0478355	0.0325492	0.0177253	0.0188724	0.012669	0.00883387	0.0078718	0.00573127	0.00643231	0.00690284	0.00441488	0.0080111	0.0169602	0.0256193	0.0243154	0.0247795	0.043494	0.0470295	0.0422416	0.0463886	0.0467864	0.0638212	0.11524
morts	0.222909	0.0982818	0.0791287	0.0577491	0.0363002	0.0229976	0.0146068	0.01197	0.0115551	0.0095109	0.00842629	0.00977529	0.00832423	0.00764999	0.00464886	0.00624726	0.00563087	0.00982237	0.0194501	0.0185773	0.0145187	0.0295863	0.0594911	0.0311661	0.0425979	0.0479157	0.05187	0.0592924
</S>	0.077198	0.0561103	0.0469337	0.0594053	0.0595143	0.0529142	0.0401229	0.0262943	0.022035	0.0156477	0.00907114	0.00998255	0.00726399	0.00756573	0.00553071	0.00548864	0.00593868	0.0177901	0.032768	0.0297352	0.0249861	0.0370653	0.0560331	0.0418314	0.0472538	0.0546683	0.0660161	0.0848353
