 	b	a	r	e	á	d	í	k	ω	n	g	ω	l	ω	t	s	í	n	a	e	b	e	m	b	e	y	á	m	w	ε	n	έ	é	d	z	e	l	e	m	b	v	ú	n	y	u	k	a	á	</S>
a	0.141221	0.0518424	0.0273488	0.018987	0.0156362	0.00832792	0.00887092	0.00778366	0.00717806	0.00627785	0.00960842	0.0101423	0.0154604	0.0129197	0.0142837	0.0276137	0.0320007	0.0308624	0.0340304	0.0174225	0.0228123	0.0222973	0.0128307	0.0177235	0.012365	0.0135961	0.0130825	0.0144272	0.0106492	0.00668999	0.0132858	0.0172868	0.0191026	0.0240596	0.0335879	0.0433818	0.0266619	0.0372716	0.0184989	0.0157069	0.0131404	0.0127041	0.00734731	0.00796071	0.00668254	0.0092436	0.0131961	0.0124618	0.0241279
pas	0.0573228	0.020997	0.0184178	0.0152246	0.0134113	0.00712104	0.00445599	0.00388977	0.00448554	0.00427025	0.00502821	0.00500511	0.00676101	0.00722503	0.00986196	0.0208211	0.0436012	0.0572999	0.0337128	0.0265925	0.0330362	0.0565139	0.0221871	0.0440927	0.0340354	0.0218009	0.0215238	0.0391003	0.0189408	0.0124994	0.0226157	0.0174162	0.0290261	0.0200292	0.0233063	0.0224148	0.0176985	0.0172477	0.0115463	0.0100905	0.00845928	0.00853459	0.00894669	0.0137287	0.012668	0.0186837	0.020287	0.0213783	0.0266869
eu	0.0320412	0.017751	0.0203181	0.0180736	0.0155194	0.0108408	0.00504114	0.00339977	0.00337664	0.00303889	0.0039863	0.00346138	0.00565246	0.00694128	0.0145767	0.0354432	0.0500432	0.0578385	0.0364034	0.0286513	0.0352173	0.054431	0.0210383	0.0481663	0.0308013	0.0217944	0.0212107	0.0384704	0.0212859	0.014711	0.0249203	0.0179965	0.0326941	0.015979	0.0204433	0.0167166	0.012124	0.0117499	0.00597661	0.00491044	0.00429753	0.0043034	0.0116067	0.0152275	0.0144614	0.0231574	0.02351	0.0262239	0.0341763
de	0.0290652	0.0200891	0.0208255	0.0165232	0.0140469	0.0111811	0.00538604	0.00332019	0.0034651	0.00330429	0.00415158	0.00400636	0.00547124	0.00552598	0.0105357	0.0273263	0.0312619	0.0698029	0.0318	0.0296714	0.0290997	0.0521377	0.0139296	0.0390937	0.0234873	0.0169741	0.0145663	0.0286457	0.0144372	0.0084156	0.0153903	0.0123807	0.0257392	0.0159488	0.0302663	0.0298131	0.014533	0.0160603	0.0066641	0.00799283	0.00811882	0.0082466	0.0180777	0.021656	0.0183114	0.025958	0.0317741	0.0330743	0.0724476
gibier	0.0371675	0.0257168	0.0236784	0.0178985	0.015608	0.0124103	0.00860051	0.00565022	0.00572357	0.00491398	0.00705998	0.00662128	0.00849291	0.0063185	0.00983986	0.0270046	0.0247685	0.0593705	0.0227119	0.0320787	0.0231786	0.0434246	0.00975743	0.0352086	0.0224425	0.0140649	0.013346	0.0350447	0.0195676	0.0116068	0.0181377	0.0124027	0.0223608	0.0113265	0.0183471	0.0175196	0.00842657	0.0159778	0.00509943	0.00640271	0.00757466	0.00822214	0.0182578	0.0217688	0.018769	0.0295662	0.029176	0.0341165	0.107272
pour	0.029392	0.0220052	0.0188224	0.0141332	0.0126462	0.00990898	0.00641334	0.00474379	0.00432546	0.00433769	0.00550663	0.00568853	0.00761227	0.00548035	0.00800802	0.020914	0.0149397	0.0533469	0.0234083	0.0298004	0.0217837	0.0384113	0.00901121	0.0257227	0.014205	0.0113257	0.0101349	0.0209837	0.017646	0.0112374	0.014706	0.0095878	0.0179945	0.0116341	0.0249732	0.02186	0.00906325	0.0149488	0.0052816	0.00575948	0.00804283	0.00726011	0.0194492	0.02749	0.0275177	0.0352292	0.0421442	0.054701	0.160462
commémorer	0.069281	0.0341651	0.0241598	0.0184645	0.0175359	0.0158176	0.0145612	0.0115499	0.0088255	0.00754773	0.0099989	0.00973182	0.0121472	0.00827382	0.00925218	0.0174254	0.00959229	0.0220583	0.0123683	0.0141415	0.0138649	0.0248298	0.00795606	0.021817	0.0125748	0.0128595	0.0115778	0.0212487	0.0207232	0.0107654	0.0159583	0.00905318	0.0134705	0.0120724	0.0187474	0.0149747	0.00816309	0.0158443	0.00689929	0.00610546	0.00785867	0.00830487	0.016623	0.0223813	0.0239864	0.0334994	0.0316536	0.0466473	0.182642
la	0.0282454	0.0133522	0.0224755	0.0245566	0.021228	0.0328848	0.0296294	0.0316317	0.0261704	0.0249674	0.0251278	0.0219829	0.0208753	0.018173	0.0261373	0.0314473	0.0242747	0.0274346	0.0273457	0.0270842	0.0191239	0.0232025	0.0145967	0.0216365	0.0136045	0.0146144	0.0152775	0.0162178	0.0204387	0.0123529	0.0133025	0.00906588	0.0108145	0.00940832	0.0141811	0.0109203	0.00720099	0.00786118	0.00465937	0.0030466	0.00338786	0.00352601	0.00557851	0.00856812	0.0108946	0.0158291	0.0196821	0.0294775	0.136506
mort	0.0231124	0.0219578	0.0308741	0.0274366	0.0228535	0.0202641	0.00975496	0.00719154	0.00766587	0.00768137	0.00847318	0.00826717	0.00933667	0.00842533	0.00941746	0.0134394	0.0101312	0.0203511	0.0176543	0.0182246	0.0165221	0.0159329	0.00929704	0.0135386	0.00926005	0.0123779	0.00949122	0.010243	0.0110393	0.00665513	0.00877252	0.00809611	0.0124906	0.0118195	0.017089	0.0172406	0.0106391	0.0133909	0.00575203	0.0063377	0.00789139	0.00703146	0.0203038	0.0382678	0.036778	0.0489134	0.0708346	0.0765855	0.164896
du	0.0246989	0.0215243	0.0207116	0.0142306	0.0146342	0.0124459	0.0107982	0.0111092	0.00702902	0.00764545	0.00834503	0.00729089	0.0073601	0.00621878	0.0094543	0.0177899	0.0244777	0.032638	0.0293317	0.0443389	0.0339472	0.0412688	0.0225469	0.0330346	0.0204825	0.0255461	0.0242449	0.0175976	0.019224	0.0117476	0.016297	0.00880418	0.0172179	0.0139911	0.024817	0.016837	0.0129887	0.0154377	0.0118319	0.0092136	0.0122698	0.00803241	0.0118008	0.0140766	0.0136889	0.0184158	0.0305675	0.0382269	0.123772
notable	0.0580886	0.0349815	0.0240181	0.0176929	0.0155929	0.0113448	0.00562662	0.00494268	0.00570625	0.00592891	0.00736027	0.0078219	0.00924466	0.00645107	0.00691063	0.0139143	0.0143221	0.0296749	0.020009	0.021317	0.020104	0.0223762	0.00924983	0.0176026	0.0106268	0.0141023	0.0109954	0.0116629	0.0114734	0.00609305	0.0105657	0.00816529	0.0137995	0.0133549	0.0219104	0.0231941	0.0125874	0.0193156	0.00768936	0.0105396	0.0131222	0.012503	0.0215477	0.0307136	0.0275188	0.0420344	0.0509085	0.0573795	0.147915
</S>	0.0405233	0.0300602	0.0167113	0.0135197	0.0146982	0.00870194	0.0076568	0.00671344	0.00520316	0.00502409	0.00581937	0.00634251	0.00739905	0.00542193	0.00682468	0.0167001	0.0154871	0.0266405	0.0141632	0.0123001	0.0158896	0.0203646	0.0092533	0.0238854	0.0130823	0.023206	0.0182647	0.0171024	0.0160826	0.00795599	0.0159344	0.00874353	0.0132153	0.0160011	0.0229428	0.021176	0.0136572	0.0288325	0.0113079	0.0189407	0.0245888	0.0231698	0.031371	0.0296871	0.023522	0.0372265	0.0431922	0.0592765	0.126217
