 	a	p	f	é	é	b	ó	n	g	ó	n	d	z	a	b	á	a	d	z	w	á	i	s	a	a	s	á	w	ó	m	á	l	e	b	h	ó	y	á	</S>
le	0.029257	0.0264998	0.0306048	0.0331876	0.0379204	0.0293425	0.0188993	0.00984728	0.00632833	0.00629002	0.0052269	0.00516141	0.00282033	0.00262935	0.00268846	0.00254496	0.00281788	0.00378988	0.00730891	0.00430313	0.00593859	0.0070153	0.0092946	0.00829864	0.0214164	0.0159884	0.0248013	0.0243388	0.0502209	0.0382808	0.0422412	0.0379643	0.0354492	0.0485333	0.0570596	0.0580464	0.0602904	0.0763283	0.111025
ruisseau	0.0185483	0.0187996	0.0261203	0.0293909	0.024367	0.0168629	0.00613559	0.00319648	0.00279214	0.00325161	0.00375567	0.00346188	0.00367459	0.00454916	0.00554962	0.00687626	0.0074076	0.0102317	0.0155344	0.00952741	0.00606607	0.00778714	0.0114816	0.0120963	0.0102436	0.0145049	0.0145224	0.0215216	0.0312005	0.0223962	0.0508233	0.029529	0.0487726	0.0600869	0.0689569	0.071814	0.0815648	0.0880713	0.128528
vouma	0.0168938	0.0157247	0.0255934	0.027995	0.020805	0.0190294	0.00683653	0.0023584	0.0024542	0.00321164	0.00481688	0.00512347	0.00493534	0.00667433	0.00819597	0.00954652	0.0119149	0.0120991	0.0175647	0.0146617	0.00821342	0.0086137	0.0135226	0.0122222	0.0131018	0.0149519	0.0173308	0.0324787	0.0470576	0.0298776	0.0537137	0.029278	0.0452367	0.0569911	0.0628143	0.0736722	0.0698132	0.0755397	0.099136
pen-	0.0266864	0.0161292	0.0171173	0.0184541	0.0171022	0.0127157	0.00879772	0.00515847	0.00320665	0.00297862	0.002861	0.00272342	0.00181075	0.00218231	0.00360941	0.00581465	0.00650404	0.0092151	0.0152582	0.0132514	0.00913008	0.0113443	0.0149024	0.0162686	0.0261477	0.0305808	0.0403266	0.0359017	0.0511009	0.0339484	0.0397091	0.0422883	0.0444175	0.042931	0.0509449	0.039636	0.0499469	0.0698403	0.159058
dant	0.0101767	0.00938145	0.0107661	0.0142935	0.017243	0.019303	0.017905	0.0151333	0.00866901	0.00711078	0.00556626	0.00510832	0.00401287	0.00540355	0.00494552	0.00695581	0.0081744	0.00986872	0.0239587	0.0216353	0.0125057	0.0147268	0.0210756	0.0245281	0.0302144	0.0309935	0.0309268	0.0206073	0.0266029	0.0214085	0.0364414	0.0387596	0.0346132	0.0404098	0.0457239	0.0511764	0.0708447	0.081527	0.141303
la	0.0117917	0.00678566	0.00998406	0.012552	0.0136252	0.0109373	0.00788548	0.00756434	0.00658986	0.0048777	0.00445743	0.00487254	0.00418014	0.00672252	0.00956758	0.0178187	0.0195638	0.0182516	0.0260646	0.0252066	0.0203091	0.0259914	0.0321121	0.0328616	0.0407796	0.0475235	0.0448142	0.0266411	0.0335541	0.0222912	0.0346841	0.0355456	0.0279419	0.0334802	0.0362109	0.0410015	0.0459945	0.0517759	0.137189
grande	0.0272147	0.0253437	0.0289274	0.028879	0.0268199	0.0229073	0.0127854	0.00609535	0.00493039	0.00481934	0.00502352	0.00495282	0.00453363	0.00437003	0.00475309	0.00381946	0.00445358	0.00540634	0.00981382	0.00539523	0.00410061	0.00635155	0.00933929	0.0105149	0.0118344	0.0154377	0.0181089	0.0306891	0.0514195	0.0366054	0.0457201	0.0452918	0.0384579	0.0554725	0.0650076	0.0666447	0.0659817	0.0750996	0.106679
saison	0.0375759	0.0184774	0.0262169	0.0263718	0.0226439	0.0222443	0.01639	0.0138321	0.0116938	0.010101	0.00845481	0.00600697	0.00419364	0.00420447	0.0049239	0.0069976	0.00918862	0.00766142	0.0135	0.0174101	0.0171989	0.0213611	0.0283628	0.031239	0.0517117	0.0377258	0.0427106	0.0255434	0.0357999	0.0259652	0.0324853	0.033611	0.0268868	0.0375587	0.0327206	0.0383338	0.0353813	0.0471028	0.110213
sèche	0.0243026	0.0225499	0.0225319	0.0143941	0.0137462	0.0112987	0.0124852	0.0112323	0.0111564	0.0109087	0.00957416	0.00709353	0.00541897	0.0113376	0.0140073	0.0188708	0.0184089	0.0220803	0.0223873	0.0218658	0.0197024	0.0201693	0.0220224	0.0281242	0.0268478	0.0275121	0.0271963	0.0206308	0.0240452	0.0211695	0.0364739	0.0391727	0.0414002	0.0414531	0.0330725	0.0378015	0.041099	0.0559605	0.130496
</S>	0.0382281	0.0369109	0.0371563	0.0252343	0.0256166	0.021377	0.0272032	0.0225931	0.0195012	0.0191164	0.0152294	0.00909287	0.00643766	0.00999172	0.0102454	0.0127895	0.0110195	0.0135564	0.0197071	0.0186251	0.015201	0.0141845	0.0173889	0.0202865	0.0192481	0.0218406	0.0215132	0.0199889	0.0229374	0.0197353	0.0287924	0.0310336	0.03225	0.0320018	0.0311002	0.0310659	0.0374943	0.0528939	0.131412
