 	i	s	i	m	i	l	í	i	p	é	n	d	á	o	t	ω	ω	o	y	í	í	o	n	d	ω	n	g	ώ	</S>
à	0.0421343	0.0290718	0.0398375	0.0341381	0.029509	0.0281787	0.0243341	0.0216085	0.0202043	0.0255008	0.0159987	0.0138706	0.0331003	0.0286036	0.0217414	0.0239066	0.0236499	0.0335022	0.0418297	0.0368918	0.0318673	0.0225566	0.0223283	0.0222732	0.0238856	0.0334609	0.0492261	0.0587075	0.168083
la	0.039446	0.0328899	0.0402752	0.0369346	0.0264778	0.0100049	0.00804576	0.00771539	0.00680297	0.00927946	0.00598846	0.00600603	0.0101417	0.0154339	0.0114642	0.0133485	0.0125352	0.0164867	0.0195623	0.0143888	0.0381149	0.0432924	0.0494717	0.0466321	0.0677979	0.0874075	0.100742	0.101577	0.121737
cul-	0.0205115	0.018531	0.0291249	0.0351632	0.0189719	0.00593686	0.00590645	0.00767625	0.0076373	0.0118909	0.00660183	0.0045164	0.00966589	0.0153059	0.00962319	0.0192692	0.0123487	0.0182402	0.0149118	0.0108006	0.0287999	0.0445881	0.0441443	0.0425392	0.0542165	0.0782274	0.117964	0.134374	0.172513
ture	0.0267477	0.0149285	0.0151126	0.0160853	0.017156	0.0201456	0.0196588	0.0243584	0.0258475	0.02528	0.0081862	0.00591479	0.0144275	0.0158239	0.0133201	0.0253055	0.0256971	0.0473341	0.0482076	0.0478216	0.0564195	0.0407791	0.0343636	0.0337806	0.0309994	0.0329805	0.0475696	0.0551212	0.210628
de	0.0262229	0.0161959	0.0201837	0.0245712	0.0227725	0.0242585	0.0254348	0.0215762	0.0232032	0.0362877	0.0327557	0.0227634	0.0414219	0.0340241	0.025762	0.0296661	0.0301118	0.0410646	0.0346841	0.0364762	0.038652	0.0413627	0.0391447	0.0376552	0.031302	0.041163	0.0352417	0.065027	0.101015
l'	0.091458	0.0771086	0.0436102	0.0318093	0.0209521	0.0160361	0.0175842	0.0149145	0.0167471	0.0184058	0.014186	0.0130063	0.0194204	0.0118663	0.0106158	0.0165335	0.020637	0.0364426	0.0237365	0.0256368	0.0280333	0.0496539	0.0498158	0.0407024	0.0312011	0.0340144	0.0342553	0.0543604	0.137256
arachide	0.0689242	0.024071	0.0123078	0.020311	0.0181134	0.0161784	0.0196925	0.0184193	0.0205936	0.0190952	0.0101472	0.00915757	0.0162579	0.0138149	0.0161823	0.0157941	0.0223088	0.0296031	0.0274661	0.0268112	0.0344992	0.0469304	0.0564055	0.0512541	0.0569789	0.0749088	0.0775775	0.0733506	0.102846
est	0.0349481	0.0495991	0.0767699	0.0793027	0.0584925	0.0322745	0.0540273	0.0307418	0.020217	0.021082	0.0317812	0.0325906	0.0324703	0.0162422	0.0144127	0.0176087	0.0203031	0.0294173	0.0197942	0.0222572	0.0215337	0.0364141	0.0410769	0.0343338	0.0309399	0.0321811	0.0302888	0.0343179	0.0445813
le	0.0921924	0.0458591	0.0442468	0.0345345	0.0276023	0.0225764	0.0271123	0.0218242	0.0256497	0.0205619	0.0149411	0.0158266	0.0142801	0.00647017	0.00815308	0.0190965	0.0259359	0.0590395	0.0398244	0.043253	0.0514814	0.064755	0.0557599	0.0452848	0.0386689	0.0268437	0.0305098	0.0253708	0.0523456
chiendent	0.104412	0.0454441	0.0168959	0.0185667	0.0124541	0.0100068	0.00788558	0.00613893	0.00735647	0.00632638	0.00555269	0.00707111	0.00959049	0.00697478	0.00795459	0.011498	0.0216709	0.0317142	0.0274613	0.0237588	0.0524613	0.0735343	0.0778463	0.0746873	0.0773273	0.0603187	0.0537879	0.0566959	0.0846068
</S>	0.0256244	0.034019	0.0508471	0.0482035	0.0271473	0.0151896	0.0226231	0.0201569	0.0214609	0.026757	0.0249335	0.0158566	0.0126507	0.0191585	0.0135641	0.0250932	0.0214786	0.0412058	0.0253302	0.0285703	0.027815	0.0556565	0.0518605	0.0447746	0.0450185	0.040815	0.0522661	0.071083	0.0908407
