 	m	ú	b	h	u	m	ú	ó	d	i	l	i	b	h	i	í	m	ó	k	ω	r	ω	m	b	é	á	l	í	l	ó	b	h	á	l	í	í	y	ú	r	ú	m	ú	a	s	á	b	a	l	a	b	á	l	a	</S>
de	0.0352907	0.0208439	0.0159616	0.0169264	0.00827665	0.00303817	0.00278564	0.00251472	0.00665523	0.00514396	0.00509971	0.00704514	0.00396591	0.00291802	0.00470648	0.00657938	0.0131976	0.0160893	0.0172325	0.0183104	0.0212851	0.0260914	0.024895	0.0275691	0.0213854	0.0293214	0.0368334	0.0299206	0.0550317	0.0282216	0.0309602	0.0291282	0.0415729	0.0311308	0.0320846	0.0297908	0.0391866	0.0151069	0.0128887	0.0155036	0.0093431	0.00695063	0.00664278	0.00726669	0.00607274	0.00952615	0.00533527	0.0148715	0.0145804	0.0193887	0.0236838	0.0255614	0.0274561	0.0328314
la	0.0651514	0.0313666	0.0179917	0.0171979	0.0128896	0.00910669	0.00723857	0.00519876	0.0105592	0.00775699	0.00923859	0.0157466	0.0143191	0.00870183	0.0099407	0.0107547	0.0202294	0.0174267	0.022863	0.0182222	0.0220107	0.0209572	0.0217004	0.0161637	0.0148798	0.0241029	0.0115133	0.00834618	0.0146737	0.00689758	0.0103965	0.00794719	0.0104314	0.00720422	0.00767489	0.00793572	0.0180829	0.00920021	0.00629003	0.00758266	0.00456111	0.00520591	0.00800612	0.00603985	0.00712933	0.0126849	0.0137565	0.0262878	0.0238388	0.0391721	0.0450992	0.0627044	0.0710364	0.0885859
bastonnade	0.0282567	0.019942	0.0111923	0.0062313	0.00286415	0.00205682	0.00168333	0.00163034	0.00239964	0.00218086	0.002495	0.00438994	0.00602846	0.00541403	0.00854711	0.0154475	0.0290081	0.0249711	0.0384345	0.0309342	0.0251259	0.0232216	0.0270283	0.0244541	0.0277117	0.0325845	0.0227752	0.0151241	0.02622	0.0157152	0.0189726	0.0159631	0.0178764	0.0111102	0.0148393	0.0127576	0.0232155	0.0113092	0.0113405	0.0142238	0.00680389	0.00456219	0.0034628	0.0048774	0.00164654	0.00710594	0.00664305	0.0274599	0.0267782	0.0398455	0.0383669	0.0512627	0.0554483	0.0900605
qu'	0.0190463	0.0104701	0.00593633	0.00588668	0.0097337	0.0213803	0.0269796	0.0199419	0.0244782	0.0138064	0.0113732	0.0120503	0.00629709	0.00549315	0.00420769	0.00488531	0.00646821	0.00720945	0.011062	0.0110776	0.00715417	0.00922309	0.0104944	0.00938909	0.0135735	0.0152374	0.018471	0.010916	0.0189068	0.0163312	0.0202358	0.0240977	0.0275907	0.0296042	0.0287119	0.0213051	0.0261418	0.0208682	0.0162066	0.0320658	0.0346723	0.0402137	0.0376341	0.0337337	0.0306795	0.0306737	0.0121727	0.0183872	0.0191022	0.0224302	0.0239473	0.0249677	0.0209456	0.0361324
il	0.0286113	0.0152602	0.0118855	0.0105878	0.0127703	0.0281783	0.0369318	0.0306968	0.040008	0.0262505	0.0248638	0.0295733	0.0217904	0.0190048	0.0111872	0.00462433	0.00438288	0.0047663	0.00822013	0.0068479	0.00443915	0.00503891	0.00566838	0.00456513	0.00638217	0.00705554	0.00777858	0.00491968	0.00814485	0.00754044	0.00937712	0.0125475	0.0124757	0.015427	0.0156629	0.0131892	0.0161285	0.0164646	0.0155756	0.0288451	0.0422741	0.0394512	0.0403125	0.0260011	0.0264137	0.0403942	0.0229141	0.0229334	0.0275017	0.0248772	0.0239419	0.0212023	0.0184486	0.0296663
a	0.0532543	0.0290654	0.0387615	0.0350219	0.0202953	0.0162634	0.0158486	0.0109187	0.020746	0.0125338	0.0179121	0.0201694	0.0127553	0.00919622	0.00695683	0.00609766	0.00751072	0.00740872	0.0132261	0.0110141	0.00856727	0.00965276	0.0118968	0.0108357	0.0123361	0.0143971	0.0115546	0.00859536	0.0203404	0.0118459	0.015514	0.0188155	0.0174245	0.0116148	0.0126046	0.00868112	0.0183237	0.0118061	0.010325	0.0160963	0.0131562	0.0172369	0.0241059	0.0220492	0.0257524	0.0274569	0.0128643	0.0230074	0.0216034	0.0228336	0.0311097	0.0345913	0.0301851	0.0678637
reçue	0.08766	0.0363567	0.0230244	0.0174718	0.0128926	0.0159425	0.0128283	0.00855447	0.0221765	0.0112651	0.0122246	0.0206174	0.0197376	0.0142711	0.00954917	0.0066485	0.00914094	0.00672759	0.0156421	0.0101263	0.00704019	0.00887935	0.0101986	0.00682893	0.00810572	0.0110466	0.00673511	0.00345096	0.01132	0.00466953	0.00912093	0.00916312	0.0109397	0.00675476	0.0094293	0.00604165	0.0177	0.00819437	0.0066417	0.0126794	0.00712418	0.00889017	0.014686	0.0104487	0.0117709	0.0185086	0.014802	0.0274537	0.0234147	0.0311992	0.0359465	0.0522902	0.0618547	0.133813
dans	0.0227262	0.0210182	0.0206434	0.0162666	0.00990533	0.00690583	0.00598692	0.00943395	0.0236201	0.0141154	0.0179433	0.0146567	0.00958919	0.00743533	0.00626645	0.0123638	0.021766	0.0257886	0.0443084	0.0320988	0.0269713	0.0280964	0.0305649	0.0220325	0.0229129	0.0226746	0.0168029	0.0143945	0.0251807	0.0153625	0.015474	0.0166864	0.0185919	0.0142995	0.0134974	0.00921647	0.0128213	0.0126218	0.00793302	0.00903553	0.00908276	0.0118019	0.0154015	0.0140901	0.0230007	0.0209568	0.00912353	0.0151334	0.0122866	0.016489	0.0240162	0.0299208	0.0249106	0.0757771
la	0.0455777	0.0260975	0.0293768	0.0261674	0.0231673	0.0180145	0.0135391	0.0180249	0.0413507	0.0228496	0.0278038	0.0296868	0.0368801	0.0183338	0.0123607	0.0134508	0.0273509	0.0265562	0.0403715	0.0299445	0.0324621	0.0285194	0.0297804	0.0191659	0.017968	0.022027	0.0120346	0.00911593	0.0128907	0.00694709	0.00810456	0.0059899	0.00863629	0.00728312	0.00629433	0.00629396	0.0129521	0.0102744	0.00544849	0.00624989	0.00436116	0.00420323	0.00624618	0.00379442	0.00708143	0.00782543	0.00757206	0.014076	0.0135968	0.0178855	0.0212429	0.0290948	0.0211393	0.046538
rue	0.0312557	0.0306347	0.0244367	0.0170546	0.0137043	0.0122176	0.00767718	0.00600151	0.00552698	0.00550965	0.00716259	0.00676177	0.00887696	0.00682001	0.00699515	0.00850583	0.0120693	0.012573	0.0243763	0.016135	0.0238013	0.0177235	0.0238184	0.0170815	0.0166081	0.0236354	0.0112095	0.00866903	0.0173907	0.00699611	0.00951021	0.00725536	0.00878476	0.00764094	0.00768635	0.00812503	0.0176876	0.0138578	0.0065975	0.00972845	0.00602619	0.00460878	0.00837154	0.00617683	0.00526289	0.0104874	0.0155556	0.0328823	0.0302293	0.0468879	0.0568306	0.0743256	0.0593366	0.114916
</S>	0.0428807	0.0450046	0.0423875	0.0236746	0.0146807	0.00826345	0.00751309	0.0143844	0.0243094	0.0285402	0.0258627	0.0215732	0.0129659	0.0115521	0.0104338	0.0120095	0.0142918	0.0150778	0.0217465	0.0186864	0.0169435	0.0175687	0.0170392	0.0159704	0.0152449	0.0172131	0.016481	0.0147246	0.0232338	0.0154494	0.0166759	0.0174189	0.0191207	0.0176517	0.0180855	0.0140988	0.0224488	0.0213427	0.0155232	0.0236614	0.0238174	0.0223763	0.0210565	0.0157484	0.0104988	0.0117496	0.0071786	0.00936109	0.00894068	0.0102607	0.0118143	0.014461	0.0157237	0.0452785
