 	w	á	á	o	d	i	m	í	a	w	é	a	k	ú	l	ú	p	á	n	g	e	l	e	t	a	a	w	á	á	l	e	k	a	n	í	o	t	é	m	a	b	e	a	b	á	b	á	n	a	</S>
faut	0.0325157	0.0287397	0.0171103	0.0174177	0.0163103	0.0168141	0.0144619	0.0141737	0.00973838	0.00878025	0.00654347	0.00451059	0.00649529	0.00537102	0.011181	0.0109571	0.0121357	0.0115398	0.011592	0.0136621	0.0163605	0.0186027	0.0151241	0.0226188	0.0183614	0.0219793	0.0220606	0.022641	0.0255228	0.026317	0.0323108	0.0268322	0.0323088	0.0236625	0.0237233	0.0242355	0.0174423	0.0148633	0.0195773	0.0182574	0.0104839	0.0168528	0.0282332	0.0180519	0.0264356	0.0349425	0.0304058	0.0418342	0.0303905	0.0495177
pas	0.027305	0.0249416	0.0199394	0.0220484	0.0204801	0.0220242	0.0187334	0.017356	0.0144489	0.0114822	0.00924821	0.00523483	0.00972644	0.0136492	0.0265385	0.024547	0.028415	0.0242435	0.0274221	0.0280143	0.0326715	0.0363927	0.0271641	0.0335516	0.0272774	0.0241952	0.028556	0.0246559	0.0265662	0.0210143	0.0226081	0.0238187	0.0294704	0.0220184	0.0212735	0.0135692	0.0125807	0.0117557	0.0118768	0.00884766	0.00542334	0.0104757	0.0116834	0.0117797	0.0122131	0.0151083	0.0153994	0.0181501	0.0166538	0.0274505
espérer	0.0171665	0.0132086	0.0136502	0.0190213	0.0201481	0.017317	0.0178063	0.014024	0.0102238	0.0116265	0.00624756	0.00742114	0.00604096	0.00591401	0.0182367	0.0108274	0.0139425	0.0126611	0.0151149	0.015012	0.0367094	0.03685	0.0248458	0.0367097	0.0197208	0.021913	0.0166061	0.0219048	0.014125	0.0159215	0.0139915	0.0142778	0.0170317	0.0207051	0.0159413	0.0170237	0.0143318	0.0147106	0.0143732	0.00977257	0.0108254	0.0202379	0.0278226	0.0234383	0.0258726	0.0344296	0.0417994	0.0488378	0.0472291	0.0564312
c'	0.0152589	0.00874081	0.00988324	0.0095975	0.00968354	0.00982829	0.0089404	0.00896424	0.00860819	0.00873205	0.00854644	0.00850094	0.00815481	0.00909769	0.0118302	0.0114067	0.0104983	0.00983049	0.0102268	0.0104816	0.0152953	0.0222469	0.0142132	0.0172499	0.0215498	0.0341392	0.030634	0.037915	0.0400642	0.0565077	0.0571999	0.0487549	0.0498756	0.0335947	0.0412069	0.0333633	0.0269681	0.0290287	0.0189524	0.0187635	0.0160515	0.0127162	0.0124285	0.00790054	0.0110114	0.0151362	0.0132543	0.0202173	0.0141108	0.0328387
est	0.022043	0.0125161	0.0119348	0.00754802	0.00732038	0.00676077	0.00797542	0.00939259	0.00735487	0.00653983	0.00488141	0.00573872	0.00569612	0.0100502	0.0103057	0.0190004	0.0123754	0.0123862	0.0110206	0.015363	0.0180327	0.0255191	0.0209172	0.0234647	0.0264709	0.0371469	0.0186759	0.0292033	0.0220105	0.0258675	0.0278338	0.0336002	0.029558	0.033537	0.0287201	0.0381675	0.0429787	0.0431947	0.0423963	0.0552754	0.0389253	0.023825	0.0162181	0.0103068	0.0114966	0.0127966	0.00998403	0.0136519	0.0104553	0.0235666
l'	0.0340423	0.0178503	0.0251753	0.0315668	0.0327286	0.0295518	0.0330325	0.0176075	0.0137365	0.00943563	0.00632251	0.00689909	0.00577572	0.00754769	0.00925398	0.0119927	0.00902534	0.00800819	0.00836583	0.00970928	0.0138627	0.0207776	0.014955	0.0243842	0.0360035	0.0360467	0.036141	0.0284774	0.0200093	0.0220574	0.0223863	0.0224633	0.0387299	0.0241556	0.0322881	0.0188281	0.0161639	0.0150973	0.00974468	0.00484791	0.0045464	0.00546807	0.0116424	0.0097783	0.0125914	0.0141562	0.0264481	0.0379479	0.0240031	0.0683708
héritage	0.0359327	0.0237514	0.0248203	0.0190612	0.0201914	0.0132557	0.00816828	0.00849942	0.00706135	0.00460398	0.00532277	0.00480783	0.00498479	0.00971518	0.00837449	0.0149514	0.0097579	0.00925804	0.00906072	0.0109389	0.0118242	0.0198334	0.0113376	0.0128655	0.0199813	0.0335418	0.0249863	0.0365531	0.0448969	0.0341216	0.034807	0.0379398	0.0475914	0.0425146	0.0307006	0.0241894	0.0227676	0.0217906	0.0144876	0.00849755	0.00682119	0.0070419	0.011212	0.008016	0.0160618	0.01548	0.0236792	0.0310101	0.0239676	0.0689645
de	0.051116	0.025739	0.0357385	0.020554	0.0215836	0.0209801	0.0206228	0.0165019	0.0140782	0.0118426	0.00759003	0.00884845	0.00755959	0.0116567	0.00951365	0.0179627	0.0109556	0.00979981	0.0109336	0.0133552	0.0161645	0.016448	0.0120386	0.0188422	0.0211122	0.0241584	0.0160657	0.0185866	0.0162669	0.0134257	0.0181323	0.0204767	0.0209722	0.0153053	0.0106405	0.012526	0.0137834	0.0112687	0.0153789	0.00813097	0.00985335	0.016041	0.0222246	0.0171862	0.0236698	0.0268507	0.0297452	0.0414968	0.0469581	0.0993184
ses	0.037695	0.0316419	0.0298517	0.0395577	0.0374548	0.0361867	0.028536	0.0144752	0.0139499	0.0127524	0.0117136	0.0109443	0.010685	0.00937804	0.0118814	0.0120623	0.0117545	0.0120298	0.0124828	0.0119035	0.0116764	0.0109589	0.00900987	0.0109077	0.0117713	0.00945569	0.00951239	0.00725871	0.00550674	0.00602496	0.00771736	0.00636154	0.00701994	0.00481505	0.00409748	0.00605549	0.00368107	0.00257601	0.00589047	0.00416068	0.00526851	0.0105575	0.025158	0.0215592	0.0363338	0.0412883	0.0579152	0.0641766	0.0782739	0.118075
enfants	0.0157848	0.0247518	0.0167083	0.0356528	0.0319557	0.022077	0.0165604	0.0108642	0.0102965	0.0106466	0.00996371	0.00949963	0.0101418	0.00938838	0.01031	0.0108587	0.0112173	0.0105609	0.0124348	0.0118607	0.0148516	0.0101116	0.00887995	0.00969057	0.00962897	0.0102452	0.00888348	0.00890256	0.00816104	0.0059104	0.00757709	0.00656734	0.00983194	0.00906769	0.00488922	0.00883674	0.00674927	0.00444881	0.0128211	0.00728902	0.00746842	0.0132149	0.0243543	0.0231205	0.0401553	0.0365205	0.0640502	0.0702168	0.0912756	0.154746
</S>	0.0343275	0.0228548	0.0187827	0.031898	0.030254	0.0333026	0.0263362	0.0169154	0.0156685	0.0136556	0.00965207	0.00919683	0.00860107	0.00611396	0.00948578	0.00849821	0.00875428	0.00918724	0.00949406	0.00936047	0.0105791	0.012408	0.00887176	0.0123056	0.0104727	0.0107385	0.00960457	0.00946462	0.00717117	0.0075876	0.00821787	0.00792661	0.00975649	0.00777028	0.00705242	0.00914472	0.00620294	0.00521169	0.00656348	0.00779002	0.0109205	0.0235247	0.0361534	0.0316247	0.0434101	0.0521244	0.0572065	0.0642272	0.0704074	0.103221
