 	a	p	f	é	é	b	á	b	a	a	á	t	ó	n	i	o	k	u	n	d	á	e	b	e	m	b	e	y	á	n	y	á	a	n	g	ω	n	d	ω	t	s	í	n	a	w	a	á	d	z	a	l	á	a	b	έ	r	έ	b	á	a	a	b	v	ú	</S>
qu'	0.00854358	0.0121487	0.0156533	0.0166328	0.0123027	0.00806754	0.00785421	0.00636933	0.00429774	0.00422509	0.00250046	0.00186414	0.00117269	0.00140333	0.00211005	0.00330173	0.00583722	0.0046529	0.00976998	0.010067	0.0122865	0.00986931	0.0164453	0.0155895	0.0126685	0.0176942	0.0263733	0.0274419	0.0222534	0.0263427	0.0198029	0.0166578	0.0129759	0.0219836	0.0159534	0.0146183	0.0139228	0.0134297	0.012868	0.0221214	0.0219476	0.0181423	0.0137756	0.0082916	0.00729358	0.0154427	0.0132698	0.0210714	0.0235485	0.0309066	0.0238076	0.0302879	0.0198929	0.0189172	0.0230406	0.0176126	0.0167209	0.0174313	0.0160386	0.0191894	0.0208291	0.0242467	0.0262334	0.0263275	0.0356616
elle	0.0130602	0.0063259	0.00607308	0.00664994	0.00563022	0.00608282	0.00492592	0.00484753	0.00435875	0.00389368	0.00209599	0.0024686	0.00226495	0.00249957	0.00330828	0.00558583	0.00710224	0.00948956	0.0154044	0.0161739	0.0167755	0.0117443	0.0178287	0.0138844	0.0142311	0.0127099	0.0175789	0.0228155	0.0179486	0.0308635	0.0212095	0.0260713	0.0241953	0.0319653	0.0208937	0.0276749	0.0172721	0.0174766	0.0125528	0.0129186	0.0155306	0.0145305	0.0177699	0.0213072	0.00992168	0.0168236	0.0169465	0.0156463	0.0154743	0.0177866	0.0204701	0.0214139	0.0192389	0.0224368	0.0242953	0.0220958	0.0214576	0.0184492	0.0218272	0.0193914	0.0182122	0.0191376	0.0182558	0.0214405	0.0332885
prononçait	0.0226539	0.0094781	0.0109007	0.00927293	0.00823809	0.00423992	0.00218303	0.00188766	0.00171559	0.003032	0.00208251	0.0028275	0.00398467	0.0039949	0.00672991	0.00809038	0.00742614	0.0116181	0.0121265	0.0113525	0.021857	0.0152747	0.0195861	0.021733	0.0156093	0.0164707	0.0147407	0.0191219	0.0145746	0.0221671	0.0183308	0.0240786	0.0181618	0.0208674	0.0248211	0.0238741	0.0256956	0.0243748	0.0189398	0.0223195	0.0236512	0.023426	0.0130759	0.0171634	0.016573	0.0250623	0.0325536	0.0190267	0.031438	0.0198995	0.0219101	0.0147374	0.00827612	0.00659634	0.00880801	0.0089024	0.0116861	0.0111866	0.0125332	0.013836	0.0168195	0.0200338	0.0199519	0.0242311	0.0321881
des	0.00391915	0.00388607	0.00506701	0.0076295	0.00550858	0.00310315	0.00169579	0.00114037	0.00072344	0.00122047	0.000873609	0.00099814	0.00120773	0.00185933	0.00317727	0.00563654	0.00710365	0.0118318	0.0181008	0.026039	0.055504	0.0318779	0.0367288	0.0569651	0.0444464	0.0403415	0.0621066	0.0784224	0.0370349	0.0459556	0.0336926	0.0269863	0.0266277	0.0346698	0.0175235	0.0255026	0.0157448	0.0129237	0.0108366	0.0102026	0.0104922	0.00973888	0.00641356	0.00670006	0.00624457	0.00856012	0.0170156	0.012221	0.0130639	0.00831949	0.00822918	0.00454222	0.00287233	0.00238274	0.00337492	0.00346375	0.00388031	0.00330175	0.00334482	0.00435151	0.00535268	0.00745907	0.00723404	0.010632	0.0159946
malédictions	0.0089114	0.00743284	0.00918777	0.00830447	0.00684954	0.00332135	0.00208498	0.00149265	0.00107947	0.0024863	0.00214867	0.00311921	0.00264512	0.00306985	0.00559297	0.00783714	0.00857636	0.00911405	0.0157616	0.0151845	0.0355909	0.0190221	0.0263999	0.0207773	0.0234255	0.0179203	0.0219697	0.0267113	0.0123884	0.0220703	0.0180192	0.0208649	0.0195499	0.0246055	0.0237949	0.0207177	0.02211	0.0202153	0.014049	0.017008	0.0126679	0.0127761	0.00805052	0.012907	0.0117735	0.0124487	0.0267646	0.0197037	0.0198928	0.0120032	0.0141648	0.0107388	0.0034141	0.0028034	0.00409535	0.00623745	0.00943151	0.0119675	0.0108141	0.0180153	0.018854	0.0350534	0.0305123	0.047085	0.0764143
à	0.00769292	0.00297693	0.00374385	0.00342653	0.00278624	0.00153309	0.0011547	0.00114561	0.000969555	0.00240417	0.00187393	0.00317461	0.00246159	0.00280715	0.00532268	0.00866654	0.011385	0.0119043	0.0213972	0.0176406	0.0393777	0.0199331	0.0298033	0.0151716	0.0228924	0.0149478	0.0152685	0.0180467	0.00880433	0.0231103	0.015338	0.0268633	0.0204912	0.0290373	0.0252374	0.0229594	0.0191009	0.0195961	0.0124666	0.010182	0.0111368	0.0149586	0.0105439	0.0153908	0.0162034	0.0128312	0.0261782	0.0154603	0.0178699	0.00926521	0.0130191	0.00670528	0.00410499	0.00526204	0.00815518	0.0122877	0.0220542	0.0206142	0.0215907	0.0323614	0.0264282	0.02854	0.0230092	0.0325961	0.0703383
leur	0.0228821	0.0116091	0.0114396	0.00825556	0.00859945	0.00498069	0.00314064	0.00286152	0.00261593	0.00515832	0.0047686	0.00511899	0.00452576	0.0041339	0.00688921	0.0113823	0.0116175	0.0117836	0.0163844	0.015685	0.0245835	0.0130953	0.0167883	0.00896837	0.0132591	0.00798265	0.00977809	0.014224	0.0057104	0.0202434	0.009446	0.0194704	0.0154841	0.0273712	0.01605	0.0190693	0.012213	0.0120481	0.00624759	0.00547228	0.00718667	0.00892446	0.00751949	0.0153873	0.00778697	0.00758626	0.0144304	0.00982531	0.0101671	0.00769552	0.011615	0.00664449	0.00401443	0.00476079	0.00880142	0.012021	0.0160107	0.0187531	0.0172144	0.0249151	0.026331	0.0527885	0.0390565	0.0652158	0.144011
endroit	0.00894286	0.00355733	0.00408637	0.00404556	0.00324985	0.00164133	0.000850534	0.000800652	0.00084002	0.0021165	0.00172217	0.00271987	0.00211896	0.00236495	0.00488049	0.00818533	0.00990621	0.0132617	0.018778	0.0157089	0.0332762	0.0208415	0.0284874	0.0185674	0.024433	0.0175445	0.0174855	0.0241668	0.0133573	0.0298805	0.0197894	0.0380066	0.0253723	0.0393072	0.030713	0.0241788	0.0181957	0.019393	0.0128785	0.0147047	0.0154737	0.0160549	0.013426	0.0178196	0.0125947	0.0127604	0.0229052	0.0160119	0.0148147	0.010188	0.0145118	0.00848212	0.00403403	0.00366991	0.00532315	0.0082332	0.0126646	0.0128468	0.0117811	0.0216155	0.0186665	0.0274329	0.0255085	0.0342657	0.0585585
de	0.0101595	0.00980321	0.0111723	0.0113813	0.00831203	0.00945146	0.011664	0.0129698	0.0119572	0.0106684	0.00872886	0.00796517	0.00361142	0.00433387	0.00526732	0.0069074	0.00924774	0.00850327	0.0107799	0.0100052	0.0117869	0.0126411	0.0139663	0.0154497	0.0140596	0.0150262	0.022034	0.0204602	0.0168359	0.017126	0.0147137	0.0175095	0.0138316	0.0190718	0.0139001	0.0116959	0.0127853	0.0122051	0.013707	0.0185753	0.0258156	0.0242239	0.023317	0.019957	0.0170772	0.0128877	0.0143903	0.0150103	0.0173232	0.0177437	0.0170992	0.013073	0.012685	0.0166151	0.0216436	0.0219102	0.0242558	0.0143445	0.0151149	0.0233545	0.0159274	0.0203989	0.0245132	0.027983	0.0530655
son	0.0317071	0.0135812	0.0157694	0.0120016	0.0104384	0.0077176	0.00630055	0.00726166	0.0052449	0.0100915	0.00803321	0.00685211	0.00520508	0.00463643	0.00666474	0.0106428	0.0190708	0.0141497	0.0264553	0.0240595	0.0294129	0.016623	0.0175634	0.00988424	0.015501	0.0104118	0.0110163	0.0132079	0.00661492	0.0162747	0.00933415	0.0133431	0.0116023	0.0179258	0.0104627	0.0128086	0.00943091	0.00977622	0.00809076	0.00881716	0.0128127	0.0154696	0.0140209	0.0148051	0.0133726	0.00988455	0.0109544	0.0121283	0.0146588	0.0124896	0.0138589	0.00941889	0.00753996	0.00682536	0.00948475	0.011371	0.0153456	0.0122619	0.011638	0.0179613	0.022787	0.0413335	0.0343605	0.0462885	0.104943
vivant	0.0114187	0.00568823	0.0068905	0.00634365	0.00524631	0.00336807	0.00148739	0.00160024	0.00173319	0.00300291	0.00272508	0.00403387	0.00303931	0.00312651	0.00431968	0.00531169	0.00588869	0.00830758	0.0120633	0.0100455	0.0193793	0.0139602	0.0184235	0.0109998	0.0153726	0.0113281	0.0128619	0.0140805	0.00867953	0.0183388	0.012421	0.0254669	0.0212568	0.0343554	0.023668	0.0196668	0.0180099	0.0192655	0.0150913	0.0136444	0.0156473	0.0177516	0.0128883	0.0204996	0.0148214	0.015151	0.0263994	0.0206238	0.0185352	0.0136066	0.0212735	0.0158474	0.00601663	0.00520965	0.00892765	0.0121928	0.0174388	0.0141538	0.0170734	0.0230504	0.0238175	0.0441989	0.0347582	0.0478483	0.0803581
</S>	0.011342	0.00669663	0.00777515	0.0082949	0.00832596	0.00886403	0.00981065	0.0136255	0.0115283	0.013937	0.00990235	0.00765988	0.00423029	0.00364139	0.00479055	0.00812281	0.0149057	0.0145217	0.0203437	0.0198132	0.0195495	0.015436	0.0167504	0.0130216	0.0152277	0.0130145	0.017308	0.0170109	0.0159266	0.0167881	0.016081	0.0202687	0.0181371	0.0200941	0.0125385	0.0133786	0.0121856	0.0109321	0.0108133	0.0153599	0.0219825	0.0226543	0.0217512	0.019054	0.0151472	0.0125176	0.013329	0.0142352	0.0167665	0.0159755	0.0159922	0.0151054	0.013257	0.0124406	0.0146561	0.0166871	0.0236135	0.0137293	0.0151787	0.0220265	0.0181495	0.0222125	0.0221548	0.0289523	0.0544771
