 	b	í	s	í	l	é	k	y	e	o	t	á	b	h	í	í	m	í	s	u	n	g	a	l	ó	b	i	a	y	e	e	d	í	l	i	k	ω	n	í	s	ó	p	i	t	á	á	l	e	</S>
apporter	0.0475178	0.0369348	0.0218026	0.014539	0.00749219	0.00594119	0.0078907	0.0083771	0.0107109	0.00782149	0.00652732	0.0121177	0.00618504	0.0109367	0.0148747	0.0251962	0.0290212	0.035383	0.0289199	0.0270303	0.0313136	0.0231445	0.0315571	0.0121181	0.037341	0.0141283	0.0148359	0.0290317	0.0284858	0.0200068	0.022849	0.0259467	0.0191741	0.0258459	0.0225206	0.0273426	0.0189792	0.0196363	0.0171637	0.0191648	0.0174427	0.00980383	0.0144156	0.0121568	0.0142949	0.0169708	0.0164772	0.0250193	0.0476134
une	0.0534038	0.0297584	0.0160536	0.013761	0.00954853	0.00620707	0.00633209	0.00693778	0.00871657	0.00766457	0.00639543	0.0103089	0.00792294	0.00969137	0.0115516	0.0187866	0.0196879	0.0288705	0.0284162	0.0308811	0.0246178	0.0262648	0.0412938	0.0155242	0.0334902	0.0208525	0.0197242	0.026341	0.0229735	0.0204173	0.0135637	0.0163064	0.0152144	0.0165423	0.0148779	0.0125283	0.00790293	0.00661009	0.00536366	0.00817399	0.00688108	0.00745994	0.00937565	0.0130289	0.0156423	0.0289933	0.0515681	0.0699527	0.0976191
assistance	0.0173955	0.0116857	0.00724691	0.00789689	0.00771138	0.00648288	0.00831664	0.0126388	0.0174146	0.010445	0.00909902	0.010924	0.00709059	0.00888844	0.0103723	0.0119116	0.0127399	0.0157792	0.021104	0.0278106	0.0196611	0.0401602	0.0437563	0.017873	0.0340161	0.0146409	0.01447	0.0178104	0.0164902	0.0114956	0.013773	0.0151726	0.0191476	0.0168784	0.016379	0.0186821	0.0109156	0.0119188	0.0105612	0.0157317	0.014383	0.0197149	0.0192683	0.0218789	0.0251147	0.0327989	0.0526356	0.0785113	0.113207
à	0.0442791	0.0193171	0.0153493	0.0164287	0.0123847	0.00681665	0.00628935	0.00785147	0.0119339	0.00745564	0.0054497	0.00760694	0.00597822	0.00648604	0.00659931	0.00878967	0.00610157	0.00703876	0.011766	0.0206383	0.0198317	0.0310513	0.0396037	0.0223516	0.0360105	0.0259965	0.0236041	0.034052	0.0315246	0.0239061	0.0271124	0.0332729	0.0292889	0.0375847	0.0317087	0.03649	0.0267312	0.0268193	0.0239518	0.0227473	0.0189113	0.0175511	0.0185545	0.0177792	0.0164116	0.0169718	0.0175818	0.0273939	0.0306451
notre	0.0663229	0.0365633	0.0240031	0.0276211	0.017417	0.0121889	0.0114376	0.0135164	0.0169947	0.0146793	0.0105693	0.0136301	0.0140632	0.0155638	0.0158946	0.0188089	0.0146675	0.0128432	0.0111086	0.0169571	0.0150153	0.0220584	0.0262178	0.0108977	0.0281756	0.0130575	0.0103506	0.0210964	0.0196874	0.0116891	0.0118156	0.0156445	0.0116585	0.0209133	0.0175162	0.0217143	0.0157337	0.0169014	0.0141577	0.0212128	0.0194857	0.0180841	0.0189749	0.0202094	0.019884	0.0256612	0.0269548	0.0461201	0.0742617
ami	0.0123748	0.0061522	0.00464939	0.00667573	0.00778295	0.00665916	0.00733635	0.0114184	0.0139659	0.00767473	0.00677639	0.0068657	0.00592681	0.00663462	0.00656809	0.00845238	0.00700998	0.00832368	0.012199	0.0258689	0.0167662	0.0464878	0.0527776	0.0208665	0.0325978	0.0199656	0.0183112	0.0248587	0.0229671	0.0128408	0.0176525	0.0219535	0.0264855	0.0278852	0.0253885	0.0282054	0.0183275	0.0145197	0.0147769	0.0184877	0.0170654	0.0222457	0.020702	0.0222043	0.0274379	0.0343324	0.0471623	0.0655914	0.0818213
qui	0.0472246	0.0187212	0.0087665	0.0092248	0.00890417	0.00674005	0.00730369	0.0119028	0.0148836	0.00822683	0.00769904	0.00718614	0.0105881	0.012304	0.0113121	0.0156398	0.0119274	0.0116437	0.0132453	0.0191296	0.0138481	0.0277213	0.0360073	0.0157215	0.0339063	0.0170747	0.0178015	0.0209986	0.0210865	0.0141236	0.0169517	0.0176225	0.0181475	0.0199139	0.0202565	0.0243317	0.0191308	0.0202952	0.0213424	0.029525	0.0249107	0.0224213	0.0262121	0.0218415	0.0255652	0.0267071	0.0321439	0.0571391	0.0746792
est	0.057114	0.0354541	0.0206077	0.0191156	0.0130658	0.00899517	0.00892286	0.0102784	0.0135756	0.01096	0.00936839	0.00964082	0.0146853	0.016223	0.0151036	0.0163283	0.0139957	0.0116351	0.00871689	0.0118119	0.0107975	0.0164091	0.0266783	0.0114515	0.0357546	0.0134678	0.0144804	0.0235263	0.0240987	0.0149859	0.0171664	0.0185173	0.0171378	0.0228395	0.0218388	0.0303449	0.0201593	0.029498	0.0218137	0.0314088	0.0229204	0.0155986	0.0191337	0.0188038	0.0171709	0.0202532	0.0251662	0.0404348	0.0725452
hospitalisé	0.0197572	0.0107725	0.00680284	0.00674465	0.00688684	0.0052927	0.00538599	0.00604958	0.00711379	0.00623056	0.00625321	0.00584017	0.00809787	0.00879203	0.00796136	0.00865869	0.00840091	0.0106364	0.015493	0.0249238	0.0210057	0.0313971	0.0469199	0.0248453	0.0480422	0.0222107	0.0225654	0.0266027	0.0269873	0.0147678	0.0184268	0.0195186	0.0218064	0.0246048	0.0275672	0.0342015	0.0224563	0.0221469	0.0173648	0.0247271	0.0188677	0.0199682	0.022308	0.0217154	0.0268986	0.0346316	0.0423303	0.0498596	0.0591623
</S>	0.0383253	0.0296014	0.021151	0.0171685	0.0134796	0.0110496	0.0117231	0.00994505	0.0122614	0.0104034	0.00943398	0.00940493	0.0117782	0.0117134	0.0107654	0.0134814	0.0132612	0.0128211	0.0112233	0.0132469	0.0175155	0.0167114	0.0210247	0.0178163	0.0251153	0.0212023	0.0201536	0.0263395	0.0272413	0.0196041	0.0195404	0.0229169	0.0185862	0.0251827	0.0212636	0.0228344	0.0246849	0.022119	0.0215923	0.0244004	0.0203255	0.0182271	0.0200525	0.0230401	0.0209218	0.0265476	0.0350186	0.0413515	0.0664327
