 	o	k	a	b	h	á	w	á	i	d	z	á	a	l	á	b	i	a	s	a	á	n	i	i	p	ω	ώ	k	a	á	t	s	í	n	a	w	a	a	d	í	l	a	b	v	ú	b	h	ú	l	á	s	í	d	z	á	a	</S>
même	0.0212242	0.0150825	0.010682	0.0090275	0.00833437	0.00533538	0.00349297	0.00379374	0.00498429	0.00704574	0.00836132	0.00711654	0.00757058	0.00807641	0.00970716	0.0131402	0.0165613	0.0166581	0.0147078	0.0170326	0.0124845	0.0110886	0.0166554	0.0227515	0.0182906	0.0159956	0.0260767	0.031	0.0280703	0.0234771	0.0377574	0.0256655	0.0306299	0.0190853	0.0211601	0.0226758	0.0188403	0.0236991	0.025644	0.0234633	0.0156968	0.0198532	0.0219656	0.0220814	0.0172457	0.00996721	0.00782219	0.00859812	0.0117261	0.0142044	0.0107904	0.0142341	0.0168694	0.0376892	0.0168729	0.0354775	0.0564601
assiette	0.0318001	0.0263794	0.0228464	0.0184119	0.0150824	0.00951926	0.00861311	0.00840017	0.00691397	0.00653706	0.00597766	0.00239426	0.00248198	0.00231256	0.00253845	0.00322182	0.00450132	0.00635761	0.00603966	0.00781121	0.00881284	0.0138458	0.0161543	0.0171575	0.0230685	0.0205628	0.0308368	0.0347629	0.0221601	0.0257272	0.0212134	0.0226475	0.0126407	0.0152811	0.0135334	0.0139663	0.0154379	0.0166763	0.0145613	0.0182301	0.0106238	0.0109124	0.0111582	0.010901	0.011867	0.0134744	0.0170745	0.0225545	0.02628	0.0286201	0.0213947	0.0264236	0.0290597	0.0314893	0.0409285	0.0423306	0.0694904
que	0.0267838	0.0183169	0.014908	0.010645	0.00961558	0.00558352	0.00332414	0.00316052	0.00343097	0.00463472	0.0061817	0.00499456	0.00506106	0.00485512	0.00491806	0.00609125	0.00720441	0.00801619	0.00707385	0.00876902	0.00930788	0.0131819	0.0182808	0.0162304	0.0192719	0.0172282	0.0221138	0.0234496	0.0209643	0.0226462	0.0225006	0.0211368	0.0127083	0.0155196	0.0108949	0.0127336	0.0109989	0.0120205	0.0107023	0.0131716	0.00887257	0.0136177	0.0128656	0.00910925	0.0107888	0.0119993	0.0103711	0.0127799	0.0249068	0.0258693	0.0407302	0.0557249	0.0478208	0.0554591	0.0540523	0.0570768	0.059325
les	0.0202587	0.0171642	0.0160239	0.0149813	0.014028	0.00800102	0.00663075	0.00654767	0.00652219	0.00733464	0.00818841	0.00411461	0.00291644	0.00345812	0.00314903	0.00314828	0.0028267	0.00436099	0.00437336	0.00491495	0.00538813	0.0101865	0.0179054	0.0170637	0.0273346	0.0146374	0.0259659	0.0312068	0.0229711	0.0281992	0.025865	0.0272645	0.0111079	0.0202212	0.0158622	0.0143987	0.0210108	0.0217324	0.026884	0.0293765	0.0161155	0.0198836	0.020317	0.0191015	0.0174755	0.0202076	0.0219581	0.0249134	0.0252181	0.0274054	0.02591	0.027045	0.0275409	0.0282008	0.0308275	0.0306293	0.0437255
autres	0.0488396	0.0274109	0.0187977	0.0143809	0.0113898	0.00825012	0.00410397	0.00343924	0.00352592	0.00533666	0.0058108	0.0055635	0.00620858	0.0061254	0.00732628	0.0102085	0.0134319	0.0129661	0.0122131	0.0128757	0.0168708	0.0195471	0.0208605	0.019584	0.0217667	0.0227723	0.0228819	0.0239308	0.0215859	0.0209218	0.0236335	0.0199915	0.0154675	0.0146764	0.0118562	0.014584	0.0108992	0.0128211	0.0106879	0.0123721	0.00862782	0.0140641	0.012453	0.00763971	0.00890172	0.00786544	0.00662806	0.00798592	0.017208	0.0175966	0.0254294	0.0348155	0.0340092	0.0454347	0.0448405	0.0517811	0.0588031
car	0.0200567	0.0146388	0.0134549	0.00933094	0.00715938	0.00547808	0.00516279	0.00497475	0.00513795	0.00569826	0.007153	0.00382033	0.0029053	0.00371811	0.00339711	0.00360441	0.00358245	0.00885824	0.00730277	0.00993767	0.0127632	0.0269977	0.0332288	0.0333939	0.0396439	0.0408063	0.0385065	0.0384474	0.0339431	0.0342612	0.0342544	0.0294192	0.0186975	0.0270631	0.0237399	0.0241509	0.0324951	0.0353776	0.0235634	0.0291633	0.0182668	0.0178991	0.0139725	0.012173	0.00983255	0.00693263	0.00683028	0.00751227	0.00867991	0.0116225	0.0114113	0.013473	0.0137871	0.0170073	0.0196724	0.0203933	0.0352455
il	0.0403603	0.0173383	0.0168958	0.0141475	0.0126157	0.0144821	0.0109755	0.00910229	0.00967354	0.00746716	0.00898157	0.00604261	0.00343684	0.00489877	0.00408051	0.00284167	0.00267526	0.00525736	0.00565497	0.0066916	0.00576023	0.0135941	0.0150668	0.0156663	0.0178742	0.0226986	0.028503	0.0297841	0.0139807	0.0420255	0.0215674	0.0202857	0.00834602	0.0213951	0.0195136	0.0167	0.0218105	0.0328761	0.0231679	0.0235065	0.0167584	0.0179785	0.0175848	0.0248309	0.0187964	0.012525	0.0170954	0.0176571	0.0165655	0.0228164	0.0279103	0.0294369	0.0262124	0.0263947	0.0277228	0.026319	0.0356539
prend	0.0660012	0.0384916	0.0319732	0.0216281	0.0121147	0.0184379	0.0174083	0.0106435	0.00756493	0.00941669	0.00530004	0.00550602	0.0103432	0.00526673	0.00516417	0.00506284	0.00676725	0.0062119	0.00550922	0.0059657	0.016343	0.0242001	0.0275202	0.0301193	0.0453167	0.0343439	0.0459393	0.0527352	0.0155145	0.03486	0.0156924	0.0185971	0.00862121	0.0177062	0.0129831	0.0126388	0.0119375	0.0118509	0.0111909	0.0105262	0.00731075	0.0102395	0.0096731	0.00619421	0.00772463	0.00562682	0.00544131	0.00635296	0.00695098	0.00732631	0.00929832	0.0127923	0.0121592	0.0184595	0.0266654	0.0293711	0.0649996
plus	0.0423268	0.0280225	0.0265741	0.0126843	0.00925934	0.0103535	0.0162194	0.00780789	0.00466672	0.00741988	0.00518205	0.00415663	0.00758581	0.00420255	0.00594548	0.00730475	0.0114873	0.00722826	0.00804134	0.00838128	0.0203243	0.0198222	0.016904	0.0183617	0.0223379	0.0206438	0.0193313	0.0349171	0.013842	0.0200663	0.0107881	0.0148791	0.0189931	0.0117372	0.0113872	0.0148131	0.0149102	0.0150914	0.0154025	0.0139866	0.00922266	0.0105636	0.0117226	0.00707053	0.0107444	0.00730656	0.00705657	0.0109502	0.0137831	0.0107943	0.0150254	0.0187277	0.0201491	0.0367347	0.0548335	0.0534661	0.11846
que	0.0404449	0.0196578	0.0178624	0.0113426	0.00715489	0.00868395	0.0124123	0.00826428	0.00626631	0.00938651	0.00540043	0.00326605	0.00573965	0.00391329	0.00483904	0.00376751	0.00570975	0.00617629	0.00597061	0.00572175	0.0143003	0.0272175	0.03964	0.0387206	0.0510721	0.0226497	0.0324933	0.0404406	0.0167163	0.0255555	0.0155982	0.0187178	0.00649608	0.015777	0.00869123	0.00851002	0.0121316	0.0106815	0.0136424	0.0154345	0.0068071	0.0106835	0.0139357	0.00785436	0.00947776	0.00728015	0.00935805	0.0125538	0.0125094	0.0206281	0.0232862	0.0205578	0.0238734	0.0248351	0.0288312	0.0421635	0.098898
sa	0.0384606	0.0193125	0.0172469	0.0182602	0.0141051	0.0124994	0.0130164	0.0100952	0.00998616	0.0111654	0.0102692	0.00690503	0.00514603	0.00511616	0.00348409	0.00213727	0.00376199	0.00709193	0.00601011	0.00712248	0.00763607	0.0138749	0.0152107	0.0157583	0.0154721	0.00769897	0.0185722	0.0240841	0.00968926	0.0207861	0.0130946	0.0168794	0.0086363	0.0290397	0.022097	0.0181894	0.0208961	0.0216652	0.0220002	0.0249832	0.014385	0.0157645	0.0175041	0.0118022	0.0158932	0.0169785	0.0196366	0.0200189	0.0186335	0.0308709	0.0344499	0.0305388	0.0370958	0.0391563	0.0303207	0.0435215	0.0359737
part	0.0423606	0.0204236	0.0188529	0.0107438	0.00653579	0.00785054	0.013168	0.00716817	0.00467442	0.00756312	0.00397647	0.00307215	0.0076179	0.0040414	0.0058786	0.00493726	0.0085656	0.00607232	0.00667043	0.00556244	0.0175117	0.0218027	0.028195	0.026602	0.0389154	0.0210229	0.023806	0.0423992	0.0119981	0.0224793	0.0121502	0.0157546	0.00972022	0.0170937	0.0119268	0.010792	0.0139184	0.0193135	0.0205077	0.020079	0.0105812	0.0142652	0.0168568	0.00878012	0.00881855	0.00686154	0.00850436	0.0107838	0.0164269	0.0143676	0.0125657	0.0127249	0.015333	0.0233373	0.0310218	0.0484212	0.138626
de	0.0402824	0.0187626	0.0179698	0.00980622	0.00637016	0.00965655	0.0145244	0.00886813	0.00700212	0.00883601	0.00520393	0.00333344	0.00339269	0.00373273	0.00410305	0.00237456	0.00336689	0.00390524	0.00495279	0.00381862	0.00773576	0.0174674	0.026408	0.0237565	0.0340743	0.0141529	0.0266596	0.0371225	0.0105343	0.0280138	0.0131677	0.0175762	0.00529102	0.0160579	0.00900347	0.00723282	0.0124356	0.0139189	0.0189766	0.018763	0.0100148	0.0150728	0.0177638	0.0152679	0.0165893	0.0113259	0.0160417	0.018695	0.024003	0.0293436	0.0225404	0.0202056	0.0291999	0.0359962	0.0307011	0.0468815	0.101747
nourriture	0.0559938	0.035956	0.0336197	0.0151935	0.0105526	0.0115861	0.0197361	0.0104406	0.00731977	0.00876792	0.00525759	0.00416922	0.00598775	0.00524622	0.00734577	0.00679433	0.00655043	0.00620034	0.00660037	0.00646311	0.014242	0.0168856	0.0142542	0.0183755	0.0230626	0.0147713	0.0159615	0.0334266	0.00842637	0.0202446	0.010138	0.0150172	0.0127415	0.0257303	0.0149146	0.0165218	0.0204301	0.0287353	0.0302254	0.0230773	0.0154477	0.0169147	0.0194866	0.0125352	0.0122788	0.00956352	0.00979199	0.0111391	0.0107137	0.0111279	0.0134809	0.014729	0.020413	0.0258964	0.034774	0.0386868	0.0760578
</S>	0.0379461	0.0214795	0.0228681	0.0152865	0.0154859	0.0132538	0.0144863	0.0111149	0.011437	0.0104294	0.0113522	0.00842151	0.00721417	0.00735032	0.00680202	0.0047703	0.00453612	0.00950443	0.00955822	0.0103952	0.0145628	0.0195362	0.0147672	0.0205442	0.017771	0.0212102	0.023316	0.0257977	0.0127595	0.0290248	0.015208	0.0181314	0.010754	0.0283469	0.0196035	0.0145853	0.0245828	0.0323308	0.0312342	0.0231382	0.0246977	0.0164691	0.0226368	0.0192825	0.0175573	0.0137649	0.0131733	0.0114268	0.00935265	0.0124494	0.0111114	0.0126522	0.0225312	0.023395	0.0251204	0.0294599	0.0440225
