 	s	o	n	g	ó	n	d	z	a	b	a	r	e	á	d	í	o	b	h	e	r	á	o	k	o	b	h	á	n	g	á	m	b	v	a	l	a	e	n	g	w	ε	n	d	z	ε	k	a	á	t	s	í	n	a	n	g	á	l	a	t	ó	n	g	á	m	w	á	n	a	y	a	n	d	é	e	w	ó	o	</S>
un	0.0320241	0.0246071	0.0214687	0.015161	0.0109059	0.00640636	0.00559447	0.0049129	0.00470592	0.00442179	0.0047168	0.00436869	0.0040103	0.00509043	0.00347333	0.00219832	0.00199906	0.00300874	0.00825712	0.011878	0.0218224	0.0223135	0.0288583	0.0176842	0.0176039	0.0189018	0.015811	0.0178189	0.0165003	0.0137181	0.0115281	0.013936	0.0151187	0.0146196	0.014572	0.0147753	0.0140559	0.0117311	0.0122122	0.0138999	0.00828894	0.0125481	0.0135803	0.0139928	0.0126433	0.0142492	0.012444	0.0147	0.0140205	0.012798	0.014204	0.010832	0.0107982	0.00968303	0.00857079	0.0101711	0.011062	0.0107207	0.00676423	0.00740878	0.00823327	0.00903479	0.00685313	0.00723232	0.0100967	0.00668282	0.00753774	0.00855301	0.00737714	0.00802469	0.00937808	0.0101699	0.0115788	0.0112415	0.0141755	0.025528	0.0251132	0.0287089	0.0483103
faible	0.016335	0.0116026	0.00957269	0.00741372	0.00491233	0.00288262	0.00282636	0.00231683	0.00297586	0.00216393	0.00236403	0.00213525	0.00238623	0.00269319	0.00243737	0.00248541	0.00449628	0.00435717	0.00715004	0.0132883	0.0152272	0.0113673	0.0130583	0.0114151	0.0115743	0.0120492	0.0118751	0.0107267	0.0134055	0.011503	0.0124793	0.0115162	0.0120113	0.0135851	0.0103646	0.0128245	0.0131708	0.0121886	0.00821119	0.0122305	0.00613261	0.00917995	0.0100711	0.00889193	0.00991888	0.0115185	0.00871519	0.0106902	0.015866	0.0140286	0.0156069	0.0178838	0.0173645	0.0173086	0.0131108	0.0187699	0.0197623	0.020844	0.0162096	0.0146305	0.0110948	0.0142433	0.00882193	0.00832507	0.0104149	0.00722648	0.010329	0.0101957	0.0114355	0.0136282	0.0186061	0.0207119	0.0219978	0.0220953	0.0242917	0.0195586	0.0385076	0.0452768	0.0591571
parce	0.0197806	0.0142479	0.0126005	0.00880085	0.00921538	0.00894693	0.00791258	0.00847851	0.00666058	0.0027876	0.0036343	0.00126029	0.00127666	0.00158899	0.00116946	0.000858934	0.000851731	0.00115289	0.00321487	0.00758587	0.0143798	0.0261833	0.037689	0.0209938	0.0195815	0.0223787	0.0262518	0.0218674	0.0235353	0.0177689	0.0133568	0.0162119	0.0183979	0.0220672	0.0183827	0.0162324	0.0173637	0.0157889	0.017977	0.0191298	0.00708467	0.0161085	0.0138053	0.0170251	0.0164703	0.0175917	0.0108154	0.0144929	0.0126475	0.0109458	0.0113	0.0111258	0.00975894	0.0112775	0.00873052	0.0108086	0.0135972	0.0103217	0.00857946	0.0106387	0.00998395	0.0101377	0.00833078	0.00933775	0.0103202	0.00992417	0.00941084	0.0102007	0.00925725	0.00720312	0.00813078	0.00888292	0.0111228	0.011404	0.0124795	0.013893	0.0171775	0.0194874	0.0326269
que	0.00921853	0.0102978	0.0135718	0.0155555	0.0174884	0.0178313	0.015869	0.0178796	0.0153985	0.00732115	0.00563372	0.00431748	0.00323799	0.00574654	0.00368432	0.00232471	0.0022358	0.00227613	0.00394702	0.00573391	0.00826389	0.0123173	0.0119111	0.0127815	0.0108403	0.0141166	0.0159312	0.0210623	0.0165285	0.0140484	0.0127584	0.011071	0.0133266	0.0142268	0.0125709	0.0122495	0.0131966	0.00890357	0.0101441	0.0108932	0.00718321	0.00942281	0.0114722	0.0106712	0.00902244	0.00976605	0.0109851	0.00939134	0.0119168	0.0112207	0.0116581	0.012849	0.0177286	0.0201981	0.0139512	0.0137207	0.0180229	0.00994328	0.0129589	0.0144902	0.0132945	0.012299	0.010162	0.0109026	0.0125785	0.0149498	0.017862	0.0177084	0.0176834	0.0161426	0.0180141	0.0208582	0.0188315	0.0193115	0.0201731	0.0216024	0.0188784	0.0176183	0.0178458
j'	0.0237941	0.0158381	0.0135945	0.00970787	0.0113192	0.011894	0.0130372	0.0143591	0.0120566	0.00725815	0.00706345	0.0052281	0.00447335	0.00645892	0.00391843	0.00240048	0.00186297	0.00228137	0.00457213	0.00612122	0.0103268	0.0121767	0.0206179	0.0154911	0.0146425	0.0216159	0.0184116	0.0256582	0.0217363	0.0155788	0.0142207	0.0128979	0.0179424	0.0165171	0.0137099	0.0152688	0.0165653	0.00938435	0.0105297	0.0127846	0.00699562	0.0112567	0.0136618	0.0102258	0.00956909	0.0109239	0.0117332	0.0107843	0.0144139	0.0141371	0.0140317	0.0128627	0.0155982	0.0170378	0.013558	0.0147229	0.0192484	0.0112318	0.00972444	0.00933064	0.00981546	0.0111075	0.00678433	0.00709526	0.0109496	0.00656406	0.00908681	0.00929163	0.00820465	0.00957308	0.0110149	0.0124369	0.012196	0.0128453	0.0147504	0.0221063	0.0225761	0.0221226	0.0371155
y	0.0264962	0.0156237	0.0112665	0.00809387	0.00852481	0.00671379	0.00531873	0.00479236	0.00555849	0.00469347	0.00451748	0.00509784	0.00418575	0.0064326	0.00533648	0.00315645	0.00291438	0.00314539	0.00450934	0.00680081	0.00951814	0.0116329	0.0137023	0.0119057	0.0112774	0.0181529	0.0143989	0.0245201	0.0219561	0.0160869	0.0114401	0.0119823	0.0146661	0.0127254	0.0126777	0.0143651	0.0143278	0.00882717	0.00940253	0.0124424	0.00669998	0.00894167	0.0114473	0.0100294	0.0079532	0.00974176	0.0104641	0.00981369	0.0125814	0.0125035	0.0124999	0.0112406	0.0165278	0.0153033	0.0131614	0.0142841	0.0230163	0.0147838	0.00998604	0.00928258	0.00931827	0.0110691	0.00667099	0.0061893	0.0132082	0.00736504	0.0107541	0.0117895	0.00689588	0.00989803	0.0121902	0.0176134	0.0168931	0.0186903	0.0222132	0.0224947	0.033832	0.0414765	0.0619899
ai	0.0210765	0.00882633	0.0050691	0.00460064	0.00447932	0.00413317	0.00367978	0.00272481	0.0040514	0.0026923	0.0032946	0.00312344	0.00271845	0.00388563	0.00331139	0.00213852	0.00313868	0.00356137	0.00450124	0.00679054	0.00845944	0.0106206	0.00817705	0.00882811	0.00979736	0.0181899	0.0157081	0.0254918	0.0269854	0.0237378	0.015674	0.0145375	0.0169276	0.0148087	0.0130515	0.0173171	0.015304	0.00749979	0.00914522	0.0173344	0.00682686	0.0089906	0.0121115	0.0128042	0.00808587	0.0100331	0.0102019	0.0108734	0.0146332	0.015835	0.0156761	0.0105081	0.0190153	0.0168414	0.0146822	0.0186149	0.0358681	0.0246143	0.0106943	0.00919226	0.00658529	0.0101523	0.00463604	0.00429953	0.0087669	0.004618	0.00850089	0.00750921	0.00461916	0.00798971	0.00834789	0.0145717	0.0108151	0.0176282	0.0193003	0.0164817	0.0350679	0.0573788	0.0712364
construit	0.021761	0.0139575	0.0115813	0.0101269	0.010337	0.00857679	0.00594428	0.00427915	0.00428148	0.00327581	0.00439047	0.00445838	0.00341993	0.00456765	0.00733084	0.00451268	0.00591743	0.00588135	0.0059725	0.00770105	0.01071	0.0144655	0.011853	0.00952405	0.00804637	0.0128248	0.00954887	0.0193735	0.0179013	0.024441	0.0144402	0.00876883	0.0143138	0.0116257	0.00802971	0.0112993	0.0102437	0.00470247	0.0060133	0.0170849	0.00615822	0.00768081	0.00940963	0.00786893	0.00576039	0.00864271	0.00725546	0.00703462	0.0119246	0.012207	0.0109893	0.00820875	0.0146592	0.0124879	0.0113039	0.0196286	0.0272035	0.0193877	0.00737901	0.00555559	0.00521507	0.00728445	0.00441714	0.00429281	0.00799323	0.00445525	0.00529833	0.00644889	0.00460378	0.00698632	0.00944299	0.0151745	0.0141883	0.018178	0.0250955	0.0172687	0.0477774	0.0786442	0.103006
une	0.0301298	0.0142646	0.00896717	0.00804333	0.00728837	0.00678331	0.00830449	0.00645417	0.00726888	0.00522049	0.00605108	0.00302989	0.00296081	0.00347382	0.0047732	0.00320019	0.00332184	0.00541894	0.0079422	0.00791838	0.0190915	0.0401267	0.0229723	0.0203743	0.0124838	0.0177549	0.0243396	0.0157406	0.0251804	0.0259496	0.0273135	0.0245548	0.0257742	0.0366308	0.0240196	0.0214542	0.0170443	0.0110517	0.0190551	0.0287312	0.0182867	0.0247885	0.0299999	0.0262033	0.0236577	0.0329484	0.0204535	0.0269187	0.0214297	0.0181837	0.0215594	0.0086987	0.0117353	0.0120332	0.00472469	0.0126536	0.0110104	0.00897447	0.00377499	0.00341191	0.00223158	0.00201546	0.00126034	0.00116038	0.0017018	0.00106635	0.00199641	0.0011475	0.00111433	0.00121204	0.00145176	0.00160528	0.00130695	0.00216992	0.00177326	0.00317089	0.00529009	0.0061916	0.0102296
petite	0.0177718	0.015719	0.0119114	0.0128383	0.00694414	0.00533044	0.00423989	0.00486033	0.00665232	0.00537691	0.00781075	0.00824273	0.00739373	0.00716361	0.0145056	0.010593	0.0191559	0.0158645	0.00871665	0.00951734	0.00483035	0.00810109	0.00366625	0.00282199	0.00209188	0.00287317	0.00427116	0.00362145	0.00862067	0.0109928	0.0122409	0.00439065	0.00878963	0.0148681	0.00552979	0.00516884	0.00528494	0.00276168	0.00397954	0.00787512	0.00232938	0.00312092	0.00332491	0.00336562	0.00208281	0.00342448	0.00234483	0.00212351	0.00609525	0.0116896	0.00650989	0.00778947	0.0235727	0.0238069	0.0166173	0.0340097	0.0384959	0.0320413	0.0142255	0.0103247	0.00748647	0.0121332	0.00547581	0.00365359	0.00869338	0.00351261	0.00708516	0.00741509	0.00724624	0.00861726	0.00858044	0.0193529	0.0120693	0.0223346	0.026969	0.0148431	0.0397672	0.10234	0.111741
maison	0.0221036	0.0218377	0.0158319	0.0165616	0.00857071	0.00503391	0.00609048	0.00432325	0.0073087	0.00560562	0.00636053	0.00574286	0.00607497	0.00678578	0.00678603	0.006385	0.0104418	0.00980793	0.0115913	0.0131784	0.0120506	0.00682107	0.00762065	0.00551849	0.00465654	0.00622988	0.00586729	0.00796411	0.00750406	0.00819665	0.00784275	0.0054282	0.00717988	0.00752313	0.00483933	0.00662158	0.00803637	0.00433879	0.00431978	0.00681465	0.00331815	0.00531422	0.00484335	0.00434145	0.00411615	0.00389099	0.00458607	0.00413051	0.00911992	0.00922046	0.0073498	0.00914064	0.0139114	0.0143918	0.015737	0.0173966	0.0206256	0.0165205	0.0112093	0.00844604	0.00557633	0.013439	0.00469895	0.00330326	0.00739498	0.00362983	0.00679915	0.00595414	0.0073448	0.00899868	0.0138883	0.0223091	0.0144588	0.0231772	0.03491	0.0213869	0.065663	0.0954522	0.12221
</S>	0.0249355	0.0206521	0.0166653	0.0129757	0.011219	0.00723158	0.00560597	0.00457331	0.00535788	0.0049612	0.00504825	0.0050242	0.00499904	0.00520594	0.00515199	0.00481933	0.0055055	0.00527803	0.00604072	0.00729438	0.00785109	0.00606161	0.00908302	0.00602694	0.00542715	0.00754182	0.00649667	0.0122169	0.0088167	0.00720061	0.00552887	0.00462942	0.00655834	0.00598155	0.0049041	0.00568987	0.00653737	0.00415228	0.00387205	0.00537888	0.00312842	0.00471351	0.00506581	0.00385046	0.00378305	0.00403538	0.00456834	0.00388161	0.00666817	0.00640451	0.00571761	0.0079547	0.0115031	0.0128462	0.0129535	0.0136817	0.0183549	0.0130332	0.00965649	0.00654302	0.00653997	0.0133532	0.00666019	0.0054834	0.0124085	0.00517642	0.0069615	0.0085261	0.00585649	0.00941539	0.0199299	0.0333492	0.0286238	0.0317618	0.0471396	0.0345198	0.0728972	0.0845625	0.109991
