 	o	t	a	a	w	á	á	o	t	u	m	b	ú	o	l	ω	n	g	ώ	p	e	n	á	k	i	l	i	l	á	b	a	l	e	í	k	o	b	h	í	m	í	á	</S>
le	0.0337104	0.0183429	0.0158418	0.0107372	0.00631169	0.00378656	0.00387177	0.0024881	0.00325989	0.0028591	0.00244325	0.00280419	0.00332376	0.00251635	0.00387612	0.00686088	0.0124472	0.0166856	0.0463308	0.0503882	0.046152	0.0519081	0.0296335	0.0423402	0.0522525	0.0340253	0.0294254	0.0350754	0.0361099	0.049575	0.0465241	0.0303163	0.0305533	0.0234065	0.0193195	0.0177388	0.02033	0.0218758	0.0246287	0.020878	0.0258039	0.0224045	0.0408376
hangar	0.0329767	0.0187412	0.0164217	0.0108732	0.00574197	0.00539585	0.00411518	0.00526113	0.00933602	0.0152482	0.00824181	0.0104365	0.0161357	0.0147396	0.0200516	0.0281368	0.0268831	0.0298147	0.0343795	0.0254399	0.0320127	0.0251945	0.0274334	0.038706	0.0426839	0.0369199	0.0244956	0.0275789	0.0399505	0.0328415	0.0345936	0.033007	0.0352731	0.0277103	0.0210019	0.0159237	0.0120848	0.0171663	0.0120257	0.0170257	0.0211811	0.0342413	0.052578
du	0.0480056	0.0235169	0.0165306	0.00947533	0.00708574	0.00584182	0.00369737	0.00280685	0.00324468	0.00343576	0.00215348	0.00204677	0.00478739	0.00376904	0.00397421	0.0102458	0.0175219	0.0272884	0.0909111	0.0862834	0.0601487	0.0630349	0.0356327	0.0462166	0.0731383	0.0326557	0.0299938	0.029774	0.0396514	0.0260568	0.022366	0.0159477	0.0139965	0.0105506	0.0121327	0.00977229	0.00991536	0.00869237	0.00862609	0.0102765	0.0113266	0.0182004	0.0392716
récolteur	0.0328171	0.0183387	0.0132931	0.00715101	0.00425051	0.0039934	0.00412203	0.0056554	0.00746855	0.012382	0.00648288	0.00700244	0.00891083	0.00867547	0.0150184	0.0214906	0.0236209	0.0220478	0.0301873	0.0286002	0.0274762	0.0271118	0.0238222	0.0276791	0.0277358	0.0253204	0.0219423	0.0243426	0.0263166	0.02591	0.0230393	0.0222697	0.022782	0.0268384	0.0222661	0.0256875	0.0181503	0.0348717	0.025334	0.0285031	0.041664	0.055386	0.114042
du	0.0296776	0.0153128	0.0127306	0.0104566	0.00984805	0.00854699	0.00690923	0.00441898	0.00336927	0.00420011	0.00427963	0.00266128	0.00408404	0.00372248	0.00604447	0.0112434	0.0153693	0.0298146	0.0692659	0.0791814	0.0553847	0.0791864	0.0464344	0.050855	0.060068	0.0364205	0.0381145	0.0333642	0.0315785	0.0310122	0.0250037	0.0222482	0.0215308	0.018116	0.0151606	0.0130999	0.0106339	0.011432	0.0100555	0.010113	0.00980128	0.0178101	0.0214396
vin	0.0701709	0.0392846	0.0202644	0.0117114	0.00789881	0.00648583	0.00505778	0.00638139	0.00767664	0.011133	0.004766	0.00450985	0.00613565	0.00589812	0.00792194	0.0133255	0.0172717	0.0170111	0.0222614	0.0152531	0.0166276	0.0150739	0.0175033	0.0317039	0.0179814	0.0259432	0.0200053	0.0330631	0.0471171	0.0466705	0.0456745	0.0388027	0.0434446	0.0251749	0.0246433	0.0183268	0.0148556	0.0267076	0.0172841	0.0224139	0.0207631	0.0391323	0.0906684
de	0.0261234	0.0125428	0.0109206	0.0104775	0.0144066	0.010999	0.0101119	0.00638431	0.00424217	0.00771684	0.00645135	0.00291164	0.00530374	0.00458815	0.0059679	0.0121149	0.0129967	0.0283526	0.0609705	0.0734044	0.0512363	0.0736328	0.0439267	0.0462048	0.0545197	0.0374334	0.0404595	0.0375284	0.0318926	0.0343065	0.0248447	0.0191553	0.0173378	0.016886	0.0160516	0.0149483	0.0112444	0.0124	0.0108163	0.0131334	0.0143361	0.0221475	0.028571
palme	0.0413186	0.0232881	0.0188611	0.0163185	0.020622	0.0134076	0.0146759	0.00888465	0.00898762	0.0123478	0.00789309	0.00537517	0.0066725	0.00516531	0.0062308	0.010844	0.0116414	0.0174934	0.0212432	0.0174642	0.0217798	0.0260564	0.0192857	0.0353829	0.0254187	0.0379152	0.0304753	0.0395775	0.042366	0.0534088	0.0468646	0.0347263	0.0349384	0.0288502	0.0273183	0.0220948	0.0141808	0.0223797	0.0168744	0.0236406	0.0220258	0.0315907	0.0541141
prenne	0.0516222	0.0299203	0.0250582	0.0240687	0.0256265	0.0177947	0.0124735	0.00883063	0.00698155	0.00705088	0.0061461	0.00431498	0.00818949	0.00689837	0.00407892	0.00749054	0.0091351	0.0133236	0.017219	0.0156043	0.015171	0.0194462	0.0130763	0.0169544	0.017508	0.0216686	0.0266403	0.0378197	0.0318016	0.0387212	0.0316679	0.0253112	0.0255184	0.0233501	0.0271516	0.0250476	0.0189143	0.0255323	0.0241331	0.0374796	0.0358121	0.0683206	0.0911263
feu	0.0362731	0.0145588	0.0113373	0.00740647	0.0114718	0.00329027	0.00376491	0.00688292	0.00707981	0.0200785	0.0106569	0.00946235	0.00647284	0.00773154	0.0129014	0.0179794	0.0127934	0.0144785	0.0177966	0.0167159	0.0156968	0.0198113	0.0115157	0.019359	0.0169143	0.0153741	0.0136855	0.025712	0.0334376	0.0435452	0.0319282	0.0307415	0.044627	0.0322981	0.0293482	0.0253578	0.0143382	0.0352882	0.0166217	0.022722	0.0235377	0.0571401	0.171867
</S>	0.0607673	0.0196277	0.0210838	0.0199139	0.033301	0.0186786	0.0149493	0.0100387	0.00732447	0.0136655	0.0109351	0.00550982	0.00973151	0.0080972	0.00844772	0.0169416	0.0133758	0.0286334	0.0399157	0.0308174	0.0298569	0.0323669	0.0262569	0.0348934	0.0272523	0.0234226	0.0192294	0.0268312	0.0340432	0.0250307	0.0185618	0.0163853	0.0186945	0.0170155	0.016542	0.0168702	0.011105	0.0246318	0.0156643	0.0285524	0.0243266	0.0425555	0.0781561
