 	a	p	f	é	é	b	á	a	k	y	á	b	v	u	m	b	u	s	a	b	á	n	d	z	a	m	b	é	y	é	é	m	i	y	a	á	l	a	b	á	a	s	á	p	o	o	b	h	á	</S>
qu'	0.0092751	0.00747955	0.0104542	0.0109936	0.00973748	0.00629638	0.00637953	0.00684313	0.00656252	0.00478525	0.00448038	0.00495797	0.00419782	0.00672502	0.00677105	0.00884147	0.00913193	0.0121235	0.0179781	0.0185283	0.0210007	0.0295835	0.0273679	0.035744	0.0411089	0.0433772	0.0579704	0.0327928	0.0379787	0.0272153	0.0216884	0.0348026	0.0328261	0.0314735	0.029279	0.0270787	0.0322608	0.0185585	0.0103782	0.0157502	0.0130839	0.0112214	0.00797701	0.00603932	0.00945552	0.0137649	0.0163694	0.0288381	0.0371257	0.0753467
ils	0.021177	0.0130095	0.0123597	0.0135175	0.0118523	0.011063	0.00953721	0.00883428	0.009537	0.00695648	0.00356361	0.00388865	0.00241449	0.00585733	0.00681088	0.00730841	0.00657993	0.0111022	0.012602	0.017513	0.0158476	0.0162342	0.0190867	0.0162766	0.0123223	0.0185274	0.0263642	0.019477	0.0200171	0.018585	0.0196056	0.0286063	0.0306444	0.0316334	0.0301283	0.0329248	0.0328152	0.0247063	0.02053	0.0255984	0.025268	0.0271285	0.0281588	0.0289903	0.0314122	0.02756	0.0317813	0.0400909	0.0444942	0.0597006
viennent	0.0169742	0.0110296	0.00956001	0.00737807	0.007695	0.0076672	0.00422044	0.00360711	0.00439771	0.00419062	0.00353943	0.00373498	0.00453896	0.00428887	0.00525127	0.00753645	0.00820156	0.0132278	0.0160528	0.0153418	0.022914	0.0234028	0.0274304	0.0258249	0.0255181	0.0250482	0.0292763	0.0248182	0.0272444	0.0276589	0.0274793	0.0297837	0.0291946	0.0294802	0.0281809	0.0224177	0.0370043	0.0445558	0.0330944	0.0431955	0.041993	0.0266823	0.0205901	0.0172172	0.0172766	0.0154737	0.0214946	0.0268649	0.0332766	0.0371746
d'	0.00859896	0.00737949	0.0101467	0.0141002	0.0125559	0.00918128	0.00821238	0.00681244	0.00969602	0.00891621	0.00593096	0.00720772	0.00504086	0.0090702	0.00742282	0.00636508	0.0059643	0.0112203	0.0139348	0.0178421	0.0223926	0.0238714	0.0233566	0.0298409	0.0275266	0.0336718	0.0458779	0.0277355	0.0334077	0.0269017	0.02837	0.0342703	0.0398228	0.0392987	0.0329916	0.032218	0.0307777	0.0267414	0.0210821	0.0258006	0.0190818	0.0159651	0.0157888	0.0167222	0.0190794	0.0224421	0.0222989	0.022526	0.023837	0.0307043
implanter	0.0211455	0.0165954	0.0155923	0.0160933	0.0181994	0.0107618	0.00700277	0.00470565	0.00632247	0.00619479	0.00487881	0.00464746	0.00650959	0.00591644	0.00621618	0.00935366	0.00803586	0.0116141	0.0130056	0.0122943	0.0241797	0.0225074	0.03827	0.0254693	0.0267446	0.0246812	0.0275418	0.0165436	0.0234982	0.0237713	0.0290981	0.0375163	0.0311566	0.0343394	0.0294884	0.0290598	0.0308985	0.0309667	0.0202466	0.0271635	0.0241573	0.016111	0.0181328	0.0196773	0.0213838	0.0251393	0.0265081	0.0262044	0.0279388	0.0365209
ici	0.0178228	0.0143545	0.0184355	0.0258281	0.0230215	0.0149509	0.0105366	0.0108941	0.0127866	0.0146117	0.0101888	0.0101315	0.0123489	0.0137722	0.014339	0.0180351	0.0153144	0.0178127	0.0196926	0.0184102	0.0203366	0.0172653	0.022992	0.0171429	0.0188224	0.0216109	0.0204313	0.0147198	0.0198235	0.0205986	0.0213979	0.0375205	0.0265278	0.0327363	0.0267845	0.0258239	0.0354621	0.0270621	0.0159605	0.0239175	0.0178948	0.0126916	0.012502	0.0124093	0.0150703	0.0192754	0.0293967	0.0286154	0.0303062	0.0416144
dans	0.0422974	0.0192082	0.0297566	0.0469335	0.0418865	0.020527	0.018169	0.015001	0.0191744	0.020733	0.010353	0.0132453	0.0174981	0.0227917	0.0209088	0.0228969	0.0201242	0.0188876	0.0189075	0.0171785	0.0153798	0.0155607	0.0182281	0.0139494	0.0186038	0.0232135	0.0212445	0.014496	0.0173713	0.014212	0.0175308	0.0258992	0.0230394	0.0228319	0.020469	0.0219976	0.0151897	0.0130731	0.0127064	0.0116196	0.00913896	0.0102724	0.011033	0.0156505	0.0218239	0.0284108	0.0194738	0.0238646	0.0240263	0.0232118
le	0.0451189	0.0324807	0.0419297	0.0534471	0.0448809	0.0270416	0.0192095	0.0237023	0.0231784	0.0255037	0.020875	0.0173624	0.0171986	0.0264703	0.0287205	0.0316136	0.026168	0.0218965	0.0196724	0.0155869	0.0126006	0.0124152	0.0145423	0.012702	0.019929	0.0186728	0.0220462	0.0125592	0.0169637	0.0121766	0.0113524	0.0253789	0.0171035	0.0139405	0.0111299	0.00939932	0.0112669	0.00864691	0.00550776	0.00645023	0.00656028	0.00558852	0.00456025	0.00634405	0.011525	0.0182652	0.0162444	0.0240923	0.0260289	0.0439503
village	0.0204928	0.0164567	0.0161204	0.0154982	0.0190026	0.0139748	0.0083406	0.00599262	0.00586376	0.00561579	0.00648054	0.00582398	0.00928092	0.00952895	0.0104064	0.0119648	0.013485	0.0103007	0.00973527	0.00482614	0.00611142	0.00560949	0.0117565	0.00675344	0.0115363	0.0108207	0.0164318	0.00823592	0.0119338	0.0101955	0.0107752	0.0229782	0.0160068	0.0193501	0.0204336	0.0155862	0.0327496	0.0368756	0.0210909	0.0272237	0.0413881	0.0312076	0.0238256	0.0269393	0.0283791	0.0310172	0.0472274	0.0570169	0.0720604	0.0992931
</S>	0.0160906	0.0132857	0.0142353	0.0137073	0.0124507	0.00785413	0.00739663	0.0075803	0.00763431	0.00701967	0.00578358	0.00519217	0.00373288	0.0092869	0.00908029	0.00810917	0.00778082	0.0122801	0.0167525	0.0169881	0.0166245	0.0168775	0.0201599	0.0157438	0.0139373	0.0167834	0.0196285	0.0120988	0.0158775	0.0136152	0.0154281	0.0291785	0.0224939	0.0311263	0.0320646	0.02929	0.0350122	0.0284148	0.0262242	0.0384916	0.0298386	0.03355	0.0294847	0.0275716	0.03388	0.0377238	0.0314541	0.032732	0.0335961	0.0588571
