 	e	t	ó	n	g	o	y	é	é	t	ó	í	b	í	s	í	é	d	z	e	l	a	k	á	l	á	d	í	a	b	v	ú	u	b	í	s	í	a	n	d	z	ó	r	o	á	b	h	i	l	a	s	u	ε	</S>
une	0.0563281	0.0267779	0.0272896	0.0310347	0.0347367	0.0208994	0.0185546	0.018211	0.0141139	0.0141017	0.0107118	0.0118766	0.0084907	0.00874634	0.00817633	0.00737464	0.00816352	0.00926449	0.0123892	0.0100517	0.0111931	0.00794649	0.010246	0.0100817	0.00766533	0.010844	0.0110659	0.0104343	0.0136127	0.0122532	0.0141461	0.013058	0.0180426	0.0184514	0.0174008	0.0146971	0.0159683	0.014551	0.0123471	0.0144162	0.014184	0.0148627	0.0132669	0.0215422	0.0215123	0.0190695	0.0224238	0.0242232	0.0263605	0.0285824	0.0373566	0.0444065	0.0440998	0.0523952
substance	0.039893	0.024165	0.0170141	0.010815	0.0074757	0.00338324	0.00309268	0.00257339	0.00335719	0.00291165	0.00267665	0.0049043	0.00557814	0.00659	0.00844458	0.010171	0.0143531	0.0141746	0.0142687	0.0120519	0.00954397	0.00795279	0.00846481	0.0105419	0.0102627	0.0118638	0.0124079	0.0146363	0.0192712	0.0110841	0.00986852	0.0116499	0.0180415	0.0143367	0.0139291	0.0146202	0.0128973	0.0221705	0.0118575	0.0223109	0.0173829	0.0207299	0.0118755	0.0210654	0.0297695	0.0215093	0.0290864	0.0289411	0.0411034	0.0424835	0.0611505	0.0547259	0.0666254	0.0779455
qui	0.0374722	0.017295	0.0168033	0.01549	0.0167774	0.0216893	0.0212196	0.023646	0.0174855	0.0114953	0.00730041	0.00736362	0.00459577	0.00409259	0.00399098	0.00532896	0.00545938	0.0126961	0.0198905	0.0257628	0.0229848	0.0134152	0.01265	0.0190603	0.016802	0.0209336	0.0210208	0.019771	0.0267907	0.0218447	0.0201878	0.0285136	0.0278638	0.0332991	0.0326061	0.0287954	0.0267356	0.0286863	0.0217466	0.0206957	0.0215486	0.0194022	0.0154759	0.0157004	0.0170507	0.0128396	0.0122828	0.0119857	0.0122215	0.0129867	0.0151633	0.0178675	0.0206393	0.0345779
donne	0.0823191	0.0273832	0.0171006	0.0149076	0.0183624	0.0218528	0.0258263	0.0280085	0.0218874	0.016095	0.0115419	0.0207215	0.01776	0.0156283	0.0119675	0.0085554	0.00855621	0.00815758	0.0115311	0.00916841	0.00910759	0.0074766	0.00850393	0.0117559	0.0105055	0.0153604	0.0132664	0.0113178	0.0182806	0.00942249	0.00932355	0.0104202	0.0188429	0.0169476	0.0181532	0.0165702	0.0207903	0.0261677	0.0153301	0.0212046	0.0188891	0.0200897	0.011155	0.0179176	0.0177223	0.0150182	0.0172606	0.0185545	0.0202443	0.0203002	0.0259019	0.0250931	0.0334968	0.0522785
de	0.0423354	0.0179686	0.0157369	0.0144292	0.0132842	0.0155852	0.0196559	0.0170506	0.0185667	0.0136438	0.0115791	0.0164029	0.0129119	0.0120155	0.0101517	0.00590708	0.00626821	0.00573064	0.0094695	0.00840314	0.0109271	0.00783398	0.0103042	0.0123066	0.00973318	0.0157734	0.0151497	0.0125056	0.0206332	0.0107595	0.0120194	0.0121448	0.0217547	0.0212124	0.0218647	0.0209375	0.0250977	0.0279628	0.0199536	0.0246502	0.0246386	0.0228964	0.0161922	0.0254007	0.0238541	0.0195021	0.0237689	0.0231456	0.025923	0.0277662	0.0337064	0.0332585	0.0374247	0.0419022
démangeaisons	0.0538816	0.0198098	0.0106098	0.00764008	0.00762946	0.00927378	0.00881519	0.00898127	0.00679372	0.0079768	0.00515585	0.00956195	0.00959911	0.00974256	0.0100518	0.00740642	0.00796215	0.00704683	0.0102599	0.008926	0.00660343	0.00673619	0.00897715	0.0129319	0.0102935	0.0136289	0.0106127	0.00695651	0.015339	0.0077879	0.00846861	0.00375964	0.0141013	0.00946979	0.0101147	0.0120301	0.0200223	0.0292569	0.0156676	0.0307739	0.0245145	0.0211102	0.0135395	0.0298578	0.0364013	0.0257337	0.0328117	0.0293599	0.0381304	0.0390276	0.054154	0.0418384	0.0586958	0.0741692
c'	0.0129311	0.0133358	0.00951804	0.00641781	0.0054825	0.00491704	0.00581324	0.00416854	0.00421257	0.00344646	0.00335757	0.00698982	0.00890547	0.0096662	0.0121911	0.00994429	0.00979802	0.00889084	0.00979574	0.0075226	0.00551482	0.00602702	0.00818468	0.0107617	0.00780237	0.0127958	0.0109567	0.00667031	0.0133379	0.00643478	0.00899826	0.00633957	0.0195377	0.0165007	0.01662	0.0247161	0.0303385	0.0296428	0.0194629	0.0204301	0.0222487	0.0189985	0.0150068	0.0266043	0.0249255	0.017758	0.0298384	0.0307673	0.044592	0.0426806	0.0670601	0.0596863	0.0675769	0.0938789
est	0.0226757	0.0198394	0.0217097	0.0209741	0.0210781	0.0199981	0.0239328	0.0293399	0.0292441	0.0174128	0.0112709	0.0107955	0.00842497	0.00703298	0.00777779	0.00642548	0.00739348	0.00770557	0.00778168	0.00810874	0.00903783	0.00957694	0.0129337	0.0158566	0.0135012	0.0173636	0.0163963	0.0175406	0.0184143	0.0166384	0.0186461	0.0171172	0.0191948	0.017183	0.0182166	0.0183823	0.0190492	0.0196875	0.0164595	0.018022	0.0193385	0.0200299	0.0214055	0.0208968	0.0207649	0.0197729	0.0223897	0.0192242	0.0228008	0.0225647	0.0289413	0.0376446	0.0383348	0.0477518
pourquoi	0.0901126	0.0413837	0.0320882	0.0178836	0.00935529	0.00951491	0.00863472	0.0102831	0.0115358	0.0129078	0.00885874	0.0116242	0.0157481	0.0161769	0.020942	0.0116207	0.0148657	0.0100824	0.0114582	0.00717284	0.0072717	0.00759333	0.0103336	0.00912583	0.00598886	0.00938012	0.00674066	0.00867851	0.0106791	0.00461958	0.00807881	0.00442291	0.00777519	0.00556752	0.00603616	0.00644023	0.00705143	0.0110361	0.00685048	0.0140709	0.00865047	0.0089766	0.00668285	0.012947	0.0141028	0.00972053	0.016673	0.0153661	0.0229354	0.0200661	0.0345819	0.0284491	0.0805724	0.190285
nos	0.0754796	0.0447288	0.0402717	0.0209215	0.0150403	0.011827	0.0135114	0.009293	0.00894708	0.00757488	0.00783771	0.0109872	0.0090744	0.00692969	0.00594792	0.0059863	0.00864107	0.00947086	0.0120772	0.0112709	0.0110346	0.0102869	0.0112635	0.0122898	0.0118508	0.0138213	0.0148554	0.0148507	0.0167972	0.0122964	0.0135464	0.0130228	0.0247481	0.0182096	0.0187815	0.0231902	0.0313093	0.0272745	0.0200504	0.023391	0.0222568	0.0244738	0.0162334	0.0191793	0.0199743	0.02037	0.0190971	0.0109614	0.0121474	0.0117637	0.0151846	0.0204856	0.0306783	0.0785052
corps	0.0214309	0.0165448	0.0175333	0.0109397	0.00802455	0.0043169	0.00457093	0.00315041	0.00409982	0.00403753	0.00315321	0.00403772	0.00500723	0.00555621	0.00625943	0.00632876	0.00834357	0.00748972	0.00786458	0.00692766	0.00637194	0.00572688	0.00682538	0.00780434	0.00721322	0.00835509	0.00864911	0.0105478	0.012696	0.00659341	0.00589003	0.00494283	0.0092433	0.00591682	0.00665797	0.00637638	0.00876429	0.0152278	0.00896546	0.0179289	0.0132249	0.0132034	0.0105283	0.0206663	0.0265403	0.0187302	0.0362835	0.0306898	0.0477135	0.0479305	0.0743617	0.0882158	0.0955255	0.150073
démangent	0.013656	0.0116361	0.0117929	0.00909721	0.00758924	0.00392166	0.00370665	0.00296327	0.00245272	0.00218138	0.00230243	0.00264792	0.00266038	0.00274642	0.00327456	0.0036896	0.00536375	0.00552146	0.0065727	0.00618809	0.00615146	0.00553567	0.00663393	0.00782766	0.00713006	0.00771587	0.00888984	0.00930278	0.0141056	0.010038	0.010088	0.00931128	0.0173359	0.00979078	0.0117981	0.0135226	0.0169672	0.0242016	0.0133101	0.0267242	0.0204055	0.0267112	0.0185341	0.0286894	0.036452	0.0303182	0.0384974	0.03353	0.0464151	0.0467897	0.0670105	0.0753729	0.0837682	0.101161
</S>	0.0512151	0.0279442	0.0299259	0.0238053	0.0227725	0.0218847	0.0222692	0.0230827	0.0220434	0.0133284	0.011442	0.0118347	0.00936204	0.00769172	0.00573572	0.00489128	0.00560316	0.00536889	0.00710372	0.00686102	0.00804825	0.00716333	0.00836162	0.011191	0.0103576	0.0140414	0.0141558	0.0152263	0.0175692	0.0135639	0.0159807	0.0177107	0.0175115	0.0194821	0.0192513	0.0157425	0.0195334	0.0192145	0.0147665	0.0195151	0.0162152	0.0175905	0.0139269	0.0155473	0.0152467	0.0141044	0.0161175	0.015228	0.0205381	0.0224378	0.0356773	0.0454714	0.0429937	0.076353
