 	n	g	á	í	y	ε	i	b	h	á	m	í	m	ω	ω	l	a	n	ω	m	ó	y	á	á	l	e	á	p	á	n	y	a	a	b	á	s	í	b	á	b	í	s	í	á	b	a	á	</S>
ce	0.0131091	0.00982164	0.00874109	0.00892145	0.0105997	0.00936529	0.0101702	0.00507184	0.00485816	0.00453376	0.0040924	0.00539522	0.0104424	0.00831913	0.0115529	0.0111016	0.0135416	0.0196213	0.0197311	0.01894	0.0168927	0.0192702	0.0241555	0.0239096	0.0244564	0.0239102	0.0354548	0.0288336	0.0321488	0.0276295	0.0335113	0.0277682	0.037659	0.0273913	0.0425816	0.0385929	0.0454575	0.0240475	0.0209377	0.0211626	0.0193856	0.0285977	0.0235648	0.0276378	0.0262239	0.0170048	0.0335306	0.040354
qui	0.0319303	0.0130333	0.0107956	0.0128373	0.0180588	0.0153559	0.0156089	0.0100314	0.0126658	0.0127366	0.013729	0.0122395	0.0212169	0.0184386	0.0166275	0.0216166	0.0181526	0.00955774	0.0165892	0.0203562	0.0139096	0.0112881	0.0153909	0.0186456	0.0197662	0.0134017	0.0221202	0.0177445	0.0228449	0.0267724	0.0320759	0.0204903	0.0371062	0.0194882	0.0172719	0.012905	0.0163232	0.0108842	0.0110041	0.0150773	0.0218595	0.0177525	0.0297165	0.034638	0.0375741	0.039295	0.055664	0.0674121
s'	0.0185929	0.00874539	0.00661326	0.00697668	0.012856	0.0104538	0.0105996	0.00672913	0.00675988	0.00603251	0.00461042	0.00689898	0.0179798	0.0135727	0.0186744	0.0163328	0.0233672	0.0331527	0.0371641	0.0322123	0.0248413	0.0194803	0.0249149	0.0242101	0.0269362	0.022887	0.0263465	0.0254705	0.0264095	0.0243199	0.0210401	0.0218114	0.0175232	0.0197671	0.022568	0.0214765	0.0281045	0.0167517	0.0169226	0.0173842	0.0173456	0.0224278	0.0273994	0.0350705	0.0350086	0.0358754	0.0342812	0.0451014
était	0.0553682	0.0239785	0.0159771	0.0178126	0.0182003	0.014282	0.00967722	0.0100563	0.00949279	0.0101591	0.00889615	0.0061319	0.0131863	0.0119191	0.0126271	0.0212422	0.0186989	0.0140464	0.0196628	0.0198508	0.0154827	0.0114862	0.0150022	0.0168934	0.017044	0.0114061	0.0187062	0.0168809	0.0189654	0.020878	0.0252046	0.0157931	0.027103	0.0146148	0.0136017	0.0115537	0.0188462	0.00824197	0.0120107	0.0160271	0.019987	0.0252485	0.0303998	0.0370042	0.0429554	0.0427807	0.0540596	0.0905572
passé	0.040755	0.0164846	0.0115078	0.0129014	0.0172741	0.013368	0.00819786	0.00551383	0.00525127	0.00518243	0.0046866	0.00364762	0.00789463	0.00690259	0.00742405	0.0105637	0.0108626	0.00963061	0.0165127	0.0186971	0.0148462	0.0124844	0.016753	0.0182586	0.020145	0.0118341	0.0226336	0.0180787	0.0217797	0.0231725	0.029236	0.01912	0.0341899	0.0186684	0.0205176	0.0180592	0.0305768	0.0129419	0.0166507	0.0194262	0.0258882	0.0256835	0.0337671	0.0402287	0.0465586	0.0481971	0.0571217	0.0899239
entre	0.0101612	0.00570143	0.005485	0.0123981	0.0132617	0.00628769	0.00719598	0.00463983	0.00491956	0.00477123	0.00459407	0.00450145	0.00809033	0.00775652	0.00845978	0.00956253	0.0107382	0.0124486	0.0191381	0.0194772	0.0188546	0.0161584	0.0200357	0.0162549	0.0176217	0.0137735	0.018663	0.0166179	0.0176759	0.0111016	0.0154867	0.020525	0.017881	0.0199827	0.0207821	0.0198401	0.0337287	0.0168527	0.0186831	0.0220625	0.0309558	0.0337198	0.0515488	0.0587863	0.0641241	0.0615093	0.0608741	0.0863113
nos	0.00737559	0.00681903	0.00620259	0.0139397	0.0129322	0.00758821	0.0141016	0.00702308	0.00672236	0.00651495	0.0055597	0.00599769	0.0104494	0.00907689	0.0095757	0.00849512	0.00968312	0.0143622	0.019311	0.0169328	0.01204	0.0167228	0.0165595	0.0154172	0.019824	0.0116465	0.0225241	0.0174501	0.0232338	0.0140387	0.0226586	0.0302547	0.0202499	0.0258194	0.0194868	0.0151527	0.0335171	0.0125882	0.0091854	0.010287	0.0164078	0.024904	0.0538136	0.0623583	0.0646517	0.0670238	0.0687819	0.0747396
deus	0.0118835	0.0100424	0.011279	0.0221817	0.0214795	0.0125477	0.0125769	0.00831075	0.00786697	0.00807721	0.00664186	0.00503239	0.00757696	0.0070068	0.00652886	0.00930092	0.00799447	0.00630107	0.00891066	0.0106052	0.0087628	0.0110381	0.0173532	0.0188724	0.0239117	0.0108031	0.0279682	0.0209459	0.0255895	0.0266743	0.0388744	0.0261642	0.0442531	0.0234884	0.0226542	0.0187574	0.0378233	0.0135362	0.0131314	0.0131445	0.0192244	0.0227492	0.0371726	0.0426948	0.0503216	0.0481627	0.0676614	0.0661221
femmes	0.02423	0.0143207	0.00599053	0.00806304	0.00880432	0.00608126	0.00826138	0.00487713	0.00512263	0.00627865	0.0057004	0.0043697	0.00779741	0.00739238	0.00648859	0.00672332	0.0069725	0.0126042	0.0151733	0.0225711	0.0130019	0.0129599	0.0160718	0.0151414	0.0203729	0.00960539	0.0221571	0.0148859	0.0246415	0.0143971	0.0224806	0.0262508	0.0210544	0.021669	0.0201142	0.0168879	0.031949	0.0188561	0.0160135	0.0147183	0.011193	0.0166699	0.024717	0.0420583	0.0538172	0.070114	0.0763751	0.144004
</S>	0.00828318	0.0064271	0.0056566	0.00987876	0.00870865	0.00647716	0.00914906	0.00564045	0.00622474	0.00745534	0.0074509	0.00579704	0.00758152	0.00690062	0.00636925	0.00676066	0.00644897	0.0110023	0.0130706	0.0131346	0.0101805	0.0100348	0.020417	0.0188915	0.0229798	0.0122576	0.02914	0.0201647	0.028921	0.0296173	0.0360487	0.0261733	0.0379594	0.0208196	0.034163	0.0264725	0.0437495	0.0187629	0.00810308	0.0072001	0.0088603	0.0157493	0.037796	0.0503476	0.0519712	0.0613685	0.0616192	0.0918141
