 	p	á	n	d	e	y	á	d	z	w	é	m	b	é	b	á	a	b	h	á	m	b	í	s	á	m	í	l	ώ	n	d	z	ώ	</S>
que	0.0311412	0.0229944	0.0172483	0.0112591	0.0122929	0.0119417	0.0138379	0.0155157	0.0131941	0.0152853	0.0113454	0.013796	0.0118837	0.00975314	0.016715	0.0185834	0.0189046	0.0202015	0.0223989	0.0178919	0.0280755	0.0262251	0.032745	0.0425519	0.0394218	0.0362936	0.0432164	0.0525181	0.055995	0.0622917	0.0521386	0.0563387	0.0682288	0.0777756
l'	0.0557571	0.0407168	0.0326063	0.0219717	0.0191535	0.018531	0.0171941	0.0122725	0.00801112	0.00851528	0.00500423	0.00723262	0.00745461	0.00865084	0.01154	0.0128949	0.0136881	0.0136067	0.022057	0.0169693	0.0309991	0.0325119	0.0398877	0.0362014	0.0449998	0.0375822	0.0317845	0.0368972	0.0349113	0.049543	0.0542832	0.0584694	0.0689411	0.0891603
on	0.0913697	0.0602086	0.050032	0.0474586	0.0461385	0.029985	0.0194408	0.0066711	0.00450589	0.00646059	0.00693558	0.0113061	0.0100757	0.0120574	0.0131689	0.0149042	0.0164201	0.0190972	0.0170587	0.0157754	0.0241567	0.0285105	0.0254945	0.0236081	0.0404709	0.0339635	0.0250531	0.0298647	0.0284115	0.0354068	0.0712194	0.0441868	0.0404618	0.050122
renforce	0.0801545	0.0476638	0.0276096	0.0183033	0.0154021	0.012366	0.00875942	0.0067749	0.00499199	0.00450235	0.00427471	0.00501831	0.00572049	0.00640792	0.00692569	0.00795184	0.00800053	0.00786448	0.00955966	0.00912022	0.0121648	0.0191509	0.021858	0.0316653	0.0352244	0.0249629	0.0444004	0.0565275	0.0545993	0.0559804	0.0531643	0.0739442	0.0949731	0.124013
le	0.0565727	0.0413387	0.0295632	0.0276987	0.0276335	0.027079	0.0232701	0.0150802	0.0124262	0.0118062	0.0104046	0.00969489	0.0099748	0.00936608	0.0112611	0.0120981	0.0117012	0.0123091	0.0109663	0.0135591	0.0177933	0.0185217	0.0205506	0.0325961	0.0241118	0.0222015	0.0254594	0.0311727	0.0406282	0.057034	0.0612434	0.0800934	0.0831043	0.101686
manche	0.0198183	0.0183978	0.0170376	0.018486	0.0188742	0.0168276	0.015392	0.00877303	0.00592897	0.00918065	0.00666304	0.0085369	0.00920445	0.013148	0.012197	0.010276	0.0120537	0.0110787	0.0101237	0.00774137	0.0178303	0.0181631	0.0191527	0.0282799	0.0359189	0.036429	0.0301857	0.0362638	0.0471981	0.0628352	0.0771247	0.101457	0.0926524	0.14677
d'	0.0377911	0.039004	0.024993	0.0199105	0.0197369	0.016702	0.0100378	0.00846402	0.0071644	0.00492637	0.00381132	0.00393015	0.00413017	0.00513052	0.00649235	0.00948123	0.0107673	0.0140852	0.013376	0.0169085	0.0215462	0.0211708	0.0213674	0.0414655	0.0294713	0.0208373	0.0275572	0.0331271	0.042	0.0495678	0.0615914	0.0742955	0.112887	0.166273
une	0.0352021	0.029453	0.0232553	0.0164246	0.0125475	0.00877981	0.00735095	0.00543606	0.00481397	0.00550835	0.00484039	0.00490862	0.00522208	0.00700733	0.00712371	0.00842583	0.0109964	0.0119596	0.0104388	0.00866797	0.0152982	0.0125522	0.0148481	0.0230533	0.0214466	0.0213024	0.0264371	0.0364098	0.0488845	0.0573168	0.0725189	0.121323	0.117467	0.18278
hache	0.032951	0.0291849	0.0274233	0.0295027	0.0234781	0.0116834	0.0101788	0.00696606	0.00514037	0.00579257	0.00419619	0.00409936	0.00492813	0.00564703	0.00666446	0.00709261	0.00760321	0.00783993	0.00765686	0.0076597	0.0120819	0.0131088	0.0136765	0.0192562	0.0229995	0.0216428	0.0245329	0.0254595	0.0379667	0.0368074	0.0644379	0.118759	0.0966925	0.24689
</S>	0.0783187	0.0634817	0.0407787	0.0363076	0.0333127	0.0315702	0.0304706	0.0236349	0.0135279	0.0102224	0.00516391	0.00716767	0.00735456	0.00686547	0.00845504	0.00954284	0.00928873	0.00841865	0.00901231	0.0107447	0.0214186	0.0152245	0.0189184	0.0311019	0.0191735	0.00944049	0.0146936	0.0142978	0.0278277	0.0319774	0.0360625	0.0831532	0.0903572	0.142714
