 	e	k	a	y	í	l	í	y	é	é	k	a	y	i	w	a	l	a	n	g	á	w	á	á	a	d	í	o	d	z	á	a	k	á	a	l	á	a	w	á	a	</S>
mange	0.23477	0.169094	0.0816245	0.0586362	0.0398424	0.0171522	0.00912789	0.00566347	0.00466742	0.00580071	0.00580777	0.00604501	0.00500678	0.00452346	0.00470814	0.00451212	0.00862543	0.0100852	0.0127581	0.0192565	0.0211178	0.0107035	0.0171353	0.0107769	0.0124617	0.0193263	0.0056338	0.00600016	0.00275304	0.00377527	0.0033148	0.0131831	0.00419548	0.00459829	0.0042956	0.00862958	0.00646433	0.00953512	0.0113772	0.00838884	0.0275908	0.0810356
pas	0.154296	0.127919	0.0692512	0.0549837	0.0323892	0.0126653	0.0110875	0.00697947	0.00574888	0.00526052	0.00461088	0.00782418	0.00302793	0.00166258	0.00140584	0.00323537	0.0113906	0.0315084	0.0191067	0.0249318	0.024548	0.00530707	0.0168023	0.00946799	0.0112254	0.0315923	0.0107408	0.0221315	0.0162085	0.00735136	0.00968739	0.0165125	0.0101272	0.0153216	0.011639	0.0186337	0.00915081	0.0191254	0.0223445	0.0152533	0.0367894	0.0707551
dans	0.118864	0.048678	0.029734	0.0285178	0.0146329	0.00821904	0.00649245	0.0045456	0.00343374	0.00350292	0.00357686	0.00367274	0.00299447	0.00284294	0.00535726	0.00515015	0.0115354	0.0183276	0.0282571	0.0317805	0.0298274	0.0154807	0.0215971	0.0132038	0.0189956	0.0185947	0.0119623	0.00916003	0.00580976	0.0074776	0.00557413	0.0181148	0.00894281	0.00398234	0.00912391	0.0271376	0.0155248	0.0355249	0.0279174	0.0222854	0.0910199	0.202628
les	0.128397	0.0548623	0.0353165	0.0511032	0.0160404	0.00496787	0.00282053	0.00243362	0.00296024	0.00363807	0.00404921	0.003619	0.003325	0.00286838	0.00482738	0.0036942	0.0112677	0.0207475	0.0243268	0.022134	0.0181757	0.00546601	0.011968	0.00593561	0.0102415	0.0154784	0.00839519	0.0137437	0.00521232	0.00395014	0.0053398	0.0195576	0.00675356	0.00575669	0.0113785	0.0450218	0.0136312	0.0718113	0.0563787	0.0231673	0.102771	0.136467
heures	0.0577487	0.0371544	0.033345	0.0438796	0.0210545	0.00856433	0.00460678	0.00478152	0.00540723	0.00629782	0.00724577	0.0055604	0.00606611	0.00554741	0.00909145	0.00719977	0.0190996	0.0291826	0.0440547	0.0280758	0.031196	0.0135255	0.0216808	0.0161164	0.0255884	0.0289485	0.0157438	0.016888	0.00221917	0.0123272	0.00636075	0.0240558	0.00689246	0.00420686	0.0137802	0.0257899	0.0142551	0.0222439	0.0131771	0.0168714	0.0689986	0.215171
qui	0.111883	0.0637343	0.0329762	0.0238982	0.0219518	0.0236677	0.015082	0.0158736	0.00785714	0.010212	0.00484382	0.00532145	0.00385735	0.00308591	0.00268375	0.00343889	0.00586729	0.0132104	0.00745319	0.00904236	0.0133841	0.0063108	0.012747	0.00856277	0.0140241	0.048132	0.0145934	0.0178458	0.0251515	0.0265722	0.0242933	0.0594831	0.0333951	0.021409	0.0340298	0.0411269	0.0334767	0.0258693	0.0271612	0.0282907	0.0345667	0.0636335
suivent	0.102921	0.152715	0.0952837	0.107491	0.0657578	0.0227704	0.0154671	0.0128137	0.0121056	0.0191754	0.00858461	0.00551485	0.00487731	0.00333632	0.00272425	0.00176043	0.00583223	0.00597134	0.0040926	0.00795777	0.00886486	0.0040903	0.00870044	0.00495225	0.0108891	0.0161103	0.00482508	0.00458154	0.00366304	0.00493895	0.00408389	0.00992534	0.00538753	0.00431111	0.00797319	0.0165398	0.0116907	0.0317703	0.033263	0.0173634	0.052232	0.0766909
il	0.0681494	0.0846801	0.0573666	0.0751633	0.0556277	0.0362334	0.0306261	0.0299889	0.0239765	0.0300248	0.00823782	0.00566158	0.00649881	0.00412936	0.00431924	0.00303774	0.00533689	0.00996112	0.00556967	0.00896965	0.00880788	0.0073151	0.00707943	0.0097497	0.0153049	0.0507031	0.00937077	0.0158798	0.0174227	0.0259816	0.012704	0.0254369	0.016655	0.0145115	0.0153696	0.0236803	0.0202472	0.023743	0.0197159	0.0226805	0.028079	0.0560035
va	0.100731	0.1309	0.103618	0.109801	0.0887011	0.046847	0.0254312	0.0208475	0.0161152	0.0257945	0.011837	0.00969942	0.00773893	0.00543776	0.00373089	0.00319482	0.00533423	0.00444423	0.00408545	0.00771587	0.00491922	0.00270125	0.00412047	0.00431812	0.00374534	0.0118408	0.00218118	0.0050222	0.00255513	0.00398249	0.00249057	0.00787791	0.0049944	0.00430933	0.00588197	0.0114963	0.00884444	0.0201959	0.0168476	0.013623	0.0310856	0.0949608
mourir	0.081413	0.0601788	0.0474523	0.0526395	0.0255649	0.0147514	0.0112053	0.011234	0.0102487	0.0123514	0.0106378	0.00728941	0.00782245	0.00771482	0.00851337	0.00521307	0.0084552	0.0104136	0.0133845	0.0208048	0.0155896	0.0107867	0.00834589	0.00928351	0.00931136	0.0288697	0.00386203	0.00750264	0.00601822	0.0147049	0.00340189	0.019395	0.00639473	0.00250904	0.00750219	0.0243569	0.0122498	0.0372868	0.0298629	0.0226634	0.0621307	0.230683
</S>	0.0654359	0.0489866	0.0399694	0.0407597	0.0246821	0.0150231	0.00984624	0.0108243	0.00956509	0.010404	0.00921004	0.00735173	0.00768037	0.00751998	0.00690172	0.00525221	0.00835597	0.0089046	0.0101488	0.0128502	0.0106682	0.00909552	0.00772145	0.0114203	0.0102564	0.0239809	0.00403072	0.00956707	0.00819191	0.0199063	0.00777745	0.0292837	0.014229	0.00543452	0.0133682	0.0437343	0.0173486	0.0493061	0.0393334	0.0436877	0.0823939	0.179592
