 	o	y	ú	r	u	y	e	e	d	z	w	é	o	t	s	í	m	á	i	k	ώ	ώ	s	á	n	g	o	n	d	a	á	y	í	i	o	l	o	m	i	d	z	é	e	ó	k	ó	ó	m	i	l	ω	n	d	ω	ω	l	á	w	a	</S>
laissé	0.0445971	0.0249679	0.0219925	0.0136992	0.0109869	0.00779031	0.00983674	0.0118568	0.0129959	0.0102095	0.00726573	0.00974772	0.0144267	0.0219583	0.0213348	0.0128737	0.0162641	0.015982	0.0210096	0.014597	0.0148181	0.0137165	0.0136685	0.013464	0.00808187	0.014916	0.0168007	0.0177813	0.01437	0.0169784	0.0198875	0.0163661	0.0156186	0.0205687	0.0150029	0.0170582	0.0180205	0.0191692	0.0175478	0.0133568	0.012484	0.0123308	0.019836	0.0266189	0.0170873	0.0147812	0.0171602	0.0160789	0.013167	0.00858217	0.0115097	0.0070356	0.00666887	0.0115932	0.0160902	0.0203129	0.0309852	0.0270925	0.0258486	0.0431529
des	0.0589471	0.0514379	0.0475714	0.0275916	0.0169591	0.00694325	0.00386545	0.00274584	0.00261541	0.00216438	0.00125854	0.00241088	0.00403693	0.0107506	0.0210882	0.0126777	0.0141694	0.0145648	0.0148613	0.0217544	0.0222969	0.0225297	0.0210148	0.0244733	0.0181216	0.0237956	0.0274357	0.0304993	0.0222734	0.0205943	0.0216186	0.0214793	0.0163663	0.0190115	0.0184616	0.0206678	0.0197966	0.0186133	0.0164319	0.0157392	0.0129976	0.0143305	0.0146813	0.0142219	0.0142469	0.011515	0.0111646	0.00971772	0.00679143	0.00732049	0.00719984	0.00442729	0.00434295	0.00791456	0.0115091	0.0154817	0.0190683	0.0164132	0.0163607	0.02066
traces	0.0199492	0.017432	0.0183176	0.011375	0.00823771	0.00482847	0.00525526	0.00595104	0.00566643	0.0050701	0.00558009	0.00667197	0.00742366	0.00694517	0.00676062	0.00399548	0.00903619	0.0114573	0.00913108	0.00721308	0.012164	0.0100508	0.00975322	0.0142174	0.00998009	0.0257252	0.0206819	0.022973	0.0197847	0.0182471	0.0133331	0.0160079	0.0199637	0.016433	0.0129424	0.0154471	0.0168273	0.0151511	0.0150106	0.012958	0.0118258	0.0118368	0.00973482	0.0166378	0.0149667	0.012538	0.00997597	0.0131612	0.010061	0.00709795	0.0137374	0.00750194	0.0105734	0.0244377	0.0357455	0.0392516	0.0499554	0.0491325	0.065497	0.0923826
sur	0.0110298	0.00812399	0.00966693	0.00733684	0.00667204	0.00581201	0.0031944	0.00281418	0.00230273	0.00204288	0.00235026	0.00254346	0.00549117	0.00685535	0.0100544	0.00706931	0.0140603	0.0178832	0.0163186	0.0149703	0.0282042	0.031334	0.029158	0.0348853	0.0209216	0.0326362	0.032759	0.0336345	0.0272823	0.0209133	0.0123358	0.0166608	0.018667	0.0145468	0.0153943	0.0174086	0.0156477	0.0175178	0.0167851	0.0124106	0.016673	0.0151759	0.013143	0.0220484	0.0215535	0.0107404	0.0146754	0.0155976	0.0158382	0.00848966	0.0148438	0.0107916	0.00962667	0.0146359	0.018438	0.0162375	0.0251156	0.0341968	0.035192	0.0612925
le	0.00861682	0.00732836	0.00713019	0.00603082	0.00870512	0.00946712	0.0108387	0.0114574	0.00996434	0.00723062	0.00492154	0.00560089	0.00705562	0.0105644	0.0152255	0.0168432	0.0212173	0.0209852	0.0263364	0.026401	0.016658	0.0217889	0.0205914	0.0190052	0.0167375	0.0162927	0.0173071	0.0229646	0.0218088	0.0220877	0.0324122	0.0283998	0.018153	0.026772	0.0217191	0.0241717	0.0206377	0.0199805	0.0220102	0.024799	0.0176122	0.0223493	0.0197	0.0202587	0.0172906	0.018742	0.0170719	0.0216034	0.0154753	0.0181374	0.0114481	0.0142754	0.0133618	0.0157796	0.0145374	0.0164797	0.0114547	0.0102666	0.0133075	0.0146307
chemin	0.00970259	0.00733606	0.00840444	0.00944565	0.00963096	0.0102005	0.00762985	0.00546113	0.00409435	0.00317701	0.00393296	0.00377235	0.00457352	0.00590422	0.0104818	0.0143737	0.0155509	0.0197008	0.0206326	0.0230786	0.0227358	0.0303706	0.0255408	0.026172	0.0223972	0.0260363	0.0236327	0.0307738	0.0250861	0.0188999	0.0139948	0.0193711	0.016214	0.0148108	0.0155926	0.0163998	0.0154667	0.0184528	0.0188489	0.0163	0.0161867	0.0197051	0.0185655	0.0242103	0.0209133	0.0133262	0.0192635	0.019699	0.015044	0.0128172	0.0149239	0.011833	0.0117571	0.0149479	0.018095	0.0158678	0.0265773	0.0209631	0.0240687	0.0470546
pour	0.00958602	0.0106525	0.0104483	0.00977865	0.00667712	0.00589283	0.00539803	0.00696585	0.00673822	0.00382261	0.00399926	0.00277499	0.00527698	0.0103919	0.0145334	0.0201285	0.0264105	0.0335432	0.0190926	0.0225041	0.0212786	0.0408988	0.0291846	0.0366676	0.0387455	0.0414657	0.0293188	0.0374167	0.0357119	0.01988	0.0165253	0.0200668	0.0126341	0.00952422	0.0112958	0.0108645	0.00916119	0.0119802	0.0103865	0.011757	0.0113325	0.0168648	0.00883678	0.0133669	0.0182749	0.011844	0.0137891	0.0164654	0.0182654	0.0136932	0.0157586	0.0107507	0.0114657	0.00837628	0.00909144	0.0109394	0.0124562	0.0128554	0.024926	0.0512681
permettre	0.0170462	0.0105729	0.00910197	0.00816709	0.00638969	0.00698835	0.0066348	0.00776946	0.00698856	0.00436579	0.00690396	0.00394895	0.00391796	0.00683577	0.00881428	0.010223	0.0141004	0.0171112	0.0136901	0.0166048	0.0205416	0.0285818	0.0234416	0.0299968	0.0298961	0.0354871	0.0251178	0.0293926	0.0221433	0.0161965	0.0130968	0.0194769	0.0127168	0.0143008	0.0168312	0.0165022	0.01975	0.0274669	0.0215764	0.0172737	0.0167689	0.023834	0.0205317	0.0261477	0.0287077	0.0178124	0.018207	0.0241925	0.0209584	0.0169152	0.0168813	0.0111291	0.00923458	0.00698641	0.0084784	0.00922774	0.0124521	0.0102413	0.0210862	0.054245
à	0.0135954	0.0129028	0.0149546	0.0127765	0.0142318	0.0127357	0.0128419	0.014147	0.0154665	0.0107088	0.0118585	0.00931878	0.00973195	0.00933478	0.00984949	0.00827767	0.0121309	0.0125637	0.0102354	0.0131584	0.015988	0.0163697	0.0146477	0.017292	0.018227	0.0181825	0.0169927	0.0215226	0.0217982	0.0128155	0.0187889	0.0187109	0.0126366	0.0129135	0.0127046	0.0144446	0.015262	0.0167289	0.0177547	0.022602	0.0154838	0.0203763	0.0134051	0.0123903	0.0157805	0.0172822	0.0140286	0.0192212	0.0154826	0.0200034	0.0148471	0.0124404	0.0184041	0.0259077	0.0266012	0.0295751	0.0255539	0.0243252	0.0355527	0.0461357
son	0.0483027	0.0324503	0.037909	0.029657	0.0291738	0.0200345	0.018384	0.0267024	0.0267599	0.0139228	0.0158863	0.00823842	0.00813921	0.00531553	0.00563463	0.0056558	0.00662493	0.0117367	0.00618528	0.00662781	0.0121945	0.0134475	0.0105459	0.0188904	0.0155303	0.0176929	0.0115812	0.0137976	0.011169	0.00676975	0.010289	0.00919044	0.00541488	0.00741126	0.00782325	0.00679854	0.00821503	0.0102616	0.00813498	0.0089313	0.00676597	0.0136604	0.00932051	0.00833011	0.0207721	0.0109219	0.0103094	0.0141367	0.0113111	0.0116918	0.0107363	0.00704453	0.00828879	0.0129906	0.0156592	0.0198841	0.0175608	0.0241966	0.0567146	0.132274
mari	0.0200077	0.0106307	0.0123021	0.0119725	0.00862978	0.00808467	0.00731113	0.00974144	0.00562524	0.00545026	0.00836937	0.0048445	0.0102438	0.0118557	0.0172632	0.0187097	0.0175025	0.0219602	0.0156558	0.0119884	0.0243405	0.0188855	0.0181748	0.0243563	0.0191086	0.0228449	0.0194789	0.0210993	0.012411	0.00898563	0.00860985	0.0096063	0.00940711	0.00846473	0.00977426	0.00972383	0.011757	0.0121399	0.00927381	0.00972253	0.0156567	0.0177719	0.0161166	0.0164252	0.0240562	0.0142263	0.0154155	0.0141861	0.0133142	0.0110656	0.0158571	0.00796071	0.0117369	0.0163395	0.0180687	0.0283452	0.0291239	0.0330141	0.0480991	0.106907
de	0.019439	0.0118764	0.015004	0.0181516	0.0141842	0.0116238	0.00835696	0.00755598	0.00540533	0.00509096	0.00475436	0.00507379	0.00880435	0.00815615	0.00897824	0.00965664	0.00908204	0.00924313	0.00809767	0.0083313	0.0124032	0.011701	0.0118021	0.0159396	0.0166817	0.0251895	0.020739	0.0251536	0.0226051	0.0153127	0.00996555	0.0158392	0.0167256	0.0116355	0.0128569	0.0134839	0.0133231	0.0135928	0.013475	0.0136043	0.0142795	0.0190532	0.012187	0.0202119	0.0194114	0.0159672	0.0177118	0.01925	0.0157299	0.0162012	0.0236077	0.0151014	0.0224232	0.0361675	0.0367614	0.0278314	0.0360812	0.0256636	0.0368087	0.0606557
la	0.0243877	0.0119233	0.0128542	0.0125304	0.0104207	0.0123798	0.0152543	0.0237457	0.0202465	0.0112756	0.0197443	0.00859386	0.012146	0.00795065	0.00782438	0.00686794	0.00744293	0.00826429	0.00654441	0.0060264	0.00968116	0.00873163	0.00774101	0.0109072	0.0107685	0.018142	0.0134387	0.0209837	0.0168491	0.0104738	0.00812839	0.0132335	0.00980978	0.00788815	0.0082917	0.00698513	0.00777921	0.00911709	0.00832367	0.00790787	0.00831985	0.013908	0.00860883	0.0130696	0.0147607	0.0127059	0.0118382	0.0165098	0.0155756	0.0136391	0.0251893	0.0108982	0.0152592	0.0264637	0.0349628	0.0338967	0.0459971	0.0376369	0.0687565	0.1104
suivre	0.01547	0.00841492	0.00878197	0.0107293	0.00724424	0.0073735	0.00811996	0.00913408	0.00541231	0.00587119	0.00847297	0.00521973	0.00724921	0.00813315	0.0104718	0.0131417	0.0151492	0.0162857	0.0125392	0.0125215	0.019811	0.0140232	0.0106	0.0178571	0.011751	0.0150741	0.0119591	0.0158927	0.00840252	0.00696897	0.00728965	0.00758733	0.00808007	0.00793866	0.00720827	0.00781174	0.00994712	0.0129158	0.0124443	0.0154394	0.0154757	0.0272767	0.0189643	0.0163656	0.0326585	0.0234477	0.0278671	0.0284312	0.0265816	0.0242128	0.029633	0.0161081	0.0199182	0.0239208	0.0257247	0.0318735	0.0359755	0.0386661	0.0421153	0.0700456
</S>	0.0284778	0.0225963	0.0259603	0.0226159	0.0207789	0.0215026	0.0136522	0.0130188	0.0130126	0.0108066	0.0111852	0.00885181	0.00896441	0.00919557	0.00911532	0.00752768	0.00877187	0.0103558	0.00737894	0.0110655	0.0144717	0.0159804	0.014553	0.0179402	0.0190783	0.0205331	0.0167655	0.0202503	0.0206933	0.0123711	0.0190599	0.016748	0.0130395	0.010129	0.0104282	0.0116827	0.0104885	0.00943141	0.0103915	0.0130357	0.0124702	0.0141532	0.00930623	0.0105362	0.0123817	0.010804	0.0108406	0.0123751	0.0117016	0.0137294	0.012616	0.0114932	0.017452	0.0218888	0.0264027	0.0327702	0.0318856	0.0303078	0.0469344	0.0680458
