 	a	y	ú	r	u	b	o	n	g	ó	n	d	z	a	b	ó	b	á	a	s	á	á	b	v	w	o	o	l	a	b	á	a	k	y	a	b	á	a	y	é	m	b	a	</S>
d'	0.0128032	0.0393452	0.0366535	0.0278877	0.00874124	0.00907879	0.00858791	0.00802372	0.0081142	0.0073286	0.0106343	0.0104045	0.0124214	0.0130431	0.0187388	0.0378971	0.0174306	0.0246226	0.0347009	0.0373324	0.0299442	0.0245175	0.0339568	0.0420333	0.0328193	0.0330489	0.0248398	0.0279287	0.0246692	0.021993	0.0275841	0.018658	0.0313217	0.0179154	0.0201943	0.0253482	0.020941	0.0135459	0.0145169	0.0142949	0.0135137	0.0141478	0.0264742	0.0620033
élever	0.0425995	0.0350836	0.0212758	0.0180509	0.0166946	0.0146458	0.00672823	0.00560791	0.0064963	0.00866523	0.00778419	0.0132884	0.0147502	0.032156	0.0288409	0.0451	0.0421736	0.0400391	0.0368048	0.027212	0.0225578	0.0237263	0.0260436	0.030003	0.0146981	0.0108717	0.0285269	0.0234453	0.0299606	0.0308953	0.0225314	0.0177075	0.0331743	0.0241063	0.0219803	0.0305913	0.0191834	0.0178196	0.0242935	0.0107641	0.0141448	0.0146135	0.0155079	0.0288566
une	0.0335836	0.0387629	0.0208595	0.0264991	0.0191795	0.0141791	0.00664673	0.00607638	0.0064654	0.00746596	0.00718386	0.010608	0.00929487	0.0206312	0.0178613	0.0295453	0.0335052	0.0512763	0.05085	0.0421069	0.032921	0.0292375	0.0342737	0.0365525	0.0184588	0.0192192	0.022405	0.0182707	0.0202753	0.0172694	0.0117878	0.0125398	0.0239373	0.0152046	0.015813	0.0317148	0.0202801	0.016381	0.0232759	0.015104	0.0199495	0.0202634	0.0253393	0.0469451
butte	0.0440871	0.0483463	0.0165075	0.0291843	0.0235135	0.0117367	0.0060142	0.00868837	0.00835445	0.0123767	0.00793173	0.010005	0.00891901	0.0204092	0.011734	0.0268581	0.027576	0.0363705	0.0357386	0.04067	0.0251127	0.0241281	0.0307845	0.0154711	0.00964922	0.012152	0.0134528	0.00790197	0.00894224	0.0139968	0.00754139	0.00877852	0.0155846	0.0105092	0.0137166	0.0268463	0.0271381	0.0188998	0.0388426	0.0278585	0.0359511	0.0318731	0.0453976	0.0944499
en	0.0810205	0.0709326	0.0198151	0.0504721	0.030814	0.0286848	0.0135123	0.0113051	0.00981624	0.011329	0.0102286	0.01208	0.0102438	0.01142	0.0246275	0.0302398	0.0139873	0.0179731	0.0158313	0.0160468	0.0131965	0.0151971	0.0193637	0.0244307	0.0146592	0.00948114	0.0203065	0.0182332	0.0240218	0.0222281	0.0185348	0.0159319	0.030473	0.0215496	0.0250783	0.0301352	0.0234988	0.0150334	0.0232902	0.0125643	0.0165685	0.0117948	0.0207858	0.0632635
mémoire	0.104439	0.0500668	0.0194496	0.0296673	0.0249192	0.0122175	0.00710382	0.0123767	0.0120051	0.0172692	0.0117029	0.0109134	0.0112493	0.0225461	0.0162376	0.0286097	0.0271201	0.0244059	0.0323657	0.0208277	0.0147523	0.0201532	0.016984	0.0146522	0.00853464	0.0162698	0.0138214	0.011208	0.0132383	0.0168679	0.0114791	0.0106077	0.0193325	0.0123118	0.0117195	0.0261064	0.0199022	0.0135757	0.0271572	0.0168563	0.0178489	0.0165589	0.0301797	0.124389
d'	0.00846402	0.0245811	0.02712	0.0243804	0.00661907	0.00906257	0.00918725	0.0119218	0.00935369	0.015246	0.0100207	0.0102256	0.0146085	0.0136138	0.0375879	0.0642923	0.041496	0.0254021	0.0451135	0.0534145	0.0263211	0.0259217	0.0595927	0.0385173	0.0627357	0.0227222	0.010169	0.0117406	0.00828811	0.00690706	0.00991324	0.00604871	0.00978664	0.00815125	0.010218	0.0141531	0.0165037	0.0125929	0.0157237	0.0185905	0.0231396	0.0189185	0.0335499	0.068084
un	0.0210164	0.025211	0.0236097	0.0237391	0.016597	0.0151744	0.00822062	0.010351	0.00821499	0.00766338	0.00597929	0.00241869	0.0046462	0.00342551	0.00271708	0.00405894	0.00452078	0.00535925	0.00991976	0.0142612	0.0086322	0.00867689	0.0138349	0.0104887	0.0150209	0.00677835	0.00724089	0.00763282	0.00844343	0.00689124	0.00632195	0.00697343	0.0165257	0.012549	0.0112908	0.038623	0.0399961	0.0352923	0.0655578	0.0481996	0.0736481	0.0893726	0.0933338	0.151572
mort	0.0263884	0.0342969	0.0347097	0.0329439	0.0232809	0.01523	0.00694313	0.00766298	0.00759172	0.00501291	0.00564764	0.00308887	0.00519859	0.00416873	0.00343475	0.00557435	0.00519854	0.00801522	0.013977	0.020114	0.0120735	0.0128302	0.0178003	0.0113472	0.0151649	0.0129463	0.00900157	0.00949966	0.00974365	0.00919564	0.00607979	0.00706365	0.0236864	0.0176537	0.0192651	0.0422658	0.0431952	0.0362821	0.0733181	0.053923	0.056288	0.0448816	0.0849912	0.103025
</S>	0.032824	0.0348904	0.032106	0.0296995	0.0236433	0.0246113	0.0258849	0.0254024	0.0230041	0.02301	0.0219885	0.0232692	0.0229933	0.0164155	0.0282733	0.0219345	0.0201315	0.016925	0.0165624	0.011084	0.0111054	0.0130929	0.0154593	0.0180726	0.0186894	0.013031	0.0168849	0.0172677	0.0172772	0.016418	0.0182955	0.013039	0.0202412	0.0207861	0.022904	0.0243046	0.0247344	0.0214847	0.0258792	0.0269705	0.0234958	0.0264181	0.0413821	0.0581136
