 	p	o	o	é	d	í	m	ω	r	ω	r	ω	p	á	b	h	a	t	s	í	n	a	a	y	ú	r	u	á	m	i	d	z	w	á	i	t	ó	a	l	a	b	á	n	a	</S>
que	0.0578624	0.0527843	0.0512022	0.0452926	0.0549793	0.0228415	0.0191289	0.0215612	0.0343962	0.027469	0.0297675	0.0167646	0.0123394	0.00587576	0.00576583	0.00459655	0.00508591	0.0073744	0.0100861	0.00944203	0.0101174	0.0105788	0.0150513	0.0174144	0.0179687	0.0171828	0.0205405	0.0215836	0.0111581	0.00961251	0.0187675	0.0237696	0.00654272	0.0161795	0.0147483	0.0137155	0.0142752	0.0103349	0.0140889	0.0155051	0.0201808	0.0249247	0.0260782	0.028506	0.106559
les	0.0621118	0.0506807	0.0357323	0.0214989	0.0220252	0.0181313	0.0146746	0.0130571	0.0145466	0.0131044	0.0146376	0.0106293	0.0113552	0.00767227	0.00722043	0.00704619	0.00809287	0.0116383	0.020801	0.0213426	0.0248483	0.0265925	0.0356845	0.0384297	0.0399111	0.0359539	0.0355209	0.0205249	0.0118112	0.00610499	0.012849	0.0206226	0.00551105	0.0132533	0.0134341	0.016363	0.0199027	0.0161933	0.018966	0.0218568	0.0261576	0.0267802	0.0297459	0.0295011	0.0674829
femmes	0.08378	0.0571508	0.0302167	0.024686	0.0150616	0.00582739	0.00558537	0.00580939	0.00632142	0.00640969	0.00637618	0.00584076	0.00694659	0.00822481	0.00985736	0.0133405	0.0188556	0.0249906	0.0292574	0.0302045	0.0288738	0.0351982	0.0271587	0.0275678	0.0317727	0.0275008	0.0196888	0.00848044	0.0111932	0.00320777	0.00565931	0.0133286	0.00258887	0.0040367	0.00820387	0.0101081	0.015383	0.00759755	0.00842717	0.0121309	0.0273975	0.0300166	0.0442115	0.0435102	0.152016
sont	0.11176	0.0549639	0.0303887	0.0225054	0.017124	0.0108055	0.00963346	0.00910519	0.0128618	0.0105905	0.0107032	0.00786043	0.00853068	0.00801748	0.0109619	0.0119737	0.0127882	0.0166052	0.0210066	0.0195492	0.0166851	0.0247255	0.0266082	0.0236247	0.0271464	0.0191232	0.0212476	0.0123439	0.00724937	0.00250035	0.00635414	0.0106946	0.00274276	0.00521322	0.00737465	0.0104217	0.0145682	0.00921653	0.0121208	0.0165251	0.0363466	0.0257429	0.0433524	0.0424422	0.157895
allées	0.0585398	0.036226	0.0207981	0.0187004	0.0159796	0.00612527	0.00616381	0.00620414	0.00681272	0.00656088	0.00596761	0.00477881	0.00464369	0.00521877	0.00702093	0.00977004	0.0142125	0.0187549	0.0243234	0.0281355	0.0274301	0.0298297	0.034082	0.0386407	0.0290812	0.0221988	0.0153234	0.00724839	0.00561681	0.00311968	0.00503485	0.0106012	0.00377951	0.00241804	0.00626084	0.0115847	0.0218705	0.00454155	0.00978495	0.0143547	0.030676	0.0282923	0.0739431	0.0794595	0.17989
à	0.0348552	0.0357187	0.0338155	0.0323725	0.0306641	0.0178025	0.0153663	0.0172522	0.0225149	0.0212717	0.0204907	0.0169255	0.0171323	0.00956886	0.00747198	0.00556566	0.00540055	0.00720423	0.010959	0.010743	0.0124179	0.0157196	0.0202825	0.0283837	0.0271521	0.0258616	0.0285237	0.0359026	0.0173991	0.0111321	0.0281409	0.0449462	0.010816	0.0254105	0.0221262	0.0207579	0.021214	0.015622	0.0190026	0.0159425	0.0202116	0.0192649	0.0218985	0.0253541	0.093422
la	0.0242867	0.0222573	0.0161593	0.0121255	0.0106292	0.00841923	0.0101743	0.00942598	0.0101446	0.00909495	0.00756478	0.00547506	0.00634313	0.00516587	0.00626919	0.011201	0.0102557	0.0121163	0.0107713	0.010347	0.0106287	0.0107652	0.0104343	0.016324	0.0151576	0.0114202	0.0110691	0.0074418	0.00823579	0.00231554	0.00755464	0.0264633	0.00923904	0.0160915	0.0273916	0.0296249	0.0364854	0.0276275	0.0371724	0.0349002	0.049095	0.0376988	0.0834012	0.0967892	0.158447
pêche	0.014443	0.0142302	0.0125627	0.0103861	0.00926282	0.0050087	0.00342463	0.00205851	0.00232899	0.00218988	0.00232767	0.00269867	0.0036334	0.00449614	0.00622937	0.00939024	0.0104454	0.0115138	0.0109758	0.0112213	0.011995	0.0113282	0.0121456	0.0164306	0.0150932	0.015659	0.0135906	0.00669579	0.00742897	0.00186216	0.00699412	0.0277725	0.00596434	0.00662443	0.0190572	0.0296856	0.0482037	0.0318113	0.0555252	0.0600189	0.0670437	0.0595842	0.0979912	0.103663	0.119005
avec	0.0636795	0.058605	0.0423796	0.0387584	0.0364712	0.0200888	0.0184298	0.0159173	0.0223784	0.016455	0.0160296	0.01294	0.0118735	0.0103828	0.0089045	0.00861878	0.0112649	0.0156119	0.0260059	0.0257981	0.0265952	0.0258369	0.0337271	0.0343272	0.0269028	0.0321364	0.0280879	0.023785	0.0151088	0.0158727	0.0178788	0.0253556	0.00705812	0.0143859	0.0119931	0.00991865	0.0144156	0.0160753	0.0151949	0.0163169	0.0146247	0.0198796	0.0148167	0.0262178	0.0328954
les	0.0661332	0.0406309	0.0333311	0.0201883	0.0225161	0.0226678	0.0291719	0.0283838	0.0246604	0.0229679	0.0209488	0.012721	0.0104578	0.00563371	0.00655228	0.00735339	0.00928068	0.014472	0.0155995	0.0153122	0.0159836	0.0265309	0.0246613	0.0349183	0.0345579	0.0358801	0.0250384	0.0142123	0.0119688	0.00700705	0.0123087	0.0275603	0.0053695	0.010271	0.0161608	0.0183835	0.0209434	0.0114508	0.0188556	0.0148213	0.0193863	0.0278221	0.0278392	0.0302737	0.0788124
enfants	0.0854882	0.0481598	0.0290714	0.0280073	0.02649	0.0178786	0.0162808	0.0112058	0.0117669	0.00927178	0.00791028	0.00704674	0.00705566	0.0071088	0.00834723	0.0113114	0.0114165	0.0165123	0.0215519	0.0198492	0.0144971	0.0234368	0.0234513	0.0257268	0.0193192	0.0152307	0.0107222	0.00603764	0.0063928	0.0035435	0.00582028	0.0161752	0.00244369	0.00490257	0.00899559	0.0109422	0.0205833	0.0124528	0.0121949	0.0135935	0.0271353	0.0270551	0.0414468	0.0460694	0.200101
</S>	0.0400542	0.0226601	0.0146738	0.0131306	0.0127517	0.0116424	0.0108247	0.00752687	0.00847545	0.0063518	0.00552911	0.00491679	0.00514994	0.00545002	0.00711439	0.0133649	0.0141605	0.0182208	0.0235236	0.0209784	0.0152297	0.0299892	0.0293911	0.0341641	0.026197	0.0178073	0.0132313	0.00768578	0.0080639	0.00372071	0.00863138	0.0193977	0.00337355	0.00566974	0.00786784	0.0108009	0.0165179	0.0100702	0.0145465	0.0153246	0.0280006	0.0310296	0.0713376	0.0630765	0.242375
