 	l	a	k	a	l	a	á	d	z	a	b	á	a	t	á	á	n	d	é	e	m	ó	m	ω	n	d	í	n	d	z	á	á	p	á	b	h	a	á	b	h	i	á	m	ó	m	ú	n	d	a	</S>
brindille	0.0156099	0.00578167	0.00484081	0.00449989	0.00332346	0.00396789	0.00389146	0.00478965	0.00344013	0.00272249	0.00318907	0.00318329	0.00244463	0.00203159	0.00209523	0.0020014	0.00152987	0.00213499	0.00403732	0.00386622	0.00537087	0.00828087	0.0111685	0.0133236	0.0202214	0.0251821	0.0602263	0.0527118	0.058982	0.0364868	0.0460082	0.0492517	0.0551827	0.0580209	0.0598905	0.0510624	0.0350714	0.0222109	0.0292465	0.0205002	0.0174564	0.0139833	0.0154326	0.0152513	0.00969581	0.0127441	0.0138247	0.0215442	0.0267745	0.0555124
maais	0.0278592	0.0100969	0.00979373	0.00690532	0.0059524	0.0109978	0.0102866	0.00833741	0.0054221	0.00971101	0.00727369	0.00529524	0.00396892	0.00470765	0.00581358	0.00592957	0.00418038	0.00514702	0.00749752	0.0120842	0.0180519	0.0220444	0.0226705	0.0188191	0.0185844	0.0176296	0.0242171	0.0229719	0.0387707	0.0289617	0.0380441	0.034149	0.0455421	0.048814	0.0406192	0.0425549	0.0363579	0.0304003	0.0274341	0.0237251	0.0204101	0.0216757	0.0203625	0.020704	0.0175662	0.0173902	0.0190726	0.0193933	0.0247245	0.0510788
aujourd'	0.0266456	0.00795147	0.00796141	0.00703704	0.00689183	0.0131978	0.0127921	0.0125197	0.0090962	0.0131785	0.00868541	0.00654428	0.00558602	0.00611639	0.00661736	0.00678729	0.00621778	0.00662742	0.0074046	0.00927281	0.0189723	0.0233843	0.0267726	0.0273957	0.0265172	0.0222395	0.0302014	0.0279532	0.037171	0.0314713	0.0357855	0.0317888	0.0436271	0.0435413	0.0373211	0.042928	0.0336869	0.0300561	0.029881	0.0260735	0.023455	0.0221847	0.018841	0.0165804	0.0111961	0.0121177	0.0121487	0.0150013	0.0165695	0.0380067
hui	0.0162939	0.00952018	0.00888684	0.00797467	0.00614286	0.00902125	0.00677961	0.00785575	0.00687755	0.00745177	0.0091187	0.00879795	0.00764548	0.00553408	0.00683576	0.00422817	0.00273124	0.00422152	0.00645463	0.00823591	0.00884911	0.0102197	0.00972441	0.0109034	0.0132013	0.00852164	0.0192349	0.0185958	0.0228111	0.0170186	0.0232463	0.0189749	0.0338058	0.050453	0.0384816	0.0576317	0.04396	0.030405	0.031287	0.0254137	0.0243086	0.0261132	0.0281936	0.029205	0.0233015	0.0317829	0.0303838	0.0347081	0.0505131	0.0781433
c'	0.0349991	0.0279921	0.0260762	0.0199245	0.0112831	0.0181443	0.0119178	0.0116718	0.00883775	0.0090894	0.0138952	0.011981	0.00760474	0.00532685	0.00737009	0.00447722	0.00253548	0.00457277	0.00720566	0.0105661	0.00701655	0.00668057	0.00777423	0.00988096	0.00834398	0.00753246	0.0123797	0.0109463	0.0136165	0.0118496	0.0121155	0.0115933	0.0182472	0.0161813	0.0172074	0.0250507	0.0154252	0.0143148	0.0169248	0.0222885	0.0201287	0.0164622	0.0210643	0.0308078	0.0366051	0.0437303	0.0453812	0.0513156	0.062336	0.151328
est	0.0229583	0.0204832	0.0201011	0.0205056	0.0139051	0.0193483	0.0202228	0.0271931	0.0175506	0.0303409	0.033846	0.0201374	0.0142591	0.023319	0.0256499	0.0212153	0.0165783	0.0155985	0.0191473	0.0234624	0.019303	0.0158708	0.0150907	0.0155346	0.013972	0.0145879	0.0152682	0.0163905	0.0158004	0.0193461	0.0140147	0.0152014	0.0200684	0.0124906	0.0142048	0.0150211	0.010702	0.0163148	0.0136525	0.0210498	0.0138029	0.0166368	0.0114831	0.0159173	0.0161982	0.0209202	0.0272703	0.0343727	0.0354219	0.0682699
avec	0.108667	0.0485422	0.0263296	0.0224787	0.012891	0.0117258	0.011918	0.0135901	0.00890726	0.0122306	0.0118184	0.00926003	0.00794499	0.00819023	0.00973533	0.00758	0.00673696	0.00795763	0.0103027	0.012073	0.0143691	0.0162978	0.0153961	0.0165248	0.0150922	0.012692	0.0198165	0.0191689	0.0190975	0.0176285	0.0161115	0.0148596	0.0228353	0.0163873	0.0184187	0.0184206	0.0129181	0.013992	0.0124664	0.0128516	0.0115042	0.0134922	0.0122226	0.0159621	0.0186046	0.0213747	0.0259627	0.0279716	0.0381341	0.120547
des	0.0290575	0.0242645	0.0235746	0.0218871	0.0165726	0.0216204	0.0152475	0.0138132	0.0076374	0.00933864	0.0137283	0.0104945	0.00717702	0.00492878	0.00839648	0.00404433	0.00301608	0.00513037	0.00635248	0.00912763	0.00518563	0.00686895	0.0083064	0.00792321	0.00766339	0.0100244	0.0122646	0.0130408	0.019784	0.0200913	0.0187269	0.0216636	0.0293958	0.0238034	0.0267736	0.0259558	0.0193504	0.0219238	0.0260862	0.0287953	0.0228325	0.0207281	0.0163209	0.0254135	0.021755	0.0337011	0.0319014	0.0439117	0.0523979	0.122001
lampes	0.067111	0.0244832	0.0179372	0.0120555	0.0074923	0.00737644	0.00679646	0.00744949	0.00530476	0.00691592	0.00789166	0.00800041	0.00555035	0.00527257	0.00540733	0.00392554	0.00364478	0.00420628	0.00542581	0.00949164	0.0101812	0.0131233	0.0131216	0.0159541	0.0145738	0.0120739	0.0233483	0.0193186	0.0217459	0.0212844	0.0183015	0.0187815	0.0327052	0.0204026	0.0221134	0.0321803	0.0185035	0.0223554	0.0174573	0.0201651	0.0219986	0.0203255	0.0219349	0.0249102	0.0173489	0.0237181	0.0247484	0.033677	0.0458254	0.156084
</S>	0.0193855	0.0115939	0.0105807	0.00901703	0.00823172	0.0143049	0.0148227	0.0205817	0.0101057	0.0159085	0.012884	0.00842961	0.00648624	0.005821	0.00750874	0.00503034	0.00563918	0.00536447	0.00553841	0.00738572	0.00909952	0.0119895	0.0128021	0.0120167	0.0128136	0.0175605	0.0230139	0.0299697	0.0453189	0.0380673	0.0314137	0.0344288	0.0372694	0.0448642	0.0400438	0.0298962	0.0245527	0.0226451	0.0235636	0.0213476	0.0196366	0.0204065	0.0179405	0.0175981	0.0138628	0.0126032	0.0115673	0.0212515	0.0299744	0.107862
