 	s	á	k	ώ	é	s	á	a	l	a	m	b	o	n	g	o	l	o	k	o	n	g	á	á	m	w	é	s	é	ó	b	á	l	a	b	a	á	l	é	d	z	w	a	</S>
que	0.0478584	0.0359379	0.0225229	0.0209758	0.0206347	0.0177073	0.0120991	0.0103458	0.0100128	0.00789282	0.0071388	0.00802224	0.00911622	0.00975487	0.00721306	0.00664829	0.00504266	0.00522701	0.00764575	0.0130473	0.0184391	0.0308939	0.0353679	0.0292558	0.0433962	0.046084	0.0372154	0.0393914	0.0284178	0.0218061	0.0154053	0.0194292	0.0263913	0.019696	0.0242937	0.0189113	0.0167745	0.0211687	0.0251741	0.0239114	0.0390645	0.0250137	0.0396624	0.0699926
le	0.0529984	0.035417	0.0252126	0.0256297	0.0244643	0.0229128	0.0141095	0.00929906	0.00841216	0.00719775	0.00713541	0.00741566	0.00803793	0.00795117	0.00753392	0.00494415	0.00407398	0.00534413	0.00918708	0.0157651	0.0245748	0.0300673	0.0449729	0.0355384	0.0413469	0.0348921	0.0300507	0.0371539	0.0269328	0.0223839	0.0145035	0.009507	0.0328885	0.0197706	0.0274748	0.022785	0.0195275	0.0229654	0.0267486	0.0198135	0.0340684	0.0211122	0.0389042	0.0589752
soleil	0.0320405	0.01933	0.0157852	0.0181538	0.0160001	0.012035	0.00822594	0.00726698	0.00581605	0.00724547	0.00649494	0.00947523	0.0115604	0.0120902	0.011811	0.0150953	0.0135086	0.0145343	0.0145774	0.0154053	0.0211683	0.0220875	0.0275629	0.0412603	0.0307132	0.0433682	0.0236963	0.0276352	0.0171831	0.0143238	0.0146076	0.00625004	0.014898	0.00924028	0.0098892	0.0137596	0.0107989	0.0210562	0.0508313	0.028761	0.034156	0.024006	0.0627424	0.163553
brille	0.0711717	0.0375012	0.0189085	0.0195486	0.016726	0.0164876	0.0159981	0.00763396	0.00462523	0.0050938	0.00364	0.0053491	0.00642096	0.00660176	0.00652593	0.00620958	0.00670981	0.011747	0.0213543	0.0225196	0.0294846	0.0235192	0.0325503	0.0411124	0.0380902	0.0281064	0.0217111	0.0492491	0.0243468	0.0165819	0.0132939	0.00805911	0.0231635	0.0142831	0.0120571	0.0174006	0.0101454	0.0166508	0.0236568	0.0166212	0.0211591	0.0180343	0.0514801	0.138471
pour	0.110198	0.0355495	0.0181045	0.0162475	0.0112483	0.0106313	0.0100536	0.00628624	0.00451589	0.00579017	0.00475948	0.00908891	0.0148582	0.0181967	0.0143746	0.0270026	0.0190064	0.0281101	0.0323596	0.0204537	0.0271175	0.0207005	0.0314089	0.0344398	0.0365286	0.0236014	0.00989729	0.016014	0.00612603	0.00510012	0.00528259	0.00370045	0.0131903	0.00873224	0.0101254	0.012368	0.0142454	0.012356	0.0322587	0.0344603	0.0255127	0.0265676	0.0773941	0.0960373
qu'	0.0938057	0.0526915	0.0330576	0.0230922	0.0159211	0.0108422	0.00857895	0.00449173	0.00288823	0.00315366	0.00284792	0.00531751	0.0118562	0.0147871	0.0113276	0.0150735	0.0124243	0.0154668	0.0200976	0.0101186	0.0136518	0.014145	0.0208606	0.0223239	0.0352918	0.0254057	0.0147405	0.0262086	0.00649103	0.00609512	0.00783015	0.00401432	0.0136782	0.00814372	0.00779437	0.00995907	0.0103417	0.00804285	0.026377	0.0392561	0.0283872	0.0459929	0.119268	0.117861
on	0.0991584	0.039696	0.0175418	0.015818	0.0121927	0.0138444	0.0102342	0.0109516	0.00918363	0.00780088	0.00597573	0.00874706	0.0116122	0.0111088	0.00921446	0.0163937	0.0189061	0.0286562	0.0506476	0.0377659	0.0395011	0.0361381	0.0300538	0.028286	0.0819358	0.0294087	0.022367	0.0290264	0.0125085	0.00961698	0.00818222	0.00509991	0.0168925	0.00637709	0.0073216	0.00726486	0.00770641	0.00562391	0.0166359	0.0160538	0.0211724	0.02871	0.0515923	0.0470754
puisse	0.170221	0.080293	0.0344667	0.0279791	0.0281835	0.0317178	0.0405746	0.0240175	0.0148647	0.0129686	0.00924407	0.0106885	0.0112308	0.0118411	0.0109929	0.0132871	0.0133031	0.0163426	0.0181397	0.00841996	0.00901686	0.0117775	0.0130712	0.0107617	0.0309665	0.0209793	0.0110573	0.024062	0.0142586	0.00966077	0.00916332	0.010504	0.0119792	0.0101282	0.00887632	0.00854984	0.00764795	0.00730213	0.0141293	0.0128025	0.0231886	0.0161985	0.0420751	0.0730665
partir	0.103771	0.0545912	0.0238226	0.0207334	0.0166182	0.0159031	0.010628	0.00912187	0.0057872	0.00807451	0.00626231	0.00871828	0.0114516	0.0136059	0.0119116	0.0181014	0.0161612	0.0157414	0.0175995	0.0116695	0.0203074	0.0256616	0.0243271	0.0300829	0.0676093	0.0375358	0.0186364	0.0247364	0.0112782	0.00622449	0.00639535	0.00538494	0.00633871	0.00586065	0.00422132	0.00518198	0.00524057	0.00740553	0.0243615	0.0178877	0.0317772	0.0203997	0.0646984	0.128173
</S>	0.0417356	0.023901	0.0187245	0.0249427	0.0196634	0.0191717	0.0158871	0.0140934	0.0122853	0.00984277	0.00749233	0.0112065	0.00940763	0.00717013	0.00654135	0.00641993	0.00671291	0.00826881	0.01574	0.0141343	0.0221796	0.0259814	0.0229649	0.0223921	0.0571101	0.0266458	0.020887	0.0233594	0.0228432	0.0123276	0.0144499	0.0119787	0.0220723	0.0162677	0.0168501	0.0187731	0.0231264	0.0177893	0.0432321	0.0297151	0.0331692	0.028169	0.0551055	0.119269
