 	e	k	i	i	l	í	y	é	é	k	i	i	o	l	ó	m	i	b	e	a	b	á	n	g	á	y	é	e	s	ε	r	έ	w	á	r	a	w	a	a	m	i	d	i	á	m	w	á	s	í	o	s	ú	s	u	s	á	p	o	o	</S>
ma	0.0241161	0.015208	0.00988296	0.00705624	0.0060148	0.0040838	0.00329903	0.00282413	0.0026422	0.00269797	0.002902	0.00302961	0.00351554	0.00347874	0.00507061	0.00568446	0.00580518	0.00932134	0.0136733	0.0114641	0.0160155	0.0157153	0.0183768	0.00914147	0.0202895	0.0307563	0.0228059	0.0346808	0.0417756	0.0245681	0.0458609	0.04022	0.0206292	0.0337847	0.0177055	0.0452145	0.014622	0.0169957	0.0174824	0.0117844	0.0131919	0.00659619	0.00332654	0.00611347	0.00479733	0.00592025	0.0127725	0.00653509	0.00513336	0.00394506	0.00569763	0.00889382	0.0108586	0.00722091	0.0116403	0.0161437	0.014873	0.0406106	0.0742163	0.101318
cuisine	0.0301207	0.0251258	0.0202661	0.0102009	0.00671358	0.00549957	0.00499125	0.00449319	0.00461506	0.00432483	0.00501301	0.00552833	0.00691799	0.00745773	0.00773642	0.0112963	0.00564978	0.0123046	0.0169406	0.0107027	0.0190979	0.0177858	0.0117988	0.00747736	0.0249737	0.0174437	0.0179788	0.0109249	0.0153786	0.0112509	0.014418	0.0188846	0.0185674	0.0221665	0.0136363	0.022173	0.0117452	0.00702923	0.0073474	0.00538563	0.00701911	0.00536274	0.00427267	0.0057505	0.00375572	0.00776496	0.0117835	0.00638294	0.0110385	0.00655304	0.00970777	0.0150479	0.019155	0.0119304	0.0224156	0.0378098	0.0260295	0.068247	0.110827	0.107784
prouve	0.0739182	0.0313559	0.0152165	0.00569911	0.00451837	0.00281597	0.00243123	0.00227838	0.0023617	0.00270365	0.00320186	0.00366929	0.00423902	0.00393161	0.00532932	0.00770652	0.00470917	0.00843919	0.00942097	0.0110917	0.01134	0.010618	0.00859661	0.00968363	0.0207856	0.015932	0.0158193	0.013719	0.0143319	0.0120237	0.0156942	0.016017	0.012966	0.0165994	0.0138602	0.0159275	0.0125608	0.011554	0.0101089	0.00837393	0.00955213	0.00729911	0.0040174	0.0076591	0.00330766	0.0087246	0.0105512	0.0068337	0.013549	0.0126945	0.0125261	0.0218451	0.0200675	0.0180572	0.0205803	0.0306787	0.0206976	0.0544152	0.104288	0.141106
qu'	0.0451402	0.0471528	0.04371	0.0324953	0.0282408	0.0256811	0.0220468	0.0365436	0.0315902	0.0258882	0.0208719	0.0243196	0.014524	0.0213146	0.0381287	0.0603725	0.0366301	0.0252444	0.0204018	0.0169738	0.0201968	0.0163097	0.0135019	0.0093466	0.0193229	0.01254	0.0130662	0.00844489	0.0174652	0.0147865	0.0275758	0.0202847	0.0109277	0.0166305	0.00941889	0.00823651	0.00540187	0.00287681	0.00425379	0.00387009	0.00741363	0.00432522	0.00320048	0.00615563	0.00368317	0.0036323	0.00449502	0.00361465	0.00303292	0.00243574	0.00234696	0.00327641	0.00261149	0.00201728	0.00419422	0.00365523	0.00395176	0.0109448	0.0150668	0.0382183
il	0.044453	0.0271503	0.0197149	0.0166	0.0150417	0.0149812	0.0174973	0.0233488	0.0200877	0.0185035	0.0194845	0.0237893	0.013851	0.0127454	0.0231529	0.0231253	0.0203985	0.0224682	0.0209312	0.017717	0.0227508	0.0186774	0.0132626	0.00997207	0.0208036	0.0190326	0.0206696	0.0151269	0.0202054	0.0178605	0.0282878	0.0187169	0.0154202	0.0215781	0.0143475	0.0210407	0.0105891	0.0115251	0.0129907	0.011248	0.0157273	0.00814969	0.0103831	0.0157801	0.00916856	0.00772963	0.0104581	0.0103942	0.00499868	0.00462733	0.00637821	0.00635747	0.00656076	0.00555849	0.00888202	0.00730035	0.00953149	0.0226783	0.0244766	0.0457125
a	0.0627922	0.0343333	0.0199178	0.012407	0.00914401	0.00426207	0.00443601	0.00633797	0.00782634	0.0108655	0.0112104	0.00974231	0.00804656	0.00836893	0.0110624	0.00996744	0.00740985	0.0104998	0.0127672	0.010166	0.012723	0.0127838	0.0124233	0.00874691	0.0130931	0.0137017	0.016078	0.0165554	0.014958	0.0137765	0.0217553	0.0221771	0.0134623	0.0161774	0.011893	0.0222114	0.0119056	0.0140634	0.0119797	0.0119663	0.0147103	0.00944279	0.00738964	0.01878	0.00896308	0.00795769	0.011472	0.0167003	0.0118695	0.0110457	0.0165677	0.0177866	0.0184672	0.013182	0.0189749	0.0215092	0.0206907	0.0384096	0.0599429	0.0921438
trouvé	0.0554568	0.0199581	0.0105964	0.00663562	0.00622595	0.00540197	0.00557666	0.00608438	0.00619366	0.0072426	0.00749317	0.00646738	0.00687438	0.00591647	0.00727434	0.0121198	0.00698673	0.0092831	0.00801816	0.00803304	0.00758686	0.00750301	0.00986388	0.00892756	0.0117819	0.0169026	0.0160519	0.0250139	0.0208709	0.0140069	0.0220489	0.0292326	0.0189292	0.0204042	0.0162702	0.0279515	0.0165169	0.0159613	0.013763	0.0114594	0.01047	0.0125933	0.00421223	0.00950526	0.0049349	0.0045457	0.011394	0.00731168	0.00643318	0.00547347	0.0101166	0.0128031	0.0136526	0.00905074	0.0131029	0.0233093	0.016184	0.0433853	0.0999268	0.142709
une	0.0466114	0.0314155	0.0196307	0.0133627	0.0119079	0.00859319	0.00833594	0.00685024	0.00826441	0.00943414	0.0105111	0.0111127	0.0111359	0.00735559	0.0155627	0.0431181	0.0306828	0.0323881	0.0244337	0.0257503	0.0137116	0.0236331	0.0318609	0.0235434	0.0228456	0.0366736	0.0229004	0.0257691	0.0273358	0.0219938	0.0176474	0.0213352	0.0274102	0.0248727	0.0218041	0.0248658	0.0131662	0.0149129	0.0149623	0.0144822	0.0137464	0.0150296	0.00661732	0.00656935	0.00644466	0.00571858	0.00895548	0.00456714	0.00406954	0.00446456	0.00505516	0.00600295	0.00568996	0.00450303	0.00587753	0.00626517	0.00785095	0.0128375	0.0147946	0.0327569
autre	0.0579417	0.036558	0.0255337	0.0228675	0.0202533	0.0114364	0.0104382	0.00971034	0.00986242	0.0106954	0.010423	0.00936152	0.00813777	0.00742809	0.00928147	0.0178113	0.0125473	0.0151269	0.0154933	0.0101153	0.0139801	0.0145228	0.0222066	0.0117886	0.0100705	0.0185656	0.0144148	0.0228416	0.0236633	0.0219973	0.0256171	0.0417943	0.0255571	0.0247176	0.0149847	0.0402565	0.0142873	0.0100085	0.0106557	0.0073044	0.0136256	0.00661915	0.00361041	0.00801526	0.00638318	0.00327259	0.0076106	0.00543229	0.00414542	0.00399303	0.00702568	0.00657929	0.00894537	0.0055621	0.00973076	0.0114094	0.014062	0.0254459	0.039647	0.0886278
femme	0.043404	0.0170937	0.0141717	0.00646907	0.00561813	0.00431433	0.00420673	0.00411005	0.00415682	0.00427892	0.00432285	0.00424604	0.00442584	0.0045723	0.00894983	0.0298719	0.032742	0.0411969	0.0323591	0.0279507	0.0289235	0.0257093	0.0319919	0.0154275	0.0321785	0.0437826	0.0324295	0.0286109	0.0234924	0.0207802	0.0210408	0.0230524	0.0133283	0.0195162	0.0145788	0.0224045	0.00962773	0.0100486	0.0129166	0.0122364	0.0131063	0.0094088	0.00741341	0.00924535	0.00660311	0.00874691	0.0110901	0.00747722	0.00495802	0.00450122	0.00664857	0.00742999	0.00834584	0.00767878	0.00823183	0.0097026	0.0114547	0.0216015	0.0306707	0.0651476
dans	0.0434213	0.0215046	0.0120531	0.00680863	0.00516343	0.00391974	0.00389201	0.00359736	0.00350748	0.00420236	0.0043304	0.00352034	0.00492946	0.00454153	0.00635837	0.0120182	0.00607347	0.0110308	0.00809485	0.00560611	0.00802745	0.00578678	0.0096397	0.00509729	0.00899989	0.0116727	0.00861168	0.0111272	0.0095488	0.00743916	0.00741923	0.0171015	0.010144	0.0112903	0.00784415	0.0172653	0.0109724	0.0079148	0.00665175	0.00422694	0.00485136	0.00429153	0.00243722	0.00404243	0.00249548	0.00262886	0.00366839	0.00457694	0.00875356	0.00628457	0.0133394	0.0202485	0.0282727	0.0135695	0.0196994	0.055569	0.0351739	0.0731169	0.143087	0.192539
le	0.0741234	0.0352522	0.0201928	0.0115184	0.00920233	0.00454775	0.0043498	0.00553034	0.00601489	0.00859169	0.00918221	0.00789766	0.00807204	0.00741857	0.0151096	0.0297689	0.0144284	0.0224516	0.016204	0.0134614	0.0119404	0.0128205	0.0198011	0.00648998	0.0168583	0.0174414	0.0115219	0.00980201	0.0117479	0.011832	0.0111033	0.0151827	0.00760292	0.0101288	0.00643183	0.0128682	0.00496395	0.00735539	0.00639993	0.00654819	0.00692587	0.0042517	0.00239345	0.00656783	0.00394492	0.00692915	0.00756964	0.00768986	0.0157757	0.0161586	0.0193427	0.0236642	0.0242968	0.0166262	0.0235007	0.031643	0.0310385	0.0533638	0.0476423	0.108516
village	0.0195898	0.00993736	0.00591021	0.00272352	0.00215318	0.00167292	0.00171682	0.00181619	0.00245758	0.00330534	0.00389685	0.00318247	0.00447143	0.00366324	0.00432481	0.00630697	0.00352117	0.00539257	0.00483998	0.00557003	0.0050354	0.00471122	0.00526581	0.00557042	0.0116837	0.0101286	0.014543	0.0179835	0.0153137	0.0108909	0.0140075	0.0192865	0.0102606	0.0120204	0.00990623	0.0175935	0.0122755	0.00957884	0.0074547	0.00552645	0.00664129	0.00766249	0.00288268	0.00538743	0.00279785	0.0041077	0.00503868	0.00393797	0.0130187	0.0100534	0.0189655	0.0267397	0.0368286	0.0192801	0.028317	0.0746797	0.0496212	0.0863023	0.110686	0.171563
</S>	0.039632	0.0246417	0.0157108	0.0074726	0.00635416	0.00317488	0.00272583	0.00261858	0.0033777	0.00411021	0.00472165	0.00424689	0.00549336	0.0045942	0.00675778	0.00970787	0.00918252	0.0130945	0.0153175	0.0172146	0.0149668	0.0205924	0.0189276	0.0131153	0.0244311	0.0257251	0.0213721	0.0219596	0.02969	0.0291698	0.0370456	0.051639	0.0108896	0.0303276	0.0152016	0.0202911	0.00861387	0.00876888	0.0112902	0.00768588	0.0136683	0.00533832	0.00285258	0.0112431	0.00594645	0.00851559	0.013692	0.00976873	0.00961958	0.00639	0.00733714	0.0114418	0.0129945	0.00808808	0.0114631	0.0182723	0.0153885	0.0444653	0.0548633	0.106799
