 	e	d	z	e	b	í	s	í	ó	w	ó	m	á	b	í	s	í	l	é	t	έ	i	b	á	n	a	b	á	n	d	z	é	s	i	b	á	a	l	ώ	b	h	ώ	s	á	m	o	b	h	ó	</S>
petits	0.0392991	0.0236897	0.0111912	0.00931135	0.00726718	0.00495932	0.00508243	0.0054078	0.00625322	0.00671296	0.00469134	0.00556079	0.00619961	0.00795543	0.00896226	0.010934	0.0139988	0.0229938	0.0190097	0.0244931	0.0202489	0.0218826	0.0260547	0.0278343	0.0291401	0.0255756	0.0271709	0.0262166	0.0290675	0.026028	0.0283556	0.025972	0.0168539	0.021251	0.0217658	0.014846	0.0134243	0.0175534	0.020322	0.0177237	0.0243266	0.0307862	0.032406	0.0281984	0.0266941	0.028798	0.0308563	0.0298417	0.0339441	0.0328888
enfants	0.0366934	0.0248774	0.00945577	0.0062151	0.00320127	0.00234108	0.00223604	0.00311476	0.0045353	0.00536249	0.0032125	0.00635878	0.00741953	0.0100992	0.0135802	0.0162511	0.0234782	0.0346331	0.029875	0.0385389	0.0225536	0.025625	0.0321439	0.0305751	0.0319941	0.0291661	0.0262619	0.0206154	0.0337414	0.0260641	0.0284609	0.0339551	0.0320734	0.016	0.0150116	0.0104963	0.0140246	0.0171394	0.0229443	0.0172172	0.0172598	0.0190937	0.0221626	0.0151166	0.0142274	0.0208952	0.0268049	0.0257818	0.0343409	0.0367744
pêcher	0.0514741	0.0346967	0.0156337	0.0189082	0.0105273	0.00850725	0.00515509	0.004695	0.00583003	0.00602128	0.00384749	0.00545576	0.00529406	0.00836487	0.0114541	0.0129783	0.0161417	0.0227378	0.0189523	0.0238653	0.0147507	0.0161264	0.0231866	0.0240895	0.0250292	0.0198965	0.0183387	0.0207597	0.0259358	0.0213062	0.0296349	0.0280812	0.020503	0.0224933	0.023315	0.0132974	0.0150661	0.0173942	0.0207622	0.0185042	0.0235951	0.0248138	0.0243926	0.0251376	0.0251767	0.0292909	0.0329316	0.0333908	0.035293	0.0369669
à	0.0298583	0.0250972	0.0222713	0.0105841	0.00927668	0.00776736	0.0121755	0.0110831	0.0119759	0.0122321	0.00750599	0.00885904	0.00883249	0.0126875	0.00925646	0.011156	0.020161	0.0164385	0.0164384	0.0229842	0.0189412	0.0260701	0.0206927	0.0218423	0.0248512	0.0172721	0.0182287	0.0199174	0.0182198	0.0150983	0.0197228	0.0178031	0.0125258	0.0130999	0.0148242	0.0150488	0.019349	0.0189247	0.0230563	0.0218587	0.0213219	0.0251333	0.0262094	0.0282555	0.0266747	0.0298471	0.0351808	0.0397084	0.0443596	0.059321
la	0.0193937	0.0176032	0.0141603	0.00695777	0.00621301	0.00471216	0.00358308	0.00314607	0.00320132	0.00342201	0.0024755	0.00285882	0.00357053	0.00574945	0.00519656	0.00879367	0.013129	0.0174167	0.01716	0.0238633	0.0174626	0.0184054	0.0246944	0.0220722	0.0220509	0.0132939	0.0134352	0.0130355	0.0142284	0.0103677	0.0135233	0.0139153	0.00856591	0.0101104	0.0105152	0.00995952	0.017089	0.0232834	0.0344544	0.0301164	0.0344649	0.0467086	0.0424056	0.0506435	0.0336127	0.0387464	0.0509972	0.0493107	0.0620561	0.0678693
ligne	0.0235906	0.0166668	0.0111688	0.00634939	0.00472974	0.00261443	0.00299171	0.00317799	0.00313204	0.00295932	0.00348471	0.00396268	0.00400847	0.00559209	0.00573282	0.00849093	0.0131275	0.0193922	0.0142963	0.0156447	0.0223684	0.0188448	0.019959	0.0232364	0.021711	0.019351	0.0253336	0.0200428	0.0206713	0.0194481	0.0180609	0.0205748	0.0164688	0.0153922	0.0159944	0.0126442	0.0150782	0.0250778	0.0301476	0.0309739	0.0391655	0.0547192	0.0603421	0.0401426	0.0328168	0.0343925	0.0387821	0.0377301	0.0379709	0.0414456
dans	0.0182352	0.0179011	0.0215353	0.0234336	0.0207834	0.0140641	0.0246931	0.0183631	0.012092	0.0120675	0.00764689	0.00898364	0.00676722	0.00806573	0.00829821	0.00719856	0.0112056	0.00797065	0.00827378	0.0107113	0.0092396	0.0109284	0.0107564	0.00973208	0.0103753	0.00785913	0.00735825	0.00894086	0.00831607	0.00695935	0.00987862	0.0102178	0.00910112	0.0181948	0.0198009	0.018651	0.0191693	0.0199021	0.0308942	0.0318939	0.03305	0.0345718	0.0478639	0.0478421	0.0328972	0.0344211	0.0452768	0.0550817	0.056599	0.0659372
un	0.0411437	0.0475331	0.0525342	0.0255511	0.0208914	0.0123953	0.014934	0.012083	0.0133783	0.0130377	0.00796507	0.0103279	0.0102638	0.0139975	0.011544	0.0129102	0.0111461	0.0088093	0.00739768	0.00582206	0.00976152	0.010064	0.0075309	0.00935491	0.010703	0.00809052	0.0066458	0.00492767	0.00608165	0.00558064	0.00589534	0.00736505	0.00788734	0.00515727	0.00579542	0.00550427	0.0126449	0.0171167	0.025969	0.0244886	0.023073	0.0262448	0.0329765	0.0339057	0.0296193	0.0411821	0.0571946	0.0717745	0.0672525	0.0665471
étang	0.0128878	0.0113557	0.0129444	0.00988971	0.00492788	0.00162109	0.00170709	0.00178655	0.0028895	0.00387156	0.00292654	0.00496199	0.00570872	0.00703551	0.00727314	0.00858976	0.0129967	0.0117505	0.0126406	0.0149524	0.017767	0.0162012	0.0188033	0.0205845	0.0197363	0.0123317	0.016918	0.0149101	0.012486	0.0119744	0.0151216	0.012549	0.00690347	0.00821607	0.00983567	0.0075126	0.00764022	0.0134982	0.0248207	0.0228616	0.0326175	0.0477493	0.0586035	0.0491707	0.0494207	0.056566	0.0623911	0.0595413	0.0678709	0.0726802
où	0.010477	0.011868	0.0226133	0.0290932	0.0190536	0.0128799	0.0113347	0.00768061	0.00594393	0.00424333	0.00331703	0.00308532	0.00259289	0.0039989	0.00420532	0.00385355	0.00616332	0.0049385	0.00484316	0.00659334	0.00614813	0.00669814	0.0070536	0.00563323	0.00778602	0.00543136	0.00514734	0.00528924	0.0039139	0.00360548	0.00624287	0.00615053	0.00436449	0.00949738	0.0117687	0.0216948	0.0188348	0.0256273	0.0497359	0.0509041	0.0544699	0.0564864	0.0539833	0.0642103	0.0467402	0.0451315	0.0435833	0.061199	0.0586859	0.075204
des	0.0207666	0.0265175	0.0505405	0.0492847	0.0303971	0.0138271	0.0122442	0.00847554	0.00910533	0.00723964	0.00521586	0.00442107	0.00396811	0.00553278	0.00454929	0.0048259	0.0056675	0.00440093	0.00437913	0.00493674	0.00558417	0.00601397	0.0063554	0.00545973	0.00771088	0.00453685	0.00447522	0.00475645	0.00366257	0.00375023	0.00640752	0.00613568	0.00502877	0.00495886	0.00511772	0.00716571	0.00963173	0.0135859	0.0374549	0.0376941	0.0376444	0.0494231	0.0566317	0.0526075	0.0373842	0.0454465	0.0529833	0.0705936	0.0705687	0.064935
femmes	0.0131938	0.0100625	0.014709	0.00893742	0.00329057	0.00152	0.00192637	0.00148715	0.00219483	0.00290921	0.00309377	0.00823394	0.00650681	0.00725315	0.013854	0.0120096	0.0177158	0.00910204	0.0215347	0.0199691	0.0301881	0.0294108	0.0250362	0.0292246	0.0183105	0.0180403	0.0205965	0.0202827	0.0147803	0.0131663	0.0187584	0.0166259	0.0096086	0.010277	0.00873349	0.00598503	0.0064587	0.012937	0.02215	0.0211037	0.029773	0.0454528	0.0642966	0.039023	0.0385349	0.0467027	0.0468902	0.0331972	0.0418885	0.0830631
avaient	0.00900473	0.00800336	0.0116845	0.012751	0.00561778	0.00334926	0.00180934	0.00181684	0.0021108	0.00257388	0.0039971	0.00638846	0.00565385	0.00607867	0.00694882	0.006691	0.0107361	0.00758073	0.0109949	0.0134263	0.0124307	0.0132111	0.0160631	0.0146436	0.0136158	0.00966494	0.0123172	0.0121371	0.0100917	0.00862701	0.0150897	0.0115446	0.00575187	0.00688571	0.0103512	0.00979205	0.0102715	0.0162031	0.0256116	0.0218268	0.0307612	0.0554273	0.0660413	0.0598568	0.0736696	0.0892147	0.0778377	0.0481014	0.0532031	0.0525389
déjà	0.00878639	0.00662114	0.00850791	0.00862635	0.00375982	0.00186626	0.00158835	0.00145487	0.00213455	0.00251476	0.00401995	0.00783955	0.00781893	0.0086065	0.0102639	0.0108392	0.0156831	0.0105347	0.0175134	0.0203486	0.0214716	0.0220847	0.0250279	0.0250545	0.0187275	0.0153029	0.018976	0.0197693	0.0151878	0.0131383	0.0188539	0.0178551	0.0136155	0.0113247	0.0114657	0.0133741	0.0152605	0.0229015	0.0385743	0.0391481	0.0393971	0.0517399	0.0638132	0.0469369	0.0368712	0.0411081	0.0373393	0.0303311	0.0359959	0.0600252
péché	0.00711461	0.00575071	0.00501002	0.00427213	0.00199106	0.00144174	0.000776397	0.000788672	0.000959519	0.000973903	0.00253913	0.00427748	0.00440815	0.006719	0.00670191	0.010169	0.0149567	0.0154417	0.0203109	0.0268539	0.0246834	0.026443	0.0302117	0.0279759	0.0199589	0.0175471	0.0206911	0.0224787	0.0192231	0.014915	0.0238822	0.0215949	0.0170975	0.0155932	0.0162409	0.0128977	0.0188615	0.0232617	0.0397721	0.0443038	0.0451994	0.0608025	0.0655554	0.0379224	0.0256046	0.028825	0.0294362	0.0242369	0.0344209	0.0489066
à	0.035195	0.0327325	0.0225651	0.0212746	0.0217655	0.0287684	0.029325	0.030623	0.0232058	0.0172405	0.0198919	0.0216607	0.0150997	0.0171455	0.0116992	0.00912552	0.00856455	0.0125054	0.00983721	0.0169832	0.0150654	0.0143506	0.0150353	0.0132424	0.0154915	0.0180539	0.0167444	0.0119823	0.0121181	0.0115074	0.00813907	0.0108461	0.00742512	0.00794846	0.00912116	0.0109246	0.0130807	0.0144671	0.0246615	0.0206887	0.0233345	0.026962	0.0376691	0.0220256	0.0230464	0.0233198	0.0273654	0.0405511	0.0346786	0.0649455
l'	0.0326575	0.0261235	0.0263813	0.0296198	0.019227	0.0144092	0.0115665	0.0125868	0.0128674	0.0132561	0.0140379	0.0152113	0.0154702	0.0165973	0.016896	0.0151813	0.0147063	0.0152164	0.0143846	0.0177531	0.012644	0.014914	0.0140758	0.0154007	0.0197511	0.0147546	0.015416	0.00900323	0.0141773	0.0141182	0.0117402	0.0134312	0.0114185	0.00991814	0.00715577	0.00761663	0.00927896	0.00897539	0.0106486	0.0110781	0.0107538	0.0173628	0.0200379	0.0287137	0.0331063	0.0392269	0.0506776	0.0641176	0.0617597	0.0745782
écope	0.00891495	0.00765222	0.0071087	0.00631997	0.00398706	0.00294287	0.00294742	0.00347489	0.00388408	0.004289	0.00439125	0.00543806	0.00587223	0.00711325	0.00624384	0.00657946	0.00862466	0.00979435	0.00979586	0.0150803	0.0114991	0.0131719	0.0242541	0.023335	0.0259466	0.0151146	0.0235207	0.0197833	0.0203169	0.0183545	0.0231941	0.0215384	0.0118793	0.0154774	0.0134337	0.0112349	0.00913447	0.0119272	0.0200061	0.0167068	0.0235823	0.0466502	0.0579579	0.0516449	0.0447958	0.0499183	0.056767	0.0610115	0.0612483	0.0661402
</S>	0.0544484	0.0462492	0.0409727	0.0292936	0.0305797	0.0158722	0.0217806	0.0191444	0.018925	0.0173505	0.0125736	0.011763	0.011401	0.0155849	0.00634981	0.00650405	0.00745879	0.0062887	0.00775546	0.00902705	0.00697684	0.00907214	0.0105515	0.0115063	0.014041	0.0159797	0.0142138	0.0130768	0.0155898	0.00856714	0.0140382	0.0116911	0.00929747	0.00904124	0.0097687	0.0106597	0.0097632	0.0119476	0.0165156	0.014799	0.0168075	0.0201526	0.0257428	0.0261739	0.0298404	0.0333586	0.043746	0.0514227	0.0514092	0.074927
