 	n	ω	o	d	í	l	e	t	ó	n	i	á	p	i	a	s	i	n	ω	k	í	g	h	i	g	h	i	m	ó	y	í	b	h	a	n	ω	o	d	í	o	b	é	n	y	a	k	a	á	</S>
te	0.087501	0.0408974	0.0215999	0.011016	0.00926073	0.00872388	0.00993877	0.012986	0.0113187	0.0115329	0.0117603	0.0149529	0.0119752	0.00900351	0.00807065	0.0101696	0.00869491	0.00988155	0.019958	0.0094571	0.0142791	0.0310918	0.0343944	0.0157817	0.0376932	0.0214413	0.0162278	0.0274283	0.0260956	0.0300977	0.0353603	0.0249972	0.0178436	0.0292959	0.0229414	0.0191699	0.0144943	0.0160522	0.016667	0.00612237	0.00984283	0.0107996	0.00740286	0.00731952	0.00987908	0.0143676	0.0303644	0.0382816	0.0755685
prends	0.0741688	0.0390001	0.0203884	0.00926459	0.00753086	0.00567121	0.00682156	0.0082281	0.00703751	0.0074134	0.00738551	0.00914692	0.00667702	0.00688942	0.00799845	0.0104501	0.00851471	0.0128024	0.0209419	0.0137314	0.0180545	0.0380193	0.0266857	0.0175681	0.0253075	0.0194747	0.0130967	0.0278669	0.0224	0.0233228	0.0322673	0.0233569	0.0171533	0.0365115	0.0242766	0.0219448	0.0168056	0.0195133	0.0185552	0.00722989	0.0128731	0.0123829	0.00990504	0.01299	0.014943	0.021909	0.0456149	0.0512119	0.0786974
la	0.0812328	0.0382894	0.0179545	0.009133	0.0101327	0.00625759	0.00535974	0.00470955	0.00348377	0.00378374	0.00280523	0.00319037	0.00238677	0.00328075	0.00346565	0.00478527	0.00455304	0.00996503	0.0395707	0.0296403	0.0401338	0.0504968	0.0461735	0.0488497	0.0602388	0.0553206	0.0205102	0.0642791	0.0523357	0.0259982	0.0425202	0.0233462	0.0125963	0.0158551	0.016533	0.00642478	0.00678034	0.0061489	0.00376037	0.00297245	0.00364011	0.00426665	0.00507816	0.00923061	0.0104828	0.0108378	0.0131383	0.0169105	0.0411611
main	0.0527865	0.0261078	0.014556	0.00917609	0.00766707	0.00305477	0.00284019	0.00247269	0.00236165	0.00286369	0.00267407	0.00362555	0.00431435	0.00428595	0.00616243	0.00725586	0.00848262	0.00930616	0.0197063	0.0184137	0.0312181	0.0512486	0.0239582	0.0318007	0.0412897	0.0193891	0.0105485	0.0292157	0.0284	0.0084802	0.00984002	0.00783635	0.0108474	0.00657762	0.0107383	0.00555863	0.0107663	0.00964959	0.00767252	0.00778488	0.0121516	0.0108003	0.0194749	0.0239354	0.0335915	0.0323932	0.0536944	0.0712213	0.171803
dans	0.049794	0.0286972	0.0163855	0.0142767	0.0166941	0.0214465	0.0189737	0.0236699	0.0169181	0.0131624	0.00958351	0.00766207	0.00534838	0.00467317	0.00505846	0.00545354	0.00496888	0.00667738	0.0101343	0.00881541	0.0254243	0.0529997	0.0254346	0.0388752	0.0416548	0.0250646	0.0123941	0.0371715	0.0269198	0.0101863	0.0163099	0.0139242	0.0151485	0.0118229	0.0171229	0.0127545	0.017113	0.0214149	0.0186593	0.014456	0.0199363	0.0213411	0.0193923	0.0287096	0.0189786	0.0235962	0.033021	0.0356792	0.0561017
le	0.0346106	0.0186908	0.0143988	0.0158265	0.0248028	0.0347187	0.0308922	0.0357836	0.0279039	0.0233875	0.0151216	0.0100115	0.00633351	0.00643996	0.00612747	0.00507019	0.00529104	0.00562955	0.00471609	0.00491848	0.0120478	0.0312176	0.0183123	0.02694	0.0256762	0.0268183	0.00836819	0.0311222	0.024429	0.0114372	0.0198272	0.0156819	0.0155287	0.0166381	0.0217957	0.0130738	0.0210415	0.0217379	0.0209962	0.0196614	0.0205853	0.0207197	0.022904	0.035873	0.0315278	0.0247008	0.0331433	0.0308655	0.0466546
sac	0.0380159	0.0208895	0.0130656	0.0102939	0.00822166	0.0052157	0.00534798	0.0047125	0.00495441	0.00538506	0.00598898	0.00733789	0.0095469	0.00793018	0.00997062	0.00997413	0.0105133	0.00979058	0.0113032	0.0104981	0.0102795	0.00903638	0.0105165	0.00874262	0.0122659	0.0126	0.00616006	0.0110473	0.0117471	0.0075943	0.00942384	0.00730655	0.00937978	0.00979917	0.010993	0.00632802	0.0108801	0.0112882	0.0113355	0.0142969	0.0190904	0.0170893	0.0270139	0.0349493	0.0507418	0.0416646	0.0774399	0.106647	0.215387
tu	0.0507575	0.0444643	0.0321038	0.0228702	0.0131105	0.0117811	0.00934623	0.00918074	0.00677533	0.00574541	0.00419303	0.00348384	0.00345915	0.00244289	0.00318766	0.00256564	0.00373574	0.00265697	0.006871	0.00420287	0.00888004	0.0388963	0.011343	0.0132742	0.0215382	0.011052	0.00727419	0.01146	0.0109837	0.0054322	0.00877021	0.0098987	0.0140505	0.00742274	0.0146409	0.0105207	0.0169126	0.0252484	0.0256902	0.0216659	0.0320497	0.035293	0.036126	0.024696	0.0218194	0.0378133	0.0419241	0.0975971	0.134793
n'	0.11972	0.0719372	0.0483776	0.0396254	0.030127	0.0325637	0.0302272	0.0266173	0.0190936	0.0148111	0.0102149	0.0068914	0.00695773	0.00616285	0.00460587	0.00416028	0.00503353	0.00342788	0.00505662	0.0042787	0.00885689	0.025984	0.0141331	0.0151221	0.0297497	0.0107527	0.00940642	0.00857136	0.0109764	0.00668702	0.00623167	0.00636193	0.0114206	0.00441063	0.0108611	0.00600767	0.012808	0.014291	0.0137614	0.0187854	0.0175989	0.0207285	0.024826	0.0163665	0.0120044	0.0229748	0.022889	0.0446038	0.082939
acceptes	0.122932	0.0722259	0.0498014	0.0473326	0.0331576	0.017767	0.0145528	0.0116671	0.00862614	0.00610279	0.00531045	0.00355526	0.00368922	0.00414168	0.00333973	0.0064352	0.00502739	0.00611986	0.010101	0.00599712	0.0100133	0.0153915	0.0122348	0.0132362	0.0209124	0.0148658	0.0154059	0.0144402	0.0150421	0.0147929	0.0124895	0.0144526	0.0174439	0.00942232	0.0152787	0.00863025	0.00995793	0.00907861	0.00816241	0.00781749	0.00861881	0.0130466	0.0171704	0.0133038	0.0085487	0.0206057	0.0153372	0.0407249	0.165693
pas	0.0850684	0.0632059	0.0413088	0.0353246	0.0273642	0.0151802	0.0149739	0.010787	0.00911649	0.00810424	0.00777922	0.00639428	0.00574281	0.00662767	0.00766031	0.0083206	0.00790122	0.0101001	0.00940805	0.00667554	0.0138036	0.0456985	0.0210804	0.017359	0.0254575	0.0132869	0.00488783	0.0180097	0.014471	0.00797411	0.00898086	0.00800021	0.0087977	0.009331	0.0146946	0.00679481	0.0143427	0.0145714	0.012621	0.0145038	0.0129413	0.012546	0.0212775	0.0200716	0.0145767	0.029437	0.0384743	0.0518185	0.117147
</S>	0.0557977	0.0412669	0.0295559	0.0255809	0.0236342	0.0167077	0.0175765	0.0164058	0.0148621	0.0141245	0.0122995	0.00901834	0.0063832	0.00654173	0.0079672	0.0066187	0.00764486	0.008102	0.00652864	0.00501859	0.00807675	0.0233054	0.00872262	0.0123133	0.0214798	0.0118363	0.00554472	0.00987396	0.0117877	0.0061932	0.0104482	0.00933409	0.0158025	0.010118	0.0173285	0.00861735	0.0186754	0.0189066	0.0176363	0.0222078	0.0234245	0.0197066	0.0306034	0.0304642	0.0317953	0.0366623	0.0471549	0.059716	0.12063
