 	p	o	o	á	b	h	i	i	k	á	m	b	í	l	á	n	y	a	s	ω	n	i	k	a	á	t	s	í	n	a	w	a	l	á	a	p	é	n	d	á	o	k	w	e	r	é	e	b	á	n	a	b	á	n	d	z	é	s	i	i	b	v	u	n	y	á	</S>
elle	0.0144239	0.00986182	0.0118129	0.0127131	0.0114019	0.0099262	0.00851114	0.00916485	0.00513284	0.004945	0.00400976	0.00329756	0.00249231	0.00258609	0.00148146	0.0020006	0.00278946	0.00505927	0.00956735	0.0274659	0.0217987	0.0312842	0.033207	0.0174001	0.0433928	0.03384	0.0187877	0.0451537	0.0249832	0.0192791	0.0270894	0.0300397	0.0376211	0.006149	0.00656901	0.0196801	0.0116004	0.0118283	0.0110438	0.00929223	0.0138464	0.0149983	0.0118764	0.0202447	0.0195276	0.0142537	0.0123874	0.0135387	0.0107942	0.0131298	0.0153134	0.0146725	0.0139305	0.0153514	0.0156245	0.0126497	0.0133259	0.0184174	0.0154893	0.010723	0.0139673	0.012407	0.0109643	0.008888	0.0109748	0.0127116	0.0213096
prononce	0.0436901	0.0289512	0.0225152	0.0200182	0.0168552	0.0147536	0.0106989	0.00790565	0.00712081	0.00709893	0.00639295	0.00964837	0.00910306	0.0128786	0.0109428	0.0117733	0.0139127	0.0247117	0.0365784	0.0448464	0.0442283	0.0339012	0.020826	0.023736	0.0377406	0.0418531	0.0156933	0.0358662	0.0177158	0.0200416	0.0410834	0.0308586	0.0122708	0.00768932	0.00986947	0.0135944	0.00743002	0.008994	0.00644312	0.00882164	0.00900799	0.00984314	0.01212	0.0114156	0.0110827	0.00593171	0.00488279	0.00588322	0.00658068	0.00749499	0.00738002	0.00528096	0.00587242	0.00684129	0.00581569	0.00551988	0.00466138	0.00527982	0.00381302	0.00510162	0.00496014	0.00517873	0.00590363	0.00494576	0.0103721	0.0117537	0.0180242
tout	0.0224907	0.0139655	0.00935795	0.00755503	0.00624418	0.00572711	0.00513431	0.00442732	0.00412887	0.0033593	0.00313409	0.00260619	0.00241625	0.00257576	0.00261792	0.00292769	0.00613082	0.0132407	0.0222874	0.0461639	0.0398091	0.0432235	0.0446213	0.022859	0.0498961	0.0375687	0.019106	0.044663	0.0220945	0.0236398	0.021505	0.0277512	0.012117	0.00700183	0.00932108	0.0185485	0.00787408	0.0144703	0.00952455	0.00705511	0.0121318	0.0110113	0.0147157	0.0174172	0.0132171	0.00919513	0.00832672	0.00955098	0.0103084	0.012779	0.0121666	0.0111649	0.0104749	0.0108172	0.0123626	0.00895051	0.00847583	0.00786008	0.0070272	0.0102042	0.00937785	0.0103981	0.0125938	0.0131207	0.0174129	0.0193714	0.0304272
temps	0.0160205	0.0105608	0.00849654	0.00778509	0.00676462	0.00583907	0.0042121	0.00310124	0.00323776	0.00292279	0.00284617	0.0027145	0.00267859	0.002738	0.00281584	0.00340852	0.00388591	0.0084793	0.012723	0.033162	0.026017	0.0237762	0.0176653	0.00915016	0.0278688	0.0181256	0.00810247	0.0297482	0.0125158	0.00913761	0.00626142	0.0100791	0.0046071	0.00329061	0.00599542	0.00743235	0.0121946	0.0132918	0.00902542	0.00689745	0.00870445	0.00810733	0.00739039	0.0072147	0.017577	0.0129593	0.0125045	0.0155014	0.0166081	0.0269578	0.0251291	0.0179523	0.0252228	0.0303174	0.0375965	0.0296361	0.0236892	0.021751	0.020623	0.0250604	0.0221308	0.0141975	0.0223081	0.0188827	0.0332882	0.0321988	0.0609164
des	0.0193001	0.0127217	0.0105288	0.010332	0.0107096	0.00678299	0.00639276	0.00633837	0.00943316	0.00841555	0.00855321	0.0070687	0.00678158	0.00704942	0.00602189	0.00640354	0.00511135	0.00754689	0.010403	0.0296015	0.0221171	0.0179864	0.00801273	0.0109565	0.0281704	0.0226429	0.00973487	0.0305655	0.0158006	0.0112317	0.00970214	0.0149161	0.0108099	0.00475593	0.0111107	0.00882779	0.0251825	0.0247658	0.0140956	0.0117584	0.0145815	0.014585	0.0152891	0.0116215	0.031139	0.0178346	0.0180214	0.0166659	0.0155453	0.0162875	0.0172668	0.0110997	0.0127364	0.0172027	0.024538	0.0224952	0.0185169	0.0183631	0.0185834	0.0158434	0.0154296	0.00904327	0.0113469	0.00994464	0.0167098	0.0189684	0.0617014
malédictions	0.0356038	0.0153877	0.0104681	0.0108262	0.00861209	0.00498985	0.00316075	0.00279637	0.00395975	0.00354897	0.00388779	0.00534078	0.00647976	0.00707917	0.00805052	0.00875267	0.00729125	0.0104443	0.0080849	0.0250519	0.0218263	0.0110537	0.00388978	0.00736862	0.0145816	0.0161646	0.00673129	0.0180555	0.0159271	0.0136041	0.00651978	0.0108905	0.00811091	0.0137953	0.0187501	0.0207141	0.0245266	0.0242102	0.0138241	0.0186188	0.0185571	0.0141622	0.0116559	0.010191	0.0297781	0.0104382	0.010489	0.0121823	0.0120606	0.0131389	0.0123607	0.00845776	0.0130784	0.0146446	0.0120483	0.0101899	0.0101968	0.0129338	0.0112638	0.0173359	0.0180855	0.0185212	0.0242248	0.0244271	0.0347159	0.0394395	0.096443
sur	0.033781	0.0136499	0.0123346	0.0165939	0.0137236	0.011406	0.0060203	0.0035426	0.00407551	0.00315206	0.00363647	0.00580769	0.00749986	0.00850656	0.0100319	0.00884795	0.00782982	0.00994969	0.00733089	0.0143695	0.0134429	0.00871198	0.00370543	0.00749544	0.0118957	0.0161557	0.00697422	0.0201784	0.0157629	0.0136199	0.00583591	0.0117518	0.00871118	0.0124031	0.0193268	0.0183542	0.023595	0.0249475	0.0123501	0.0168938	0.0184736	0.0149087	0.0146004	0.0122624	0.0336561	0.00977409	0.0104164	0.0117903	0.01128	0.0140085	0.0144017	0.00988629	0.0138756	0.0147786	0.0135392	0.0116993	0.0113404	0.0141655	0.0127666	0.0170099	0.0180245	0.0208714	0.0240767	0.0236951	0.0337632	0.0399743	0.0807595
les	0.0708927	0.0345149	0.0358174	0.0336458	0.0310442	0.0199688	0.0180443	0.0166339	0.0153915	0.0133781	0.015346	0.0157958	0.0130799	0.0144556	0.0118781	0.0100149	0.00630055	0.00799795	0.00548789	0.0138431	0.0119472	0.00744593	0.00445913	0.00584095	0.00915744	0.0141841	0.00516925	0.0130446	0.0132833	0.00889082	0.0129568	0.0132451	0.0120015	0.00863106	0.0110037	0.0103318	0.0143799	0.0150891	0.0113437	0.0114328	0.0101894	0.0100498	0.0112658	0.0122143	0.0245513	0.00848503	0.00883886	0.0108388	0.0107985	0.00854364	0.00976007	0.00639071	0.00836841	0.00924017	0.0133218	0.00793072	0.0101549	0.00801267	0.00819778	0.0096193	0.0107588	0.0125038	0.0192387	0.020927	0.0225894	0.0265018	0.0633389
enfants	0.0600437	0.0385269	0.0308465	0.0274873	0.0211339	0.0102763	0.00658405	0.00569495	0.0066619	0.00635108	0.00738359	0.00972316	0.00988689	0.0122677	0.0115637	0.0124054	0.0108997	0.0124453	0.00889445	0.0183423	0.0166581	0.00945746	0.00490115	0.00623091	0.00971983	0.0101615	0.00516546	0.0119495	0.00856204	0.00681477	0.00940504	0.00800837	0.00499141	0.00692092	0.00901048	0.0136358	0.0118104	0.0152016	0.00919315	0.012502	0.00943483	0.00605378	0.00704404	0.00568647	0.0118937	0.00537269	0.0053597	0.00721486	0.00636349	0.00776402	0.00718609	0.00361662	0.00769752	0.00954549	0.0109803	0.0059285	0.00754713	0.00793171	0.00630391	0.0113272	0.0121566	0.0128267	0.0256416	0.0273606	0.0373977	0.0539313	0.162715
</S>	0.0427005	0.0303433	0.0254216	0.0221572	0.0166898	0.00888518	0.00624429	0.00517862	0.00754965	0.0075199	0.00787504	0.00817252	0.00821488	0.0083099	0.00824985	0.00859071	0.00782737	0.00791786	0.00671281	0.00996762	0.0102568	0.0081734	0.00457479	0.00609979	0.00905513	0.00748267	0.00671214	0.00965302	0.0121731	0.00601041	0.00845051	0.00774333	0.00512413	0.00690662	0.00763938	0.0103051	0.0131034	0.014295	0.0082842	0.0121699	0.00950424	0.00887604	0.00718577	0.0064713	0.0138308	0.00717086	0.00677796	0.00993875	0.00983935	0.0128824	0.0122716	0.00607015	0.0109702	0.0146044	0.0191889	0.0121568	0.010307	0.00903262	0.0095571	0.0159323	0.0203952	0.0204273	0.0360287	0.0361119	0.0534186	0.0570211	0.135287
