 	a66	a87	a23	a99	a13	a57	a53	a70	a75	a79	a7	a26	a93	a90	a69	a20	a47	a15	a7	a75	a21	a47	a62	a70	a75	a21	a56	a98	a85	a5	a18	a25	a3	a87	a23	a97	a87	a23	a99	a54	a92	a37	a98	a47	a85	a37	a75	a61	a43	a75	a92	a37	a56	a44	a11	a90	a92	a56	a11	a75	a92	a85	a0	a75	a21	a12	a18	a27	a90	a56	a96	a18	a38	a36	a2	a57	a87	a97	a99	a97	</S>
les	0.0105256	0.00763105	0.00870443	0.0138868	0.017639	0.0132737	0.0114374	0.00744468	0.0110136	0.00925442	0.0106688	0.0047088	0.0104596	0.00804181	0.0121613	0.0132322	0.00872357	0.0120956	0.0149591	0.0126764	0.0139835	0.00997897	0.0074437	0.00843338	0.0188283	0.0103977	0.0173021	0.0147739	0.0137596	0.0182906	0.0188337	0.0209302	0.0139444	0.0216104	0.0220825	0.020804	0.0147272	0.0166324	0.0120147	0.0119503	0.0145903	0.0189822	0.0211733	0.0225104	0.0127348	0.0131862	0.0224714	0.0176336	0.0150912	0.0191765	0.0241777	0.0199773	0.0133392	0.016625	0.0182638	0.0113983	0.008698	0.00667625	0.0109197	0.00647897	0.00613408	0.00361595	0.00441979	0.00521008	0.00362375	0.00281216	0.00190564	0.00292934	0.00217661	0.00358319	0.00236494	0.00345361	0.00671683	0.00328393	0.00507495	0.00866432	0.0121929	0.0173182	0.0156155	0.0231313	0.0264096
petits	0.0165174	0.0108488	0.013487	0.0171862	0.0155662	0.0195853	0.0196971	0.0175539	0.0223675	0.0171387	0.014135	0.0114314	0.0127272	0.00990278	0.0138751	0.0142971	0.0156988	0.0241402	0.020817	0.0189018	0.0152359	0.0156949	0.00947023	0.0107023	0.0138516	0.0137364	0.0220362	0.0190404	0.0206161	0.0159344	0.0194915	0.00949512	0.01899	0.0138946	0.0162656	0.016824	0.0166243	0.0144191	0.00802807	0.00538474	0.00760633	0.00753615	0.00666599	0.0126101	0.0051095	0.00400656	0.00629472	0.00621937	0.00646395	0.0119671	0.0088222	0.0109507	0.0115329	0.0125159	0.00780307	0.00937126	0.00735545	0.00751991	0.0095731	0.00654353	0.00638731	0.00587469	0.00495373	0.00562518	0.00409167	0.00480246	0.00407138	0.00601583	0.00576847	0.00620269	0.00477018	0.00487901	0.0108858	0.00421475	0.00611854	0.012757	0.014727	0.0197732	0.0166017	0.0222249	0.041177
enfants	0.0165839	0.0132206	0.0145828	0.0185496	0.0222453	0.0188951	0.0141662	0.0102918	0.0113765	0.0132868	0.0189107	0.0174272	0.0147553	0.0176327	0.0240916	0.0168037	0.0191746	0.0224547	0.0181938	0.0211575	0.0190248	0.0145656	0.0141401	0.0115816	0.0187627	0.0182894	0.0215242	0.0229557	0.0203134	0.0100812	0.0136384	0.00628046	0.0160741	0.00877861	0.0123945	0.0140992	0.0141089	0.0128662	0.00647534	0.00539207	0.00570901	0.00681677	0.0071364	0.0109624	0.00662085	0.00499894	0.00454317	0.0050256	0.00429492	0.00717404	0.00460555	0.00638938	0.0100078	0.0106399	0.0041505	0.00765232	0.00638567	0.00623382	0.0108431	0.00617216	0.00635213	0.00816253	0.00760515	0.0110473	0.00986965	0.010894	0.00735573	0.0140001	0.0113605	0.0151557	0.0129892	0.00804517	0.0165097	0.00618561	0.00709102	0.0160963	0.014138	0.0183362	0.0105586	0.0173749	0.00936353
ne	0.010929	0.00808269	0.00766046	0.0115736	0.0149057	0.0129748	0.00680903	0.00538544	0.00984982	0.0129336	0.0167114	0.0138226	0.0147728	0.0144579	0.0200216	0.0111349	0.00572383	0.0072481	0.00875005	0.00804275	0.0116735	0.0117216	0.0100157	0.0102739	0.0113209	0.0127927	0.0162179	0.0141585	0.020561	0.0190944	0.021518	0.0142413	0.0217034	0.0181873	0.0199199	0.0222873	0.0162952	0.01241	0.0104329	0.0067324	0.0117706	0.0134023	0.0121289	0.0173742	0.00859531	0.00527689	0.0111689	0.0092187	0.00892705	0.0119653	0.00918941	0.0098481	0.0084308	0.00969674	0.0101856	0.00893993	0.00926134	0.0054599	0.00790205	0.00696047	0.00846674	0.00828423	0.00698282	0.0104383	0.0102809	0.00944523	0.00764162	0.0103017	0.00931015	0.0127568	0.0162571	0.0147654	0.021086	0.014704	0.016579	0.0179791	0.0160462	0.0186324	0.0151432	0.0190295	0.0168193
doivent	0.0228228	0.0112791	0.0105429	0.0142107	0.0163099	0.0195571	0.0151479	0.0148195	0.0155743	0.0188034	0.017749	0.0134496	0.0163905	0.0137123	0.0127793	0.00989758	0.00859679	0.00915224	0.0125193	0.0101843	0.00826137	0.00885664	0.00590701	0.00682643	0.0118916	0.00882401	0.0113249	0.0151355	0.0170084	0.0109092	0.0223346	0.0117863	0.0126577	0.0119425	0.0137102	0.0138078	0.0120696	0.0100652	0.0105014	0.0101256	0.0102506	0.0125114	0.011081	0.0143995	0.0097248	0.00741202	0.0112447	0.0109936	0.00844217	0.0127372	0.0110544	0.012508	0.00779784	0.0116501	0.0143664	0.0106234	0.0134114	0.0115478	0.00962204	0.0105589	0.0121535	0.00900423	0.00700485	0.0119465	0.00862571	0.00849374	0.00660616	0.00908185	0.00756037	0.00959452	0.0102812	0.00908307	0.0195842	0.0099711	0.0115219	0.013786	0.0171677	0.0174074	0.0196763	0.019115	0.0229529
plus	0.0253514	0.0203353	0.0208933	0.0205922	0.0314968	0.0260496	0.0114321	0.00957522	0.0127783	0.0150622	0.0200665	0.0175269	0.0163549	0.0155462	0.017963	0.01238	0.0078106	0.00818078	0.00780513	0.00575376	0.00731898	0.00836505	0.0058288	0.00626715	0.00726463	0.00749003	0.0104139	0.00996865	0.0158096	0.0130581	0.0180634	0.0119271	0.012935	0.0140388	0.0104167	0.0119122	0.012608	0.00954889	0.0116465	0.00968053	0.0109522	0.0108095	0.011085	0.0113417	0.0100112	0.00706699	0.0122228	0.00794775	0.0076054	0.0095972	0.00916224	0.00938852	0.0065934	0.0108983	0.0147385	0.00885164	0.0107246	0.00989344	0.010519	0.0100906	0.0119007	0.00958171	0.00945227	0.0152209	0.0142575	0.0126064	0.0111486	0.00984775	0.0123572	0.00962857	0.0127462	0.0130034	0.0160404	0.00932866	0.00871372	0.00863891	0.0104323	0.0109288	0.0164496	0.0132932	0.0274074
aller	0.0144301	0.00740571	0.00520545	0.00693502	0.0100689	0.00766633	0.0073993	0.00808038	0.00830691	0.00942344	0.0115078	0.0126597	0.0114097	0.0131736	0.0140941	0.0129666	0.00848335	0.0108592	0.0142662	0.0105468	0.00858805	0.00971944	0.00590824	0.00731128	0.00908788	0.00846171	0.0105291	0.0113168	0.0129053	0.0171549	0.017469	0.0173676	0.0140939	0.015517	0.0175056	0.0160746	0.00992137	0.00788471	0.00782852	0.00717735	0.0110394	0.0143302	0.0120711	0.0157919	0.010541	0.00780879	0.0140865	0.0134322	0.0134749	0.0176267	0.0151007	0.0143817	0.0123728	0.0126089	0.0159889	0.0121133	0.0121402	0.0130752	0.0106764	0.0104946	0.0131168	0.00921758	0.00769784	0.0100339	0.00865334	0.00685721	0.00639505	0.0059614	0.00580409	0.00803196	0.00802863	0.00727146	0.013676	0.00811267	0.0162796	0.017576	0.0188341	0.0253279	0.0309153	0.0345334	0.0418095
s'	0.0311342	0.024895	0.0147406	0.0114324	0.00915803	0.00714279	0.00434596	0.00542034	0.00422155	0.00362836	0.00648702	0.00464362	0.00365762	0.0038921	0.00514927	0.00488106	0.00405245	0.00544395	0.00429817	0.00320918	0.00577742	0.0050147	0.0033964	0.00379437	0.00397836	0.00552921	0.00746373	0.00692653	0.00942976	0.0127687	0.0119275	0.0113544	0.0145298	0.0159343	0.0124316	0.0123217	0.0132776	0.00992722	0.0100614	0.00767251	0.0103044	0.0078882	0.00665195	0.00893587	0.00782114	0.00796961	0.010843	0.0102292	0.00959377	0.0108609	0.00927476	0.0106686	0.00636031	0.0113681	0.0118444	0.00683926	0.0121536	0.0123084	0.0159133	0.0135048	0.0153156	0.00700964	0.00960454	0.0133303	0.0106499	0.00892193	0.00885716	0.0142948	0.023736	0.0258755	0.0208947	0.0224925	0.0265848	0.0261532	0.0262497	0.030399	0.0291627	0.0301321	0.0383832	0.0298512	0.0354173
amuser	0.020436	0.0139564	0.0106343	0.0103503	0.0095062	0.00808115	0.00853135	0.0110668	0.0117239	0.010057	0.0136339	0.0107665	0.00857816	0.00822601	0.00712852	0.00631897	0.0039571	0.00638098	0.00734582	0.00611157	0.00669835	0.00647798	0.00479799	0.00557657	0.00494786	0.00692778	0.00609204	0.00860813	0.00895332	0.0099281	0.0112451	0.00698404	0.0101549	0.00791302	0.0088682	0.00769724	0.00757678	0.00511804	0.00422509	0.002754	0.00496792	0.00551743	0.0034749	0.00573868	0.00252003	0.00225867	0.00421463	0.00372539	0.00536915	0.00854761	0.00667524	0.0085396	0.00959055	0.012826	0.0123216	0.0113056	0.0131538	0.0140752	0.0143753	0.0138974	0.0150838	0.0161808	0.0131555	0.0141702	0.0116961	0.0101452	0.0125158	0.0113318	0.0180075	0.0186286	0.0225684	0.0210511	0.0342905	0.0268738	0.0305894	0.038155	0.0398939	0.038958	0.0411945	0.035472	0.0326079
dans	0.0322265	0.0209664	0.0204114	0.0174087	0.014475	0.0104329	0.00688831	0.00873036	0.00716649	0.00610687	0.0109992	0.00853678	0.00576885	0.00654713	0.00782225	0.00810575	0.00540813	0.00812326	0.00836887	0.00646191	0.00710884	0.00707346	0.00465545	0.00546946	0.00639437	0.00718434	0.0082143	0.0100597	0.0126088	0.0115538	0.0161904	0.0104757	0.0116068	0.0122552	0.00980696	0.00957813	0.0106441	0.00773865	0.00818157	0.00756678	0.00804331	0.00800393	0.0064952	0.00862954	0.00663674	0.00597285	0.008472	0.00758424	0.00767367	0.0104171	0.00946799	0.0111461	0.00825444	0.0124544	0.0123052	0.00920409	0.0127141	0.0144119	0.0156428	0.0131546	0.0139348	0.008503	0.0101211	0.0135053	0.0101797	0.00837738	0.00763454	0.0119926	0.0170402	0.0153208	0.0182042	0.0167268	0.0247362	0.0200127	0.0197273	0.0245198	0.0287936	0.0269258	0.0329494	0.0247291	0.0440597
la	0.0258151	0.0177434	0.0139256	0.0109489	0.0104628	0.0105286	0.00585211	0.00589759	0.00592037	0.00536499	0.00703743	0.00648588	0.00474025	0.00511215	0.0047903	0.00328477	0.00271335	0.00336714	0.00360976	0.00331472	0.00435886	0.0037476	0.00334898	0.00362181	0.00400413	0.00517296	0.00547076	0.00546528	0.0089534	0.0087568	0.0124722	0.00922485	0.00974726	0.0122541	0.00811802	0.00928503	0.0100794	0.00660595	0.00761547	0.00732085	0.00808183	0.00629897	0.00666399	0.00730514	0.00796393	0.00765068	0.0108212	0.00870987	0.00794838	0.00964027	0.00988678	0.0106624	0.00829617	0.013776	0.0157282	0.0106943	0.0152214	0.0156956	0.0166908	0.0169594	0.0181212	0.0156182	0.0196885	0.0229819	0.0171546	0.0162785	0.0171635	0.0191024	0.0227952	0.0251955	0.0245493	0.0263045	0.0307211	0.0294234	0.0253422	0.0265651	0.0240638	0.0240347	0.028708	0.0238897	0.0250645
cour	0.0217383	0.0160333	0.0112315	0.0109165	0.0093587	0.00742258	0.00869665	0.010364	0.0089892	0.009149	0.0129908	0.0144077	0.00898457	0.0109183	0.00973118	0.00699061	0.00465661	0.00700273	0.00930088	0.00885168	0.0070864	0.00717946	0.00660213	0.00686674	0.00721604	0.0122032	0.00750811	0.0102029	0.00857994	0.00790544	0.00793615	0.00433108	0.0103007	0.00450135	0.0080183	0.00784297	0.00540019	0.00418832	0.00207445	0.00130341	0.00235459	0.00303131	0.00173989	0.0046277	0.00142236	0.00129145	0.00200911	0.00263051	0.00377371	0.00854271	0.0046823	0.00755685	0.01254	0.0141154	0.00548949	0.0102122	0.0110847	0.0118998	0.0197837	0.013921	0.0150208	0.0147978	0.0160675	0.0179997	0.0166349	0.0128956	0.0112652	0.0147306	0.0190195	0.021861	0.0251609	0.0243627	0.0316174	0.0311501	0.0334642	0.0467846	0.035268	0.0370468	0.0286846	0.036339	0.0221382
de	0.0287365	0.0256911	0.022378	0.0305412	0.0226264	0.0117535	0.0121999	0.00903836	0.00581936	0.0047121	0.0118961	0.00587446	0.0058191	0.00528925	0.0129681	0.0165915	0.0110374	0.0119611	0.0123595	0.00893424	0.00794365	0.0111597	0.0117565	0.0129404	0.012576	0.0171728	0.0124111	0.0183712	0.0155338	0.0165915	0.00946259	0.00887392	0.0157951	0.00720452	0.015565	0.013661	0.00764171	0.00962519	0.00593701	0.00284053	0.00391782	0.00717841	0.00302676	0.013239	0.00231825	0.00186033	0.00349616	0.00457399	0.00531006	0.0121595	0.00597173	0.0110595	0.00921873	0.0131008	0.00489701	0.00744784	0.00945436	0.008725	0.0134795	0.0108317	0.0122122	0.00580028	0.00602661	0.0104477	0.0118583	0.00943566	0.00932127	0.0144644	0.0143906	0.0158021	0.0188403	0.0172375	0.0163958	0.0185744	0.0190251	0.0248855	0.0257764	0.0234318	0.0203601	0.023333	0.0218241
l'	0.0209206	0.0177216	0.0171808	0.0149378	0.0128393	0.00837439	0.00715459	0.00703914	0.00394531	0.0044097	0.00872962	0.00676676	0.00551458	0.00532691	0.00806308	0.00497478	0.00396309	0.00352437	0.00354299	0.00279208	0.00295182	0.0038618	0.00444314	0.00486392	0.00635579	0.00696882	0.00442864	0.00721007	0.00708354	0.00895163	0.00727043	0.0100777	0.00695683	0.00712627	0.00889524	0.00819025	0.00528606	0.00562071	0.0062893	0.0047755	0.00498489	0.00737511	0.00482188	0.0102412	0.00508227	0.00407811	0.00747718	0.00744306	0.0063854	0.0116796	0.00893958	0.0132972	0.00768252	0.0134424	0.00942545	0.0088393	0.011913	0.0120907	0.0134347	0.0126924	0.0140083	0.00560188	0.00616779	0.0110532	0.0124968	0.00918086	0.00829412	0.0134919	0.0147264	0.0226521	0.0296627	0.0254748	0.0326745	0.0389165	0.0416945	0.042743	0.0405572	0.0403263	0.0408055	0.0404781	0.0323386
école	0.0170661	0.0129943	0.0123367	0.0141859	0.013534	0.00777767	0.00904705	0.0107584	0.00907424	0.0103237	0.0167454	0.0137935	0.011777	0.0138174	0.0209008	0.014793	0.00981703	0.0104639	0.0103968	0.00739325	0.00882836	0.0103972	0.00919746	0.00999256	0.00686349	0.00973382	0.0110426	0.0103887	0.0123689	0.0149987	0.0133827	0.010107	0.0177716	0.0124737	0.018217	0.0180021	0.0123974	0.00984073	0.00825384	0.00467341	0.0095468	0.011437	0.00740748	0.0143236	0.00562066	0.00467065	0.0101647	0.00833367	0.0111658	0.0159255	0.00945572	0.0117418	0.0104284	0.0107916	0.00801934	0.00857839	0.0109108	0.0112593	0.0124333	0.00902111	0.0106125	0.00684932	0.00575599	0.0107943	0.0109713	0.00751466	0.00788695	0.0101218	0.0124092	0.0155629	0.0234497	0.0235886	0.0262408	0.0198219	0.0193316	0.0197695	0.0149788	0.018119	0.017184	0.020956	0.0209177
</S>	0.0397871	0.0233751	0.0244067	0.0240918	0.0229832	0.0174309	0.014495	0.00960315	0.0073708	0.00724159	0.0105614	0.00668636	0.0085574	0.0068646	0.0101472	0.0121983	0.0110466	0.00941808	0.00854795	0.00571427	0.00632474	0.00598466	0.00552313	0.00565766	0.0091491	0.00907323	0.00754435	0.0102725	0.00925167	0.00879657	0.0102902	0.00633031	0.00906469	0.00645134	0.0102158	0.0109418	0.00833078	0.00835398	0.00598793	0.0039817	0.00454127	0.00599396	0.00423535	0.0101389	0.00390226	0.00274364	0.00452408	0.00472294	0.00553601	0.0130019	0.00735516	0.0126095	0.0111715	0.0190641	0.00969524	0.0124185	0.0172192	0.0209367	0.0278472	0.0221399	0.0232556	0.0129509	0.0156389	0.0220786	0.022451	0.0172134	0.0120289	0.0210304	0.0115752	0.0139044	0.0167455	0.0119438	0.0203865	0.0110268	0.0107441	0.0153465	0.0178523	0.0180785	0.0168073	0.0171778	0.0139126
