 	a66	a87	a23	a50	a83	a71	a34	a93	a94	a90	a56	a75	a56	a12	a96	a18	a38	a56	a93	a70	a94	a0	a24	a88	a71	a9	a62	a12	a96	a62	a21	a85	a6	a36	a6	a36	a2	a57	a87	a23	a83	a62	a75	a85	a79	a56	a70	a13	a11	a0	a11	a75	a21	a12	a34	a21	a5	a43	a11	a93	a44	a57	a3	a87	a23	a99	a87	</S>
une	0.0197358	0.0160269	0.0136051	0.00599	0.00555852	0.00617635	0.00570438	0.00461898	0.00609378	0.0117482	0.0109326	0.0132527	0.0156319	0.0186367	0.0149072	0.0159886	0.0152575	0.0177796	0.0123925	0.0120468	0.011568	0.0183772	0.0148395	0.016495	0.0167348	0.0139507	0.0159789	0.0167268	0.00923606	0.010024	0.0146282	0.011975	0.0149876	0.0128324	0.0198399	0.0179527	0.0150064	0.02152	0.0228682	0.0214761	0.0244467	0.0190831	0.018466	0.018967	0.0171053	0.0135993	0.0149083	0.0101747	0.0115045	0.00864033	0.0100831	0.00899054	0.0135662	0.0120835	0.0121474	0.00823061	0.0118901	0.00898992	0.0111756	0.00634034	0.00878539	0.0150423	0.0207467	0.0231292	0.0220603	0.0271636	0.026363	0.0372155
substance	0.0203965	0.0137649	0.00772324	0.00562804	0.00469763	0.00549376	0.00446749	0.00363896	0.00417126	0.00899247	0.00731455	0.00924943	0.0131866	0.0185822	0.0177555	0.0167429	0.0175016	0.0205532	0.0181283	0.0178859	0.0183214	0.021583	0.0169637	0.0180949	0.0211218	0.020376	0.0232952	0.0244616	0.0166369	0.0145539	0.0173272	0.0123759	0.0202245	0.0168316	0.0240193	0.0245865	0.0187141	0.0203761	0.0242176	0.0228377	0.0209468	0.0148653	0.0135653	0.013685	0.0140113	0.010927	0.0154966	0.00937414	0.0118227	0.00924654	0.011342	0.0111135	0.0148765	0.0129898	0.0097277	0.00586823	0.00697093	0.00708068	0.00832669	0.00506906	0.00628081	0.00951121	0.0128652	0.0162467	0.0157851	0.0198606	0.029296	0.0300557
qui	0.0258446	0.0139081	0.01072	0.00877507	0.00661019	0.00629422	0.00478576	0.00365626	0.00424105	0.00515646	0.00791905	0.00492947	0.00556275	0.00844917	0.00808713	0.00887781	0.013841	0.0151437	0.0136343	0.0138668	0.0107797	0.0106099	0.016519	0.014299	0.0180437	0.0228361	0.0257483	0.0216046	0.0151138	0.0151242	0.0201233	0.0130228	0.0274491	0.0179897	0.0194094	0.0250837	0.0210744	0.0133621	0.0201427	0.0214116	0.0178774	0.0105521	0.0067476	0.00931856	0.0108758	0.00804538	0.0096761	0.00947583	0.00864088	0.00810303	0.00860917	0.0140808	0.0139206	0.0135529	0.010762	0.0107947	0.010886	0.0131136	0.0149207	0.0108311	0.00739306	0.0232364	0.0268984	0.0292015	0.0297786	0.0286533	0.0343782	0.0396262
donne	0.0337357	0.0156254	0.0107844	0.0102626	0.0076838	0.00540315	0.00317979	0.00245867	0.00272854	0.00360729	0.00422186	0.00268289	0.0035043	0.00682303	0.00481381	0.00750287	0.012284	0.0137382	0.00910979	0.0105147	0.00699012	0.00729567	0.0143981	0.0123118	0.0147295	0.0150536	0.0186804	0.0135865	0.013035	0.00608091	0.0120397	0.00951616	0.020607	0.0129153	0.0198311	0.0231286	0.015788	0.0140493	0.0194771	0.0168997	0.013097	0.00693546	0.00374151	0.00584441	0.00780073	0.00605527	0.00685904	0.00730778	0.00804993	0.00823716	0.0083855	0.0145392	0.0207502	0.018262	0.0186456	0.0118435	0.0153429	0.016928	0.0231395	0.0121231	0.0249377	0.0375601	0.0509984	0.0363973	0.0382717	0.0499952	0.0380228	0.0328508
de	0.0444595	0.0183017	0.00940249	0.00846114	0.00608653	0.00542643	0.00320974	0.00265021	0.00330201	0.00468253	0.00432567	0.00376083	0.00524138	0.00735666	0.00511378	0.00753623	0.00953126	0.0110591	0.00791428	0.00969071	0.0071987	0.00656345	0.00771913	0.00794165	0.0103461	0.0141884	0.0125541	0.0131446	0.0174146	0.00689558	0.0121335	0.0085696	0.01647	0.0192792	0.0193846	0.0221589	0.0170715	0.00849919	0.0174664	0.0148954	0.0141821	0.00832066	0.00358318	0.00677368	0.00954084	0.00649507	0.00788233	0.0114363	0.0149241	0.0138732	0.0136761	0.019499	0.0237241	0.0241478	0.0244183	0.0220811	0.0253887	0.0164839	0.0198589	0.0281292	0.0328384	0.0364385	0.0383723	0.0288562	0.032296	0.028841	0.0302672	0.0202649
démangeaisons	0.0326207	0.0224417	0.0147965	0.0131977	0.00916673	0.0110717	0.00437572	0.00349112	0.00491121	0.00738454	0.0074209	0.00516622	0.00612041	0.00992177	0.00614154	0.00673489	0.00770151	0.00939998	0.00725378	0.00892408	0.00720516	0.00750268	0.0107118	0.00797467	0.0135721	0.0134426	0.0160834	0.0160485	0.0140345	0.00745159	0.0105348	0.00785248	0.0173363	0.0133239	0.0152214	0.0175522	0.0152635	0.00930603	0.0184648	0.0180398	0.017497	0.01022	0.0051949	0.0113431	0.011354	0.0086241	0.0107361	0.0110483	0.018345	0.0164026	0.0216294	0.0303808	0.0380044	0.0368249	0.0324147	0.0336178	0.0289949	0.0156599	0.0161923	0.0126008	0.0165804	0.0193296	0.0237154	0.0182532	0.0193916	0.0203758	0.0189843	0.0211199
c'	0.0277518	0.0161931	0.00955217	0.00957778	0.00625103	0.00721632	0.0033676	0.00253724	0.00291367	0.00392418	0.00547858	0.00363938	0.00482888	0.00948479	0.0057298	0.00714468	0.00976804	0.0126315	0.00859796	0.0107788	0.00785341	0.00777269	0.0137216	0.0103549	0.0173525	0.0164158	0.0244241	0.0190742	0.0144161	0.00687739	0.014266	0.0101945	0.0257092	0.015103	0.0198013	0.0261988	0.0180407	0.0186617	0.0247458	0.0212015	0.0174464	0.00856235	0.00498721	0.00852206	0.0104135	0.0080695	0.0104293	0.0118778	0.016726	0.0159699	0.0155524	0.0223592	0.0246944	0.0263935	0.0195964	0.0156142	0.0171648	0.0138445	0.0195045	0.00889905	0.0143243	0.0224544	0.0317325	0.0247395	0.0257362	0.0306263	0.0291332	0.0250743
est	0.0380396	0.0216474	0.0148736	0.0194288	0.0146195	0.0105918	0.0050306	0.00466408	0.00488717	0.00682048	0.00928659	0.00710966	0.00738047	0.0103814	0.0142392	0.0139071	0.0158731	0.0172097	0.0200299	0.0221145	0.0145012	0.0123087	0.0148072	0.0145368	0.0205371	0.022454	0.0243187	0.0174013	0.0295514	0.0177584	0.0229525	0.0248363	0.0292565	0.0163676	0.0180838	0.0294128	0.0317169	0.0202368	0.0244679	0.0251829	0.013962	0.0107856	0.00629724	0.00621893	0.00773073	0.0127711	0.00714799	0.0080849	0.015609	0.0164184	0.0138857	0.00949113	0.0139177	0.00963535	0.00901897	0.00652128	0.00664466	0.00494504	0.00544212	0.00550214	0.00973626	0.0098672	0.011673	0.0123114	0.0119082	0.0138809	0.0149755	0.0167945
pourquoi	0.0312302	0.0258351	0.0299197	0.0230183	0.0316769	0.0155723	0.0122568	0.0161853	0.0119341	0.0104719	0.014294	0.00988673	0.0111993	0.00968947	0.0114016	0.0137972	0.0145841	0.0119587	0.0141708	0.0137795	0.0118708	0.0104192	0.0122489	0.0148827	0.0114141	0.0131905	0.0128164	0.0107715	0.0140136	0.0114135	0.0112842	0.0180713	0.0160744	0.0145319	0.0157626	0.0193747	0.0185756	0.0174098	0.0191825	0.0208284	0.0171411	0.0100734	0.00955262	0.00740819	0.00768833	0.0134183	0.0089633	0.00865185	0.0108415	0.0191086	0.0219942	0.0240689	0.0206296	0.0142439	0.012205	0.0047477	0.00773999	0.00671743	0.00830131	0.00549396	0.00712668	0.0117989	0.0121289	0.0133551	0.0118562	0.018636	0.0184278	0.0406828
nos	0.0397449	0.0216942	0.0141288	0.0129403	0.011167	0.00783413	0.00620952	0.00499204	0.00547818	0.0102479	0.00521469	0.00818664	0.00718811	0.0155678	0.0156262	0.0183101	0.0260486	0.0288773	0.0204334	0.0223393	0.017493	0.0198466	0.02643	0.0182237	0.0204156	0.0169914	0.0164813	0.0112597	0.0165183	0.00975224	0.0125987	0.0102053	0.0147956	0.0100126	0.0139458	0.0158359	0.0152155	0.01107	0.0137532	0.0130847	0.00781909	0.00907534	0.00496986	0.00682369	0.00840327	0.0105141	0.00761227	0.00878037	0.0146748	0.0143252	0.0156478	0.0157677	0.0219308	0.0209101	0.0203697	0.00919474	0.0146289	0.00899362	0.011445	0.00535414	0.0134114	0.0147872	0.0199708	0.0191181	0.0176097	0.0248615	0.0164393	0.0304033
corps	0.0295918	0.0120568	0.0086154	0.00691825	0.00742269	0.00704698	0.00707397	0.00474522	0.00565468	0.0119695	0.00668637	0.0103917	0.00832391	0.017604	0.010535	0.0110963	0.0144275	0.0177741	0.00992507	0.0111576	0.0101989	0.0147256	0.0174798	0.0105166	0.0161816	0.00879321	0.0130201	0.00946217	0.00943793	0.00474573	0.00878956	0.00541407	0.00836208	0.00495185	0.00827383	0.00811616	0.00840831	0.00738225	0.00930003	0.00832786	0.00757544	0.0115124	0.0058889	0.0104855	0.0106688	0.0120036	0.0143567	0.0125515	0.0167858	0.0171253	0.017608	0.0220847	0.0233647	0.0272676	0.0285564	0.018043	0.0256292	0.0158085	0.0176495	0.00936187	0.0273387	0.0270808	0.0420971	0.0357284	0.0347541	0.0428774	0.0266834	0.0282087
démangent	0.0178969	0.00652918	0.00307303	0.00407252	0.00352649	0.00418616	0.00445492	0.00276012	0.00312594	0.00591187	0.00478564	0.00636446	0.00705525	0.0137449	0.012586	0.0124001	0.0179772	0.0270537	0.0177199	0.020614	0.0161099	0.0179064	0.0156528	0.0119358	0.0215062	0.0165601	0.0204255	0.0151565	0.0135029	0.00799401	0.0157218	0.00703958	0.0157231	0.00825374	0.0104549	0.0142201	0.0129358	0.00798137	0.00990127	0.00912634	0.00551305	0.00695165	0.00377667	0.00534254	0.00520491	0.00556563	0.00638475	0.00589738	0.00678058	0.00655975	0.00647992	0.0069499	0.00977219	0.0117048	0.0136838	0.0173989	0.0167658	0.0166541	0.0191006	0.0167285	0.0440067	0.0434242	0.0526841	0.050922	0.0504543	0.0423505	0.0313091	0.0276875
</S>	0.0335728	0.0163488	0.0140862	0.0110983	0.00798911	0.00595483	0.00556547	0.00477306	0.00570173	0.00737366	0.00618684	0.00898007	0.00746118	0.010914	0.0164412	0.0157823	0.0249158	0.0295163	0.0221181	0.0202308	0.0175113	0.0181135	0.0183908	0.0166725	0.0169873	0.0131982	0.0154044	0.010706	0.00797404	0.00955367	0.0137729	0.00762753	0.0113669	0.0070691	0.0101433	0.0101483	0.0111274	0.0086306	0.00917191	0.00899315	0.00719366	0.00892359	0.00548207	0.00695466	0.00691827	0.00660051	0.00695999	0.00701279	0.00747542	0.00724258	0.00782103	0.011616	0.0135046	0.0173969	0.0182272	0.0324575	0.0303812	0.0195404	0.0227319	0.0108004	0.0369343	0.0211979	0.0334406	0.0307942	0.0282354	0.0304151	0.0151887	0.0309799
