 	a66	a87	a23	a87	a40	a7	a37	a83	a12	a62	a93	a54	a92	a37	a44	a70	a54	a36	a0	a11	a93	a13	a38	a83	a9	a38	a75	a6	a37	a61	a88	a71	a9	a99	a87	a23	a99	a18	a83	a36	a26	a82	a87	a23	a40	a37	a26	a37	a70	a13	a83	a34	a12	a75	a85	a6	a47	a7	a69	a44	a54	a47	a79	a69	a4	a13	a62	a88	a71	a26	a57	a87	a10	a87	</S>
fait	0.0232435	0.00816112	0.00598982	0.00569343	0.00374788	0.00365465	0.00334453	0.00379038	0.00728176	0.0068995	0.0153339	0.0133788	0.00817989	0.015162	0.0155143	0.0161228	0.01905	0.0167262	0.0175584	0.0201938	0.0194251	0.0190155	0.0198493	0.0208483	0.017775	0.0195166	0.0194309	0.0208079	0.0185532	0.020434	0.0165023	0.01856	0.014368	0.013079	0.0104129	0.0207022	0.0136645	0.0103143	0.0159556	0.0189327	0.0156031	0.00919962	0.011674	0.0143212	0.0145945	0.0213973	0.0232293	0.0117712	0.00956281	0.0125758	0.018527	0.013366	0.0169215	0.0203009	0.0230637	0.0196161	0.0212706	0.018429	0.0132682	0.0094785	0.00879966	0.00408756	0.00309878	0.00446827	0.00248383	0.00516459	0.00635401	0.00761761	0.00624484	0.00834781	0.00697177	0.0119941	0.00935568	0.013393	0.00627437
qu'	0.0242358	0.0170091	0.0163989	0.0107719	0.00603692	0.00297316	0.00220011	0.00192248	0.00393193	0.00304473	0.00484868	0.00791118	0.00386558	0.00892722	0.0117359	0.0118666	0.0145968	0.0125977	0.0123562	0.0119825	0.0112388	0.0105307	0.0111139	0.011886	0.013198	0.0153368	0.0175291	0.0214249	0.0229394	0.0211056	0.0232292	0.0252281	0.0240148	0.024294	0.0252211	0.0253249	0.019968	0.0147406	0.0193206	0.0154666	0.0187033	0.0143506	0.0234748	0.0306976	0.0268337	0.0243319	0.0176865	0.00709549	0.00605079	0.00752099	0.0138111	0.0114345	0.013649	0.0134554	0.0162815	0.0111212	0.0111592	0.00691003	0.0076629	0.00736624	0.00898507	0.00656432	0.00479998	0.00515937	0.00309237	0.00429488	0.00367773	0.00496896	0.00773377	0.0126844	0.00948861	0.0193817	0.0122856	0.022227	0.0227353
on	0.0138619	0.00925525	0.00265447	0.00233262	0.0015649	0.001102	0.00124434	0.00106362	0.00151216	0.00184195	0.00178241	0.00341685	0.00204487	0.00209175	0.00232994	0.003543	0.00921842	0.0138615	0.0176043	0.01652	0.0203161	0.014902	0.0121381	0.0127154	0.0125808	0.0188086	0.0191631	0.0258827	0.0233214	0.0240515	0.0204545	0.0229054	0.0191984	0.0188126	0.0206747	0.023884	0.0201541	0.0138896	0.0177026	0.0179824	0.0193065	0.00980679	0.0176942	0.0199032	0.0253601	0.0239614	0.0238677	0.00858491	0.00611326	0.00578209	0.0168451	0.011512	0.0169032	0.0179374	0.0281111	0.0172933	0.0186791	0.0123848	0.0111646	0.00523814	0.00897616	0.00585203	0.00528746	0.00523144	0.00536982	0.00826897	0.00807318	0.0107877	0.0205223	0.0187549	0.0184687	0.0277606	0.0174014	0.0203835	0.0140287
n'	0.0258477	0.0134239	0.00785875	0.00866663	0.00405181	0.00201943	0.00155066	0.0021957	0.00536961	0.00475915	0.00460864	0.00847242	0.0042352	0.00742962	0.00792664	0.0105187	0.0160204	0.0164892	0.0170855	0.0160627	0.0139529	0.0136694	0.0116466	0.0148623	0.0102308	0.0176688	0.0199075	0.0234147	0.024726	0.0260328	0.0245603	0.0222833	0.0205499	0.0158883	0.0169677	0.0188468	0.014454	0.00979553	0.0109514	0.0126075	0.0122825	0.00733443	0.00985331	0.0130605	0.0130427	0.0138971	0.0176857	0.00670137	0.00585597	0.00643107	0.0171771	0.0125751	0.0171043	0.0166105	0.0169	0.0143354	0.0162819	0.0147006	0.0163875	0.0157181	0.0210725	0.0173323	0.0122869	0.00964883	0.00848619	0.00990301	0.0101935	0.0104209	0.0174019	0.0130803	0.010191	0.0203309	0.0138079	0.0230141	0.0112858
a	0.0259386	0.0320891	0.0212648	0.0228027	0.0114663	0.00490812	0.004145	0.00285007	0.00502028	0.00266568	0.0034413	0.00713557	0.00433409	0.00672776	0.00526374	0.00796028	0.00955392	0.0118843	0.0146542	0.0150834	0.013448	0.0114586	0.0136017	0.0122578	0.0145083	0.0182381	0.0207956	0.0217215	0.0226354	0.0196964	0.0293417	0.0223638	0.0208172	0.0163458	0.0186306	0.0142449	0.0132393	0.0106667	0.0108143	0.00886546	0.010736	0.00860107	0.0120242	0.0174897	0.0184244	0.0143727	0.0110708	0.0050288	0.00497636	0.00583834	0.0121899	0.00727427	0.0114197	0.0118964	0.0119893	0.00744603	0.0089032	0.00774977	0.00811721	0.00825426	0.0125747	0.0141619	0.0193896	0.0153353	0.0177281	0.0200505	0.0136917	0.0119633	0.0246006	0.0150443	0.014614	0.0220886	0.0133193	0.0159982	0.0127568
pas	0.0254559	0.0142953	0.013226	0.0109688	0.00857305	0.00576864	0.00376734	0.00356623	0.00524176	0.00419268	0.00692217	0.0108569	0.0139201	0.0150449	0.0127646	0.0159676	0.0176518	0.0197383	0.0227115	0.0207935	0.0148271	0.0132498	0.0156715	0.0192648	0.0142686	0.0323235	0.0273855	0.0260779	0.0250305	0.0248947	0.0217949	0.0144098	0.0142561	0.00890004	0.0125974	0.0137195	0.0143441	0.0126778	0.012655	0.0124347	0.00970424	0.00599207	0.00899582	0.0106367	0.0121737	0.014681	0.0194847	0.00462774	0.00460655	0.00591091	0.0166431	0.0105671	0.0179009	0.0186551	0.0210659	0.0109789	0.0121731	0.0112113	0.00866642	0.00612016	0.00876885	0.00792394	0.00738507	0.00508552	0.00457781	0.0117324	0.0100787	0.0105033	0.0184946	0.0159463	0.0118372	0.0168997	0.0104042	0.0107327	0.0166241
pu	0.023858	0.019717	0.012855	0.00822669	0.00475783	0.00258243	0.00200612	0.00216482	0.00327934	0.00284921	0.00520147	0.00611442	0.00758706	0.0105048	0.00826134	0.00977561	0.012841	0.0119959	0.0157928	0.0123431	0.01006	0.010609	0.00944943	0.0132	0.00946394	0.017254	0.0161143	0.0197866	0.0200262	0.0192223	0.0217498	0.0188952	0.0187514	0.0134593	0.0182977	0.0161285	0.0153323	0.014255	0.0147557	0.0120561	0.0120285	0.0127431	0.0140171	0.0179925	0.0159526	0.0141697	0.0169337	0.00498661	0.00426379	0.00474509	0.011634	0.00726506	0.0116111	0.0120177	0.0150103	0.00907521	0.0125688	0.01655	0.0193518	0.0142716	0.0214661	0.0142305	0.0156124	0.0121215	0.0150456	0.0221662	0.0200118	0.029257	0.0273486	0.0140522	0.0130306	0.0198314	0.0103802	0.0116637	0.0150132
le	0.025517	0.0152606	0.0113458	0.00494491	0.00322581	0.0015074	0.00101129	0.000964881	0.00155662	0.00104863	0.00216633	0.00422081	0.00411363	0.0076942	0.00718824	0.0083835	0.0126923	0.0126277	0.0160275	0.0149409	0.0104408	0.00953954	0.0111048	0.0128921	0.0119157	0.0206586	0.020789	0.019224	0.0196602	0.0196155	0.0209846	0.0129071	0.0120523	0.00784806	0.0113052	0.00904167	0.00977461	0.0089183	0.00860981	0.00760019	0.00627976	0.00752073	0.00765623	0.0106319	0.00981257	0.00989626	0.0170267	0.00362381	0.00327724	0.00479667	0.0118363	0.00627688	0.0119722	0.0135227	0.0167946	0.00993765	0.0153536	0.0297399	0.0249253	0.0184293	0.0264546	0.0225154	0.0252875	0.0205906	0.0188441	0.0445012	0.0398005	0.0368562	0.0353047	0.0166642	0.0104084	0.0150526	0.00874789	0.0075304	0.0108115
faire	0.0144678	0.00996862	0.00726414	0.00623392	0.00591978	0.00442472	0.00371553	0.00503688	0.00743212	0.00526516	0.00508335	0.00800866	0.0073658	0.0091591	0.00818932	0.00977153	0.0116108	0.0117599	0.0133682	0.0129923	0.0120536	0.0119055	0.0116087	0.0127253	0.011275	0.020334	0.0196735	0.0162809	0.0156079	0.0160784	0.0157983	0.0159735	0.012334	0.0122599	0.0135177	0.0120524	0.0130178	0.0103376	0.0115493	0.0110775	0.0122627	0.0126528	0.0115844	0.0125456	0.0125655	0.0126956	0.0154333	0.00567561	0.00520186	0.0059515	0.0130455	0.00798506	0.0113084	0.0124956	0.0129494	0.00880773	0.0115098	0.0203102	0.0315209	0.0193591	0.0258904	0.012958	0.0256301	0.0155559	0.0190101	0.0164743	0.0219851	0.0326657	0.0311059	0.0143149	0.0162409	0.0222285	0.0125072	0.0155493	0.0195249
à	0.0149531	0.00661844	0.00343042	0.00331585	0.00318897	0.00174101	0.00207185	0.0021326	0.0029253	0.00166301	0.00319324	0.0042109	0.00390624	0.00624968	0.00579445	0.0082761	0.0125507	0.0148508	0.0151872	0.0177845	0.0130662	0.00986392	0.0135945	0.0115107	0.0146674	0.0163333	0.0203855	0.0133363	0.0161899	0.0166151	0.0178909	0.016115	0.0106399	0.0116573	0.0117768	0.00829155	0.00843224	0.00571046	0.00665079	0.00663109	0.00748903	0.00780348	0.00709805	0.00946938	0.0114413	0.0106692	0.0173777	0.00634706	0.00521973	0.00589868	0.0158813	0.00739891	0.0107993	0.012935	0.0141221	0.00927432	0.0146271	0.0149334	0.0194546	0.0121288	0.0213993	0.0111315	0.0174628	0.0140862	0.0190728	0.0377661	0.0503201	0.0605213	0.0541891	0.0182466	0.017925	0.0261567	0.0151273	0.0158796	0.0169438
la	0.0168231	0.00548812	0.00275277	0.00238964	0.00260879	0.00147339	0.00160696	0.00181955	0.00290553	0.00180657	0.00311136	0.00431962	0.00404429	0.00651527	0.00623903	0.00924674	0.0137598	0.0162403	0.0175158	0.0184949	0.0116895	0.00860218	0.0113633	0.0120355	0.010881	0.0157097	0.0178446	0.0129044	0.0145968	0.0166888	0.0155997	0.0124436	0.00842266	0.00775977	0.00882431	0.00724695	0.00643362	0.00391812	0.00468929	0.00517765	0.00525338	0.00514666	0.00504697	0.00697044	0.00810781	0.00841523	0.0183781	0.00501531	0.00395889	0.00434014	0.0139741	0.00670732	0.0108559	0.0130858	0.0178895	0.0106878	0.0146796	0.0132849	0.0107432	0.00725564	0.0122515	0.010015	0.0102066	0.00881323	0.0134497	0.0345186	0.0418109	0.0657032	0.0829524	0.0475717	0.0298495	0.0350879	0.0286101	0.0238109	0.013559
maison	0.00693517	0.00224572	0.00129248	0.00120805	0.00160301	0.000909743	0.0013577	0.00151038	0.00231103	0.00193042	0.00429581	0.00513558	0.00344976	0.00688211	0.00693801	0.00754581	0.0145058	0.01695	0.020549	0.0210318	0.0134663	0.00947094	0.0157771	0.0136677	0.0113605	0.0214563	0.0265112	0.0168494	0.0161612	0.0158113	0.0149513	0.0131905	0.00652255	0.00882914	0.0077866	0.0079972	0.00504373	0.0026282	0.00451657	0.0055719	0.00570372	0.00609045	0.00506556	0.00750493	0.00769234	0.00879116	0.0158853	0.0084839	0.00697779	0.00654996	0.0125273	0.0076035	0.00933621	0.0113911	0.0182954	0.00982211	0.0152222	0.0159517	0.0154147	0.012081	0.016573	0.0109996	0.0145254	0.010743	0.0129248	0.027803	0.0393147	0.0662394	0.0851461	0.0346326	0.0305062	0.0321941	0.0244084	0.0148824	0.00656007
</S>	0.00962824	0.00240404	0.00191601	0.00199031	0.00183437	0.00107064	0.00124882	0.00122359	0.00209158	0.00276943	0.00709506	0.00658667	0.00594153	0.00834588	0.00815539	0.0083493	0.0120939	0.0183522	0.0154464	0.0200616	0.0111177	0.00728157	0.0134897	0.0118933	0.0120363	0.0152802	0.0200145	0.0142069	0.0136078	0.0143071	0.013182	0.00998844	0.00662139	0.00644951	0.00622484	0.00825595	0.00503948	0.00347052	0.00514303	0.00684087	0.00521951	0.0045352	0.00396974	0.00495652	0.00577062	0.00707193	0.0155275	0.0138389	0.00901909	0.00811048	0.015968	0.0112447	0.0109109	0.0101003	0.0104091	0.00937559	0.0137577	0.0077882	0.0137075	0.0134614	0.0174233	0.0127829	0.0164624	0.0176654	0.0176746	0.0301443	0.0542945	0.0600033	0.0893732	0.0278403	0.0249926	0.0354512	0.024893	0.0209314	0.0142686
