 	a85	a87	a23	a87	a10	a87	a57	a10	a11	a90	a56	a96	a90	a75	a56	a75	a44	a98	a85	a37	a56	a4	a44	a90	a57	a9	a53	a4	a90	a98	a73	a56	a44	a75	a47	a36	a2	a57	a87	a23	a83	a13	a54	a47	a5	a21	a92	a37	a96	a83	a75	a61	a70	a0	a21	a18	a71	a40	a75	a47	a36	a2	a57	a87	a23	a87	a23	a87	a23	a24	a61	a5	a37	a96	a75	a6	a85	a37	a26	a38	</S>
un	0.0167867	0.0123563	0.00858178	0.00500937	0.00119229	0.00158406	0.0024972	0.00187207	0.00149158	0.00243296	0.00194463	0.00436158	0.00203574	0.00449291	0.00438362	0.00481209	0.00509943	0.00649413	0.00591281	0.00936407	0.0127663	0.0152572	0.0134658	0.0157625	0.0165448	0.0150474	0.0148723	0.0158625	0.0170456	0.0195662	0.0153277	0.0163358	0.0188828	0.014502	0.0154468	0.0152652	0.0194957	0.0208952	0.0245609	0.0194865	0.0176194	0.0275518	0.0177828	0.0184516	0.0254601	0.0210205	0.0237081	0.0280927	0.0247375	0.0237494	0.0134726	0.0138595	0.0160618	0.0134129	0.0125042	0.00949761	0.00899199	0.00842453	0.0122852	0.00975864	0.0126622	0.0178885	0.0115084	0.0093663	0.00461369	0.00634702	0.00333416	0.00253238	0.0034935	0.00635456	0.00676511	0.00445111	0.00801337	0.00679598	0.00972297	0.0158956	0.0222637	0.0143449	0.0146673	0.0196702	0.0137719
faible	0.0158472	0.00929674	0.0082357	0.0067414	0.00169203	0.00208082	0.00365603	0.00243133	0.00176874	0.00256544	0.00230533	0.00432284	0.00180409	0.00274766	0.00221458	0.00283303	0.00198343	0.00349517	0.00432033	0.00880807	0.0114451	0.0154191	0.0129256	0.0207031	0.0201519	0.0197526	0.0175204	0.0240443	0.014934	0.0156978	0.0163033	0.0160128	0.0198725	0.0145203	0.0148354	0.0139824	0.0165839	0.0174045	0.0178515	0.0183247	0.0170103	0.0228635	0.0170295	0.0198653	0.0230233	0.0212635	0.0261229	0.0257773	0.0260931	0.0272174	0.0187142	0.0165755	0.0146375	0.0146799	0.0105751	0.00972301	0.0125771	0.0108899	0.0168948	0.012869	0.0143458	0.0183307	0.0107221	0.00753037	0.00377734	0.00328438	0.00142527	0.000816585	0.00090824	0.00209744	0.00304724	0.00282368	0.00631915	0.00688832	0.010065	0.0160113	0.0237857	0.0176253	0.0184639	0.0289224	0.0109725
parce	0.0115953	0.00448308	0.00332987	0.00221028	0.000482042	0.000614066	0.000861828	0.000708818	0.000769728	0.000788799	0.000987249	0.00287553	0.000800679	0.00200658	0.0024079	0.00265324	0.00388714	0.00652881	0.00877615	0.0141142	0.0152819	0.0219846	0.0238968	0.0276445	0.0285234	0.0265117	0.0229333	0.0222943	0.0203063	0.00973963	0.0129848	0.0111381	0.0161085	0.00995261	0.0107084	0.0097541	0.0159797	0.0124345	0.013301	0.0133444	0.00989223	0.0207891	0.0143863	0.018979	0.0253244	0.0193328	0.0270618	0.0234941	0.0274501	0.026109	0.0231716	0.020022	0.013675	0.0173916	0.0122619	0.0142075	0.0210974	0.0175011	0.0216084	0.0171882	0.0172517	0.018633	0.00963372	0.00806776	0.00456846	0.00470478	0.00274838	0.00223764	0.00187894	0.00240461	0.00171345	0.00223407	0.00426694	0.00577038	0.0100038	0.0148099	0.0201378	0.0133737	0.0167913	0.0219508	0.0101711
que	0.02295	0.0175928	0.0130946	0.00818353	0.00219775	0.00252188	0.00677735	0.00334073	0.00385614	0.00527323	0.00428661	0.00603486	0.00484781	0.00859587	0.00373808	0.0078603	0.00700807	0.00664462	0.00490359	0.00474594	0.00577598	0.00709562	0.00815776	0.0110555	0.00971418	0.011534	0.00757219	0.0108755	0.0100021	0.0148832	0.0114675	0.00983763	0.0123997	0.00875161	0.00720565	0.00780938	0.0106183	0.0121733	0.010787	0.0115807	0.00944783	0.0133815	0.013181	0.0164298	0.0158096	0.0171199	0.0152827	0.0179117	0.0166274	0.0178283	0.0136064	0.0144652	0.0120199	0.0124969	0.0113148	0.0124403	0.01745	0.0133314	0.019141	0.0168066	0.0168422	0.0272592	0.0167309	0.0146008	0.0120191	0.0148795	0.0140892	0.0131578	0.0153474	0.0176333	0.0111038	0.0137559	0.0234213	0.0204137	0.0228331	0.017022	0.0279182	0.0145165	0.012939	0.0144949	0.0191796
j'	0.0183284	0.0154534	0.0116152	0.00829756	0.00447769	0.00471933	0.00923174	0.0049964	0.00533432	0.00658328	0.00410851	0.00420051	0.00450044	0.00619052	0.0032032	0.00684832	0.0074608	0.00720264	0.00540222	0.00355021	0.00421381	0.00490242	0.00476325	0.00705399	0.00592307	0.00746941	0.00495775	0.00844405	0.00723731	0.0144673	0.0112516	0.00993177	0.0105534	0.00766342	0.00615855	0.00620528	0.00718715	0.0109523	0.00810581	0.0100455	0.00921563	0.00889716	0.00953154	0.0143387	0.0142987	0.0151065	0.015673	0.0168179	0.0170101	0.020078	0.0170727	0.0173916	0.0146102	0.0159935	0.0162048	0.015301	0.023566	0.0161554	0.0257974	0.0194371	0.0187353	0.0269078	0.019926	0.0159717	0.0162868	0.0163902	0.0172425	0.0192022	0.0239719	0.0256195	0.0183852	0.0212106	0.0355649	0.0186097	0.0154655	0.00937821	0.0162688	0.011178	0.00887154	0.0103471	0.0127779
y	0.0248912	0.0223046	0.0178733	0.0109779	0.00723048	0.00807209	0.0135547	0.00945656	0.0091606	0.00925339	0.00839133	0.00622649	0.00420457	0.00590396	0.0032163	0.00710972	0.00392617	0.00385695	0.00347146	0.00380568	0.00460411	0.00459989	0.00497911	0.00819667	0.00780655	0.00702357	0.00497215	0.0089061	0.00713018	0.00937153	0.0091806	0.00997199	0.00677976	0.00578543	0.00642274	0.00430362	0.00315991	0.00501127	0.00267391	0.00332679	0.00948184	0.0022086	0.0025	0.00386406	0.00435782	0.00363882	0.00723698	0.00476483	0.00433455	0.00726658	0.0157532	0.0138282	0.00427983	0.0129094	0.007729	0.0114402	0.0143896	0.0141141	0.0300697	0.0180649	0.0226945	0.0384662	0.0201175	0.0158931	0.017028	0.0157257	0.0161136	0.0172022	0.0220047	0.0298067	0.0378827	0.0456832	0.0504886	0.0328235	0.0214992	0.014628	0.0205732	0.0174055	0.0161421	0.0184104	0.0100858
ai	0.0235117	0.0136603	0.0114925	0.00735597	0.0042975	0.00461868	0.00911781	0.00619941	0.00637673	0.00701501	0.00873693	0.00728476	0.00343733	0.00380761	0.0022204	0.00437795	0.00206312	0.00220567	0.00200528	0.00314724	0.00347939	0.00388883	0.00427933	0.00959522	0.0089205	0.00897451	0.00624907	0.011533	0.00820321	0.00902667	0.00937493	0.0096769	0.00916055	0.00564424	0.00546341	0.00682467	0.00679501	0.00919259	0.00802916	0.00870176	0.0111025	0.00980748	0.00825301	0.0102296	0.0127736	0.0150824	0.0141952	0.0164396	0.0138607	0.018439	0.0139178	0.0150414	0.0118841	0.0154981	0.012103	0.0112814	0.0165067	0.0131715	0.0208109	0.0166075	0.015757	0.0220085	0.0138844	0.0103744	0.0112069	0.00934742	0.0132109	0.0131856	0.0146409	0.0202182	0.0166037	0.027423	0.0415346	0.0366541	0.0317772	0.0259049	0.0320655	0.0225702	0.0191956	0.0213189	0.0181679
construit	0.0221979	0.00760467	0.00690127	0.00669178	0.00322028	0.00317003	0.00396934	0.00328587	0.00394165	0.00255697	0.00319029	0.00686614	0.0023822	0.00395019	0.00343285	0.00460356	0.00412684	0.00466599	0.00484694	0.00736418	0.00802459	0.00877194	0.0078706	0.012893	0.0140954	0.0121639	0.00993637	0.0162958	0.0117756	0.00990587	0.0107822	0.0118063	0.0130505	0.00879624	0.00904746	0.00988218	0.0115962	0.0130631	0.0125722	0.0127854	0.0120435	0.0163142	0.0138729	0.0159953	0.0198029	0.0232042	0.0224206	0.0222372	0.0234644	0.0237279	0.0221788	0.0199548	0.0186917	0.0205523	0.0186125	0.0162557	0.0213914	0.0194014	0.0226862	0.02065	0.0196031	0.017279	0.0113518	0.00751426	0.00629862	0.00419179	0.00553998	0.00545694	0.00597258	0.00908504	0.00739282	0.0120185	0.0258039	0.0273042	0.0215342	0.0234677	0.0167651	0.0112565	0.0104761	0.012243	0.0119033
une	0.0133144	0.00614586	0.00548192	0.00412859	0.00184432	0.00216477	0.00286225	0.00245504	0.00291527	0.00225984	0.00220599	0.00399641	0.00268328	0.00344896	0.00274574	0.0035486	0.0032545	0.00467109	0.00592407	0.00784923	0.0103687	0.0143161	0.016123	0.0269066	0.0202623	0.0195814	0.012193	0.0146885	0.0141707	0.0073614	0.0132255	0.00685176	0.0121233	0.005446	0.0066804	0.00494497	0.00967904	0.00867704	0.00934642	0.00831991	0.00866129	0.0162771	0.0088859	0.0122239	0.017738	0.018622	0.0207439	0.0203955	0.0214931	0.0203169	0.0219475	0.0138567	0.00872948	0.0183995	0.0085423	0.0133183	0.0203314	0.0150845	0.0246359	0.0212429	0.0203015	0.0202476	0.0125194	0.0114549	0.00847444	0.0105622	0.00855702	0.0075474	0.00659728	0.00907633	0.00574557	0.0113094	0.0143512	0.0178725	0.0226674	0.0269728	0.0343873	0.0191009	0.0203749	0.0203634	0.0349045
petite	0.0187637	0.0071492	0.00568622	0.00379519	0.00185351	0.00177202	0.00247261	0.00204097	0.0023389	0.00167577	0.00198917	0.00414851	0.00207083	0.00250249	0.00235646	0.00255664	0.00359733	0.00432953	0.00606477	0.0108788	0.0135828	0.016373	0.0161119	0.0296839	0.0196577	0.0149986	0.0112459	0.0132148	0.0101352	0.00663133	0.00879324	0.0076136	0.0114038	0.00663706	0.00762474	0.00810256	0.010744	0.00968919	0.00832781	0.00778238	0.0095551	0.0106858	0.0103723	0.00916076	0.010765	0.0157232	0.0133833	0.0145343	0.0146809	0.0144224	0.0180767	0.011738	0.0106932	0.0176584	0.00958417	0.0108892	0.0131241	0.015254	0.0162003	0.0219551	0.0207948	0.0166135	0.0107643	0.011369	0.0115634	0.00881122	0.00946629	0.00700662	0.00514738	0.00785358	0.00854249	0.0185923	0.0180593	0.0222866	0.0343711	0.0413605	0.0370635	0.0327993	0.0236518	0.0275177	0.031513
maison	0.0131753	0.00403708	0.00362427	0.00343392	0.00116992	0.00144638	0.00209326	0.00152963	0.0016226	0.0011124	0.00128214	0.00294589	0.00135131	0.00147812	0.0013524	0.00120918	0.00131379	0.00233679	0.00426798	0.00840436	0.0103749	0.0153844	0.0177361	0.0297568	0.0211333	0.0174788	0.012428	0.0179629	0.0117768	0.0065147	0.0121782	0.00916614	0.0137922	0.00602892	0.00894511	0.00586411	0.00928528	0.0073782	0.00753454	0.00937442	0.0124467	0.00868662	0.00806567	0.0109341	0.0119374	0.0145122	0.0178712	0.0115556	0.0150258	0.0143898	0.0201172	0.0116794	0.00669243	0.0144323	0.00736261	0.0116288	0.0164031	0.0155299	0.0195371	0.0177136	0.0171878	0.0156637	0.0110783	0.00989703	0.00877271	0.00724872	0.00847475	0.00745764	0.00574217	0.00861678	0.00555779	0.0122159	0.0166917	0.0284292	0.0350701	0.0475139	0.0496416	0.0436593	0.0286106	0.0319286	0.0247395
</S>	0.00820552	0.00382766	0.00425565	0.00469445	0.00212955	0.00221298	0.00238215	0.00226544	0.00187528	0.00119003	0.00171116	0.00295821	0.00172687	0.00154592	0.00165918	0.00152031	0.00131783	0.00205778	0.00385579	0.00569409	0.00691425	0.0116977	0.0119133	0.0253609	0.0176532	0.0134755	0.00868266	0.0240618	0.00774442	0.00536545	0.00799368	0.00718005	0.0110861	0.00438936	0.00702684	0.00503657	0.00738307	0.00691675	0.00548364	0.00720547	0.0112865	0.00684934	0.00588279	0.00925718	0.0110679	0.0143603	0.0222468	0.00884941	0.0150002	0.0145045	0.0211973	0.0107715	0.00666574	0.0162933	0.00841568	0.00997875	0.0197409	0.0174291	0.0268548	0.023337	0.0237801	0.0166355	0.0123818	0.00865384	0.0152218	0.00978667	0.0112537	0.012941	0.0121436	0.0149413	0.010372	0.0153721	0.0191936	0.0336509	0.038882	0.0451185	0.0404864	0.0478425	0.0297414	0.0290264	0.0129292
