 	a66	a87	a23	a99	a88	a31	a21	a12	a75	a6	a36	a41	a21	a47	a61	a75	a92	a85	a6	a36	a79	a7	a84	a82	a87	a23	a83	a94	a76	a25	a85	a5	a61	a12	a47	a21	a85	a47	a36	a54	a85	a5	a21	a85	a6	a98	a47	a0	a75	a47	a36	a0	a11	a75	a47	a36	a7	a36	a2	a57	a87	a23	a87	a23	a87	</S>
ce	0.0256372	0.0156138	0.0128423	0.00689129	0.0102245	0.00834301	0.00583613	0.00297516	0.003153	0.00311438	0.00443168	0.00160407	0.00166922	0.00383208	0.00788095	0.0063078	0.00758186	0.0097043	0.022504	0.0200754	0.0117674	0.0195594	0.012859	0.0385634	0.0117825	0.0183004	0.0236266	0.00485898	0.0111884	0.0121691	0.00858606	0.00859303	0.0043296	0.0151819	0.0162443	0.00962951	0.014412	0.015427	0.0258457	0.011965	0.012838	0.0177227	0.00276512	0.00604873	0.00302312	0.00439099	0.00336043	0.00781376	0.00573688	0.0127995	0.0137464	0.00641308	0.0274935	0.00461682	0.0483436	0.0182529	0.00978705	0.0259153	0.0122866	0.0140471	0.023226	0.060068	0.0247642	0.0614618	0.0505821	0.0473846
qui	0.0190232	0.011336	0.00788643	0.00384362	0.00673435	0.00609489	0.00575436	0.00688011	0.00383071	0.00410742	0.00554947	0.00190492	0.00263494	0.00451344	0.00752049	0.00530443	0.00765685	0.00690608	0.0309304	0.0224587	0.0157499	0.0260451	0.0189148	0.0394709	0.0181357	0.0157969	0.0138269	0.00166819	0.00532466	0.0095712	0.00682349	0.00776005	0.00255799	0.0108053	0.0139217	0.0104073	0.00621395	0.0190507	0.0192481	0.011042	0.00567147	0.00741481	0.00175365	0.0039746	0.00264522	0.00464472	0.00792486	0.0118561	0.0156272	0.024141	0.0220059	0.00568324	0.0278969	0.00449218	0.0230812	0.0140778	0.00627583	0.0206664	0.0135669	0.0175466	0.0287712	0.0591773	0.0520737	0.0822493	0.0703826	0.023194
s'	0.0263905	0.0282491	0.0215811	0.0185931	0.0277298	0.0244421	0.0190226	0.0176364	0.0126094	0.0143521	0.0180618	0.00703728	0.00887832	0.0158268	0.0183792	0.0142781	0.0198115	0.0185854	0.0438918	0.0279597	0.0241746	0.0271177	0.029596	0.0420375	0.0264241	0.0181303	0.0205045	0.00211548	0.00731679	0.0120223	0.0118796	0.00701597	0.0031228	0.00844422	0.0119449	0.0106136	0.00608012	0.0191182	0.0125524	0.0141951	0.0111413	0.0122508	0.00221499	0.00536919	0.00233301	0.00237059	0.00247641	0.00488671	0.00593268	0.0086768	0.007839	0.00386376	0.0226155	0.00420918	0.00807934	0.00699309	0.00207453	0.00514264	0.00534111	0.00459448	0.00775409	0.0165092	0.0157475	0.0360462	0.0436492	0.0341663
était	0.0419131	0.069983	0.0856013	0.0583126	0.0397167	0.0633221	0.0214856	0.0247315	0.0150458	0.00794989	0.00814958	0.00504288	0.00518995	0.00609218	0.0132303	0.00677864	0.0110991	0.0105722	0.0116676	0.0133924	0.00685758	0.00824779	0.00737624	0.0205331	0.0221492	0.0071316	0.0126148	0.0030706	0.00457266	0.00541053	0.00399048	0.00185214	0.00109849	0.00254431	0.00241524	0.00283282	0.0019184	0.0089912	0.00323177	0.00480169	0.00442446	0.00447585	0.00407417	0.00343524	0.00277853	0.00271993	0.00244896	0.00505654	0.0131281	0.0169937	0.0150817	0.0204896	0.035181	0.0133278	0.0119988	0.0109822	0.00637836	0.0119776	0.0117397	0.00868945	0.0107098	0.0155305	0.0179537	0.0320892	0.0378224	0.0295955
passé	0.064033	0.0681716	0.0760252	0.0337808	0.0227397	0.0413663	0.0293828	0.0302896	0.0255966	0.0150574	0.0126796	0.0123035	0.0114194	0.00952933	0.0117652	0.00687386	0.00636305	0.00774177	0.00914544	0.0114144	0.00744887	0.0153548	0.00832501	0.0133481	0.0341476	0.0118469	0.0167987	0.00840497	0.0119269	0.0144292	0.0177761	0.00794803	0.0058118	0.00824341	0.00949215	0.0124902	0.00651466	0.0313459	0.00917317	0.0125009	0.0104075	0.0106091	0.0078604	0.00763032	0.00566471	0.00563682	0.00573481	0.00865506	0.0132881	0.0123192	0.0104641	0.00937236	0.0147728	0.0090348	0.00677947	0.00474282	0.00260613	0.00410504	0.00600413	0.00319653	0.00630454	0.00672876	0.00982953	0.0159746	0.0162726	0.0169999
entre	0.0262332	0.0194031	0.0219445	0.0181532	0.0135599	0.0196695	0.0111585	0.010696	0.010312	0.0101195	0.0144964	0.00869249	0.00925391	0.0148217	0.0115358	0.00811309	0.0077613	0.009872	0.0102881	0.00859202	0.0107184	0.014444	0.0160399	0.0257229	0.0165644	0.0138416	0.0152835	0.00335484	0.00794036	0.011581	0.0125894	0.0124496	0.00276358	0.0101811	0.0130552	0.015198	0.00735346	0.0113438	0.0125649	0.0117036	0.00800275	0.00749518	0.00216726	0.00307465	0.0025563	0.00277497	0.00375202	0.00775319	0.00734271	0.0100082	0.0128852	0.0179424	0.0213491	0.0124108	0.0134772	0.00935445	0.00843691	0.0281053	0.0260331	0.0122856	0.0204172	0.0341729	0.0331052	0.0621037	0.0688298	0.0547941
nos	0.0408699	0.0339184	0.0345732	0.0205009	0.0183493	0.0286493	0.0228553	0.0234665	0.0222565	0.0181171	0.0220072	0.0165615	0.0157223	0.0216879	0.0202266	0.0149743	0.0125016	0.0150684	0.0141804	0.0143145	0.0127353	0.0230999	0.0170629	0.0226066	0.0278738	0.0124977	0.0201787	0.00386373	0.00780302	0.0113258	0.0125517	0.00937614	0.00344476	0.00929931	0.0125725	0.0160205	0.00625324	0.0237772	0.0122647	0.0125659	0.00841446	0.00809588	0.00373849	0.0044524	0.00333388	0.00375956	0.00425161	0.00832876	0.00950033	0.011551	0.0120555	0.0110051	0.017155	0.00713173	0.00705936	0.00449429	0.00377121	0.0116905	0.0108433	0.00432134	0.00915274	0.013793	0.0183046	0.0368913	0.0352801	0.0236498
deus	0.0356508	0.0273512	0.0276949	0.0151413	0.0168576	0.0232181	0.0243253	0.0191082	0.0227644	0.0217488	0.0194169	0.014587	0.0143204	0.0184763	0.0143048	0.012321	0.00963478	0.0130095	0.011473	0.0114958	0.0110965	0.0178481	0.0171078	0.0189405	0.0263317	0.0196458	0.0275969	0.00547103	0.0139574	0.0197401	0.0236537	0.0182916	0.00459666	0.0148026	0.0201507	0.0268871	0.0124369	0.0207826	0.0177695	0.0182802	0.012229	0.0121743	0.00361859	0.00422042	0.00317666	0.00354017	0.00694166	0.0132834	0.00994701	0.00950184	0.0133179	0.0126263	0.0186604	0.00682594	0.011499	0.00476602	0.00301004	0.00947782	0.0106588	0.00476259	0.00832055	0.0125402	0.0140045	0.0230973	0.0243006	0.0152116
femmes	0.013167	0.0114574	0.0157709	0.0135446	0.0140079	0.0153668	0.0154007	0.0100753	0.0120749	0.0156824	0.0142634	0.00908133	0.0140192	0.0184648	0.0135087	0.0125392	0.0085109	0.0156383	0.0110893	0.0100048	0.00733201	0.0194947	0.0192365	0.01766	0.0152802	0.0182286	0.018589	0.00847908	0.0097579	0.0112998	0.0155028	0.0183498	0.00747459	0.0143142	0.0174046	0.018896	0.0137363	0.00993638	0.0164141	0.0114658	0.0109306	0.0126694	0.00465869	0.00566445	0.00566721	0.0061071	0.00705724	0.011418	0.00837684	0.00880303	0.0101685	0.0122356	0.0151383	0.0168545	0.0224166	0.0174876	0.0108237	0.0162732	0.0269179	0.0173767	0.0335592	0.0294562	0.0274733	0.0376836	0.0366267	0.0356358
</S>	0.0159588	0.0131787	0.0165566	0.0147544	0.0186709	0.0212066	0.0189502	0.0113473	0.0151006	0.0186646	0.0141449	0.0109089	0.0137956	0.0146062	0.0101577	0.0100996	0.0073683	0.0112944	0.00889785	0.00830451	0.00873712	0.0132673	0.0146015	0.0127709	0.0146092	0.0171003	0.0183545	0.010213	0.0105246	0.0136241	0.0190024	0.0174211	0.0112416	0.0156137	0.0172487	0.019122	0.0150947	0.00852729	0.0167252	0.0132277	0.0136843	0.0167356	0.00675214	0.00812787	0.00703862	0.00818774	0.00670761	0.010493	0.0059578	0.00562869	0.00857892	0.0143601	0.0135758	0.0216636	0.0244898	0.0257962	0.0179855	0.022572	0.0258063	0.0205814	0.0248337	0.0240186	0.0211654	0.027289	0.0296118	0.027365
