 	a66	a87	a23	a38	a40	a36	a96	a66	a83	a79	a15	a79	a44	a12	a18	a83	a54	a79	a7	a54	a6	a37	a18	a54	a7	a84	a4	a70	a93	a96	a18	a71	a3	a87	a97	a40	a36	a2	a44	a4	a13	a62	a12	a96	a5	a37	a70	a54	a6	a36	a2	a57	a87	a23	a87	a23	a57	a3	a83	a9	a38	a36	a18	a88	a23	a18	a71	a25	a82	a58	a82	a3	a87	a23	a87	</S>
ont	0.021363	0.0130718	0.00565038	0.00344909	0.00278146	0.00212449	0.00206806	0.00199035	0.00444025	0.00359786	0.00298515	0.0054353	0.00423507	0.00659225	0.00790442	0.0129351	0.0121439	0.0141179	0.0143166	0.0110175	0.0148676	0.0162815	0.0127123	0.0157244	0.0118949	0.0174677	0.0209302	0.0244622	0.0257714	0.0238699	0.0167653	0.0255667	0.0236768	0.0251514	0.0201642	0.0248468	0.0188432	0.0128588	0.0240143	0.0179212	0.0224394	0.0203353	0.0224711	0.020823	0.0322452	0.0155881	0.0207449	0.0113436	0.0136433	0.013031	0.0105839	0.0130255	0.00964689	0.0136339	0.0132978	0.0151654	0.00837075	0.00584924	0.00748758	0.00377226	0.00491873	0.00824429	0.00326399	0.00290731	0.003599	0.00409449	0.00264453	0.00507095	0.00735871	0.00761583	0.0113839	0.0138787	0.0170672	0.0220573	0.033258	0.0131282
refusé	0.0228057	0.0163679	0.00779101	0.00560661	0.00303256	0.00201083	0.00201502	0.00217728	0.00393577	0.00306676	0.0032205	0.00435252	0.00448974	0.00782046	0.00716659	0.0134779	0.0111664	0.0132283	0.0122636	0.0117344	0.0182555	0.0174999	0.0125678	0.016142	0.0126916	0.0174172	0.0255993	0.0221942	0.0291201	0.0205232	0.0127106	0.0226423	0.0212559	0.0230204	0.0169039	0.0202158	0.0201534	0.0115129	0.0207207	0.0152805	0.0143774	0.0142249	0.0174046	0.0142991	0.020942	0.0162644	0.0179373	0.00978518	0.0119953	0.0114952	0.00975942	0.0133189	0.00958929	0.011831	0.0103335	0.012443	0.00563797	0.00390108	0.00554421	0.0033642	0.00470616	0.00882588	0.00389717	0.00409666	0.0059408	0.00605904	0.00408432	0.00864149	0.0116851	0.0135727	0.0169388	0.0248179	0.0214692	0.0287392	0.0466952	0.0212255
de	0.0119973	0.00957121	0.005749	0.0035791	0.00327211	0.00368937	0.00296648	0.00185288	0.00208326	0.00267435	0.00307502	0.00413479	0.00353651	0.00537647	0.0101641	0.013875	0.0149962	0.0112739	0.0143609	0.0123132	0.0174533	0.0201778	0.0126715	0.0113893	0.0108795	0.0140003	0.0169674	0.0125452	0.0189206	0.0212297	0.0162446	0.0197328	0.0249865	0.0274116	0.0181646	0.028493	0.0217707	0.0127797	0.0230809	0.0132282	0.0192875	0.0219735	0.0178375	0.007646	0.0101486	0.0105285	0.0143064	0.00714681	0.0106722	0.010659	0.00866165	0.0130427	0.00806376	0.00922281	0.00896584	0.0055973	0.0028049	0.00219008	0.00221792	0.00201118	0.00179936	0.00617505	0.00538823	0.00807889	0.0109902	0.0175685	0.0116741	0.0233561	0.0272711	0.0296442	0.0316969	0.0326664	0.0230406	0.0256472	0.0336048	0.0157458
m'	0.0172805	0.0114024	0.00621904	0.00719242	0.00634834	0.00516104	0.00367998	0.00288955	0.00411946	0.00332103	0.004683	0.00562883	0.00576485	0.00694765	0.00644148	0.0111696	0.00927815	0.00691889	0.00880486	0.00815087	0.0103294	0.0160427	0.0104396	0.0106423	0.0100217	0.0139992	0.0180717	0.016649	0.0239595	0.0249283	0.0155059	0.0226014	0.0239116	0.0281859	0.0208369	0.0290362	0.0253747	0.0224041	0.0271333	0.019678	0.015311	0.0140396	0.0120492	0.00830616	0.010596	0.0116276	0.0119221	0.010051	0.0118854	0.0148571	0.0121587	0.0137699	0.0124529	0.0148276	0.012924	0.0118095	0.00402247	0.00352776	0.00395083	0.00444816	0.00469051	0.0100535	0.00500067	0.00550031	0.00731729	0.0122562	0.00645378	0.0130117	0.0160737	0.0178455	0.0259474	0.0257235	0.0197878	0.0231843	0.0393578	0.0221058
emmener	0.0252894	0.0085694	0.0051213	0.00545657	0.00644915	0.00461238	0.00416437	0.00449296	0.00614109	0.00587182	0.00752868	0.0079258	0.00904036	0.00906922	0.00900395	0.0145234	0.0128331	0.00821204	0.013055	0.00905049	0.00875872	0.014328	0.0144885	0.0143809	0.0126655	0.0166653	0.0114813	0.0156719	0.0238646	0.0248818	0.0253848	0.023364	0.0243279	0.0278575	0.0252789	0.0269844	0.0240239	0.0269428	0.0270944	0.014381	0.0157952	0.0185703	0.0137468	0.0109986	0.0130067	0.0159107	0.0114206	0.0130296	0.0143077	0.0204256	0.0200108	0.018531	0.0168332	0.0144103	0.0126135	0.0102785	0.00603022	0.00506931	0.00424114	0.00513247	0.00415233	0.00658003	0.00395332	0.00347326	0.00400657	0.00676815	0.00367325	0.0046245	0.00714716	0.00954232	0.0171517	0.0169693	0.01652	0.0152189	0.0245728	0.0160476
à	0.0245192	0.018896	0.015481	0.0151434	0.0127861	0.00843774	0.00498565	0.00520462	0.00658484	0.00521391	0.00491836	0.00512888	0.00721392	0.00824409	0.00592827	0.00990668	0.00930564	0.0096458	0.00956435	0.0101746	0.0128801	0.0162021	0.0110633	0.0129127	0.0115442	0.0151078	0.0127712	0.0131068	0.0237863	0.021336	0.0136375	0.0200397	0.0189733	0.0231552	0.0162736	0.0142712	0.0210652	0.0216882	0.0167437	0.0174815	0.0123857	0.0100992	0.00788856	0.00889951	0.0157538	0.00938521	0.0128028	0.0103651	0.0093061	0.014434	0.011185	0.00867227	0.00920664	0.0076641	0.00699793	0.0105163	0.00606948	0.00557122	0.00835301	0.00646291	0.00822358	0.0113524	0.0134212	0.0164062	0.0142963	0.0158707	0.00962139	0.011518	0.0114497	0.0171082	0.0250307	0.0245482	0.0195017	0.0231385	0.0296227	0.0255488
l'	0.0313676	0.01284	0.00856153	0.00889499	0.00974391	0.00545952	0.00329202	0.00374444	0.00447657	0.00347438	0.00505334	0.00510544	0.00747353	0.00702207	0.00440933	0.00917425	0.00694953	0.00632663	0.00531809	0.00471204	0.00521354	0.00970421	0.00553754	0.00777231	0.00491	0.00839153	0.00778644	0.0100038	0.0206737	0.0243624	0.019019	0.0214205	0.0208762	0.0271875	0.0216949	0.0238211	0.0259839	0.0277339	0.0218879	0.0213017	0.0150021	0.0154394	0.00968947	0.0112008	0.0118766	0.0118538	0.0121038	0.0130255	0.0151643	0.0174062	0.0157467	0.0148086	0.0157734	0.0170828	0.0135457	0.0118912	0.00688432	0.00501317	0.00643925	0.00544796	0.00679398	0.0107396	0.00789032	0.0104041	0.0135431	0.0128697	0.0112204	0.0104764	0.0132657	0.0212249	0.0260451	0.0301188	0.0165137	0.0291933	0.0284495	0.0171752
hopital	0.0166799	0.00587502	0.00309172	0.00321506	0.00350049	0.00360063	0.00552207	0.00584827	0.00655109	0.0067213	0.00708963	0.00713233	0.0107292	0.0125168	0.0108892	0.0142455	0.0128962	0.0101567	0.0124171	0.00868899	0.00858898	0.0123674	0.0148487	0.0130167	0.0129488	0.016269	0.0166933	0.0233411	0.018843	0.0256993	0.0244807	0.0226848	0.021534	0.0213434	0.0211019	0.0208621	0.0161935	0.021139	0.0246448	0.0201605	0.0172801	0.0198603	0.0191524	0.0102693	0.0137396	0.0115344	0.0130407	0.0103597	0.0116756	0.0160768	0.0177161	0.0178532	0.0178754	0.0124778	0.00950804	0.00949189	0.00549038	0.00381091	0.00442575	0.00370633	0.00297279	0.00480984	0.00514579	0.00767492	0.0102449	0.0126319	0.010821	0.0114149	0.0132541	0.0162368	0.0217997	0.0231392	0.0216678	0.0185063	0.0197563	0.0104509
lorsque	0.0268673	0.0109716	0.00685867	0.00331326	0.00394354	0.00428665	0.00224367	0.0018204	0.00212451	0.00176933	0.00146558	0.00211869	0.00288192	0.00445707	0.00365961	0.00480203	0.00634728	0.00479085	0.00772671	0.00420577	0.00696148	0.00786268	0.00864315	0.00921466	0.0132276	0.0100058	0.0115551	0.015672	0.0177805	0.0361263	0.0198927	0.0164847	0.0210778	0.0180558	0.00920603	0.0135969	0.0138743	0.0202394	0.0251064	0.0227236	0.0164422	0.0142432	0.0177339	0.0122764	0.0117307	0.0102529	0.0120774	0.00812758	0.0125738	0.00756599	0.0116984	0.00865529	0.0161828	0.0115746	0.0161562	0.0168042	0.0206756	0.02522	0.032638	0.0236444	0.0251641	0.0212035	0.0149681	0.0120516	0.0131201	0.0188021	0.0151291	0.00953406	0.0119638	0.0159965	0.0294568	0.018245	0.0248302	0.0152072	0.0188277	0.00526516
j'	0.0280767	0.00866308	0.00722894	0.00472352	0.006949	0.00658965	0.00449041	0.00428056	0.00345731	0.00312426	0.00335608	0.00360375	0.00450193	0.00596962	0.00617049	0.00884221	0.00870592	0.00845201	0.00848544	0.00530212	0.00691172	0.00927182	0.00864168	0.0110972	0.00937751	0.00950226	0.00613332	0.0076985	0.0175744	0.0213988	0.0238873	0.0192275	0.0199426	0.0236096	0.0162257	0.0233023	0.0155869	0.0204634	0.0191907	0.0132152	0.0168147	0.0157808	0.0148569	0.00993511	0.0130727	0.00821757	0.0107277	0.00846442	0.0111518	0.0114767	0.0150654	0.01373	0.0159068	0.00917488	0.0104027	0.0120034	0.0109611	0.0100241	0.0109746	0.0100503	0.00979827	0.0110732	0.0159147	0.0183828	0.02102	0.0290436	0.0233412	0.0179191	0.0217768	0.0311242	0.0291461	0.0304753	0.018152	0.0196684	0.0176851	0.00345594
étais	0.0255291	0.00832833	0.00705921	0.00633154	0.00765897	0.0055907	0.00469351	0.00585671	0.00599573	0.00475819	0.00482629	0.00544733	0.00686779	0.00955608	0.00650893	0.0111093	0.00777165	0.00974263	0.00751022	0.00548882	0.0057887	0.00804501	0.00850916	0.0143066	0.00942976	0.00938143	0.0066296	0.00943433	0.0150213	0.0187078	0.0234829	0.019175	0.0164428	0.0186169	0.0175311	0.0143387	0.010854	0.0181042	0.0130316	0.0140458	0.0147725	0.0145344	0.0104625	0.0110943	0.0147137	0.00929782	0.0110007	0.0106273	0.0125259	0.0156113	0.0211416	0.0180499	0.0218277	0.0127314	0.0118526	0.0149399	0.010906	0.00964338	0.0101797	0.00950094	0.00933809	0.00992223	0.0168765	0.0196783	0.0196772	0.024383	0.0202715	0.0242173	0.0237445	0.0331851	0.0230467	0.0288928	0.0157861	0.0143714	0.0167329	0.0069553
malade	0.0188687	0.00622072	0.00374033	0.00354983	0.00379858	0.00283155	0.00234724	0.00420705	0.00547126	0.0039156	0.00362755	0.00369476	0.00812217	0.00989731	0.00452712	0.0103564	0.00743657	0.00894491	0.00811023	0.0060027	0.00608959	0.0088635	0.00950894	0.0180314	0.0105355	0.0110873	0.0104873	0.0144323	0.0183771	0.0283279	0.0225479	0.0186729	0.017277	0.017655	0.015239	0.00993193	0.0107654	0.0144008	0.0104491	0.0158432	0.0131894	0.0159568	0.0105177	0.0127827	0.0202105	0.0118954	0.0145727	0.010815	0.0128888	0.016741	0.0181914	0.0117982	0.017548	0.00987231	0.00932072	0.0115507	0.00922322	0.00924057	0.0128344	0.0105607	0.00914703	0.0108615	0.0174927	0.0249796	0.0251079	0.0286474	0.0206278	0.0282057	0.0239004	0.0287987	0.0255155	0.0305942	0.0144021	0.01441	0.0177913	0.00561406
</S>	0.0133447	0.0053496	0.00416497	0.00483285	0.00660868	0.00590367	0.00445381	0.0052399	0.00498924	0.00423318	0.00495349	0.00440755	0.00706642	0.00879988	0.00562041	0.00908144	0.00794079	0.00850072	0.00818174	0.00509406	0.00558349	0.00740786	0.00858138	0.0146017	0.00847587	0.0115825	0.0135323	0.0161897	0.0190648	0.0289037	0.0241833	0.0194588	0.0212192	0.019642	0.0155689	0.0136083	0.0142395	0.0189348	0.0164367	0.0223729	0.0195637	0.0200127	0.0162472	0.0103621	0.0173538	0.00830528	0.0128691	0.00728814	0.00850691	0.012018	0.0132673	0.00975163	0.0132638	0.00791027	0.00776079	0.00838686	0.00761535	0.00803448	0.00912104	0.00868489	0.00656277	0.00702253	0.00859562	0.0158534	0.0184027	0.0294428	0.0222889	0.0341277	0.0290309	0.0341043	0.028748	0.0326212	0.0194877	0.0127496	0.0202977	0.00598617
